Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
1,71aa,3,647410.6,4185684.1,5,1521903581,6.20E-05,3/24/2018 7:59,878668
1,71aa,3,647388.1,4185727.6,4,1521903707,3.80E-05,3/24/2018 8:01,109243
1,71aa,3,647491.6,4185682.6,0,1521903752,0.000108,3/24/2018 8:02,307984
1,71aa,4,647353.6,4185761.6,4.5,1521903797,0.000323,3/24/2018 8:03,325068
1,71aa,3,647326.6,4185778.6,4.5,1521903837,1.80E-05,3/24/2018 8:03,473688
1,71aa,3,647163.1,4185859.6,5,1521904273,1.80E-05,3/24/2018 8:11,630223
1,71aa,3,647131.6,4185853.6,5,1521904318,1.00E-06,3/24/2018 8:11,793361
5,7245,3,647409.6,4185672.6,4,1521790604,0.000145,3/23/2018 0:36,260071
5,7245,3,647383.6,4185696.1,4,1521790634,0.000303,3/23/2018 0:37,551464
5,7245,3,647381.1,4185700.6,3,1521790639,3.30E-05,3/23/2018 0:37,628730
5,7245,4,647381.1,4185713.1,3,1521790674,0.000254,3/23/2018 0:37,983493
5,7245,3,647212.6,4185817.1,5,1521791003,1.00E-06,3/23/2018 0:43,337752
5,7245,3,647266.1,4185778.6,4,1521791008,3.10E-05,3/23/2018 0:43,388557
5,7245,3,647265.1,4185784.6,1.5,1521791028,2.90E-05,3/23/2018 0:43,627873
5,7245,3,647102.6,4185687.6,0,1521791195,8.00E-06,3/23/2018 0:46,265630
5,7245,5,647226.1,4185805.6,1,1521791235,0.000225,3/23/2018 0:47,674362
5,7245,4,647230.1,4185808.1,3.5,1521791276,0.000162,3/23/2018 0:47,124116
5,7245,4,647229.6,4185811.1,3,1521791311,0.000192,3/23/2018 0:48,494065
5,7245,3,647096.1,4185859.1,3,1521791326,1.00E-06,3/23/2018 0:48,658626
5,7245,4,647224.6,4185815.1,5,1521791336,0.000154,3/23/2018 0:48,786033
5,7245,3,647223.6,4185815.6,5,1521791341,0.000126,3/23/2018 0:49,840400
5,7245,5,647220.6,4185816.1,4.5,1521791346,0.000477,3/23/2018 0:49,880263
5,7245,7,647221.1,4185815.6,4,1521791351,0.000207,3/23/2018 0:49,933248
5,7245,5,647219.6,4185815.6,4,1521791356,0.000263,3/23/2018 0:49,986420
5,7245,3,647224.6,4185809.6,5,1521791523,1.00E-06,3/23/2018 0:52,738080
5,7245,3,647241.6,4185830.6,4,1521791655,6.00E-05,3/23/2018 0:54,135499
5,7245,3,647229.6,4185808.1,5,1521791705,4.60E-05,3/23/2018 0:55,664623
5,7245,3,647191.1,4185754.6,4.5,1521791725,1.00E-05,3/23/2018 0:55,862493
5,7245,3,647234.1,4185807.1,4.5,1521791741,6.40E-05,3/23/2018 0:55,24875
