rx,serial,x,y,z,sync_tag,idx
SM9,SM9,647227.9785,4185933.757,-30.9415,FF24,1
SM8,SM8,647228.7455,4185861.8415,-31.381,FF17,2
SM4,SM4,647204.524,4185817.45,-31.0565,FF18,3
SM3,SM3,647293.1839999999,4185760.7535,-30.162,FF15,4
SM2,SM2,647231.0745,4185804.097,-29.5615,FF14,5
SM1,SM1,647352.7935,4185710.257,-30.4645,FF13,6
AM9,AM9,647394.877,4185758.558,-30.377000000000002,FF01,7
AM8,AM8,647288.3785,4185868.745,-30.119,FF02,8
AM5,AM5,647287.3285,4185817.5889999997,-29.972,FF04,9
AM4,AM4,647255.6365,4185832.727,-31.624000000000002,FF05,10
AM3,AM3,647257.1915,4185920.458,-30.320999999999998,FF06,11
AM2,AM2,647339.264,4185812.309,-29.8905,FF08,12
AM1,AM1,647342.1015000001,4185760.0689999997,-30.033,FF09,13
