x,y,tnum,x_sd,y_sd,num_rx
647412.285453972,4185683.04592258,1521834332.74304,17.0840359037089,20.8121595708154,2
647409.1934876511,4185680.18728964,1521834342.78835,19.7990227790207,17.6003635436731,1
647407.714354055,4185678.68847608,1521834347.8108,20.8080507410109,15.566405209959099,2
647408.32520867,4185681.97631628,1521834372.91872,21.125595136076104,18.6235409903502,1
647415.3959731039,4185682.93447006,1521834453.28875,12.819415177578799,17.9577438872589,1
647416.945546587,4185681.79792387,1521834463.33705,9.712597837124669,16.7545373673561,2
647409.036582442,4185673.01102009,1521834478.4007401,12.0916558416589,14.591629758313902,1
647404.26144406,4185666.52003857,1521834488.4419599,11.502897049635198,12.0273108984529,2
647406.618875072,4185667.39645414,1521834493.46255,11.691197468076998,12.132317994273802,1
647414.863646753,4185668.6423322,1521834508.51848,10.5217574082287,10.8806636616755,1
647422.03202245,4185667.37185395,1521834518.5479999,7.79699312053995,8.30086291025192,2
647426.98891216,4185666.51782253,1521834523.56426,4.90956635677925,7.64035416289575,2
647426.865273837,4185661.29921722,1521834528.58538,4.48266379149182,5.874445107031209,3
647424.93642692,4185663.42196254,1521834533.60554,6.60673764180048,6.98906162801803,1
647424.072466716,4185664.37950956,1521834538.62626,7.090182088893111,6.7824781058392505,2
647424.939435343,4185664.8029668997,1521834543.6454802,6.607861368332861,6.4121402144199005,2
647427.667999628,4185665.02330489,1521834548.66602,4.5534925775414905,5.5916448476230505,3
647423.72000033,4185669.90334004,1521834553.6909,7.276176196723791,7.92446328826644,1
647418.492531869,4185676.39432208,1521834563.73999,9.7969704015236,10.377437514689099,1
647415.945529709,4185679.6122417,1521834573.78419,10.511694352454901,11.3230924174607,1
647415.283243223,4185680.47335838,1521834578.80387,10.347437912056199,11.3746458170695,1
647414.705555475,4185681.28405679,1521834588.84905,8.88201359026917,10.6543181820481,2
647414.762344541,4185681.40013606,1521834593.86763,8.919560191869438,10.656428461304301,2
647413.6617449439,4185680.23148074,1521834598.8873901,10.2616388297067,10.6034304135605,1
647411.9239613,4185677.42356047,1521834608.9249802,11.1191308555934,8.62405848757441,2
647412.655037215,4185678.00081818,1521834613.94501,10.425588231511,8.47580220587913,3
647413.426312468,4185678.99823014,1521834618.95988,10.9897994927294,9.69064860688812,1
647414.376165475,4185679.87008413,1521834623.97872,11.1885612028899,10.3656113577552,1
647416.827174521,4185681.23744549,1521834634.01456,10.533858146894,10.4330907243586,1
647418.3125540271,4185681.72645353,1521834639.0313401,9.608859618877972,9.834735966394561,1
647419.947744347,4185682.08132549,1521834644.04885,8.12645511009492,8.720383385068692,2
647419.10314512,4185679.89106865,1521834649.06494,9.095467545845858,6.77879636923131,3
647421.41564004,4185681.86181551,1521834654.08192,8.22421088398341,8.30597148744897,1
647423.8278161121,4185683.73284585,1521834659.0977,6.00811188653209,8.55848162540409,2
647425.4962397739,4185684.952039,1521834664.11391,6.663965558911901,8.50399337304338,1
647427.2254397221,4185686.08459833,1521834669.13095,5.35543372171618,7.548823982145901,2
647425.750767713,4185685.306946201,1521834674.14767,5.37932188596503,5.24672859415079,3
647424.737590135,4185686.93140556,1521834679.1674,7.29620051872612,4.59681063730325,2
647424.283947015,4185689.35102503,1521834684.18672,7.904532493294481,4.755679133616559,2
647424.247482782,4185692.34341453,1521834689.20581,7.66571958952448,7.072086046370879,1
647424.272860487,4185695.28175707,1521834694.22458,6.0664616888595795,7.57040623403455,3
647422.930631946,4185697.50030069,1521834699.24226,7.8598022002057,7.5442463510260795,1
647421.6492073471,4185699.66195223,1521834704.26038,8.33173121948542,6.02711295859574,2
647420.9515118421,4185702.56230035,1521834709.28107,8.48350580730942,7.29465041841233,1
647419.741255858,4185708.21219783,1521834719.3169198,6.126348771023589,5.91006511718457,3
647419.140693186,4185709.80091751,1521834724.33571,8.263303423857911,5.798599954270441,1
647418.602746103,4185711.35620378,1521834729.35568,9.507116550449311,2.6855263810371204,2
647418.371857319,4185713.94615534,1521834734.3801699,10.026621987626301,5.89836738553374,1
647418.147124146,4185719.04352058,1521834744.44587,9.78707641489884,5.390295025689269,2
647418.05200023,4185721.33164828,1521834749.4667199,9.71163165192514,5.27026184948162,3
647418.382221866,4185724.08067082,1521834754.48735,8.67227432732031,6.31251147444651,2
647417.50110103,4185725.01116782,1521834759.50939,8.230932300178301,6.8497853786484,2
647417.185139082,4185726.45080933,1521834764.53849,8.48413857887599,5.25536156180329,3
647416.703194914,4185727.32095363,1521834769.56038,9.358910768513061,7.20799170427499,1
647415.9429317779,4185728.93745183,1521834779.60175,9.63302635700687,7.905418264186679,1
647415.660508181,4185729.68781147,1521834784.6301,9.07608625147293,6.97700917426473,1
647415.438777979,4185730.40131513,1521834789.6493099,7.956484898267321,4.708785998709581,3
647415.534810609,4185732.21015635,1521834794.66894,7.648551124786071,5.849485318370419,3
647415.224413764,4185733.44245764,1521834799.70044,8.49026951308376,4.08296093816872,3
647414.8988022429,4185734.32250464,1521834804.7203698,7.81673279529284,5.02089888448173,3
647413.945188364,4185735.36484556,1521834809.7411,8.43314194854006,6.112551723128001,1
647413.04747431,4185736.37473711,1521834814.76475,8.11975369887771,4.534694549210769,4
647411.33336472,4185737.08658979,1521834819.78878,9.58977893164705,7.2069311995751795,1
647403.780430843,4185740.01832383,1521834844.91216,12.0559659716345,10.321692662728902,2
647399.90874268,4185743.07588844,1521834865.00284,10.1023080012324,6.8357446237518396,1
647399.070480598,4185743.76677912,1521834870.02244,8.855279427544,3.78358841514364,2
647398.3758228039,4185747.50370407,1521834880.06269,4.0517655008499105,5.10030728267487,3
647397.718783297,4185749.28407721,1521834885.0852802,2.87294926892357,2.5403285788240297,3
647396.214368289,4185751.32685769,1521834890.1082401,5.374877926200861,4.703325699078309,1
647394.713156963,4185753.36722971,1521834895.13088,4.99354151604053,2.03788900129766,3
647393.2195159671,4185755.1886865,1521834900.1536698,0.705978456946422,1.32713537020303,5
647391.762143297,4185757.48439073,1521834905.1747901,0.6068451477438149,4.385632738327501,3
647390.0227949839,4185760.02074101,1521834910.1956,4.30867205686087,1.77998363598469,2
647388.353364506,4185762.83854022,1521834915.21906,2.3433908212711403,3.88578735340959,3
