x,y,tnum,x_sd,y_sd,num_rx
647365.1780760239,4185714.1999742,1521450819.80394,7.00869164557558,1.7141037021565,2
647365.202410071,4185714.25392981,1521450829.89958,5.97210775793018,2.97355846503727,2
647365.226483693,4185714.30766652,1521450839.9900901,4.618706039102849,0.568069695848938,3
647365.282880977,4185714.84276266,1521450845.03561,3.8471479037587297,2.00284649858825,1
647365.3393140071,4185715.37816265,1521450850.08398,2.78618697436318,0.311760025096932,2
647365.38699879,4185715.80256925,1521450855.13049,0.522911887194543,0.212549221573172,4
647363.1499763529,4185716.8488533995,1521450860.17843,0.55821646993441,0.18756908145315,3
647359.048800458,4185719.07765691,1521450870.27941,3.4379811894773398,2.41574318112171,1
647356.998315867,4185720.19200206,1521450875.32965,3.83615020827102,1.23340758870603,2
647354.95334738,4185721.29059954,1521450880.37847,3.9532299620552798,1.7123786229554099,2
647353.023089025,4185722.12360402,1521450885.4279199,4.0840038971506605,2.8818913407017304,1
647351.092858152,4185722.95659654,1521450890.47731,3.9603337072901703,3.2256304315901603,1
647349.163282805,4185723.78930662,1521450895.52498,3.5541581892834997,3.03706359040283,1
647347.232953275,4185724.62234465,1521450900.57461,2.7447611628089303,2.18384910722955,2
647342.992707471,4185726.7667284,1521450910.67022,1.2312731451649899,1.98021224678359,3
647340.997223709,4185727.80442069,1521450915.71817,0.18831167560434603,0.129437529431325,3
647338.494581864,4185729.97482554,1521450925.81745,2.16311893350487,2.26405506110074,2
647335.37618796,4185732.73327336,1521450935.91855,3.46308056814389,0.731972155281855,2
647333.711500481,4185734.61843308,1521450940.96871,3.24783960744082,2.53231713208756,1
647332.046012705,4185736.50449442,1521450946.02129,2.4669511656634797,2.7561510596104997,2
647330.802057166,4185738.01319392,1521450951.0710402,2.39595481395626,2.72048818457664,2
647327.663990537,4185741.60323601,1521450961.17149,2.30962240070825,2.90387800789467,2
647325.596869446,4185742.56350658,1521450966.22096,0.5556395351100971,3.59246974759289,2
647320.804522658,4185746.92810028,1521450986.4179099,3.0366392111732203,3.9341587686889303,2
647319.351895878,4185748.2155894,1521450991.4653301,3.8130739573512,4.36999366318179,1
647314.993056464,4185752.07890769,1521451006.6108902,4.9316394457435795,4.80310628818281,1
647313.538439124,4185753.36816541,1521451011.66525,5.05128584925701,4.70021386575427,1
647309.181575001,4185757.22972688,1521451026.80392,4.78536070553682,3.50269443417628,1
647307.729693125,4185758.51655265,1521451031.84873,4.468212183615719,2.5882946348949303,2
647306.117659508,4185759.52820076,1521451036.89546,4.80630137980077,1.53787899177257,2
647304.407992405,4185760.21825039,1521451041.94322,4.71254156933222,1.3944961994123402,2
647302.686121944,4185760.86620659,1521451046.9914901,4.51775485376283,2.72684832017961,1
647300.964040391,4185761.51424261,1521451052.04039,4.15835459170047,3.16044728738887,1
647299.242282623,4185762.16215606,1521451057.08833,3.58532120894173,3.0987672208448305,1
647295.797005498,4185763.45865084,1521451067.1894,0.11667823495886599,0.0964948074271496,4
647294.63845369,4185763.9593938,1521451072.24084,0.282515774567582,0.193524320507415,4
647293.533321748,4185765.35117494,1521451077.2908301,2.51379617382016,2.43948523616784,1
647292.42800013,4185766.74319625,1521451082.34168,3.1047474214597304,2.87674782034024,1
647291.322818746,4185768.13504021,1521451087.3919,3.16863100413373,2.64765681889791,2
647290.194707043,4185769.49960483,1521451092.44246,3.56693915869587,3.53998212877533,1
647287.938289895,4185772.22896909,1521451102.54444,2.8205347920503803,3.90061132999593,2
647286.4815033961,4185773.35843177,1521451107.5968301,3.07931341014473,4.32434307177602,1
647283.569812832,4185775.61589277,1521451117.6951,1.00845328569867,4.5130596726293,2
647280.764087722,4185777.89500726,1521451127.79315,3.1523446973283,3.84226344083136,1
647279.361389549,4185779.03443068,1521451132.8415802,3.11577758909554,3.11009407777913,1
647277.958365698,4185780.17411759,1521451137.89118,2.52046109740699,1.74564370783382,2
647276.2697094771,4185780.90098709,1521451142.93948,2.89302748366571,0.842836781035995,2
647274.834756108,4185780.75171597,1521451147.98793,3.355974248072,0.71454968298801,2
647269.909532918,4185783.25191459,1521451163.1345599,2.44683770161079,2.2231475131602,2
647268.811913401,4185784.67323499,1521451168.1833699,1.5735079075087401,1.19545610129802,3
647267.76580892,4185786.13938582,1521451173.23024,0.132162062698733,0.128371831596257,3
647266.662365501,4185786.55249488,1521451178.2753,2.48934092802122,2.48943065585975,1
647262.245830807,4185788.20597277,1521451198.4681,0.112179336810414,0.13694882651915,3
647258.808901021,4185791.7364342995,1521451218.6635,2.65413624255973,3.08025152631952,1
647257.94953759,4185792.61918481,1521451223.71313,1.1531683376189898,2.2691376807165695,2
647257.192267652,4185793.45050619,1521451228.76545,0.11716829911484199,0.0970073215243852,5
647256.017112209,4185794.20438567,1521451233.8177302,0.09093120177309301,0.14228480695198,7
647254.959543554,4185795.55587086,1521451238.87006,0.32829585096659003,0.685262874707959,3
647248.986137364,4185799.5271559996,1521451264.11858,4.75236406414208,4.76514215655128,1
647247.791463045,4185800.32140842,1521451269.16825,4.8191458456087695,4.82741929026963,1
647246.596649684,4185801.11575366,1521451274.21852,4.74830176810123,4.75487580604899,1
647245.4021693771,4185801.90987791,1521451279.26738,4.53813779039306,4.54216251965197,1
647244.2073458979,4185802.70423063,1521451284.3176901,4.1661944581294605,4.1683884643069105,1
647243.012847897,4185803.49836858,1521451289.3666198,3.58043290676543,3.5810476048896303,2
647241.819116519,4185804.29358229,1521451294.41596,2.6615478504364702,2.6661236005091298,1
647240.625859285,4185805.08847809,1521451299.46328,0.110721240609257,0.228058542968564,3
647239.309328194,4185806.56731956,1521451304.51419,0.12206075057672901,0.319460093004743,3
647238.037066693,4185807.79492882,1521451309.56474,0.16733839215917903,0.23895950052401996,3
647236.930748998,4185808.98701811,1521451314.61672,1.64093653278423,1.5673915296099197,2
647236.049057998,4185810.41290028,1521451319.66567,2.13273225925995,2.12098938604774,1
647235.1674943,4185811.83857741,1521451324.71388,0.154928125324986,0.216174348300465,3
647233.575724761,4185812.76886128,1521451329.76367,0.7709183315662901,2.51205819801729,2
647225.360545638,4185818.75537505,1521451360.05609,3.0135959819675397,3.29624020331226,1
647223.992652643,4185819.7539958,1521451365.10441,1.80419369550082,2.31083555884589,2
647222.64940002,4185820.77057057,1521451370.15135,1.28410107267519,0.7973186954808629,3
647219.723362085,4185824.36126851,1521451375.1963,1.4372543967182498,1.64912022823966,2
647214.331784528,4185825.94427939,1521451380.2419,0.873117765693694,0.17286689651914802,4
647213.1005430621,4185827.21302313,1521451385.28872,2.77595465274525,2.66867294626669,1
647205.7169266379,4185834.83462071,1521451415.57822,4.8243916825465,4.78518599726527,1
647204.487876752,4185836.10479598,1521451420.62635,4.63939052397066,4.58856765680501,1
647202.029178604,4185838.64576446,1521451430.72504,3.78060668661348,3.6806727193698903,2
647200.360334367,4185839.4810623,1521451435.7750099,4.06321804628958,3.72408680581424,1
647198.692010169,4185840.31609972,1521451440.8234,4.08426083774279,3.43983495595481,1
647197.023510313,4185841.1512253997,1521451445.8723302,3.84789974827742,2.7275320133137297,1
647195.3552887479,4185841.98621132,1521451450.92041,3.2994514651977496,0.831056541666622,3
647191.3391459971,4185843.1141150002,1521451455.96581,3.5481267352408703,2.2613162948114502,1
647187.321427834,4185844.24246233,1521451461.01319,3.3745261995000697,1.66884341082648,2
647183.790410158,4185846.36794253,1521451466.06041,3.13960911155154,1.57686865315436,2
647181.389430766,4185850.78502516,1521451471.10755,2.7777809231156803,2.142082599633,2
647175.3841814579,4185851.06708618,1521451476.15663,1.28585758844711,0.5160606628728029,3
647175.444623199,4185851.23839238,1521451481.20619,2.6380521127286403,1.66587476125677,2
647175.330331327,4185851.12585196,1521451486.25616,3.84190798655509,2.5890814853118997,1
647175.215964498,4185851.01324153,1521451491.30924,4.70808439821393,2.37379424344681,2
647175.061363939,4185850.74608505,1521451496.36026,5.422938262590411,2.55703516080139,2
647174.8590099129,4185850.29325852,1521451501.41042,6.069069787267241,3.5178230024002097,1
647174.454569293,4185849.38818095,1521451511.50429,7.15981751457942,4.39466121229687,1
647174.049955393,4185848.48272982,1521451521.60237,8.071386750229031,4.46585049000238,1
647173.442763412,4185847.12396613,1521451536.75601,9.21687054898855,3.00950832355677,2
647173.351120868,4185847.67374396,1521451546.85428,9.98557842400419,4.669510888458531,1
647173.213689062,4185848.49824255,1521451561.99862,11.034259706499,6.08485158487486,1
647173.1678279979,4185848.77333487,1521451567.0515301,11.3615298429219,6.40796124283525,1
647172.599987611,4185852.07553363,1521451627.64311,14.696971583669901,6.99713427340656,1
647172.554183731,4185852.35090317,1521451632.6911302,14.9385555078569,6.799883715967259,1
647172.416725526,4185853.17725134,1521451647.83958,15.6387310208236,5.9122317820644295,2
