x,y,tnum,x_sd,y_sd,num_rx
647341.602064808,4185762.00191398,1521884299.64551,7.649507615158679,10.005689058297198,2
647339.5988576,4185763.58438422,1521884304.66137,8.740994032859179,12.013448132546001,2
647336.41101154,4185766.15449166,1521884314.6947699,14.303217585248301,16.4266180057459,1
647334.817400621,4185767.43929106,1521884319.71052,16.269370030802698,18.144907374865397,1
647333.222723558,4185768.72495744,1521884324.72953,17.9496971821968,19.6586107012742,1
647331.628808005,4185770.01000542,1521884329.7462,19.416808283631,21.0103947641785,1
647328.44146073,4185772.57970889,1521884339.77809,21.878951903601305,23.3391220678969,1
647326.846629353,4185773.86549856,1521884344.79756,22.934247571641002,24.3535751642484,1
647325.253745605,4185775.14961963,1521884349.81065,23.8711573281918,25.280943578738103,1
647323.658675144,4185776.43551059,1521884354.8304,24.7375533677358,26.1355718959798,1
647318.876830878,4185780.29029014,1521884369.87865,26.853740028148398,28.308416811409803,1
647314.092640618,4185784.14709237,1521884384.93455,28.399241886603303,29.995636789931396,1
647312.4999226971,4185785.43095614,1521884389.94666,28.7941953976861,30.4661465752848,1
647309.308739866,4185788.00320755,1521884399.98826,29.4563359483606,31.2755398432897,1
647304.522475475,4185791.86117284,1521884415.04911,30.100128216539602,32.195567866848805,1
647301.330228541,4185794.43435606,1521884425.09416,30.3044285318204,32.6360539645018,1
647298.1403157461,4185797.00566706,1521884435.13162,30.327625463619498,32.927490232474,1
647291.763972122,4185802.14556192,1521884455.19536,29.8492900339351,33.1009055674656,1
647283.791206645,4185808.57223715,1521884480.28247,28.202596373786804,32.5564828131849,1
647277.411336432,4185813.71482714,1521884500.3573,25.9191176225785,31.4880449655315,1
647269.438493425,4185820.14146167,1521884525.44435,21.3724784245748,29.244708103228998,2
647252.678850125,4185827.60754697,1521884565.60026,25.978738735316,29.824072011254696,1
647250.589788967,4185828.54915313,1521884570.61737,26.129362841855897,29.654034325314804,1
647246.4112863521,4185830.43252469,1521884580.6524801,26.217213024796802,29.1649434635591,1
647244.322077608,4185831.37419224,1521884585.66994,26.1545900240614,28.8433848577445,1
647223.045066492,4185840.85571384,1521884636.32218,21.025206186517103,22.5378388698047,1
647220.926080045,4185841.80347141,1521884641.40802,19.9148669031333,21.410175676587,1
647218.805993053,4185842.75173745,1521884646.49645,18.6394197555122,20.1473582821347,1
647216.687909118,4185843.69903301,1521884651.5799901,17.145924211391,18.7217291220289,1
647214.568718932,4185844.646839,1521884656.6661198,15.3907923682619,17.093366960296198,1
647210.330113897,4185846.5425461,1521884666.8389099,10.5376722944963,12.899976673798802,1
647208.212030287,4185847.48982621,1521884671.92242,6.50796320293776,9.957890010800892,2
647206.275914443,4185848.55631442,1521884677.00703,6.87531388466719,7.84187339890674,1
647204.339013333,4185849.62320782,1521884682.09363,1.2366830075633402,1.02724636275973,3
647204.191652897,4185849.30572332,1521884702.4469302,16.6706713084934,14.505462845032802,1
647203.887284612,4185848.85606007,1521884732.97965,25.5567621457768,15.4231927302773,1
647203.850553506,4185848.77685997,1521884738.06472,26.664264032006102,14.4516425519029,1
647203.776922064,4185848.61841756,1521884748.24653,28.684318257856198,11.046925870018999,2
