x,y,tnum,x_sd,y_sd,num_rx
647415.060403603,4185724.74616484,1521369776.26603,9.473790418630848,10.3849025127461,2
647415.00132707,4185724.68895003,1521369781.30442,9.49725894651206,10.3634194038549,1
647414.765252996,4185724.46033109,1521369801.43766,9.55868634977607,10.2524403194093,1
647413.371390573,4185723.09371379,1521369922.26866,8.83099657801404,8.62416660716591,1
647413.021832843,4185722.75420571,1521369952.47494,8.3164363597605,7.881386141765519,1
647412.4406081811,4185722.18785926,1521370002.82328,7.042105679042809,6.13291292337925,2
647412.264010465,4185722.01745001,1521370017.9358401,6.52147914850996,5.40944967183501,1
647412.02873684,4185721.79043414,1521370038.06901,5.6807401285934604,4.1745777832610695,1
647411.969866085,4185721.73362768,1521370043.107,5.43615555301939,3.78659594870965,2
647413.941897405,4185724.61730264,1521370048.14291,4.85998734957487,4.28761000439734,2
647413.1365070461,4185725.9608004,1521370063.24531,4.810948285586701,4.407565013435019,1
647411.794320944,4185728.19974268,1521370088.4135,3.9850239206526203,3.6459653076636203,1
647411.52577386,4185728.64771537,1521370093.44921,3.66813363569629,3.29913645733823,4
647411.616597512,4185729.70137862,1521370098.48478,3.51761358740737,3.1206863228125,4
647412.265744757,4185732.50581547,1521370108.5539598,3.00736358821967,2.9244143152021005,3
647409.340258837,4185736.07083887,1521370123.65799,3.8118660571020495,2.19676831252128,2
647406.524609587,4185739.83282523,1521370138.77001,4.24055166300556,2.84700204336291,1
647405.585835704,4185741.08712057,1521370143.80856,4.31142098030887,2.8155855659984304,1
647404.646612107,4185742.34201762,1521370148.84953,4.3498067806889305,2.66713838930341,1
647403.707426733,4185743.59686361,1521370153.89029,4.35698601623981,2.3796122222067404,1
647401.830973914,4185746.10398763,1521370163.9614902,4.276328812736891,0.926615250574522,2
647400.077463185,4185749.18090496,1521370174.02993,3.9677961111062,2.3320071035161,1
647399.201148092,4185750.71859111,1521370179.06161,3.7511291404287403,2.5600958008954002,1
647397.447550858,4185753.79566021,1521370189.1305401,3.1495687227696,2.5369710026899304,1
647396.57049509,4185755.33464762,1521370194.16648,2.72836895936567,2.28224382889011,3
647394.2668109561,4185758.24997865,1521370204.2348301,2.93354086742033,2.8140824828030597,1
647393.115271069,4185759.70726286,1521370209.2676802,2.9128477587439,2.92948449467483,1
647391.963070293,4185761.16538265,1521370214.3034198,2.8105741497636902,2.96460516400264,1
647390.81145143,4185762.62276417,1521370219.33661,2.6145506677115495,2.92041732561256,1
647387.3536937779,4185766.99857873,1521370234.4488199,0.9148264600300351,2.23331950063277,2
647384.095428688,4185770.30370276,1521370244.52164,0.866229281577355,1.1114867493143301,3
647383.794413091,4185772.06915877,1521370249.55853,1.28102069839004,0.269648522757623,2
647383.513095384,4185773.99931507,1521370254.5948,0.48915570559388305,1.15369096160746,2
647383.99169239,4185775.61339883,1521370259.62881,1.00111829098837,0.348102470226396,3
647383.47340202,4185777.6076428,1521370264.66438,1.24196912567702,1.13961075462822,2
647382.350913314,4185778.90287874,1521370269.69914,0.35218721119631397,0.12058407365989099,4
647379.944298761,4185780.22613021,1521370274.73473,0.27844148640364697,0.0965230824958255,6
647377.306168719,4185781.65267475,1521370279.7703,0.112018337025536,0.10904960709373598,7
647375.896707955,4185782.30123123,1521370284.80616,1.63675027714867,1.5254655204748702,1
647371.66775649,4185784.24716337,1521370299.9157698,2.63135437512179,1.16202054629104,2
