x,y,tnum,x_sd,y_sd,num_rx
647340.191295165,4185765.18552982,1521809352.34008,11.9381199153351,10.9690127068048,2
647340.23087582,4185765.21437584,1521809362.29831,11.7004503023174,10.9186845732686,1
647340.2706141879,4185765.24340671,1521809372.3169801,11.436598321298302,10.8376304664711,1
647340.2904777371,4185765.2579155997,1521809377.32422,11.29491061148,10.785458344482,1
647340.330197474,4185765.28692481,1521809387.3359401,10.990728503708501,10.6572656329819,2
647340.389921951,4185765.33061102,1521809402.40957,10.475507886777699,10.4018863022628,1
647340.449347716,4185765.37415825,1521809417.42634,9.88437040915761,10.067710243802301,1
647340.468931981,4185765.3885452994,1521809422.38964,9.669566968502341,9.9384320778357,1
647340.50845828,4185765.4177448,1521809432.45468,9.19997888859977,9.64533413338238,1
647340.5477451311,4185765.44683328,1521809442.47373,8.68140236362912,9.309063588257539,1
647340.59209463,4185765.47760082,1521809453.5893302,8.03433004474094,8.877904023954072,1
647340.747395554,4185765.58537601,1521809492.51549,4.71967703245405,6.70582467726469,2
647340.161334613,4185766.05355247,1521809502.52772,5.40506962366369,6.98333404859317,1
647339.282310559,4185766.7557607004,1521809517.5448802,5.978893541153541,7.1869877156880495,1
647338.9915466789,4185766.98801436,1521809522.5114,6.07305955547161,7.20139688530441,1
647338.403366931,4185767.45795579,1521809532.55744,6.13406601822211,7.152476242641491,1
647337.8183928729,4185767.92529501,1521809542.5492802,6.025141728262839,6.997326896998549,2
647337.523744229,4185768.16066041,1521809547.58129,5.904056509188269,6.876631871311541,1
647337.229723305,4185768.39551718,1521809552.60269,5.73581661582223,6.72658836472321,1
647336.93864517,4185768.62803273,1521809557.573,5.517291161892639,6.54554434874923,2
647336.643085975,4185768.86420686,1521809562.61934,5.237542955495099,6.327525031516481,1
647336.056379945,4185769.33302831,1521809572.6352901,4.46051787879634,5.772976853144031,2
647334.502989931,4185769.51927329,1521809587.65475,5.31931290285723,6.02117737807719,1
647333.985311566,4185769.58134157,1521809592.66007,5.418849913867019,5.98491801120133,1
647333.469188476,4185769.64323511,1521809597.65021,5.436985223277611,5.889153566969219,1
647332.9516838089,4185769.70530646,1521809602.6536,5.376203962632969,5.73057091563566,1
647332.433851218,4185769.76741993,1521809607.66012,5.2326842017784,5.50365058814978,1
647331.91558869,4185769.82958853,1521809612.67076,4.99908823956355,5.199257528935759,1
