x,y,tnum,x_sd,y_sd,num_rx
647383.340312299,4185728.02323041,1522018554.6975,12.047014665648902,10.0873558335164,2
647383.700118975,4185728.4496024004,1522018559.75475,11.957224773572099,10.1675101259525,1
647384.059632691,4185728.87563042,1522018564.80784,11.856446515856,10.229544675761199,1
647384.419286788,4185729.30182341,1522018569.86288,11.7443644998229,10.2740943671916,1
647385.857533059,4185731.00616035,1522018590.0779,11.1759548567569,10.279667285996,1
647387.296732083,4185732.71161753,1522018610.30609,10.3896864442415,10.006513893564,1
647388.734904054,4185734.41587093,1522018630.51975,9.331494250463368,9.42980088636734,1
647389.454139232,4185735.26817234,1522018640.62869,8.6700556696681,9.010638977222289,1
647391.251621009,4185737.39821638,1522018665.8924801,6.412953250846489,7.4620863884412,1
647391.610510099,4185737.82351539,1522018670.9366698,5.796222925593099,7.03735720774703,1
647391.970064258,4185738.24959751,1522018675.9900599,5.0801417514252005,6.558089582231281,1
647392.3302565389,4185738.67643104,1522018681.05226,4.2140240329090695,6.01086781541269,3
647392.774511009,4185739.16192349,1522018686.1068301,4.4371683576274,5.75998272716457,1
647393.218606184,4185739.64724419,1522018691.15958,4.487178474550491,5.430529629117429,1
647394.550524716,4185741.10281075,1522018706.31365,3.5465101550038303,3.7450876379522504,1
647395.439270562,4185742.07405932,1522018716.42535,0.34024937825675206,0.18959030689221698,3
647393.345975082,4185746.4314302,1522018726.53822,2.9492348581686096,1.5496850946943102,2
647392.262398863,4185748.53874983,1522018731.59342,3.15268874282839,1.84340681449745,2
647390.960474082,4185750.27320163,1522018736.64959,3.38772871730851,2.9094212402365898,1
647389.658089804,4185752.00826882,1522018741.70754,3.2167595049848106,3.27420120847709,1
647388.355964657,4185753.74299319,1522018746.7645,2.5626092538011296,3.1876717470454103,1
647387.053327389,4185755.47839495,1522018751.82343,0.35715138170101,2.60530631161439,2
647386.002176836,4185757.24620761,1522018756.88034,2.2215508835738196,1.10508632153864,3
647383.159112275,4185759.6854335,1522018766.99327,3.5482793176849,2.92179062693996,1
647381.737263534,4185760.90531938,1522018772.05087,3.60161373469983,2.63966753739461,2
647380.301638254,4185762.93332269,1522018777.10861,3.3218903365266206,3.17630065009297,1
647377.430363416,4185766.98936378,1522018787.22417,0.529475360324051,2.76497200063733,2
647376.2166964479,4185768.97578341,1522018792.28355,2.40792925005795,1.31785002293235,2
647374.919091311,4185771.41376566,1522018797.34411,2.3310437023031403,1.89726027564449,2
647373.92712741,4185773.47478562,1522018802.40044,2.0867006577754297,2.27323664719962,2
647372.907244827,4185775.56205782,1522018807.4599302,2.2185564775551,2.64956522412067,1
647371.887365384,4185777.64932362,1522018812.51941,0.727793336236474,2.2593717455597995,2
647370.3393208539,4185779.57165672,1522018817.57909,0.850952166723696,0.898531748679886,3
647369.563742712,4185781.66557914,1522018822.63715,2.34089056406253,2.3484395343697204,1
647368.012561588,4185785.85349172,1522018832.75345,0.133731847993402,0.137233318018314,3
647365.690431164,4185789.61824139,1522018842.8773699,1.86244509714984,1.9551818067650901,2
647365.206009106,4185790.85507843,1522018847.93671,0.21899286903985102,3.1796794586926205,2
647362.405138529,4185791.97105879,1522018852.9936,2.6309720875166,3.95365925489608,1
647359.602600049,4185793.08770211,1522018858.0535,3.47193397296748,4.473262160640781,1
647353.99875278,4185795.3205001,1522018868.1710901,4.13298164525223,5.03405087533371,1
647351.196979153,4185796.43683951,1522018873.22961,4.12047605935859,5.1279086916826,1
647345.591728218,4185798.67019492,1522018883.34973,3.39631450371508,4.9778329290408205,1
647342.788549786,4185799.78709185,1522018888.41079,2.48903149378291,4.7229729328542,2
647342.540304807,4185804.7487505,1522018898.5339,3.6849206854058303,3.7575918242883097,1
647342.416157641,4185807.23008375,1522018903.5964901,3.5051439331079304,2.67382271130187,2
647341.173931874,4185808.23249126,1522018908.65643,3.3254100772903503,3.25312377034146,1
647339.931525144,4185809.23504419,1522018913.71711,2.40407459780568,3.0573151341615294,2
647338.5735901371,4185810.1469912995,1522018918.77721,2.8358318626226002,2.7382030440889102,1
647337.216041942,4185811.05868114,1522018923.83587,2.35635603439375,1.25092805551049,2
647336.1217264329,4185812.46991292,1522018928.89724,0.928381235632704,1.71689625121775,2
647334.717341666,4185814.04781446,1522018933.95906,0.12806167220797302,0.23207630085174802,4
647333.18545825,4185815.06214564,1522018939.01769,2.64916529935259,2.06020443224778,1
647331.653525106,4185816.07650985,1522018944.07649,3.5394631317263596,1.22561777962912,2
647330.085591997,4185817.99001776,1522018949.13265,4.07457426235103,2.57242431179401,1
647328.51770579,4185819.90346821,1522018954.18866,4.38262630412472,2.85397539352328,1
647326.949391645,4185821.81744235,1522018959.24605,4.5124909440146395,2.46903719540228,1
647325.381346942,4185823.73108679,1522018964.30258,4.479985476582259,0.68454133973711,3
647324.104326674,4185824.99634818,1522018969.35651,4.64737787323999,0.6224517708367769,2
647322.82010278,4185826.4271779,1522018974.41279,4.69791021909051,2.55304956720588,1
647317.682684326,4185832.15108249,1522018994.63996,3.2301783195985,1.57582327209304,2
647315.451269945,4185835.70654027,1522019004.75165,0.763142057551826,0.263582311371435,4
647314.463990884,4185836.5766048995,1522019009.8074,2.22470738675179,0.47908722172556495,2
647313.357299609,4185838.01163416,1522019014.86301,2.3585342458280096,0.9396728231349191,3
647311.661994355,4185839.28752622,1522019019.91985,3.21523080657885,1.19348347082934,2
647309.838832033,4185840.20828863,1522019024.97495,3.8633226275232704,2.41299438004429,1
647308.015187207,4185841.12929683,1522019030.03139,4.24084170305017,2.31494258563289,1
647306.192685966,4185842.04972243,1522019035.08464,4.415895461906651,0.185434951370668,2
647304.369973532,4185842.97749058,1522019040.13913,4.38857097846027,2.18499164155038,1
647302.547289614,4185843.90524409,1522019045.19353,4.1754309131625895,1.80692557278887,2
647300.936102746,4185845.32419267,1522019050.2494,4.2886140830780795,2.86564305373666,1
647294.48954151,4185851.00158049,1522019070.47859,2.54333257429039,0.660992254029983,2
647292.904018509,4185852.31050549,1522019075.5390198,0.213731107721852,0.105727369064984,3
647291.515909501,4185854.19569947,1522019080.5970302,1.70618550727318,1.54813282929194,2
647290.2693848179,4185855.92477787,1522019085.6538599,2.69241227190407,2.2403796238424705,1
647289.023138705,4185857.65346803,1522019090.70956,3.00658031337322,1.74344247713328,2
647287.662298066,4185859.18299291,1522019095.7639198,3.51667850732046,3.07988253160981,1
647286.300782425,4185860.71328017,1522019100.8208,3.64684116358416,3.77164711694081,1
647284.938784522,4185862.24410623,1522019105.8794599,3.43882728374092,4.15115714108639,1
647282.215210146,4185865.3052879,1522019115.99522,1.29216089850252,4.25015852918418,2
647280.9980151079,4185866.88016997,1522019121.0541801,2.4691204671175497,4.28678770190779,1
647279.78122998,4185868.45452541,1522019126.11145,2.9023944142777096,4.20376178669909,1
647278.564632797,4185870.02863589,1522019131.1679401,2.9397193508578394,3.99620741056005,2
647275.090220154,4185874.6224167,1522019146.34076,5.0782774248267,5.32185235217691,1
647270.459708966,4185880.74474156,1522019166.5622401,6.14217945329005,5.6182248041210405,1
647263.517107948,4185889.93887867,1522019196.91703,5.676253358860589,2.83794166496894,1
647262.35945211,4185891.46983605,1522019201.9762402,5.34503782480118,0.9083075744573771,2
647261.217273892,4185892.90915348,1522019207.0353599,4.94898519871722,2.59207263781777,1
647260.074613019,4185894.34907917,1522019212.0966198,4.42739631845221,3.09611138326752,1
647258.932214403,4185895.78867435,1522019217.15672,3.72834321568812,3.0697662611210097,1
647257.78989048,4185897.22817541,1522019222.21649,2.7180858751356602,2.4965651513042797,1
647256.648146451,4185898.66694566,1522019227.27367,0.26031791657642606,0.134371385963594,3
647256.966383074,4185900.24879163,1522019232.33162,0.35540723197521595,0.127709579063959,3
647255.9311544971,4185901.51488646,1522019237.38853,0.26262452603701103,0.105275678555708,3
647254.617057248,4185903.89134998,1522019242.44311,0.708309439059539,2.31945236468136,2
647253.944336187,4185906.45415898,1522019247.4969401,0.747887324766794,2.69017443177791,2
647252.718688825,4185911.61659973,1522019257.6132,0.158809377420701,0.10981388142400099,4
647252.012070314,4185914.68026575,1522019262.6733801,2.20277009546609,2.0582300445053203,1
647251.305457313,4185917.74390808,1522019267.73352,1.97518382870231,1.2004693499346102,2
647250.763925195,4185921.07892743,1522019272.79194,0.602819571386619,1.882373018646,2
647249.715267007,4185924.57467525,1522019277.85083,0.127252832859235,0.17284525055601802,3
647247.898034282,4185926.46360113,1522019282.90944,1.16650790743558,2.30913272240719,2
647246.060062646,4185928.36311972,1522019287.9688,1.4809877310241397,2.99861075748381,2
647244.85567515,4185929.95021714,1522019293.0278199,1.56798444529526,3.2998668157706295,2
647243.81044697,4185931.46157642,1522019298.08569,1.488839305121,3.32982106231563,2
647243.534060381,4185932.62968559,1522019303.14298,1.3115807800689299,3.0677753052193304,2
647243.505819732,4185933.69226943,1522019308.2018,2.0776718865636,2.51448639003269,1
647243.477578935,4185934.75486078,1522019313.26065,0.194696341502353,0.408109901480492,3
647242.8477839379,4185935.58082571,1522019318.3178198,0.8300977709796609,2.2892145063890696,2
647243.2729941179,4185936.02682497,1522019323.3763099,0.961236025436866,2.64007667254517,2
647244.00396613,4185936.36193146,1522019328.434,0.8694670728677991,2.3022850880752403,2
647244.1109651179,4185936.93154494,1522019333.49371,0.24111051459185298,0.5294453076889161,3
647244.764580745,4185938.68044728,1522019338.54986,2.1383749532107,2.2285543096421803,1
647245.418082185,4185940.42904113,1522019343.6051302,1.623533361356,1.8941704002212,3
647244.448281395,4185941.71119394,1522019348.66138,0.8646040906316022,2.88786480699724,2
647246.1412271521,4185942.20451072,1522019353.71838,1.05721195117819,3.0548307632512794,2
647249.44749433,4185942.14334787,1522019358.77401,2.15765982266884,2.45868952144112,2
647250.766899384,4185943.83715405,1522019363.82918,1.34971949041085,2.8774340248422003,2
647251.511007539,4185945.79774469,1522019368.88422,1.15790143632118,2.4629027449745498,2
647251.445723329,4185948.13620318,1522019373.93909,0.48619018089656396,1.3068293681340801,3
647253.240181477,4185949.25792444,1522019378.99542,2.51678967220024,2.69593158239702,1
647255.034481745,4185950.379547,1522019384.05131,3.06071987410303,3.1503952253003997,1
647256.828235427,4185951.50082791,1522019389.10566,3.0559525779924903,3.1112324775159,1
647258.621939252,4185952.62207766,1522019394.15987,2.50013589375471,2.55594416816168,1
647260.415590354,4185953.74329423,1522019399.2139401,0.31070421081611893,0.697997604384653,4
647261.172416667,4185953.07056904,1522019404.26967,2.66244248665013,2.7598775855687405,1
647264.200568081,4185950.3789266,1522019424.49824,4.48899197088497,5.00010988559511,1
647264.957484089,4185949.7061228994,1522019429.55457,4.43699240339225,5.153682316061519,2
647265.057527026,4185949.59879461,1522019434.61311,5.035492169601111,5.69008777491016,1
647265.157588386,4185949.49144833,1522019439.67252,5.16381635531049,5.90401163582586,2
647265.692261943,4185949.00419937,1522019444.73122,5.585007495377161,6.15123751477309,2
647265.776112302,4185948.9263618994,1522019449.78599,6.19759659627731,6.686883607704519,1
647265.8600236439,4185948.84847399,1522019454.84416,6.65342314769328,7.09827642131607,1
647265.943917129,4185948.77060077,1522019459.90127,6.98278233441343,7.40573342203869,1
647266.027802651,4185948.69273413,1522019464.95795,7.203155482842691,7.62193625482281,1
647266.111738162,4185948.61482613,1522019470.0174,7.324446938183041,7.75459363446842,1
647266.1956935889,4185948.53690164,1522019475.07797,7.35141568355965,7.80783204712473,2
647266.013733608,4185948.70937352,1522019480.1398401,7.5449608972857,8.11857655980381,2
647265.82858476,4185948.88481067,1522019485.20261,7.85880140051302,8.53087391829872,1
647265.643481372,4185949.06020236,1522019490.26408,7.8976910924377695,8.7285875289193,2
