x,y,tnum,x_sd,y_sd,num_rx
647407.740442948,4185705.68806264,1521432781.31329,7.107099896987769,6.03772017860117,2
647406.939967136,4185704.74006734,1521432791.34309,7.086456098091661,6.0194747320997095,1
647404.141593945,4185701.42152604,1521432826.43312,6.76584473336596,5.544854212461639,1
647402.540841761,4185699.52542427,1521432846.48525,6.39194186321633,4.93015123651271,1
647402.140710976,4185699.05146794,1521432851.49756,6.273481608772089,4.72455007861108,1
647400.539288686,4185697.15457583,1521432871.5582302,5.68044709733886,3.5886594263297997,1
647400.138947882,4185696.68038156,1521432876.57343,5.49764708354305,3.1847315781839596,2
647399.618395831,4185696.22844346,1521432886.60198,5.13570407299196,3.55229087477215,1
647399.097671313,4185695.77637576,1521432896.63451,4.66405614277737,3.58158577500229,2
647399.4878710171,4185696.20747415,1521432906.66672,4.15773972013886,3.30137431181956,2
647398.086815521,4185694.21381993,1521432936.7616801,3.0770893279069305,2.6940782471191698,1
647397.619013316,4185693.54986209,1521432946.79619,2.2380642964713098,1.7514282246648798,2
647398.138806296,4185694.32638041,1521432951.81667,1.1741480294381799,2.4511675132189503,2
647395.284811678,4185694.27694392,1521432961.85155,2.11418767824231,2.7248337966045804,1
647392.431022113,4185694.22752337,1521432971.8856301,2.0163195067466297,2.5737329524417003,2
647392.0068135239,4185694.97468681,1521432976.90204,2.09310073445906,2.68604091325829,1
647391.58268417,4185695.72174179,1521432981.91764,1.9009489631090801,2.67396053961783,1
647391.158451857,4185696.46896822,1521432986.93438,1.3277134572681,2.53581068479412,2
647390.2041088371,4185696.95057823,1521432991.95246,2.0793716138817797,2.07153682116585,2
647389.084594831,4185697.23061599,1521432996.9716,2.44759738126991,1.73642917779955,2
647388.363035285,4185698.30396961,1521433001.98992,2.47590316048346,2.00657309238574,2
647383.407456681,4185700.06823577,1521433022.0589302,2.84661824190588,2.50612302950276,1
647382.1685660561,4185700.50930395,1521433027.07615,2.741033047304,2.33503720773168,1
647380.929148942,4185700.95057014,1521433032.09553,2.5474407164517703,2.01660529000239,1
647379.6896520329,4185701.39191126,1521433037.1153,2.2431757322979102,1.45726479846239,3
647378.705906658,4185702.37863948,1521433042.1351,1.67414895618193,1.7074340351746002,3
647377.848770593,4185703.16303554,1521433047.15606,1.72655263035489,1.3563684925523,3
647377.209977089,4185703.57502854,1521433052.1733198,2.03687823652536,1.2438043583520901,2
647376.633720034,4185704.12428757,1521433057.1900198,2.07327647504846,1.55579936761632,1
647376.057363042,4185704.67372703,1521433062.20785,1.86160121909978,1.20435450224992,2
647374.792715855,4185705.57616989,1521433072.24326,0.397969235915484,2.20719916389277,2
647373.7671065311,4185706.00265589,1521433077.2560802,1.5315165626909,2.37171743675763,1
647372.740908512,4185706.42937963,1521433082.27168,1.9642648791857902,2.4099096900533996,1
647371.714347107,4185706.85625438,1521433087.28903,2.1669108668534602,2.32774892944061,1
647369.661242564,4185707.71000737,1521433097.3236198,2.0835118268502804,1.7099307104980201,1
647368.634521581,4185708.13698959,1521433102.34175,1.77457688982105,0.904531379650715,2
647367.627442344,4185708.61668325,1521433107.35985,1.18017423535504,0.823906847497077,4
647366.727255651,4185709.5053173997,1521433112.37783,1.5961619663220001,1.28185864565775,1
647365.827680398,4185710.39337598,1521433117.39229,1.53285107625283,0.648423606478699,2
647364.843078244,4185710.98562531,1521433122.40657,0.9692805008073101,0.561738526410589,5
647364.373671578,4185711.14653056,1521433127.4247801,1.72503186347693,1.50768745556943,1
647363.904419205,4185711.30740506,1521433132.44137,2.10014574405017,1.80347915782559,1
647363.435411745,4185711.46820111,1521433137.45532,2.2900752618110096,1.80415188671294,2
647362.9848547521,4185711.64575211,1521433142.47178,2.33333589202695,1.50639498406956,1
647362.534115197,4185711.82339792,1521433147.49029,2.24531696084443,0.555058004128666,3
647361.74079897,4185712.96938886,1521433157.52438,1.70593216228739,0.446417890150439,3
647360.623753297,4185713.40486598,1521433162.53865,1.98969656772966,0.310121306740433,3
647359.504595013,4185714.1658062004,1521433167.5544,2.08668633774085,0.220649859429701,4
647358.3503360071,4185714.18160746,1521433172.56911,1.96442231704669,1.1519283812124699,1
647357.195837801,4185714.19743293,1521433177.58482,1.61672218805614,0.392303254379704,2
647356.286553993,4185715.31590752,1521433182.60016,1.1278179625838,0.236012249584772,3
647354.242467612,4185715.64024072,1521433187.6209,1.2784777709159598,0.52587917929874,3
647352.316604689,4185715.49245036,1521433192.63945,1.04361680569755,1.09374701565955,2
647351.4762738029,4185715.99910895,1521433197.65769,1.32765058180502,0.40683692426590295,2
647350.585118824,4185716.32753524,1521433202.6776302,1.13428350280564,0.8839502308946751,2
647349.71071369,4185716.63441085,1521433207.69789,1.2911975209997402,1.2275356094571102,1
647348.836613311,4185716.94119015,1521433212.71631,0.40541185286167897,0.290428750476731,3
647347.37251271,4185717.65546144,1521433217.73123,0.31677763287258004,0.22847766432565197,3
647346.6620458721,4185718.19501386,1521433222.74732,0.32757120534031803,0.28080748427008895,5
647346.93887804,4185719.32694772,1521433227.7629,1.0179207812792601,0.9606619898926508,3
647345.8962890271,4185719.0473137,1521433232.78046,1.01632001566315,0.696402149857335,2
647345.028952349,4185718.50884678,1521433237.79876,0.29161421064744397,0.22871667340290397,4
647344.5089482621,4185719.0835088,1521433242.81464,0.968945666470139,1.05919871258631,3
647343.529848412,4185719.91223579,1521433247.82764,1.2987158925561397,1.4461866158504297,2
