x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647385.3796805689,4185751.63509513,1521463828.50714,4.10267865630443,15.3012114878634,2,647379.6481034355,4185750.0723943748,1521463858.112505,2018-03-19 12:50:58.112505,-0.0019170431917839015,-0.2704992702381153,0.3008517070614942,-0.001865646009209368,-0.2594758471584397,0.28689675189696684,-0.0009716583479417729,-0.23694074446787403,0.2596605514758364,-2.474028018568349,-5.56029901120026
647373.916526302,4185748.50969362,1521463887.71787,13.046991824643,15.1433748132016,1,647373.3434327205,4185748.353442125,1521463890.6780753,2018-03-19 12:51:30.678075,-0.001734514298723927,-0.27743988883137805,0.30780805122932886,-0.001642154620120434,-0.265963729149334,0.2938239409669309,-0.001692617921434679,-0.23887022430258598,0.2608284789461854,-2.4740847730856155,-5.749881965810612
647372.770339139,4185748.19719063,1521463893.6382804,13.5049600648671,14.996938139809199,1,647371.8006765135,4185747.9339025347,1521463898.6337304,2018-03-19 12:51:38.633730,-0.0013713864573453721,-0.2792444329597678,0.30883323492138126,-0.0013216329098395124,-0.26770476837199797,0.2948788892328926,-0.002030065225547953,-0.24032170262308516,0.2616209896766631,-2.47410151966098,-5.772081999999999
647370.831013888,4185747.67061444,1521463903.6291802,14.203845783146699,14.691505954107402,1,647370.342927904,4185747.538079415,1521463906.1434603,2018-03-19 12:51:46.143460,-0.0010918369544121453,-0.2810420773264137,0.3092153218567022,-0.001069713167111505,-0.26948335521806044,0.2953210536258714,-0.002081379301075187,-0.24254313832064728,0.2628098080472395,-2.4741198239751934,-5.772082
647369.85484192,4185747.40554439,1521463908.65774,14.527409735255699,14.5084906917614,1,647367.4243327335,4185746.745624885,1521463921.17731,2018-03-19 12:52:01.177310,-0.001060094540656753,-0.2846364236331717,0.3099768347012418,-0.0010768636930048314,-0.2730409674485125,0.29620513779880164,-0.001709170101023165,-0.246979347186997,0.26518853161810385,-2.474156667071328,-5.772082
647364.993823547,4185746.08570538,1521463933.69688,15.8402112650215,13.2765981034794,1,647364.0219900175,4185745.8218427002,1521463938.7027802,2018-03-19 12:52:18.702780,-0.0006487769613968686,-0.2871246918858483,0.3096224581939603,-0.0006473477438141834,-0.27543398951858705,0.2959888693733289,-0.0006717403569335145,-0.24918561831385283,0.2656426373017063,-2.4741745062313614,-5.772082
647363.050156488,4185745.55798002,1521463943.7086804,16.2505314491716,12.610144468870699,2,647362.921415996,4185745.818750135,1521463946.2096052,2018-03-19 12:52:26.209605,-0.000504924628543138,-0.28758109770315166,0.3092950030082878,-0.0004996728082111573,-0.27584263076119714,0.2956720942083005,-0.0005167158873122593,-0.24950951418145917,0.26543478681918065,-2.474175955072818,-5.772082
647362.792675504,4185746.07952025,1521463948.71053,16.4016366879484,12.578143345287799,1,647361.6392006655,4185748.411125785,1521463971.23626,2018-03-19 12:52:51.236260,-0.00021579536014139367,-0.28751589259165694,0.30738186656387884,-0.00016961467152767917,-0.2758962400996484,0.29374487507797026,-0.00017761878994203284,-0.2497156070827949,0.26348574022772553,-2.474194542420888,-5.772082
647360.485725827,4185750.74273132,1521463993.76199,16.715456430258,10.396916102449199,3,647360.3999411105,4185752.31102749,1521464011.278585,2018-03-19 12:53:31.278585,-0.0014450790136025377,-0.2845362932245733,0.30352437239851604,-0.0014903535487718195,-0.273082558881901,0.2897296096834658,-0.00171564728467144,-0.2470484652817545,0.2591040139611058,-2.4741350054725637,-5.772082000000001
647360.314156394,4185753.87932366,1521464028.79518,16.7934790744155,12.439188624182998,1,647360.1986419731,4185755.9964445597,1521464052.45233,2018-03-19 12:54:12.452330,-0.0007665509272394566,-0.28169522492183446,0.2997360701887196,-0.000739660146505644,-0.27031319691538525,0.28583227680582546,-0.0010706900781989118,-0.24363854027531695,0.2546052576584732,-2.4741108343255465,-5.772082
647360.0831275521,4185758.11356546,1521464076.1094801,15.794122665885599,12.701873527717302,2,647360.0398389951,4185758.90695947,1521464084.9749951,2018-03-19 12:54:44.974995,-0.00104505088704622,-0.2802074020661465,0.29630277708121394,-0.0009842726599511575,-0.2690074555235225,0.28238429089908595,-0.0011040923490680948,-0.2421248268003302,0.2509219255384323,-2.4740764735837137,-5.772081999999999
647359.996550438,4185759.70035348,1521464093.84051,15.051930021862304,12.125484802493599,2,647359.9830672271,4185759.92435643,1521464096.3434048,2018-03-19 12:54:56.343404,-0.0011366094728360449,-0.27931701992808433,0.29513366270779967,-0.0010875988852174917,-0.26815028427254145,0.2811765324771403,-0.0011407096885268433,-0.24141109522075893,0.2497681031058249,-2.474071627590863,-5.772082000000001
647359.969584016,4185760.14835938,1521464098.8463,14.800152796709499,11.8892445946899,1,647359.8815908909,4185761.71070907,1521464116.3595548,2018-03-19 12:55:16.359554,-0.0011588163262822443,-0.27828621423200783,0.2932845276444745,-0.00111158479572597,-0.26716977282099147,0.2793606948928472,-0.0011204873432533596,-0.2405596409032394,0.24818580588690195,-2.4740597360901373,-5.772082
647359.793597766,4185763.27305876,1521464133.87281,12.387900919516802,9.017227580620961,2,647360.0708716755,4185764.149588585,1521464138.8757248,2018-03-19 12:55:38.875724,-0.001783751108503498,-0.2755872936390896,0.28999044037972677,-0.0016603900888791379,-0.264551495921316,0.2761290864467888,-0.0011088619149751053,-0.23838313980962186,0.24556646588530764,-2.474043062021149,-5.772082
647360.348145585,4185765.02611841,1521464143.87864,11.8701804805933,9.00606490240224,1,647360.486832558,4185765.464535145,1521464146.380975,2018-03-19 12:55:46.380975,-0.001907969287407274,-0.2736497096700012,0.2869205597692327,-0.001758253500825771,-0.262941934346674,0.27320501451323825,-0.0010580883661907917,-0.23818061837458102,0.24381897749076875,-2.4740425991962507,-5.772082
647360.625519531,4185765.90295188,1521464148.88331,11.5534480129612,8.871917436583109,1,647360.7642136391,4185766.341390145,1521464151.38577,2018-03-19 12:55:51.385770,-0.002007622177014265,-0.2724836225508334,0.2855996035134404,-0.0018464570136294822,-0.26181568253778253,0.2719125758117121,-0.0011638416691566872,-0.2372796154428592,0.24278082690667824,-2.4740304325839886,-5.772082
