x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647385.219678078,4185766.49260249,1522065656.22505,4.734424699511731,7.37401333779255,2,647385.2216284999,4185766.492907935,1522065658.74897,2018-03-26 12:00:58.748970,-0.015705317206459,-0.4211182152876494,0.4579938702366661,-0.015965246022097465,-0.40799517680996883,0.43982951699814066,-0.014658578452259236,-0.35709251213448906,0.3764786355157336,-1.7944809486723057,-5.772082
647385.223578922,4185766.49321338,1522065661.27289,4.21291561638368,7.051166030759879,1,647385.2294307485,4185766.494134235,1522065668.8512,2018-03-26 12:01:08.851200,-0.015727871724255632,-0.42104620804909987,0.4579202710981328,-0.015986809343156105,-0.40792373379345925,0.4397559932087194,-0.014677246424832813,-0.3570352735947153,0.37641654835564237,-1.7944808300626245,-5.772082
647385.235282575,4185766.49505509,1522065676.4295099,1.93334072767464,5.977503407231271,2,647384.5268738745,4185766.72500085,1522065678.9560149,2018-03-26 12:01:18.956014,-0.014633208951447027,-0.4244335083297077,0.4613256034396115,-0.014936922687713267,-0.4112013686889869,0.44308711876427787,-0.013766421982099528,-0.35907256972438745,0.378854995403874,-1.794466505208066,-5.772082
647383.818465174,4185766.95494661,1522065681.4825199,2.19733832061278,5.99947616090896,1,647383.109977562,4185767.184918075,1522065684.0093,2018-03-26 12:01:24.009300,-0.013114952071212937,-0.4310554867507793,0.46767127617208837,-0.01352329109519658,-0.4176303639683064,0.4493147188228572,-0.012564315099410403,-0.3630518232980434,0.38334418797763875,-1.7944369879883317,-5.772081999999999
647382.40148995,4185767.41488954,1522065686.5360801,1.31684066139898,5.97341899199484,2,647381.1572957205,4185767.76279436,1522065689.06322,2018-03-26 12:01:29.063220,-0.010848311813909245,-0.4382931806081453,0.4716596102670323,-0.011258654307384583,-0.42486146659096335,0.45343098773163526,-0.011528124143315582,-0.367381300261587,0.3856315374216371,-1.7943908260586672,-5.772081999999999
647379.913101491,4185768.11069918,1522065691.59036,1.08539867651819,6.04582058974446,2,647378.1031127356,4185768.685104375,1522065696.646755,2018-03-26 12:01:36.646755,-0.009030646338418352,-0.44640867982426335,0.47841509370264623,-0.00925842043237493,-0.43246339247737914,0.45967468244016463,-0.011633038182313565,-0.3757270383090253,0.3926497177952867,-1.7942457022903189,-5.772082
647376.29312398,4185769.25950957,1522065701.70315,2.97707530814476,5.94618365728758,1,647372.6741633916,4185770.40799666,1522065711.813105,2018-03-26 12:01:51.813105,-0.007485909379177494,-0.47066058520098564,0.5001970842962562,-0.007821029967297013,-0.456238183786314,0.4813236791099934,-0.010588340649342332,-0.39412241710704793,0.40947119642585317,-1.7946816543159765,-5.772082
647369.055202803,4185771.55648375,1522065721.92306,4.07046763198816,5.425408396509591,2,647366.338104501,4185772.418775905,1522065729.51355,2018-03-26 12:02:09.513550,-0.006871703854526484,-0.48589042277898786,0.5135960916550708,-0.007114210521761796,-0.47225387156512444,0.495739093789108,-0.0067309134033951695,-0.4236891911516312,0.43745972676817896,-1.7952143367905924,-5.754479851662383
647363.621006199,4185773.28106806,1522065737.1040401,3.95183734097692,4.67976956835843,1,647362.716569195,4185773.568097695,1522065739.63068,2018-03-26 12:02:19.630680,-0.005284136532126449,-0.49467534601244856,0.5204004414351338,-0.005400927148312404,-0.48130730207648836,0.5029049492720408,-0.005578194172511597,-0.4330662800830586,0.4453996927530881,-1.7953897843798836,-5.772082
647361.812132191,4185773.85512733,1522065742.15732,3.74592548360494,4.33602392359436,1,647360.9060925875,4185774.142669695,1522065744.688445,2018-03-26 12:02:24.688445,-0.004909167560404354,-0.49837029928232623,0.5233091064434693,-0.004888355802137548,-0.4849473290535463,0.5058693750535633,-0.004492068442256039,-0.4364924906936864,0.44835562255375444,-1.7955041051671101,-5.772082
