x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647344.228003685,4185753.55401852,1522255571.59601,5.1946689201739416,3.87718034867091,2,647345.2353961375,4185754.9327588947,1522255574.1374898,2018-03-28 16:46:14.137489,-0.0010017469404054458,-0.6328704084734447,0.6438416154432594,-0.0007423306771593419,-0.6152173018390406,0.6240913194119206,0.0002360836753356188,-0.5491010999614577,0.5506258132598699,-1.7027295682339099,-5.772082
647346.24278859,4185756.31149927,1522255576.6789699,1.94084340942442,5.551600555209191,2,647344.1544890106,4185758.7472535903,1522255579.21918,2018-03-28 16:46:19.219180,-0.001230898428485755,-0.628956144007358,0.6365610966316014,-0.0010615567310105212,-0.6117970775734765,0.616979753003531,-0.0007647646568495203,-0.5465155656572854,0.543797322098781,-1.7025961537441419,-5.772081999999999
647342.066189431,4185761.18300791,1522255581.75939,9.73166331197583,0.5511761120517861,2,647340.02619239,4185762.5807264103,1522255584.298345,2018-03-28 16:46:24.298345,-0.000908813865496183,-0.6290188045600945,0.6275320274353963,-0.0007002723321858084,-0.6118350955335655,0.6077304816150685,-0.000458778094674428,-0.5465332788314878,0.5346736588089008,-1.70258649254475,-5.772081999999999
647337.986195349,4185763.97844491,1522255586.8373,9.07400079548532,5.84635683475659,1,647333.9043148485,4185766.77516677,1522255591.9175348,2018-03-28 16:46:31.917534,0.0004821771709895284,-0.6264949306254102,0.6160257162385845,0.000540549114915162,-0.6089206332959579,0.5957626883343845,-0.001546105036841966,-0.5422217702289435,0.5221816949994016,-1.7023648890834489,-5.772082
647329.8224343479,4185769.57188863,1522255596.9977698,5.946120834387551,8.598435754689781,1,647327.7804280065,4185770.970985665,1522255599.5392098,2018-03-28 16:46:39.539209,-0.00041419423724980975,-0.6380967119210071,0.6171648551429741,-0.00020351195835099922,-0.6187781085430923,0.5947875867241904,0.0008288490653357572,-0.5369901521233588,0.5080277294960143,-1.7027656963078917,-5.750477597008576
647325.738421665,4185772.3700827,1522255602.08065,0.7584188423047801,8.93773278044248,2,647324.653082748,4185773.844365795,1522255604.62215,2018-03-28 16:46:44.622150,0.0012442955726330307,-0.6468217131426126,0.6215204241696991,0.0015458223793436143,-0.6277983152718183,0.5995275641334783,0.0034767341912073924,-0.5616188100120691,0.5284925043603342,-1.7042731425438848,-5.553032773649161
647323.567743831,4185775.31864889,1522255607.16365,4.4952718166929015,8.87106095386066,1,647322.4823101026,4185776.793059235,1522255609.70537,2018-03-28 16:46:49.705370,0.0001943998621767029,-0.6472225355791223,0.6177627683579119,0.0003479667012964427,-0.6285575357908388,0.5960324732611593,9.707166259373401e-05,-0.5676112441932482,0.5301262481909452,-1.7047728280840109,-5.497221
647321.396876374,4185778.26746958,1522255612.24709,1.30336986288249,8.24760605333878,2,647320.3579120545,4185779.74776062,1522255614.78682,2018-03-28 16:46:54.786820,-0.0008226535501623111,-0.6448027450893259,0.6118660860828358,-0.0006794808274056541,-0.6261603372509968,0.5901288893706149,-0.0005618732402757343,-0.5653010453194527,0.5244442397640047,-1.7047863388577655,-5.497221
647319.318947735,4185781.22805166,1522255617.32655,1.778804730575,7.46449266119619,2,647317.982969716,4185782.776095615,1522255619.86555,2018-03-28 16:46:59.865550,-0.0013245236088078038,-0.6421527984640504,0.606740815599036,-0.0012140356486731452,-0.6236541531825358,0.5851251411462856,-0.0011995925038609245,-0.5630029798674708,0.5199751546611764,-1.7049361084655497,-5.497221
647316.646991697,4185784.32413957,1522255622.40455,5.932491244239969,6.2420246743228205,1,647315.3105501445,4185785.872728615,1522255624.9444401,2018-03-28 16:47:04.944440,-0.0005750000385428833,-0.6388439871824572,0.6050159784130369,-0.0004258986452340685,-0.6206666351620994,0.5838004934123109,-0.0002546202045471957,-0.5597828600667801,0.5192600588006473,-1.7052456770149758,-5.497221000000001
