x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647383.446561986,4185700.45500266,1522370722.33955,374.83192691237394,557.179236748112,2,647383.4507552686,4185700.44540916,1522370724.8534598,2018-03-30 00:45:24.853459,-0.0014182769723392608,-0.6044282565568486,0.6245101052299998,-0.0005123493970569104,-0.5920226936530655,0.6145733946201121,0.003051748471654153,-0.504574853905657,0.5260963168619224,-1.635354891589003,-6.474223561497029
647383.454948551,4185700.43581566,1522370727.36737,374.94880226764604,557.289353486242,1,647383.4591440326,4185700.426223735,1522370729.882605,2018-03-30 00:45:29.882605,-0.001420460845117183,-0.6044370990737709,0.6245336209754683,-0.0005174362975305657,-0.5920253668690894,0.6145935928468806,0.0029713775670880405,-0.5045028240514378,0.5260482030789864,-1.6353557981624733,-6.474774817888202
647383.463339514,4185700.41663181,1522370732.39784,375.06569244928,557.399715772594,1,647383.4675223955,4185700.407052365,1522370734.9124851,2018-03-30 00:45:34.912485,-0.0014226456276358046,-0.6044459403248325,0.624557110790042,-0.0005225222524943285,-0.5920280413808678,0.6146137653096386,0.0028910487253044626,-0.5044308225629645,0.5260000851549006,-1.6353567045362865,-6.4753258998521
647383.471705277,4185700.39747292,1522370737.42713,375.1826051433789,557.50993284857,2,647383.4787555624,4185700.389638485,1522370739.939845,2018-03-30 00:45:39.939845,-0.0014224934306686365,-0.6044495334195101,0.6245858567429672,-0.000524774077417578,-0.5920277001523946,0.6146414251911314,0.002832402474790774,-0.5043861990845674,0.5259899142763111,-1.6353571323434246,-6.4756311290943565
647383.4858058479,4185700.38180405,1522370742.45256,375.321541312303,557.639391072982,1,647383.492851913,4185700.373976645,1522370744.96571,2018-03-30 00:45:44.965710,-0.0014200013375498255,-0.6044478735235104,0.6246198777785534,-0.0005241892974704176,-0.5920243393567304,0.614676593683515,0.0027954396902092615,-0.504368967551474,0.5260177322908275,-1.6353570811867322,-6.4756903388440294
647383.4998979779,4185700.36614924,1522370747.47886,375.460442305978,557.768920399971,1,647383.5069387115,4185700.358329515,1522370749.99232,2018-03-30 00:45:49.992320,-0.0014175094102467645,-0.6044462106697366,0.6246538744028058,-0.0005236026566551033,-0.5920209788976111,0.6147117386483866,0.002758526195383748,-0.5043517733502768,0.5260455583121553,-1.6353570296755597,-6.475749294167405
647383.513979445,4185700.35050979,1522370752.50578,375.599138027656,557.8984232053599,1,647383.528037395,4185700.33489767,1522370757.53281,2018-03-30 00:45:57.532810,-0.0014137756648592292,-0.6044437162775698,0.624704792009072,-0.0005227218894753027,-0.5920159439053084,0.6147643777557928,0.0027032612868291284,-0.5043260445927125,0.5260872602988478,-1.635356952158818,-6.475837394131073
647383.542095345,4185700.31928555,1522370762.55984,375.87591046208,558.157172400034,1,647383.5491169356,4185700.3114907052,1522370765.073905,2018-03-30 00:46:05.073905,-0.0014100439613210225,-0.604441220540777,0.6247556622176864,-0.0005218399267722384,-0.5920109117661565,0.6148169693717886,0.002648067943953031,-0.5043003618508372,0.5261289481829539,-1.6353568743685158,-6.475925224778639
647383.5561385261,4185700.30369586,1522370767.58797,376.013989666938,558.286524874216,1,647383.5631442845,4185700.295914635,1522370770.101175,2018-03-30 00:46:10.101175,-0.0014075606825584008,-0.6044395596969478,0.624789513702587,-0.0005212529931118148,-0.5920075631083583,0.6148519663888814,0.002611339969267462,-0.5042832716822938,0.5261566897148104,-1.6353568225974051,-6.475983668429624
647383.570150043,4185700.28813341,1522370772.6143801,376.151574153791,558.415437407883,2,647383.5765340326,4185700.27899905,1522370775.13016,2018-03-30 00:46:15.130160,-0.0014059513573571047,-0.6044400146522536,0.6248225051452221,-0.0005218207651616624,-0.5920053366011238,0.6148852210078356,0.0025641657124099992,-0.5042541367155755,0.526169748214369,-1.6353569676595727,-6.476146556859069
647383.5829180221,4185700.26986469,1522370777.64594,376.30946740473297,558.450389381179,2,647383.5879550686,4185700.25890188,1522370780.162325,2018-03-30 00:46:20.162325,-0.0014066857618708073,-0.6044460514742642,0.6248525247049218,-0.000525428093912067,-0.5920061228203678,0.614913166330914,0.0024903841692194284,-0.504193787788588,0.526143726602275,-1.6353576298273005,-6.476582014399333
647383.592992115,4185700.24793907,1522370782.67871,376.423532257293,558.4987943125731,2,647383.5950551464,4185700.23380474,1522370785.19423,2018-03-30 00:46:25.194230,-0.001411827112642261,-0.6044623634171807,0.6248753642607265,-0.0005346141893677325,-0.5920125820264905,0.6149296055964997,0.0023699386669724654,-0.5040773477695731,0.5260449306892845,-1.6353592385914975,-6.47751198277934
647383.5971181779,4185700.21967041,1522370787.70975,376.4931932479,558.5249851782779,2,647383.595773615,4185700.20080112,1522370790.231895,2018-03-30 00:46:30.231895,-0.001423671115128533,-0.6044943708562973,0.6248877727219153,-0.000552327152838733,-0.5920276669477624,0.6149290129402682,0.002177486250996813,-0.50387479795675,0.5258352325126426,-1.6353622949662352,-6.479199599513684
647383.5944290521,4185700.18193183,1522370792.75404,376.561752007382,558.427942456847,2,647383.6002853755,4185700.16755305,1522370795.26102,2018-03-30 00:46:35.261020,-0.0014333687760072211,-0.6046304419266513,0.6249521632255801,-0.0005676955164368169,-0.592153482619626,0.6149871032754874,0.0019985795440862764,-0.5041556956888007,0.526053817746165,-1.6353699709792104,-6.477427865246506
647383.606141699,4185700.15317427,1522370797.768,376.562272450524,558.431138878666,1,647383.6238054,4185700.109831755,1522370805.313085,2018-03-30 00:46:45.313085,-0.001440952668311457,-0.6048840558617714,0.6251109287379789,-0.0005841231221912768,-0.5923982147705563,0.6151448895985556,0.0017499838362973197,-0.5048896262648613,0.5267117169997132,-1.6353832753657151,-6.472403619257884
647383.6414691011,4185700.06648924,1522370812.85817,376.565394180212,558.443726734761,2,647383.65477082,4185700.03904041,1522370817.890895,2018-03-30 00:46:57.890895,-0.0014490036731885925,-0.6051876141099733,0.625307990779823,-0.0006028850898182059,-0.5926916280233319,0.6153416628526692,0.001453475209815036,-0.5057810332455255,0.5275204248425889,-1.635399135222149,-6.466274624129879
647383.668072539,4185700.01159158,1522370822.92362,376.5198708658371,558.5013755017342,1,647383.674688655,4185699.9979209,1522370825.4363098,2018-03-30 00:47:05.436309,-0.0014525410312550835,-0.6053571195402834,0.6254245935045067,-0.0006125207119219156,-0.5928559221812927,0.6154589289485688,0.0012888801900346747,-0.5062908748083289,0.5279918416196862,-1.6354079310029477,-6.462744553388458
647383.681304771,4185699.98425022,1522370827.949,376.497155779662,558.530201545202,2,647383.6895381305,4185699.971810765,1522370830.486995,2018-03-30 00:47:10.486995,-0.0014534884851040986,-0.6054569792482941,0.6255010719199807,-0.0006171999306199272,-0.5929532498078516,0.6155367761510975,0.001193068374940015,-0.5066055662081506,0.5282930920204005,-1.6354130413123904,-6.4605372114968285
