x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647356.853541974,4185709.41735727,1521449823.2877,13.27340771247,5.15227100337997,2,647356.991291669,4185709.7583716903,1521449825.81148,2018-03-19 08:57:05.811480,0.01885202721707717,-0.33222958084009213,0.31825165603805716,0.0192362876235066,-0.31754805185584645,0.3008859173615411,0.014948167113015498,-0.2799186212596348,0.25988868277416094,-2.503225017423671,-5.98819245165263
647357.129041364,4185710.09938611,1521449828.33526,13.2463075237148,6.0548750630937,1,647357.6835875656,4185711.472336425,1521449838.497065,2018-03-19 08:57:18.497065,0.015393478742477706,-0.35505473065437393,0.3400875472659498,0.01571749237118991,-0.341116396834252,0.32370463020426843,0.01196993688271672,-0.2992876058715117,0.278751223484017,-2.5031859173219555,-6.1251336035994335
647358.238133767,4185712.84528674,1521449848.65887,12.9410156620264,8.125579292077559,1,647359.074308838,4185714.897548745,1521449863.878955,2018-03-19 08:57:43.878955,0.011139221104874919,-0.38552535270206545,0.3692921879787366,0.01127164677336312,-0.37184310656006325,0.3539857690294818,0.008035847880895008,-0.3233624885078138,0.3037050063776264,-2.503178489331711,-6.363661625830771
647359.910483909,4185716.94981075,1521449879.09904,11.8534372008695,8.700448008807191,1,647360.049196684,4185717.292871915,1521449881.63626,2018-03-19 08:58:01.636260,0.0036399572655775175,-0.39611559967053106,0.38230226131911776,0.0036370713275107602,-0.3824548010215843,0.36735958783962963,0.0023224841452028633,-0.331763923217347,0.3151022929932253,-2.5031868097772554,-6.416590547127212
647360.187909459,4185717.63593308,1521449884.17348,11.586680394563801,8.56210448420851,1,647360.4653852065,4185718.32217434,1521449889.24881,2018-03-19 08:58:09.248810,0.0027798842328280865,-0.3964534748701012,0.38523910344014284,0.0027682516845989324,-0.38280815634496584,0.3703228852039959,0.0016997000398559364,-0.3322478534345601,0.3179024576328473,-2.503192371652282,-6.386064876770716
647360.742860954,4185719.0084156,1521449894.32414,10.965580066463401,8.068837747361849,1,647361.0202329635,4185719.694411115,1521449899.397635,2018-03-19 08:58:19.397635,0.003012728707484952,-0.39690391852500984,0.3891544099627957,0.0029872483599867883,-0.383279237792153,0.3742734612353968,0.0022612181759697203,-0.332893018603602,0.32163555537243327,-2.50319978673265,-6.345368891773822
647361.297604973,4185720.38040663,1521449904.4711301,10.2097464557988,7.2343473156497,2,647361.577518336,4185720.952712105,1521449907.0072,2018-03-19 08:58:27.007200,0.002860244976217702,-0.3976535014746374,0.39347915329505506,0.0028183940124235363,-0.3840275097819845,0.3786347857387216,0.0019997015045443156,-0.3341671853800037,0.3263744081488815,-2.5032241017891756,-6.295662741391267
647361.8574316989,4185721.52501758,1521449909.5432699,9.86324130244303,7.380021458237389,1,647362.697380408,4185723.2423511147,1521449917.1533449,2018-03-19 08:58:37.153344,0.0004569998088333055,-0.39930467093620586,0.4026706225844634,0.00026080329302981264,-0.38558170996651775,0.3878581770182749,1.3485099340418416e-05,-0.3379999789910889,0.3382110201822247,-2.503326765764002,-6.166831476660931
647363.5373291171,4185724.95968465,1521449924.7634199,8.305396987332031,6.665905483488031,2,647363.4866947385,4185725.5670727547,1521449932.3776898,2018-03-19 08:58:52.377689,-0.0013657220796171737,-0.3947995703430007,0.40418641266093613,-0.0016602673548109792,-0.38072167345329755,0.38901653587393403,-0.0016196915710822574,-0.3368701746164925,0.3430063785787067,-2.503460563530288,-6.038408809999079
647363.43606036,4185726.17446086,1521449939.99196,7.74710090111331,6.274088125842121,1,647363.4191836205,4185726.37690211,1521449942.52977,2018-03-19 08:59:02.529770,-0.0013498999988653393,-0.3937300961370819,0.4046958434396749,-0.001646073552766178,-0.3795682806232681,0.3894620307722928,-0.0014182735476325065,-0.3376206015343551,0.3455122633401037,-2.503528068272043,-5.986409772303247
