x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647399.642018331,4185679.26138629,1521947362.59356,3.6382269657138697,6.26012763744035,2,647399.7256608009,4185679.307365305,1521947365.1041,2018-03-25 03:09:25.104100,0.0047121293499625405,-0.534763052481533,0.5694624345876069,0.005838161556740495,-0.5167743945588347,0.5553546148755522,0.005865049291941524,-0.4481243884280107,0.4916665764008439,-2.114732478509331,-6.454115911630223
647399.809303271,4185679.35334432,1521947367.61464,3.88005878296652,5.995767869962928,1,647399.89296055,4185679.39933101,1521947370.1256151,2018-03-25 03:09:30.125615,0.0042766012104695494,-0.5350231056064605,0.5716632972080491,0.005363888314247195,-0.5172716471212133,0.5579002613804526,0.006030968778653348,-0.44720680904176063,0.4929699241371988,-2.1146953739737677,-6.512441538324527
647399.976617829,4185679.4453177,1521947372.63659,3.8414764357464097,5.656559336268691,1,647400.060275326,4185679.4913045,1521947375.1475701,2018-03-25 03:09:35.147570,0.003841034908954072,-0.5352831811152609,0.5738643562127893,0.004889573498424088,-0.5177689431641112,0.560446135051366,0.006196903613216759,-0.4462891454541595,0.4942733868673438,-2.1146582659971807,-6.570772396054109
647400.143932823,4185679.5372913,1521947377.65855,3.5131817139123,5.22799916783725,1,647400.2276185815,4185679.58329274,1521947380.1703548,2018-03-25 03:09:40.170354,0.0034053962903686508,-0.5355432990376632,0.5760657873998926,0.004415179900943478,-0.5182663216017729,0.5629924392414944,0.006362867539733932,-0.44537132226848336,0.4955770675184181,-2.114621151498029,-6.629113167754753
647400.31130434,4185679.62929418,1521947382.68216,2.7945539016467897,4.68543410725792,2,647400.448672616,4185679.7071363097,1521947385.19515,2018-03-25 03:09:45.195150,0.002825242285574181,-0.5353456303318868,0.5764041051144537,0.0037834948770374965,-0.5182393821617448,0.5635029330645123,0.00657991847320126,-0.44576162636595923,0.4965326216633147,-2.114595898949963,-6.635322572911198
647400.586040892,4185679.78497844,1521947387.7081401,2.53520398163534,4.20327526191768,2,647400.6981845566,4185679.847709595,1521947390.221625,2018-03-25 03:09:50.221625,0.002242996850185669,-0.5350021196013114,0.576212546644871,0.00316249267322688,-0.5180568163558235,0.5634425021463214,0.006607640111796723,-0.4465612746047297,0.49744107475539046,-2.1145727679485606,-6.626503964798276
647400.8103282211,4185679.91044075,1521947392.73511,2.89289911369237,3.76029128209228,1,647400.9223797666,4185679.9731226796,1521947395.24653,2018-03-25 03:09:55.246530,0.0018207301733876025,-0.5346920684219404,0.5760400665078242,0.002731610707560339,-0.5178911027870945,0.5633877228739094,0.006344119853219546,-0.44727512760439286,0.498254070797163,-2.1145517607931095,-6.6186229648649535
647401.034431312,4185680.03580461,1521947397.75795,2.8312109178818603,3.12878809774009,1,647401.146489689,4185680.0984902047,1521947400.269525,2018-03-25 03:10:00.269525,0.0014002338818437932,-0.5343821385343637,0.5758676528435602,0.0023058489862792797,-0.5177254562657485,0.5633329655909143,0.006050777594384146,-0.447988720209465,0.4990667654255484,-2.114530762163982,-6.610744860340809
647401.258548066,4185680.1611758,1521947402.7811,2.3175136607677205,2.1478762168883003,2,647401.23424624,4185680.022636745,1521947405.291665,2018-03-25 03:10:05.291665,0.0014694464309971955,-0.5340664825469504,0.5757502484941228,0.0023823586500207605,-0.517427706709149,0.5632446618556186,0.006139501986867094,-0.447619148550339,0.4989279687677271,-2.1144914554791723,-6.613626011958179
647401.209944414,4185679.88409769,1521947407.8022301,0.853309663330242,1.41679564884864,4,647400.5055506225,4185681.1039488204,1521947410.3142052,2018-03-25 03:10:10.314205,0.00023829705552860792,-0.5363784293996734,0.5767685137611261,0.001095374409986638,-0.5198498260068923,0.5642217720052681,0.004737272642477808,-0.4511519672905757,0.5003610770728136,-2.1148373894027213,-6.596665
647399.801156831,4185682.32379995,1521947412.82618,1.3163955131315,2.08412194269769,2,647399.0903231059,4185683.53985873,1521947415.3384151,2018-03-25 03:10:15.338415,-0.0005493330483473113,-0.5345740332130223,0.5729689564628875,0.00043462344992492574,-0.5187289462228024,0.560710351331652,0.003481003205687991,-0.4526371314252125,0.497722653551956,-2.1149029931854884,-6.596664999999999
647398.379489381,4185684.75591751,1521947417.85065,2.26068905773561,2.08884034320467,2,647397.5986883859,4185685.861757125,1521947420.3631902,2018-03-25 03:10:20.363190,-0.00044399381987295095,-0.5330640126560411,0.5695830798231387,0.00042446292556652665,-0.5177953695156097,0.5575310853209652,0.0029754256019472597,-0.45381436677957054,0.49509570880017495,-2.1150201825659583,-6.596665
647396.817887391,4185686.96759674,1521947422.87573,1.75141544999204,2.7665386474396803,2,647396.0642186494,4185688.090555275,1521947425.388555,2018-03-25 03:10:25.388555,-0.0013292454886188743,-0.5306154965802476,0.566820533009742,-0.0008611020625483301,-0.515357409571693,0.5544711247000902,0.000966229888593434,-0.4517652780633846,0.4916193828775385,-2.1152618884931673,-6.562835673990983
647395.310549908,4185689.21351381,1521947427.90138,2.5245228621876805,3.1866797265988303,1,647394.5564286065,4185690.33714504,1521947430.41571,2018-03-25 03:10:30.415710,-0.0013594870984277307,-0.5273766947286418,0.5624779785982226,-0.0010807899176952795,-0.5117616715933325,0.5494821288584947,0.00039619863394195487,-0.4485905712841645,0.4867395174897099,-2.1152913102638826,-6.498648330223114
