x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647360.43682808,4185874.62861193,1522184270.97234,10.2084242547242,23.9151817394559,2,647360.437150012,4185874.6362421354,1522184273.486535,2018-03-27 20:57:53.486535,-0.007305225489722837,-0.09050768342098678,0.0864272542941649,-0.007305225489722837,-0.09050768342098678,0.0864272542941649,-0.007305225489722837,-0.09050768342098678,0.0864272542941649,-1.566049473872711,-1.8732206919851904
647360.437471944,4185874.64387234,1522184276.00073,9.29843086398122,23.5406386823112,1,647360.4377896041,4185874.6515343003,1522184278.51994,2018-03-27 20:57:58.519940,-0.007303770197155786,-0.09049201907575802,0.0864162185267745,-0.007303770197155786,-0.09049201907575802,0.0864162185267745,-0.007303770197155786,-0.09049201907575802,0.0864162185267745,-1.5660157440315845,-1.87313282439691
647360.438107264,4185874.65919626,1522184281.03915,8.28679880524842,23.1592739762543,1,647360.438423333,4185874.66687002,1522184283.56022,2018-03-27 20:58:03.560220,-0.0073023022740685145,-0.09047632157227567,0.08640522305984685,-0.0073023022740685145,-0.09047632157227567,0.08640522305984685,-0.0073023022740685145,-0.09047632157227567,0.08640522305984685,-1.5659819345198167,-1.873044746152852
647360.438739402,4185874.67454378,1522184286.08129,7.1319546513480185,22.7712346421983,1,647360.4390545625,4185874.682196505,1522184288.5991101,2018-03-27 20:58:08.599110,-0.007300832896384151,-0.09046063667842731,0.08639425398238118,-0.007300832896384151,-0.09046063667842731,0.08639425398238118,-0.007300832896384151,-0.09046063667842731,0.08639425398238118,-1.5659481498857148,-1.8729567318607536
647360.439369723,4185874.68984923,1522184291.11693,5.751354081586361,22.376979313956102,1,647360.4396832479,4185874.697514085,1522184293.6366649,2018-03-27 20:58:13.636664,-0.007299361968268359,-0.09044496414352787,0.08638331160135468,-0.007299361968268359,-0.09044496414352787,0.08638331160135468,-0.007299361968268359,-0.09044496414352787,0.08638331160135468,-1.565914389526649,-1.8728687799271122
647360.4399967729,4185874.70517894,1522184296.1564,3.90826067954965,21.975344727156703,2,647357.4952855585,4185874.3509182353,1522184298.67461,2018-03-27 20:58:18.674610,0.001985998035408547,-0.09180525500658172,0.09906229741277828,0.001985998035408547,-0.09180525500658172,0.09906229741277828,0.001985998035408547,-0.09180525500658172,0.09906229741277828,-1.4838974411286099,-1.7925362325733076
647354.550574344,4185873.99665753,1522184301.1928198,5.04040784026842,21.5035838054582,1,647351.6051561455,4185873.64231385,1522184303.7116299,2018-03-27 20:58:23.711629,0.00857505309956095,-0.04091841860421904,0.04415294694340867,0.00857505309956095,-0.04091841860421904,0.04415294694340867,0.00857505309956095,-0.04091841860421904,0.04415294694340867,-1.4515894423234323,-1.6083535117332093
647348.659737947,4185873.28797017,1522184306.2304401,4.68958327177223,21.0146979172648,2,647346.37795625,4185873.072015815,1522184308.7485452,2018-03-27 20:58:28.748545,-0.002958626661600459,0.0,0.0,-0.002958626661600459,0.0,0.0,-0.002958626661600459,0.0,0.0,-1.5237096328601374,-1.5661787258592035
647344.0961745529,4185872.85606146,1522184311.26665,6.16782636506195,20.554223400104398,1,647339.5311710844,4185872.4240216548,1522184316.304445,2018-03-27 20:58:36.304445,0.003331956129167849,-0.07288829305633228,0.05345480309907393,0.003331956129167849,-0.07288829305633228,0.05345480309907393,0.003331956129167849,-0.07288829305633228,0.05345480309907393,-1.6687427783563782,-2.052815158211308
647334.966167616,4185871.99198185,1522184321.34224,6.950556721186429,19.5704621221444,1,647332.6865472985,4185871.7762236753,1522184323.8579602,2018-03-27 20:58:43.857960,0.0027542344654051774,-0.04037937427713791,0.027813053383935325,0.0027542344654051774,-0.04037937427713791,0.027813053383935325,0.0027542344654051774,-0.04037937427713791,0.027813053383935325,-1.6357890072638923,-1.8617908261024563
647330.406926981,4185871.5604655,1522184326.37368,6.5205875150905515,19.0447771110042,2,647328.1955807445,4185871.932171095,1522184331.4099302,2018-03-27 20:58:51.409930,-0.001101092153091291,-0.008219075740883462,0.005661246525982633,-0.001101092153091291,-0.008219075740883462,0.005661246525982633,-0.001101092153091291,-0.008219075740883462,0.005661246525982633,-1.6066336905210736,-1.6924450151262376
