x,y,tnum,x_sd,y_sd,num_rx
647383.7742384389,4185727.81149583,1522015324.16832,6.40678089665306,5.3461749250376,2
647383.5756183821,4185727.56572354,1522015339.22101,5.54117945835287,4.65338322151583,2
647383.82931152,4185727.86473361,1522015344.23981,5.4041361690118,4.65666902905183,1
647384.083007761,4185728.1637473,1522015349.25868,5.14871367942802,4.47425532470194,1
647384.5903366329,4185728.76170047,1522015359.29515,4.18730127564992,3.4059683579452904,2
647383.3159291471,4185727.16926702,1522015369.33776,4.30788149207636,2.36121231423344,1
647382.6789725,4185726.3733625,1522015374.3571,4.18173438757127,0.377456924460246,2
647382.304300081,4185728.49411021,1522015379.37301,3.83061249479702,2.26714448131271,1
647381.929046766,4185730.61811924,1522015384.39665,3.29166095031124,2.7287674984706403,2
647379.863980461,4185733.27716013,1522015394.43771,3.5781154664866697,2.99003207897274,2
647376.044244885,4185736.40196091,1522015409.50008,4.27607520373537,2.89194048213121,1
647374.771163553,4185737.44342704,1522015414.52023,4.18292874680238,1.9652550773473896,2
647371.3234466889,4185741.35860143,1522015429.57666,4.6857489227429285,1.15288976897775,2
647365.1191350439,4185749.73654355,1522015454.68299,5.523169046700339,3.35998876847334,1
647363.878671259,4185751.41159659,1522015459.70264,5.536446944186518,3.0412713265628906,1
647361.397633422,4185754.76185083,1522015469.74241,5.42229594790519,1.06971890250874,2
647357.58377645,4185759.25284041,1522015484.8056,5.09402353928453,4.052716553623791,2
647355.017964458,4185761.38692374,1522015494.84947,4.59026765557955,0.6025491924329829,2
647352.40388586,4185763.89413566,1522015504.89011,3.7387396174946703,0.8468642995511609,2
647349.8115265929,4185766.30526545,1522015514.92921,2.32780269423076,1.9849328462682096,1
647348.514813847,4185767.51132854,1522015519.95084,0.0161954497031405,0.0149565568651717,3
647347.010117339,4185768.30637357,1522015524.96947,2.08083034470611,1.13836341829846,2
647345.771974373,4185769.59592997,1522015529.99027,3.04346181105284,2.5193780625739,1
647344.5335979271,4185770.88572871,1522015535.0120099,3.6472541982970696,3.16039253313303,1
647339.5840113279,4185776.04085691,1522015555.08308,4.51729151910639,3.217193736575529,2
647338.392559569,4185777.39470526,1522015560.10176,4.71965771169014,3.35927265468895,2
