x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647343.0038702,4185741.53783918,1522030374.91683,18.153274519649802,9.34268507195578,2,647342.943381243,4185741.5038783997,1522030397.63698,2018-03-26 02:13:17.636980,-0.00016773694783572823,-0.578710957518338,0.5657773012296347,-0.0002745676353767823,-0.5615658336760933,0.5472355179275767,-0.00033803187942994806,-0.4846429538721534,0.46847940032789565,-1.8473464469241372,-5.990372666627278
647342.882892286,4185741.46991762,1522030420.35713,16.0239865628669,8.61953577582835,1,647342.8766325535,4185741.46470315,1522030422.881715,2018-03-26 02:13:42.881715,-0.00022876527989157402,-0.5789340358589921,0.5656273856849185,-0.0003317081496689578,-0.5617946012976787,0.5470870255576625,-0.00040131069920672224,-0.48484408224448494,0.4683295909314237,-1.8473478437418644,-5.991348312994483
647342.870372821,4185741.45948868,1522030425.4063,15.6974638974611,8.027223360708929,2,647342.7855560204,4185741.300610345,1522030427.93081,2018-03-26 02:13:47.930810,-0.0005649003041212353,-0.5794273513287626,0.565195043353569,-0.0006709441798854743,-0.5622864701786525,0.5466453192242902,-0.00105751348801493,-0.48475327877697466,0.46736311227088106,-1.8473323346705979,-5.999516382721696
647342.70073922,4185741.14173201,1522030430.45532,15.5006945052726,8.187885258629219,1,647342.5311179135,4185740.82399724,1522030435.503985,2018-03-26 02:13:55.503985,-0.0006989104408534619,-0.5808365779919868,0.5639497671452086,-0.0007204829192721807,-0.5636901413260387,0.5453720241338806,-0.0009481609356580961,-0.4844395511423564,0.4645377868028753,-1.8472861440094928,-6.023459417544469
647342.3614966071,4185740.50626247,1522030440.55265,14.992261362701699,7.726135998586839,1,647342.276667376,4185740.347362005,1522030443.07752,2018-03-26 02:14:03.077520,0.00021221732675891225,-0.5822395992895446,0.5627003877363042,0.00027786098815582583,-0.5650959165115811,0.5441031044514665,0.00047802597640554667,-0.4842469823793384,0.46182945690264005,-1.8472402043814862,-6.046943
647342.191838145,4185740.18846154,1522030445.60239,14.676533117497003,7.052481410461531,2,647342.1638944955,4185740.16581147,1522030450.65107,2018-03-26 02:14:10.651070,0.0005692553093744612,-0.5826939566839884,0.5621325060670709,0.0006612497650285709,-0.5657086461943434,0.5436874466455343,0.0009427750184952954,-0.48651520875605714,0.46301390966357747,-1.8472292294638268,-6.046942999999999
647342.135950846,4185740.1431614,1522030455.69975,14.1828011609025,7.556910446242719,1,647342.121971423,4185740.131833225,1522030458.2253098,2018-03-26 02:14:18.225309,0.0006979538553375519,-0.5828338387450397,0.5620085815553583,0.0007926932989592017,-0.5658728280481689,0.5435854056062959,0.001073573471944686,-0.48692420077786575,0.4631583991252071,-1.8472292864688087,-6.046943
647342.1079920001,4185740.12050505,1522030460.75087,13.893170926706901,7.51449602177189,1,647342.066071326,4185740.0865278,1522030468.3247252,2018-03-26 02:14:28.324725,0.0009628411220059252,-0.5830828399665031,0.5620088664376707,0.0010550396677412588,-0.5661039462110863,0.5435659737224623,0.001309411071766603,-0.4869530765008985,0.46298310714205976,-1.847241510213094,-6.046943000000001
647342.024150652,4185740.05255055,1522030475.89858,12.8304374486412,6.10356300449648,2,647341.9148093904,4185739.8406214453,1522030478.4222102,2018-03-26 02:14:38.422210,0.0020808051256679116,-0.583879785771747,0.5620651110431949,0.002146253590578351,-0.5668268407989495,0.5435481295567559,0.002103017918501718,-0.48701010251161614,0.4624636304156162,-1.8472899050704037,-6.046943
647341.805468129,4185739.62869234,1522030480.9458401,12.5598278687185,6.3123575730378905,1,647341.586678364,4185739.204634285,1522030485.995545,2018-03-26 02:14:45.995545,0.004743286940339875,-0.5820110261389381,0.5580670092727862,0.004740305111213816,-0.5650146202217389,0.5395445811961711,0.0038457914682924754,-0.4861919696009503,0.45912874848191354,-1.8473599302495207,-6.0621018371120545
647341.3678885989,4185738.78057623,1522030491.04525,11.8400288485254,5.27318425544381,2,647341.5095590245,4185739.1332431203,1522030493.57133,2018-03-26 02:14:53.571330,0.005143302564685787,-0.5813795022449932,0.5571515232047435,0.005127958454487325,-0.5643906150072693,0.538617520514524,0.004105390618154431,-0.48548309144769175,0.45808763324372637,-1.8473713803499034,-6.06710305910156
647341.65122945,4185739.48591001,1522030496.09741,11.5801832533906,5.8927632899184905,1,647341.934337756,4185740.1906473497,1522030501.1452851,2018-03-26 02:15:01.145285,0.0011385598909573746,-0.5886856472291466,0.5671074767366973,0.0011951499044731695,-0.5712924158978755,0.5482054399197216,0.0011651739267680566,-0.49051841655815864,0.4661365990184973,-1.866736852310644,-6.046943000000001
647342.217446062,4185740.89538469,1522030506.19316,11.002204936468,6.72119979958619,1,647342.3599039435,4185741.250061865,1522030508.733405,2018-03-26 02:15:08.733405,-0.0010332443640986289,-0.5859573852538473,0.5695361876510275,-0.0011460683098652724,-0.5685150949295442,0.5506179508021936,-0.001969201773861201,-0.490531603989332,0.47098565826944566,-1.8668433968219877,-6.002011759413872
647342.502361825,4185741.60473904,1522030511.27365,10.6782128533073,6.98263128495169,1,647342.6430965675,4185741.95519146,1522030513.78319,2018-03-26 02:15:13.783190,7.948448851280432e-05,-0.5841716169221363,0.5709121459181301,-1.4250030725054819e-05,-0.5667088346235087,0.5519882048337955,0.0006875956001017036,-0.4904718928897787,0.47379367917216486,-1.8669033466096372,-5.977349718374486
647342.78383131,4185742.30564388,1522030516.29273,10.3346689117887,7.151217863589281,1,647342.925387687,4185742.6581935547,1522030518.817085,2018-03-26 02:15:18.817085,0.00020766970943983387,-0.5823913636751353,0.5722838381568885,0.00022172921453597616,-0.5649081515232715,0.5533542056036513,0.002605433428963036,-0.49041243808100743,0.476593057273561,-1.8669631174910417,-5.952763105201252
647343.066944064,4185743.01074323,1522030521.34144,9.96194123096443,7.24143326146571,2,647343.2085052871,4185743.363427925,1522030523.86615,2018-03-26 02:15:23.866150,0.00038444060635214883,-0.5806056462717076,0.5736597159222617,0.00040679844086263794,-0.5631019398301526,0.5547243672278765,0.0028710748887288556,-0.4903529075451165,0.4794010711527165,-1.8670230810955457,-5.928099933035676
647343.35006651,4185743.71611262,1522030526.3908598,9.55914060465166,7.2536018417773,1,647343.491723092,4185744.06904065,1522030528.9172897,2018-03-26 02:15:28.917289,0.0005613144364986777,-0.5788191104346776,0.5750362060680898,0.0005919743250918652,-0.561294899030338,0.556095133285151,0.0031368535105604223,-0.4902934286832996,0.48221040425811046,-1.8670830790369028,-5.903424647370391
647343.6333796739,4185744.42196868,1522030531.4437199,9.12220651022426,7.18866696407079,1,647343.9166438184,4185745.12769866,1522030536.4956698,2018-03-26 02:15:36.495669,0.0008114564064279906,-0.5761387068295574,0.5771014027965844,0.0008605829685814637,-0.5585837310497189,0.5581517417651569,0.003690030616187348,-0.49020419329109655,0.48642534835429774,-1.86717309634317,-5.866403404418438
