x,y,tnum,x_sd,y_sd,num_rx
647425.886974728,4185689.19535069,1521297637.08054,12.1074661704456,6.45687320641898,2
647426.503083262,4185690.34179783,1521297642.1440802,11.5113039223324,7.42946601902544,1
647427.1192423679,4185691.48833797,1521297647.20803,10.8661720010026,8.2184317019146,1
647427.735653002,4185692.63533955,1521297652.27402,10.1630549297627,8.87290794216516,1
647428.351558186,4185693.78141185,1521297657.33588,9.389593573114519,9.420159829967847,1
647428.967361571,4185694.92729701,1521297662.39691,8.52623263498378,9.87848044828767,2
647428.420249659,4185695.07266569,1521297667.45782,8.86236997487803,10.028811031931301,1
647427.872791486,4185695.21812673,1521297672.52198,9.15839776912164,10.151404401631199,1
647426.230583762,4185695.6544674,1521297687.71292,9.83665574531943,10.3600256306881,1
647418.595830596,4185697.68529527,1521297758.62291,9.75397451889659,8.071003222157751,2
647417.989626954,4185697.75986971,1521297763.68789,9.827616614991161,8.31792946479527,1
647416.777415844,4185697.90899679,1521297773.8162,9.89018187245317,8.67444696166771,1
647416.171613049,4185697.98352669,1521297778.87782,9.879667846549099,8.78960329384177,1
647415.565599565,4185698.05807999,1521297783.9412,9.8412514739108,8.86516654781208,1
647408.910128826,4185698.85875658,1521297839.60306,7.2336119223930995,6.969136026683401,2
647408.18001305,4185698.80401765,1521297844.66334,7.7797213322003795,6.426523724040459,1
647406.71988906,4185698.69454817,1521297854.78316,8.46740679361805,4.44365034300458,2
647406.009874937,4185704.05880006,1521297880.07955,7.745880821636339,6.80970587458686,1
647405.583732651,4185707.27836616,1521297895.26221,6.65352460389965,7.05597050726588,1
647405.299520141,4185709.42563616,1521297905.3882198,5.49065932681142,6.84274035558179,2
647405.693759324,4185710.92929178,1521297910.45228,4.69095745844576,7.2981196381939615,2
647405.769630131,4185712.22900186,1521297915.51483,5.65846512935942,7.02616382499154,1
647405.845497684,4185713.52866071,1521297920.5771801,6.40874301872738,6.64372998132504,1
647405.921351211,4185714.82808651,1521297925.63862,7.01177223086746,6.1298371455002805,1
647406.07311401,4185717.42780291,1521297935.76487,7.90428381377072,4.52384742396921,2
647404.591244259,4185718.2679471,1521297950.95521,8.624748679896701,6.285771969081429,1
647402.615417501,4185719.38813959,1521297971.20901,9.12710482182058,7.41425072168578,1
647399.654123632,4185721.05848798,1521298001.5839698,9.04581103865537,7.5413233625941505,1
647398.172417391,4185721.89877875,1521298016.77605,8.623489575179489,6.945668764003671,1
647397.678361676,4185722.17896045,1521298021.84165,8.41946533406237,6.629173867739871,2
647397.06194488,4185722.30944035,1521298026.90216,8.67313727808264,6.69100886114489,1
647396.444801413,4185722.44006979,1521298031.9687,8.898403761793801,6.692048734700888,1
647395.212307301,4185722.70093783,1521298042.08686,9.270874123531787,6.51080028211174,1
647392.744491257,4185723.22323582,1521298062.3464198,9.74446008860301,5.28079476737713,1
647390.276467339,4185723.74557508,1521298082.6076698,9.894522609844213,0.654168274627886,2
647388.320636631,4185722.1718072,1521298097.78738,9.68869131521073,4.495401303881558,1
647386.364704988,4185720.59795653,1521298112.96787,9.306001687924107,5.45400584410527,1
647385.0600363939,4185719.54813691,1521298123.0938,8.94169796237089,5.514831447493559,1
647384.407686324,4185719.02321419,1521298128.1568801,8.72275045029615,5.38852750622378,1
647381.798383013,4185716.92360285,1521298148.40846,7.5513050443451295,3.4839864529342903,1
647381.146355589,4185716.39894213,1521298153.46902,7.1664224737709805,2.2510495110338904,3
647380.657091336,4185715.81520878,1521298158.53144,5.6695234775230015,4.31581488960406,2
647380.011386771,4185715.03081958,1521298163.5951,5.815304704292671,4.94396825425927,1
647378.720821645,4185713.46308275,1521298173.71577,5.7382041606767,5.63377464033662,1
647378.075389463,4185712.6790306,1521298178.77729,5.50996066154319,5.76339977478781,1
647377.4301158229,4185711.89517205,1521298183.83757,5.13707792384478,5.76621907680064,1
647376.784270023,4185711.11060756,1521298188.90237,4.58218548350257,5.64291514808107,1
647376.138324351,4185710.3259203,1521298193.96796,3.76675506331775,5.38361211097363,2
647376.282978044,4185710.09446338,1521298199.03239,4.79882636503278,4.81036914528246,1
647376.427651121,4185709.86297709,1521298204.09746,5.345959061191059,3.75188041977132,2
647379.619691308,4185712.67825883,1521298224.34912,5.57762031855696,4.730435633005991,1
647380.41785886,4185713.3822161,1521298229.4130301,5.250925408733929,4.31766077959527,2
647380.9443544471,4185713.75600519,1521298234.47425,5.43813241675416,4.69323226533284,1
647381.471176201,4185714.13001985,1521298239.53857,5.48230851030048,4.8450825347503,1
647383.050608823,4185715.25134763,1521298254.72174,4.7322319543969815,4.02525379308685,1
647383.576881155,4185715.62498161,1521298259.78084,4.09957201516545,3.14801412389891,2
647383.564417598,4185715.27367892,1521298264.84181,2.14736585892431,4.7340175603762695,2
647384.501159156,4185714.65918643,1521298280.0300698,1.72295280345954,6.40121019549726,2
647385.350905024,4185714.30943247,1521298290.15763,4.10324943031728,7.0983734730643615,1
647385.7757689629,4185714.13455937,1521298295.22131,4.68878143652902,7.36630390011428,1
647386.2005616421,4185713.95971703,1521298300.28413,5.09328518646449,7.588416730592459,1
647387.9003540929,4185713.26007932,1521298320.54285,5.4649316258627305,8.08331034613798,1
647388.750364075,4185712.91021138,1521298330.6735802,4.9679268032079005,8.11764461493855,1
647389.17526219,4185712.73532351,1521298335.73766,4.50561943789118,8.08356643179072,1
647390.025055445,4185712.38554902,1521298345.8658,2.82368512468151,7.91068208801082,2
647391.51675275,4185712.26461658,1521298355.98826,4.50278064728599,7.77352357696874,1
647392.2625453611,4185712.2041555,1521298361.04912,4.926498591099429,7.64135774083326,1
647394.501537295,4185712.02262404,1521298376.24264,5.256541109465919,6.958608347939402,1
647395.248005384,4185711.96210152,1521298381.30807,5.08704266710559,6.6192394852348695,1
647397.487153475,4185711.78055745,1521298396.50263,3.46062800127195,5.11266119385791,2
647398.018764408,4185711.57496733,1521298401.56828,3.73382263230002,4.90859317553067,1
647398.550144486,4185711.36946987,1521298406.63173,3.4588755879441404,4.46948668558141,1
647399.08182985,4185711.1638499,1521298411.69809,2.45770496088366,3.71224809069031,2
647399.478328325,4185710.87030186,1521298416.7648802,4.04341761073357,1.6254441151439398,2
647400.10071222,4185711.16122358,1521298421.82881,4.542772194039411,3.24323072644801,1
647400.7233198261,4185711.45224687,1521298426.8945599,4.8302542427944415,4.15001212562095,1
647401.967755961,4185712.03393978,1521298437.01974,4.89285341357892,5.20563678215677,1
647402.590099602,4185712.32484335,1521298442.08334,4.67526263310746,5.502363803092082,1
647403.212505247,4185712.61577513,1521298447.14744,4.2643584155710785,5.68146225315516,1
647403.83493401,4185712.9067174,1521298452.21172,3.5940787868672,5.75385734161937,2
647404.55680782,4185713.25957975,1521298457.2755196,4.402841903561692,5.9692146185086905,1
647406.000358605,4185713.96521059,1521298467.40173,5.154898892004139,6.0351191201585115,1
647406.7222009479,4185714.31805794,1521298472.4653,5.22425783926195,5.88974826944854,1
647408.166265942,4185715.02393445,1521298482.5950902,4.794677764822129,5.192499506135428,2
647409.19266267,4185715.3447566,1521298492.72629,4.70227385832738,4.9459545265706,2
647409.912576391,4185715.37464863,1521298502.85885,4.48904671507403,5.10714233874888,1
647410.272410077,4185715.38959109,1521298507.92342,3.77320362547075,4.76277750806578,2
647409.416248648,4185714.17775793,1521298518.0484,4.57225948175406,3.06023112226177,2
647410.357946991,4185715.62344315,1521298523.11305,3.41237237896625,4.25919124798954,2
647410.755817075,4185718.0344136,1521298538.30937,4.952767184303809,3.8001797337025,1
647410.8884402079,4185718.83806907,1521298543.37479,4.97140525569664,2.8260089809781497,2
647413.017327001,4185724.29591087,1521298558.56143,4.2138193379504,4.04279169834983,1
647413.727236952,4185726.11590536,1521298563.6256402,3.39152500272937,3.65128873846523,2
647413.658764582,4185727.23208151,1521298568.6872401,3.60746972290365,3.63831297223218,1
647413.521847599,4185729.46392904,1521298578.80814,2.3871450868858,1.90864255018224,4
647412.0884482521,4185730.12326798,1521298583.86895,3.48439968665963,2.2637481148403302,1
647410.654117701,4185730.7830363,1521298588.93306,4.12434441735929,0.277165534137515,2
647409.233789044,4185731.96792447,1521298593.99493,4.461261624786982,1.62802738139307,2
647407.712521442,4185732.87694464,1521298599.05728,5.14680774732381,2.90035522993617,1
647404.670116139,4185734.69490778,1521298609.18156,6.040116631568051,2.31990645236582,2
647394.002766501,4185736.12427692,1521298639.55932,8.0547947580124,6.625767489017,1
647383.33520529,4185737.55367519,1521298669.93768,8.66546930141757,7.72732810342981,1
647378.000041842,4185738.26913067,1521298685.11729,8.56277425205444,7.68720929969368,1
647370.883216019,4185739.22349802,1521298705.36606,7.997060766372759,7.031347581157418,2
647368.3101055679,4185740.82074137,1521298715.48905,8.44961252928253,7.67168892441496,1
647367.023395619,4185741.61945807,1521298720.55115,8.6340092097366,7.93489927940884,1
647365.736420765,4185742.4183375,1521298725.61429,8.792929935064041,8.16523042717631,1
647359.307515855,4185746.4090668,1521298750.90661,9.24449242609945,8.89860377861475,1
647358.0193741671,4185747.208694,1521298755.97437,9.26949630009217,8.972751801643831,3
647356.7302683761,4185748.00894396,1521298761.0457401,9.27806233830708,9.02409663573979,1
647351.588815328,4185751.20066408,1521298781.2720401,9.091771742416778,9.001907136793301,1
647350.299339613,4185752.00117194,1521298786.34479,8.990744693608741,8.94193880916129,1
647347.72961711,4185753.59650118,1521298796.4542,8.72448865136271,8.75003969623317,1
647346.439932554,4185754.39718759,1521298801.52787,8.552506980273009,8.61878918329798,2
647345.151566065,4185755.19713906,1521298806.59654,8.357882733958741,8.46172188983847,1
647340.007945111,4185758.39086225,1521298826.83238,7.26063468091351,7.538972200838879,1
647338.72323604,4185759.1885582,1521298831.8866599,6.8914464779816615,7.22116419784397,1
647337.435733374,4185759.98797831,1521298836.95186,6.47124600790551,6.85934563486323,1
647334.86311101,4185761.58534741,1521298847.07294,5.434541811502662,5.9722390166138695,1
647332.288125413,4185763.18419341,1521298857.20338,3.9524498236645,4.762094574121759,1
647331.00164945,4185763.98298377,1521298862.26458,2.8455804364369905,3.94815067736179,2
647328.382497295,4185765.74310212,1521298867.32361,0.643900767502684,4.9173613964831295,2
647327.623297566,4185767.26369203,1521298872.38396,2.14086469815599,5.278898778788969,1
647326.863673454,4185768.78512611,1521298877.44712,0.801558267825097,5.513115557230001,2
647324.697515245,4185776.1564366,1521298902.76079,4.7469071675765,4.63851346695168,2
647321.58131508,4185783.469959,1521298923.01508,6.31373915616291,6.21751111224388,1
647320.02329948,4185787.12652012,1521298933.14167,6.59389129007115,6.48069449175929,1
647319.244582298,4185788.95411555,1521298938.20306,6.63474657653646,6.5062601145064916,1
647318.46558406,4185790.78236871,1521298943.26626,6.61314039708411,6.468550127119651,1
647317.687263115,4185792.60903289,1521298948.32505,6.52698694854882,6.3575217603888605,1
647316.12855336,4185796.26721434,1521298958.4560199,6.15028187089535,5.91795523351252,1
647314.569760532,4185799.92559269,1521298968.58752,5.44746947144135,5.11036361577838,1
647313.790825953,4185801.75368767,1521298973.65025,4.93370140166942,4.51075320271534,1
647313.011765325,4185803.58208097,1521298978.71379,4.26154182169363,3.70494817787612,2
647312.69385523,4185804.87962566,1521298983.7750301,4.51527223341028,3.2600067822929595,1
647312.375892029,4185806.17739149,1521298988.83714,4.42176030944303,1.7296529538363998,2
647311.98793193,4185807.65455558,1521298993.90184,4.540287903339848,0.0986622890072536,2
647311.2115931999,4185810.0618614,1521299004.03146,4.21119851132987,3.40731041619849,1
647310.823779367,4185811.26443444,1521299009.0917199,3.71714277905235,3.70407573974976,2
647310.7582356379,4185814.38408692,1521299019.2211301,4.94299638963757,4.92385455410105,1
647310.725476207,4185815.94314568,1521299024.28334,5.31121699107819,5.28675275055202,1
647310.594442429,4185822.17917422,1521299044.53149,5.75491874195629,5.6865139199228505,1
647310.5289772779,4185825.29454292,1521299054.6470199,5.4280200812620985,5.3232726648528095,1
647310.3979737189,4185831.52918406,1521299074.89082,3.15020383359792,2.79568504474913,1
647310.365237441,4185833.08692655,1521299079.94879,1.58000610702017,0.310773912085306,3
647310.930104335,4185832.34331732,1521299085.0099099,2.80671902905493,1.53133345441741,2
647311.397711926,4185832.23403854,1521299095.12954,4.21964596653007,3.93397102615375,1
647312.333008566,4185832.01546344,1521299115.3705199,4.179033730187689,4.95396024466061,1
647312.5667867811,4185831.96082881,1521299120.42978,3.62922783794562,4.81924386379654,1
647312.800488406,4185831.9062107,1521299125.48744,2.68305694620912,4.525131721279942,2
647312.878603341,4185831.94388005,1521299130.54981,3.4606513117696296,4.45631399910006,1
647312.9566683121,4185831.98152116,1521299135.60903,3.78744619357207,4.18619776172342,1
647313.034760194,4185832.01917491,1521299140.66984,3.782675959464661,3.6703650025889294,1
647313.112901225,4185832.05685774,1521299145.73412,3.4442311632718905,2.7742793786199504,1
647313.191007385,4185832.09452086,1521299150.79619,2.6476317027099103,0.453209121111849,2
647313.48569224,4185830.83430004,1521299155.85998,0.30695149617803497,0.8019372005532309,3
647313.141541832,4185830.04251072,1521299160.9228199,0.23260004186367106,2.65836612210811,2
647312.974898933,4185828.41806047,1521299171.04954,3.03662817906182,3.3259421499567803,1
647312.808229206,4185826.79336797,1521299181.17777,1.96595221177374,1.7221728224698505,2
647312.525649728,4185825.75272438,1521299186.23919,1.59482677038402,2.15468434040546,2
647312.482716425,4185824.5353049,1521299191.29865,2.94109167455743,3.17977984947703,1
647312.439758799,4185823.31704705,1521299196.3616,3.4854349690092,3.61756214891056,1
647312.310891075,4185819.66245274,1521299211.5497,2.6388098340416204,2.6537540680052003,1
647312.2679261289,4185818.44394147,1521299216.6137,0.0810584046153948,0.188734686088602,4
647311.386060174,4185817.48766782,1521299221.6765301,0.473174627077426,1.9821365493924,2
647310.318622875,4185816.57501458,1521299226.73878,0.18223691086218,0.137317057783824,4
647308.816151215,4185815.80009091,1521299231.8024304,0.10893093180080198,0.12589052635283998,4
647307.088584428,4185815.48912123,1521299236.86324,2.03486691643725,2.03397557722248,1
647305.360470876,4185815.17805061,1521299241.92565,0.156970241311824,0.0975918830532702,3
647303.3272570911,4185814.53988343,1521299246.98733,2.03568706381299,2.03428722868711,1
647301.2937408111,4185813.90162223,1521299252.0497599,0.180071516248899,0.12913504137894602,3
647300.1433256271,4185814.24953722,1521299257.11107,1.62780374402713,1.71559003716835,2
647298.737335259,4185814.35522571,1521299262.1723,2.52877516896472,2.32983181304042,1
647297.331593415,4185814.46089689,1521299267.23264,2.4166522099203,1.6167989314637,2
647295.687007311,4185814.9238188,1521299272.29345,2.37091148048406,2.18993202407074,1
647294.042706764,4185815.38666041,1521299277.35338,0.24743708500289605,0.160357224646732,4
647292.1931707211,4185815.06737264,1521299282.41403,2.4720043889812904,2.39438008261981,1
647290.34276564,4185814.74793839,1521299287.47706,2.7938091479716003,2.5212762977589103,1
647288.493172287,4185814.4286472,1521299292.53786,2.26534280785692,1.37780277764369,2
647286.175291751,4185814.88109519,1521299297.5984,0.7578268556995071,2.26993678493606,2
647283.93908264,4185815.36071996,1521299302.66021,2.06775198441651,2.33064000859053,1
647281.702848076,4185815.84035012,1521299307.72208,0.113936828507083,0.174323651571034,3
647280.2227872079,4185815.44550193,1521299312.78528,0.257226787145161,0.10677192326408197,4
647274.817785465,4185813.88040658,1521299327.9707,3.58418105632671,2.62283464419638,1
647273.016151931,4185813.35871803,1521299333.03241,3.43289284639883,1.10150069419546,2
647271.0866042579,4185812.43360903,1521299338.09336,3.2957842610062302,2.16492369030823,1
647269.157926783,4185811.50891673,1521299343.15203,2.75974294831119,1.52512532734716,2
647266.967790378,4185811.05842541,1521299348.2099302,2.47805549977367,2.17227907740113,1
647264.777231475,4185810.60784868,1521299353.26881,0.470037270813205,0.11721231107888,3
647262.686841384,4185810.43171006,1521299358.32997,2.4957512624711,2.45663472036893,1
647260.596327474,4185810.25556055,1521299363.3914301,2.82107264724616,2.75680506959902,1
647258.506010683,4185810.0794283,1521299368.45241,2.32646325247486,2.16998253288406,2
647256.504698374,4185809.99837647,1521299373.5118802,2.34313591925825,2.3043855954982,1
647254.503372441,4185809.91732407,1521299378.5713801,0.10546183919199198,0.111286079179106,4
647252.735293624,4185809.59180688,1521299383.63082,2.09025423618512,2.3095766091309704,1
647250.96766642,4185809.26637153,1521299388.68898,0.976183676140683,2.19017866792391,2
647251.356407373,4185808.0868623,1521299393.7497,0.092323358005189,0.171854373273151,3
647248.635730467,4185805.79235407,1521299403.8704,0.998250160436427,2.98580465609066,2
647246.331820471,4185803.35889019,1521299413.99288,0.9844278629280172,2.41105490842914,3
647245.352633432,4185803.22465242,1521299419.05308,2.12616469934904,1.83743809857533,2
647244.755698508,4185802.64771657,1521299424.1139,2.29468404428484,2.23133186105051,1
647244.158693411,4185802.07071232,1521299429.1753,0.0955249674541175,0.116146611004378,4
647243.189064989,4185801.39196149,1521299434.23493,1.70662799384229,1.67308937537952,2
647242.499795088,4185800.4267575,1521299439.29479,2.20817112691182,2.54737086940947,1
647241.810547756,4185799.46158521,1521299444.35449,0.6432608093452651,2.31475768206226,2
647241.78418292,4185798.67670465,1521299449.41751,1.22810134790771,0.224139282403672,3
647241.156259084,4185801.12323001,1521299454.4788196,2.12526912013901,2.0370702933368,1
647240.528209242,4185803.57025192,1521299459.54115,0.0787166277260284,0.12413757869438,5
647239.254540833,4185806.06323376,1521299464.6055698,0.532096764862434,2.2555978802310097,2
647238.212821619,4185808.50143046,1521299469.66697,1.0887650044595798,2.0533773823453103,2
647236.874368405,4185811.09635285,1521299474.72784,0.11376131925795,0.0877795938024297,4
647235.063537008,4185813.68716002,1521299479.78808,2.03669404949856,2.03514271874388,1
647233.251920861,4185816.27908406,1521299484.85052,0.24689510400687695,0.167039308214826,4
647230.952767197,4185818.80390911,1521299489.9121401,0.111713280142121,0.119123441563378,3
647228.717475377,4185820.45790922,1521299494.97411,1.1436501675763,2.0708929194176,2
647224.658336372,4185823.98818704,1521299505.09897,0.0857163184170023,0.141445012284996,5
647222.1784192739,4185826.64624486,1521299510.1625,0.0911935735188529,0.15909034553443602,5
647219.045833119,4185828.58939011,1521299515.22766,0.542660978712084,2.29665733514408,2
647215.9390239089,4185830.52695992,1521299520.2940302,2.0845397444117,2.3491314249561204,1
647212.833146143,4185832.46395159,1521299525.35888,0.7104659649014309,0.3643942688584071,4
647209.101729965,4185834.55144895,1521299530.4240198,2.5774694472843103,0.394187485969168,2
647205.401996961,4185836.33387534,1521299535.4868,2.95283336299959,0.929905276406287,2
647201.670143396,4185838.2188891,1521299540.55008,3.04891949160864,0.566710591600912,2
647197.926740707,4185840.19667625,1521299545.61389,2.37197426877365,1.22675067219727,2
647193.982506939,4185842.58407737,1521299550.67735,1.7848067504548402,1.39390301072359,2
647188.821539979,4185843.41477293,1521299555.74194,1.7417993360501998,0.267384664855669,3
