x,y,tnum,x_sd,y_sd,num_rx
647410.7111745661,4185688.79469754,1521940550.44834,5.968891671756259,6.77957939567004,2
647409.954799743,4185688.12321832,1521940555.4516802,5.99387540877511,6.719103942369079,1
647409.198218196,4185687.45155386,1521940560.4564,5.97911653912393,6.630443165148551,1
647406.170349773,4185684.76351452,1521940580.48549,5.50500620581169,5.96366034929366,1
647405.413276278,4185684.09140931,1521940585.49347,5.26845641000171,5.70515761972341,1
647403.899984697,4185682.7479657005,1521940595.50374,4.60866764722256,5.04187709764713,1
647403.143126406,4185682.07605338,1521940600.5102801,4.155595362419089,4.61582434930333,1
647401.629514845,4185680.73232289,1521940610.52268,2.81138917219461,3.4608456305971003,1
647400.87296525,4185680.06068698,1521940615.5271802,1.5852457996121898,2.60119651169764,2
647400.165171806,4185679.41839952,1521940620.53635,0.98308560495661,1.66889692582273,4
647398.11878848,4185680.37552556,1521940625.54666,1.08862151989708,1.94575774705668,3
647396.094276006,4185681.12474252,1521940630.55755,0.838425364869775,1.5654485065909498,3
647393.3614846999,4185682.27765596,1521940635.56614,1.19036703112632,2.29026171928373,2
647391.497249557,4185683.87716605,1521940640.57374,2.20383121940406,2.6303675175711496,2
647387.083934291,4185686.13388575,1521940650.5903199,2.1160923339343403,2.4138148599426,1
647384.877175634,4185687.26229722,1521940655.59884,0.603745715718807,1.4114292378252802,3
647382.0242051829,4185688.8982429,1521940660.60935,2.11051563618204,2.3973659870681097,1
647379.1723873629,4185690.53352789,1521940665.61782,2.38457138238247,2.6823887458602003,1
647376.319479898,4185692.16943549,1521940670.6282198,2.0181272587471204,2.51726212438093,2
647375.22694373,4185695.21134203,1521940675.6349,1.05686687886336,3.1136096794842003,3
647373.294405028,4185697.12600915,1521940680.6428301,2.2769755728045697,3.3246220241360303,1
647369.4301428089,4185700.95453856,1521940690.65658,2.63421516397286,3.05663582306607,1
647367.498202535,4185702.86861411,1521940695.66296,2.1498898535911297,2.50529962517593,1
647365.5657899671,4185704.78315781,1521940700.67056,0.418482017319258,1.31689388847213,3
647364.598960683,4185705.65166678,1521940705.6775699,0.670432585441108,1.80587906591578,2
647363.500958164,4185706.47209678,1521940710.68534,0.325766237201289,0.971893612924381,3
647362.212558878,4185707.35345936,1521940715.69403,0.6605189913104971,1.68092912380802,2
647361.045983079,4185708.28222968,1521940720.70297,0.267397104129817,0.715435325084648,3
647360.285723244,4185708.84676826,1521940725.71153,1.97472825355417,1.77901646185637,1
647359.525888636,4185709.41098929,1521940730.71727,2.08479430263236,0.920232688874728,2
647358.6380025779,4185709.63492795,1521940735.7271302,1.00151186872875,2.04823193436543,2
