x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647400.655616254,4185734.64896444,1521443164.39376,9.29864586480741,11.028537263222802,2,647400.5344624325,4185734.506396025,1521443199.856725,2018-03-19 07:06:39.856725,-0.003640515225578969,-0.2988667479597865,0.3529175480078485,-0.00359999567455932,-0.2875348587512051,0.3391684081415126,-0.0033507056873669366,-0.2617496738278984,0.3075832034605623,-2.357845747977573,-5.497221
647400.413308611,4185734.36382761,1521443235.31969,9.052436502524301,9.75202425001359,1,647400.3015795494,4185734.2312419796,1521443268.2522402,2018-03-19 07:07:48.252240,-0.003521585135834754,-0.2997696480748887,0.3539505651720076,-0.00344866153513837,-0.2884062643777409,0.34019211883745126,-0.003196987848057456,-0.2625666277643325,0.3085856305599982,-2.3578510393640753,-5.497221
647400.189850488,4185734.09865635,1521443301.1847901,6.65887724520509,6.831651138785808,2,647399.5177228556,4185733.4444444347,1521443306.250425,2018-03-19 07:08:26.250425,-0.00323312786471594,-0.3026436164784966,0.35709838660717474,-0.003108826296871439,-0.2911773976941795,0.34330311947664804,-0.0028535232136504135,-0.265147493314691,0.31160303078171925,-2.3578707847596636,-5.497221
647398.845595223,4185732.79023252,1521443311.31606,7.21502730165839,6.27119035233376,1,647397.837127825,4185731.80864395,1521443318.916605,2018-03-19 07:08:38.916605,-0.0035442574305831337,-0.30910983681120674,0.3633068411874189,-0.003405199726996419,-0.29733472536030126,0.3493756221881018,-0.003160997670672197,-0.27084034924778255,0.3174122510791001,-2.3579137294287773,-5.497221
647396.828660427,4185730.82705538,1521443326.51715,7.70136658662638,4.83704550048283,2,647397.4500717961,4185733.71641125,1521443344.247015,2018-03-19 07:09:04.247015,-0.003124563617595749,-0.30744338530781695,0.35985591251657045,-0.002994548395250235,-0.2957593409710229,0.3458709261961463,-0.0027768263739290228,-0.2691097975239865,0.3135539508220134,-2.357955470445559,-5.497221
647398.071483165,4185736.60576712,1521443361.97688,7.46044700790137,5.99671001324605,1,647398.781961706,4185739.90993114,1521443382.24963,2018-03-19 07:09:42.249630,-0.00388692337969182,-0.292909386698045,0.3417957843276176,-0.003966743081541338,-0.28130420437908665,0.32718342140332835,-0.003796383629493555,-0.25560893710202004,0.29495617815732955,-2.3579244816881837,-5.497221
647399.492440247,4185743.21409516,1521443402.52238,6.25833269566051,5.5124798305053,1,647399.6699197285,4185744.040900155,1521443407.59161,2018-03-19 07:10:07.591610,-0.0059268997132546075,-0.28234866308686274,0.32755946107646056,-0.005710352453481227,-0.27101668527240197,0.3126715625599967,-0.005456826689078362,-0.24625221504526212,0.2807730060755512,-2.357887157449013,-5.497221
647399.84739921,4185744.86770515,1521443412.66084,5.743308049773389,5.0664087702676515,1,647399.935945098,4185745.280225085,1521443415.19003,2018-03-19 07:10:15.190030,-0.006346418096527612,-0.2767262471544078,0.3194892107121574,-0.0060855236018183545,-0.2653094065810977,0.30412002550906836,-0.005864318079204137,-0.24163162658161644,0.2735457453810316,-2.357893484220839,-5.449521261737072
647400.024490986,4185745.69274502,1521443417.71922,5.440247138756631,4.77610693428219,1,647400.202060547,4185746.51997587,1521443422.7909899,2018-03-19 07:10:22.790990,-0.006440731071932548,-0.27195182371236015,0.31371310730499935,-0.006207380434245874,-0.2607889063793873,0.2985040780306267,-0.0058379807695083386,-0.23665272004462867,0.2673286256571346,-2.3578978118406493,-5.474300937620312
647400.379630108,4185747.34720672,1521443427.86276,4.709716182306809,4.01266018108488,2,647400.2262082105,4185747.484279225,1521443430.39685,2018-03-19 07:10:30.396850,-0.005813637307588479,-0.2689956917633955,0.3103053431713135,-0.005465129728901327,-0.25805498641568714,0.29531407614169963,-0.005404247714717224,-0.23318478170607754,0.26322328036457004,-2.357907362111874,-5.508478885408353
647400.072786313,4185747.62135173,1521443432.9309402,4.71658593178722,4.14406596544665,1,647399.305642029,4185748.3067454454,1521443445.601975,2018-03-19 07:10:45.601975,-0.007842650218501487,-0.27037358308819354,0.3129837776693283,-0.007861466839587217,-0.25974957320372327,0.2986579271212494,-0.007756999114834712,-0.232310375750535,0.26348173138738207,-2.3579473399823883,-5.614345509432789
647398.538497745,4185748.99213916,1521443458.27301,3.38884473435354,3.0359902839122004,2,647398.101693559,4185749.1306613954,1521443463.343215,2018-03-19 07:11:03.343215,-0.00719446752764949,-0.27176576310590084,0.314804649448955,-0.007053825332315702,-0.261229993947517,0.300670544894729,-0.007780190766077465,-0.2336131568300754,0.26539828076205324,-2.357982812217939,-5.628659400839861
647397.664889373,4185749.26918363,1521443468.41342,3.0392385181412704,2.5550441900657703,2,647397.6051313365,4185749.9536965657,1521443470.948335,2018-03-19 07:11:10.948335,-0.006610121076860445,-0.2707750013489717,0.3136264379759869,-0.006345503022779822,-0.2603576932903613,0.299615110881379,-0.007620995447964893,-0.23261949146058353,0.26424148098823075,-2.3580010044999797,-5.639396946216493
647397.5453733001,4185750.638209501,1521443473.48325,2.34752655900193,2.55154418566235,3,647396.91654664,4185750.8341051955,1521443476.017165,2018-03-19 07:11:16.017165,-0.006349069495991538,-0.26982938144387447,0.31207490058632364,-0.006009743518414962,-0.2594535336813444,0.2980359014931248,-0.007676265103374047,-0.2317423414083596,0.26288184281612736,-2.3580084946357864,-5.640246673130177
