x,y,tnum,x_sd,y_sd,num_rx
647469.640391506,4185632.22583205,1521386081.72988,13.5190207999145,14.2443692570384,2
647470.092569069,4185632.64224508,1521386086.75848,13.5579361170901,14.156682426911097,1
647470.5447143461,4185633.05862998,1521386091.78674,13.543897879436901,14.0224620889209,1
647472.354149571,4185634.72493441,1521386111.90916,12.9445578108585,12.983168885234498,1
647472.805991674,4185635.14105095,1521386116.93414,12.6496622439442,12.582754393136899,1
647473.25803447,4185635.55734642,1521386121.96131,12.289429285006197,12.115828658740304,2
647473.98677945,4185636.2543401,1521386126.9892,12.3100792097544,12.018949527375801,1
647474.715559829,4185636.95136693,1521386132.01734,12.2581285120686,11.843971954607902,1
647475.44449881,4185637.64854231,1521386137.04656,12.1327192205316,11.5874185376408,1
647476.173442181,4185638.34572162,1521386142.07581,11.931386954902301,11.2435704610552,1
647477.631273323,4185639.74002708,1521386152.13392,11.2835704749085,10.2571709046022,2
647478.23680265,4185640.19559871,1521386162.19494,11.1544626462499,10.2791104346382,1
647478.539505267,4185640.42333909,1521386167.22444,11.046928126115901,10.2347661016832,1
647481.582700975,4185642.67880601,1521386217.52598,7.98165403901507,7.34966767350402,1
647482.488076545,4185643.35888554,1521386232.6098301,5.83118340518794,4.90401479920327,3
647480.8613149279,4185642.87854639,1521386237.63964,6.05668183361045,5.32475357268729,1
647479.235333687,4185642.39843614,1521386242.66704,5.848946409462969,5.1034079458207,2
647477.686810137,4185642.00685492,1521386247.69313,6.082144346371501,5.554996411787549,1
647476.1386668,4185641.61536641,1521386252.71799,6.06107828104328,5.672719616265731,1
647473.043066439,4185640.83255221,1521386262.76553,5.20758603752613,4.93546208441384,4
647471.7027453079,4185641.31950676,1521386267.79114,6.042393380732781,5.84404632666956,1
647456.9786966611,4185646.66395047,1521386323.08632,9.54057847873748,9.87262957850602,1
647448.945634368,4185649.5800231,1521386353.24941,9.111873549509367,9.88189540666856,1
647447.605517254,4185650.0669822,1521386358.2745,8.894105455493712,9.76345325811953,1
647446.265015087,4185650.55407967,1521386363.30104,8.62794438730973,9.608483557729619,1
647444.924141437,4185651.04130982,1521386368.32897,8.30905317847514,9.4152051159496,1
647443.583414069,4185651.5284876,1521386373.35636,7.93096730380586,9.181282258612722,2
647441.690203889,4185651.53777268,1521386378.38278,7.961401357209259,9.610494062870153,1
647436.010805211,4185651.56562755,1521386393.4614198,6.9452191659959,10.3384052722807,1
647434.1177712671,4185651.57491244,1521386398.48737,6.1363542872472,10.416236172382801,2
647428.6017219629,4185651.69695154,1521386413.56139,7.589229287090862,10.406794934072199,1
647426.7636524161,4185651.73762136,1521386418.58439,7.800267706450009,10.310749404814,1
647424.925323157,4185651.77829605,1521386423.6081,7.898553737927768,10.1665760952997,1
647423.086511814,4185651.81898001,1521386428.63314,7.88842780847355,9.97214708231381,1
647417.568173528,4185651.94106853,1521386443.71348,7.17810284035512,9.05060037989498,2
647416.488969485,4185652.58501471,1521386448.7429998,7.44497053309001,9.151087484902401,1
647414.331687247,4185653.87224566,1521386458.79678,7.73981567548453,9.217732490945233,1
647413.252660638,4185654.51608855,1521386463.82548,7.7771943038157785,9.18482428052751,1
647408.9365696771,4185657.09145408,1521386483.9402401,7.188881739846329,8.59166273294479,1
647404.620195587,4185659.66698382,1521386504.0564,5.01028767977624,7.09079826791571,1
647402.460896238,4185660.95540307,1521386514.11973,2.2669217549464302,5.7990496997950185,3
647398.831498004,4185674.61122391,1521386544.28389,7.1242580741980985,7.63645962710512,1
647397.0118269171,4185681.44245555,1521386559.36461,7.65453475064036,7.46024770325778,1
647395.191929973,4185688.27454859,1521386574.44726,7.5136271605651395,6.556054947057401,1
647394.5851396071,4185690.55251588,1521386579.47614,7.315943861663059,6.0444573496937295,1
647393.978223279,4185692.8309636,1521386584.50609,7.03427618254907,5.38292815375176,2
647392.377059198,4185696.87784095,1521386594.5615199,7.25369809598003,6.104803961132902,1
647391.576144669,4185698.9021296,1521386599.5913599,7.209930034736309,6.19820615155679,1
647387.572012221,4185709.02245147,1521386624.73774,5.17721739309348,3.75698494257756,2
647384.597820377,4185711.17365118,1521386634.79382,4.92955311244293,1.37984116197397,2
647383.369528248,4185713.26135407,1521386639.8204901,4.28453489576769,2.92825629593622,1
647380.911515754,4185717.439195,1521386649.87972,0.5856039862883461,1.42783963868125,4
647378.168337966,4185718.85524159,1521386659.93636,0.331253938777975,0.928344225663403,5
647375.886514297,4185721.5672862,1521386664.96907,2.0062717949944897,1.5682855810211498,2
647374.0487867079,4185724.88271941,1521386670.00087,0.375489835289316,1.37736961645429,4
647366.210950651,4185727.41173003,1521386685.09323,2.0421392778089897,2.62760104358681,2
647365.050304087,4185729.3746949,1521386690.12527,0.314654784998323,2.4691248332095896,3
647362.668413675,4185729.8199294,1521386695.15725,0.386116009442326,2.6412498040441403,2
647359.914315805,4185730.31105464,1521386700.18961,0.37882999962852,0.131765601067729,4
647357.30864929,4185732.096434,1521386705.22201,2.35039736825695,1.5242302760784598,2
647354.695143307,4185733.86967973,1521386710.25437,3.72915036433048,0.27209439592518,2
647352.144627705,4185734.66139891,1521386715.2832901,4.43912006051113,0.944408189499066,2
647349.473535663,4185736.02546663,1521386720.31223,4.9212931577664,1.0955301167547902,2
647341.730802036,4185738.88914481,1521386735.40091,5.1815817260237695,4.3958946509326,1
647339.150697773,4185739.84340332,1521386740.42889,4.8373459217087005,4.37800640901207,1
647336.569700644,4185740.79798838,1521386745.4586198,4.2179608422858585,3.98678499423405,1
647333.988362403,4185741.75269884,1521386750.4890099,3.1631074702624704,3.0846666619165,1
647331.406621368,4185742.70755807,1521386755.52019,0.21300956439901,0.17089087658577,3
647329.025504517,4185743.2138853,1521386760.55026,0.5559921405608511,2.2979442125562097,2
647326.698917801,4185743.73226659,1521386765.57805,0.152404720050568,0.357978570400948,3
647324.16745617,4185744.41094634,1521386770.6050901,0.328183487798601,2.45021327114709,2
647322.190877071,4185745.1527015,1521386775.63013,3.0606331651367302,1.10738615312375,2
647320.150888561,4185745.71531163,1521386780.65684,4.0150420467537495,3.20692415912721,1
647318.1098197739,4185746.27821891,1521386785.68622,4.4600138532433,3.99879129522028,1
647316.068871083,4185746.84109427,1521386790.7153099,4.54828117770365,4.2824555646768,1
647314.027697594,4185747.40403264,1521386795.74495,4.2997850302887,4.16268011461574,1
647311.98696133,4185747.96685076,1521386800.77352,3.65382613010141,3.6011522778016203,1
647309.9463680721,4185748.5296309,1521386805.80174,2.28488040048261,2.29120812200546,2
647309.603243551,4185750.78332167,1521386810.82655,1.48512661456974,1.91201867391252,2
647308.898452794,4185753.31808539,1521386815.85111,1.9207859767739,1.8464445841279096,4
647307.755598051,4185756.98676488,1521386820.8769698,1.9958014004021,1.4703965118982398,3
647306.857194748,4185759.02001117,1521386825.90469,1.10532729843788,1.53466719988718,4
647307.916945971,4185760.06822204,1521386830.9296,0.227996178899314,0.26128323959919897,4
647306.9169722879,4185762.07124957,1521386835.95622,0.691856630752728,0.565954275270527,3
647304.854501944,4185763.42478337,1521386840.98247,1.87154100440983,1.62025076661545,2
647304.43513784,4185766.71737564,1521386846.0071,0.194164304838328,0.190643423971534,4
647302.4324061311,4185768.53768226,1521386851.03295,0.7435054605356121,2.24116527756163,2
647300.185202556,4185770.27908435,1521386856.06007,0.113252949066436,0.153120256750352,6
647298.938206279,4185772.48646012,1521386861.08742,3.07358327786713,1.14706109686971,3
647294.66136957,4185779.08070156,1521386876.1684802,5.99533086576767,0.393717804007005,2
647293.25085977,4185781.02976384,1521386881.1962,6.52297903733268,3.25533890644427,1
647287.608369363,4185788.82664557,1521386901.3087199,7.67647368292068,6.37316026751274,1
647284.78655157,4185792.72588337,1521386911.36702,7.82108806817836,6.97367076736036,1
647280.555492723,4185798.57242448,1521386926.4484901,7.5505735541937105,7.198279703153781,1
647279.146379699,4185800.51954823,1521386931.47119,7.321507839913171,7.11008074625792,1
647277.7352129921,4185802.4694869,1521386936.50119,7.01606433502753,6.93508730521196,1
647274.913853408,4185806.36803031,1521386946.55774,6.12259599369789,6.298165924000959,1
647272.092351307,4185810.26676944,1521386956.61479,4.6632317885956605,5.151265963936769,1
647269.270966425,4185814.16534807,1521386966.67143,1.42390625388868,2.9532216463566603,2
647268.2913402161,4185815.90762488,1521386971.69945,2.12738920500726,0.8700263854783159,3
647265.793696604,4185818.97260558,1521386976.72775,0.8130659378410591,0.865260462111289,3
647263.721711294,4185819.78537349,1521386981.7572,2.2282376639621,1.2392927448157098,2
647261.9009669629,4185820.1419955,1521386986.78534,2.49568524558573,2.24777380635594,2
647260.454471451,4185820.89063527,1521386991.8141801,3.70357075942367,2.02770488868,2
647259.374757349,4185822.31936038,1521386996.84092,4.47885915006696,3.47541353683525,1
647258.293704042,4185823.74985239,1521387001.87391,4.8478316270705495,3.94902257650261,1
647257.214644324,4185825.17772965,1521387006.89773,4.9064755608827815,3.8327823576277407,1
647256.133761186,4185826.60800978,1521387011.93006,4.66198428933133,3.05299909848688,2
647253.737032535,4185829.0881364,1521387021.9877,4.58592341955437,3.6964461129547,1
647251.340881857,4185831.56768099,1521387032.043,3.03449220063968,0.5981336377680191,3
647250.2783264411,4185831.86292175,1521387037.07439,4.142547126042549,3.14978987948264,1
647246.027514096,4185833.04403671,1521387057.20292,5.04266790630709,4.03349565311126,2
647244.7164242279,4185836.28275529,1521387072.29185,6.25199700905995,5.4364882583804714,1
647242.082476092,4185842.76266694,1521387102.4635,5.01945900333687,0.522079407432003,2
647241.212699736,4185844.97814458,1521387112.5242698,2.9171662783411496,0.339400037065015,3
647241.545907934,4185845.26110923,1521387132.64374,4.61942215801918,3.2171874507207696,2
647240.89413371,4185844.28184752,1521387142.70259,6.18887009716239,0.624017510939966,2
647240.644619819,4185844.62578218,1521387147.7242599,6.707719651703,3.2859697443728297,1
647240.144275503,4185845.31548046,1521387157.79365,7.4584412955856,5.30922458595421,1
647239.645725602,4185846.00274757,1521387167.8282099,7.9082268440322,6.39498559913855,1
647239.145790939,4185846.69200653,1521387177.8910198,8.10980803729234,7.00120471728935,2
647238.646626935,4185847.38023218,1521387187.9395401,8.08037250875309,7.2444461415289405,1
647238.395694257,4185847.72628094,1521387192.99124,7.9783192498577415,7.244867611879799,1
647238.146168081,4185848.07048696,1521387198.01572,7.81682335417701,7.16400196519114,1
