x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647411.019021281,4185668.64656693,1521968124.84624,2.92385628655919,4.5957189496294415,2,647410.1913643461,4185668.115809045,1521968127.3487701,2018-03-25 08:55:27.348770,0.001552665636996603,-0.4884473479941304,0.5157830706405219,0.002102403527430602,-0.47226356878113956,0.5045001553446458,0.0044483095862993954,-0.40230997302797444,0.4460356852399932,-2.0058468652375705,-6.871527
647409.363707411,4185667.58505116,1521968129.8513,2.92280470033902,3.05325891891968,3,647409.314081126,4185667.67527373,1521968132.35458,2018-03-25 08:55:32.354580,0.003519104828984765,-0.48582495303933426,0.5136162794142696,0.004209280260260323,-0.4692232695509514,0.5020822453765922,0.00782718535125225,-0.39823787307332914,0.44366591842932956,-2.0057022754042597,-6.871527
647409.264454841,4185667.7654963,1521968134.8578598,1.25178154000792,2.11199110605849,3,647407.9376982285,4185668.799134835,1521968137.36233,2018-03-25 08:55:37.362330,0.0028722815614927732,-0.48402075416101653,0.515608141517006,0.0035248205241239644,-0.46735309044601464,0.5039747832604051,0.006525501433014239,-0.39605978283303733,0.4453272140673405,-2.0058137662540663,-6.871527000000001
647406.610941616,4185669.83277337,1521968139.8668,2.03757516288425,3.58210098063817,2,647405.4779117715,4185670.97598133,1521968142.37188,2018-03-25 08:55:42.371880,0.002566025103626496,-0.48034106551762046,0.5190519063390657,0.0034186507942478433,-0.46358252663329796,0.5072627806093942,0.0055682098096511284,-0.3920415532046187,0.4485082639544522,-2.0060151667102617,-6.858395552324476
647404.344881927,4185672.11918929,1521968144.87696,3.33928364695932,4.61260004392751,1,647403.2116270685,4185673.2626239955,1521968147.382535,2018-03-25 08:55:47.382535,0.0013755023761147372,-0.4884507624309556,0.5303430874774631,0.002396116411982993,-0.4714075256649308,0.5182305374015534,0.004286897503019527,-0.3947561853807132,0.45137257127638714,-2.006794533499791,-6.852020819702501
647402.07837221,4185674.4060587008,1521968149.88811,2.8514834993967098,5.02754286669719,2,647400.8613800535,4185675.5010747807,1521968152.3922348,2018-03-25 08:55:52.392234,0.00659147195224119,-0.4987251560216081,0.5397173598161797,0.008122008921204155,-0.4811291185905978,0.5268483192213849,0.006091072854253282,-0.4009757223157016,0.4531713643447807,-2.0077692101426945,-6.777545422014445
647399.644387897,4185676.59609086,1521968154.89636,4.25579088758266,5.6625777001821,1,647395.9925843895,4185679.8818861702,1521968162.410425,2018-03-25 08:56:02.410425,0.004685146696169401,-0.5046108505454503,0.5276883635555945,0.0056833276233601016,-0.48702158656351624,0.5135026102423879,0.0044767026238420465,-0.4227333312380237,0.4516196619648801,-2.0092869057092395,-6.4233148508661095
647392.340780882,4185683.16768148,1521968169.92449,5.73962502609558,6.30866544135478,1,647389.906644264,4185685.35785732,1521968174.93303,2018-03-25 08:56:14.933030,0.00482922715856296,-0.4900007038335319,0.5171459480367167,0.006119339817585029,-0.4708519920797803,0.5005799507483671,0.011287659087596255,-0.3935269087124228,0.42213566015349785,-2.0095062705733913,-6.417163305075871
647387.472507646,4185687.54803316,1521968179.9415698,5.496378880910691,5.868341157228,1,647385.037938166,4185689.738601725,1521968184.950995,2018-03-25 08:56:24.950995,0.008039727344380049,-0.49763414478996437,0.5197246872867564,0.00955315156647396,-0.4787277506630335,0.5029131058389098,0.01483209233080765,-0.4061573981456734,0.42902183184285586,-2.0097848174153023,-6.4541924617137045
647382.603368686,4185691.92917029,1521968189.96042,4.16921342285302,4.54514982176215,1,647381.3865221945,4185693.0240602903,1521968192.4642248,2018-03-25 08:56:32.464224,0.00698094358129378,-0.5075364408463577,0.5228361644463245,0.008531101017946574,-0.4895071641496035,0.5061555886719439,0.006431576935736483,-0.43025845992924616,0.44519156481875327,-2.0109102329477238,-6.171084156262854
647380.1696757029,4185694.11895029,1521968194.96803,2.68080701472759,3.2583277753733504,2,647379.214609507,4185695.42965835,1521968197.4715052,2018-03-25 08:56:37.471505,0.006143301394952977,-0.5050361911721694,0.5167535873511768,0.007506271586585053,-0.48571529102229094,0.49821805293928517,0.01174181424004099,-0.4272343805294454,0.4374605642135151,-2.011431678836234,-5.921215810387331
647378.259543311,4185696.74036641,1521968199.97498,0.479885113817251,3.0947866003016604,2,647377.057777256,4185698.0195995597,1521968202.47885,2018-03-25 08:56:42.478850,0.00914142228877414,-0.5048335427775499,0.5155030802786618,0.010621553879686427,-0.48683538860068964,0.4981149470735384,0.025672054448675166,-0.42144176955625295,0.42986006418881434,-2.0110289431975943,-6.238669373120501
647375.856011201,4185699.29883271,1521968204.98272,0.262959321595872,0.58617542477551,4,647374.523531174,4185700.246541555,1521968207.486205,2018-03-25 08:56:47.486205,0.01186974191843379,-0.49584015290276306,0.5030682781051469,0.013170470607411833,-0.47843076870509393,0.4859017197875229,0.020393669053148197,-0.3818772860779431,0.3839663010983902,-2.0105935895933555,-6.845409506757869
647373.1910511471,4185701.1942504,1521968209.98969,0.458708327071687,1.17962149251811,3,647371.6267613645,4185702.19727206,1521968212.4945602,2018-03-25 08:56:52.494560,0.011163468565633036,-0.49601017904658995,0.49469403544183527,0.01221277076102105,-0.47893003973385584,0.47721575237439,0.009620756787562676,-0.40575958172761095,0.398773070091902,-2.01055938486639,-6.471756677121438
