x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647440.665623147,4185683.96230688,1521432275.49514,4.07382164801848,2.5809615251575897,2,647440.9270943105,4185684.47324974,1521432278.02885,2018-03-19 04:04:38.028850,-0.0034878139684268172,-0.20406046931939148,0.2443571212884432,-0.0033037381084676035,-0.197064642464372,0.23778665231715218,-0.0025084379328144113,-0.17752156515341372,0.21628373811627055,-2.218729646590089,-5.803373625048127
647441.188565474,4185684.9841926005,1521432280.5625598,3.54100430244843,2.94787274591248,3,647440.945103802,4185685.0401185704,1521432283.0959399,2018-03-19 04:04:43.095939,-0.003495665743648166,-0.2029462648537318,0.24425153739843106,-0.003290746407337404,-0.19596325229320813,0.23765095765261943,-0.002516811387343852,-0.17667082905192244,0.21631178788357014,-2.2187426887184487,-5.7785857538602965
647440.70164213,4185685.09604454,1521432285.62932,3.67127135471128,2.7931643533359103,2,647440.5708541521,4185685.6825042097,1521432290.6968298,2018-03-19 04:04:50.696829,-0.003487646042048806,-0.20225508513647905,0.24382427941641774,-0.003253491954986247,-0.19528396310892288,0.23718703653864423,-0.00253232804162086,-0.17617386236464774,0.2158296361157984,-2.218749323191006,-5.772082
647440.440066174,4185686.26896388,1521432295.76434,3.6822422288716297,2.7790933726670297,3,647440.1860949025,4185686.550992025,1521432298.298445,2018-03-19 04:04:58.298445,-0.0033729304336060015,-0.20232872610583266,0.24284114622880942,-0.0031154897289529596,-0.19544557783393202,0.23622725269724754,-0.002448120420792864,-0.17641948184201225,0.21493021442209229,-2.2187570186498333,-5.772082
647439.932123631,4185686.83302017,1521432300.83255,3.92019447610415,3.1204513208047904,1,647439.4241795975,4185687.397078125,1521432305.90078,2018-03-19 04:05:05.900780,-0.0031302132402368996,-0.20275686232812173,0.2424550066104018,-0.0028454536549139334,-0.1958873620051968,0.2358070424607985,-0.002197491644442176,-0.1767672925684227,0.21441499160381294,-2.2187714939190197,-5.772082
647438.9162355639,4185687.96113608,1521432310.9690099,4.3041873733801514,3.6353119458882897,1,647437.9003681259,4185689.089229175,1521432321.105265,2018-03-19 04:05:21.105265,-0.0029222882973245976,-0.20319314530483845,0.24152429443120568,-0.0026320617757709178,-0.1963351464559409,0.23480428942262188,-0.0019597459971146536,-0.1770294741577999,0.21320289207547496,-2.2188009575614513,-5.772082
647436.884500688,4185690.21732227,1521432331.24152,4.796063253260232,4.23959746213827,1,647436.6306056594,4185690.49926588,1521432333.774865,2018-03-19 04:05:33.774865,-0.003069179882186933,-0.20355669125655124,0.24074874977240146,-0.0028170287387319567,-0.1967082763836704,0.233968714528837,-0.0021443562491972323,-0.17724794487332146,0.21219287285158933,-2.2188255090419964,-5.772082
647436.3767106311,4185690.78120949,1521432336.30821,4.872142999476232,4.3250228920258,1,647436.122800291,4185691.0631700847,1521432338.84171,2018-03-19 04:05:38.841710,-0.0031931340280924245,-0.20370208094135164,0.24043859244462695,-0.002970247018858445,-0.19685749892905888,0.23363454982894813,-0.0022985485190666066,-0.17733531591174373,0.2117889441355949,-2.2188353277083315,-5.772082
647435.868889951,4185691.34513068,1521432341.37521,4.93161147667771,4.38793726286151,1,647434.5987392245,4185692.755599755,1521432354.048705,2018-03-19 04:05:54.048705,-0.0035052207650088305,-0.20347692230080994,0.24020611535889386,-0.0033812048873553893,-0.19648486983347543,0.23317968157279106,-0.002668611327655876,-0.1767748417019258,0.21118582895419571,-2.2188795440986957,-5.739958455235346
647433.3285884979,4185694.16606883,1521432366.7222,4.99332946438447,4.38738879713166,1,647432.566475938,4185695.012374955,1521432374.326515,2018-03-19 04:06:14.326515,-0.003431618912946202,-0.20261661168135284,0.24117996583359314,-0.003457439615591855,-0.19530805224228964,0.23374838808808784,-0.003362899827693673,-0.1739681956886862,0.20951313742439456,-2.218901143697017,-5.755942121284279
647431.804363378,4185695.85868108,1521432381.93083,4.84352520536788,4.12894475239776,1,647430.7886978905,4185696.98654901,1521432392.065065,2018-03-19 04:06:32.065065,-0.002895210504479495,-0.20254098636615786,0.2413688345354416,-0.0031324531856289223,-0.19509717207810567,0.23370719649818347,-0.004665472986453152,-0.1730925442280439,0.20836665894139716,-2.218912768177792,-5.772082
