x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647395.776614819,4185714.24194752,1522031609.45029,10.0253660486706,8.86881797978634,2,647396.235574152,4185714.756080125,1522031611.975315,2018-03-26 02:33:31.975315,-0.002502159968515605,-0.541127873920584,0.6050527779936379,-0.002764630305901433,-0.5245093700748644,0.5885100327116572,-0.003788153621939336,-0.4584676285018558,0.5157207096678091,-1.8640265110852825,-5.885392680837157
647396.694533485,4185715.27021273,1522031614.50034,10.028154190593598,8.80786880777005,1,647399.4535651144,4185718.3546003196,1522031629.6445599,2018-03-26 02:33:49.644559,-0.003007387994603178,-0.524214035179482,0.5994459020527139,-0.0031852959832462946,-0.5071478789505012,0.5819885988622338,-0.003197576442288075,-0.443431426059076,0.509923905130166,-1.8638917879326051,-5.772082
647402.212596744,4185721.43898791,1522031644.78878,8.9060469298386,6.598815031340259,1,647403.1299544065,4185722.466358725,1522031649.835555,2018-03-26 02:34:09.835555,-0.006284721604665644,-0.5011964403868933,0.5862800105082144,-0.005865355568509006,-0.48454613072713515,0.5686946863349776,-0.003960536418562033,-0.429109993206801,0.5048757700302324,-1.863805091295982,-5.597325002018341
647404.047312069,4185723.49372954,1522031654.8823302,8.000875146381361,4.65584439980126,2,647406.4923429166,4185726.8724915204,1522031662.453905,2018-03-26 02:34:22.453905,-0.007443361054941006,-0.4746791072040263,0.5644552670235641,-0.007255050256572568,-0.45969903484302943,0.5480569988909509,-0.00625540459648688,-0.41516360834285054,0.4956057734093623,-1.8637282584618868,-5.49130864523878
647408.937373764,4185730.2512535006,1522031670.02548,6.59473403412274,5.10398536274659,1,647410.567432926,4185732.5038144505,1522031675.07332,2018-03-26 02:34:35.073320,-0.009621221445225328,-0.4335297038467086,0.5199219072229826,-0.009502861096286994,-0.41863914912373246,0.5019078932500206,-0.008779621995590764,-0.37345064688194574,0.4442764303561585,-1.8635085552207866,-5.47598622451721
647412.197492088,4185734.7563754,1522031680.12116,5.02171910852913,3.93074763002876,1,647413.0121656795,4185735.882167475,1522031682.64398,2018-03-26 02:34:42.643980,-0.013592248595948153,-0.4065814407930432,0.48311145765895225,-0.013576320523834812,-0.3940096525469507,0.4668086422382342,-0.010864595172486738,-0.3593516711122582,0.42174213433476737,-1.8635352414416464,-5.235392317154112
647413.826839271,4185737.00795955,1522031685.1668,3.83567532156178,2.471397812799009,2,647414.5439393241,4185737.984206435,1522031687.6892152,2018-03-26 02:34:47.689215,-0.020437706403987135,-0.3768993696745813,0.4414427751843395,-0.02205386724266417,-0.3634500250494568,0.42246328625131696,-0.01947058420166664,-0.33339168293497196,0.38302249618809,-1.8633435457891665,-5.040789374143375
647415.2610393771,4185738.96045332,1522031690.21163,3.98163641437164,0.455969340918889,3,647415.0136819365,4185739.31986949,1522031692.7359,2018-03-26 02:34:52.735900,-0.021196717010486754,-0.3603134120360269,0.41867291699503595,-0.023037882100988033,-0.3460249400079849,0.3977301754460158,-0.019930869733176787,-0.3184061026491912,0.3615587967123828,-1.8632525107667606,-4.912737278378942
647414.766324496,4185739.67928566,1522031695.26017,5.05856551536149,3.28445275442105,1,647414.0242726605,4185740.757504345,1522031702.832765,2018-03-26 02:35:02.832765,-0.022350662751363007,-0.3615473020072312,0.41618544767802523,-0.024195714439188942,-0.34752825908497414,0.3953623360583696,-0.020236511570159932,-0.3193840245657641,0.358039711467398,-1.8633562452719152,-4.960576245489402
647413.282220825,4185741.83572303,1522031710.40536,7.165028925017659,6.25074291161842,1,647413.034693273,4185742.195387895,1522031712.931395,2018-03-26 02:35:12.931395,-0.022828020181230257,-0.3628666808057732,0.4140013368581522,-0.024477476718468588,-0.3491162050660194,0.39329841413515804,-0.019972427945940285,-0.320252128925092,0.35454684437790235,-1.8634666508078443,-5.013126665839279
647412.7871657211,4185742.55505276,1522031715.4574301,7.66644603487188,6.88116322478122,2,647410.8140055116,4185745.4292054903,1522031735.653605,2018-03-26 02:35:35.653605,-0.020917622987209658,-0.35858716759878284,0.40659580005788776,-0.022050227615196677,-0.3455556583590378,0.38549383078009336,-0.018073611318286775,-0.31625553074618784,0.344220947573175,-1.8636114447505425,-5.084514920682169
647408.840845302,4185748.30335822,1522031755.84978,9.87200836816257,9.636992545195401,1,647408.3462871604,4185749.02285292,1522031760.89925,2018-03-26 02:36:00.899250,-0.025554316723191514,-0.35458474918623517,0.3984166106728198,-0.0272441688593065,-0.3411232555847319,0.3763161981859703,-0.02262507401436975,-0.3118423802425147,0.33485092076368295,-1.8637937096040713,-5.080536924338096
