x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647368.3650941671,4185702.53260888,1522079634.11148,3.9155779557732497,2.68294012093627,2,647368.3803997205,4185702.54144595,1522079636.63116,2018-03-26 15:53:56.631160,0.014649824710442988,-0.6169504983087671,0.6063580951573739,0.013376759515637271,-0.5940254129275082,0.5826212395856045,0.0112008018784691,-0.5035950271129749,0.4856732846987637,-1.8204168793570703,-6.078267967482199
647368.395705274,4185702.55028302,1522079639.15084,0.466526390133761,1.50327184578243,3,647366.4096671945,4185704.2341943197,1522079644.1905,2018-03-26 15:54:04.190500,0.012407176859194263,-0.6099705228276171,0.603893882723174,0.011379645012618289,-0.5876753249268873,0.5807699792271012,0.011328799211317256,-0.4959696636439612,0.48351039562678244,-1.820501118027047,-6.162650806873085
647364.423629115,4185705.91810562,1522079649.23016,5.59842018997371,5.705908035801281,1,647363.4299209574,4185706.7606488597,1522079651.751755,2018-03-26 15:54:11.751755,0.01753046975475092,-0.5985053337513817,0.5964853771884511,0.01835770698352432,-0.5791489071584904,0.5760757542115635,0.016462772002695664,-0.4866249169276687,0.47751589965497176,-1.8203611061723362,-6.360831865448794
647362.4362128,4185707.6031921,1522079654.27335,6.34314920684379,6.411900725403321,1,647361.443071689,4185708.44525127,1522079656.7934952,2018-03-26 15:54:16.793495,0.021713629449349764,-0.5843194542868944,0.5757409370596308,0.022570671606146703,-0.5638281440763231,0.5539839440412903,0.017948747104108237,-0.47502912058305913,0.45982865735032746,-1.8202484718419878,-6.2629141182422625
647360.449930578,4185709.28731044,1522079659.31364,6.683691812318901,6.72761825383279,1,647359.4564287915,4185710.1296782102,1522079661.8347049,2018-03-26 15:54:21.834705,0.020606415536979755,-0.5816993728500892,0.5686170808140839,0.021516379874484154,-0.56112866517034,0.5464593797445164,0.017069344096388647,-0.4774633752256199,0.4574634545137221,-1.8202715694585687,-6.17810321410136
647358.462927005,4185710.97204598,1522079664.3557699,6.68246313780693,6.7087545676183895,1,647357.4692228895,4185711.8145874003,1522079666.877355,2018-03-26 15:54:26.877355,0.01838310154195663,-0.5949985280302721,0.5799696583693292,0.01909908406483185,-0.5757195881675289,0.5586511843549217,0.01460657843629383,-0.49779887357789043,0.474644690270982,-1.8204653885075581,-6.128072902392789
647356.475518774,4185712.65712882,1522079669.39894,6.338732263054039,6.352132648743732,1,647354.4887336115,4185714.341675585,1522079674.440515,2018-03-26 15:54:34.440515,0.018132068762572895,-0.5884244296959326,0.5735176186485771,0.01853368304912964,-0.5698956206276674,0.5528948415833977,0.014717082606425999,-0.4992932980144338,0.4767711524529779,-1.8208660409595165,-6.0852513578598
647352.501948449,4185716.02622235,1522079679.48209,4.22771396772837,4.22528537797346,1,647351.508715932,4185716.868358605,1522079682.002475,2018-03-26 15:54:42.002475,0.0211786062482289,-0.5692844296370434,0.5469186231124843,0.021806254210228387,-0.549675304944528,0.5251414436190152,0.01996520114483963,-0.48165282777396345,0.453266689467525,-1.8212453704649538,-5.92925411216991
647350.515483415,4185717.71049486,1522079684.52286,0.239347065737659,0.117555639470789,3,647349.2397793711,4185718.529043715,1522079687.0439398,2018-03-26 15:54:47.043939,0.021359464431610492,-0.568713546881688,0.5447953445497098,0.02188401979737503,-0.5490424250242785,0.5229320045115853,0.018631142377967674,-0.4795831534050246,0.44909589365136526,-1.8215136548941147,-5.990749239321737
647347.964075327,4185719.34759257,1522079689.5650196,0.185337693144613,0.150737823641648,3,647346.537498906,4185720.331563385,1522079692.0879948,2018-03-26 15:54:52.087994,0.0212465897254539,-0.5657737820509522,0.5403812470439177,0.021721177198543662,-0.5459673960450114,0.5183311901043666,0.017233785469491683,-0.47495138231027245,0.4424128809470994,-1.821828205273687,-6.046354240992226
