x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647427.664827036,4185718.47396572,1521899582.1797,7.30537419495617,6.51010745095415,2,647427.6680052255,4185718.47010013,1521899589.7267652,2018-03-24 13:53:09.726765,-0.012633280368584326,-0.3201453421616709,0.40638292605139203,-0.012886603515278455,-0.3065799226778527,0.38952698668957897,-0.009844644403305153,-0.27691808711836635,0.3512135126677234,-2.2435118364117734,-5.329083946718878
647427.671183415,4185718.46623454,1521899597.2738302,6.445245659076671,5.52712085051486,1,647427.6733062745,4185718.46365486,1521899602.3087802,2018-03-24 13:53:22.308780,-0.012629662476107167,-0.320165009920656,0.4064093599607119,-0.012882481287207079,-0.30660197296702874,0.3895573495905254,-0.009838545327219991,-0.27695869658481953,0.35126643935548524,-2.2435120801598054,-5.328810216841993
647427.6754291339,4185718.46107518,1521899607.34373,5.800792258633032,4.759630435593482,1,647427.676487442,4185718.4597873604,1521899609.858465,2018-03-24 13:53:29.858465,-0.01262749147419906,-0.32017681025844313,0.4064252202887596,-0.012880007646803165,-0.30661520298291123,0.38957556751971556,-0.009834885432432564,-0.27698306383549454,0.35129819763770476,-2.2435122264239666,-5.328645951048264
647427.67754575,4185718.45849954,1521899612.3732,5.450416068195,4.32557204698616,1,647427.679670837,4185718.4559215503,1521899617.40924,2018-03-24 13:53:37.409240,-0.012625320352114167,-0.3201885867343713,0.40644105422824495,-0.012877533869469826,-0.30662840900133553,0.389593758036343,-0.00983122533505007,-0.27700741272678037,0.3513299350782681,-2.243512372660028,-5.328481569128336
647427.681795924,4185718.45334356,1521899622.44528,4.6702763686690405,3.28825202455163,3,647427.557649642,4185718.336032465,1521899624.96131,2018-03-24 13:53:44.961310,-0.012623198590787726,-0.3216954798337125,0.40811974681435137,-0.012875116333803449,-0.30814979796007735,0.3913451768650714,-0.009827648450483617,-0.27823338308743306,0.35273949732732357,-2.243514723526636,-5.334849796199469
647427.43350336,4185718.21872137,1521899627.47734,4.6657892173073705,3.17825206943429,2,647426.944442088,4185717.5662968,1521899629.9935799,2018-03-24 13:53:49.993579,-0.012248491680616244,-0.3304899931418922,0.41798183645181725,-0.012439982445593925,-0.3170603884930453,0.4016744736071435,-0.00950394097656991,-0.2857415329513638,0.361461501157173,-2.2435315013358004,-5.366894840049071
647426.455380816,4185716.91387223,1521899632.50982,4.8826305259129805,2.81651689891716,2,647426.4845226825,4185717.5832328647,1521899637.54664,2018-03-24 13:53:57.546640,-0.012254882112595275,-0.33274491403878736,0.4203118478564869,-0.012447688794386416,-0.31924876496522464,0.40399343861955805,-0.009545330267092894,-0.2865861078815617,0.362181689226451,-2.2435264477453782,-5.390779967489159
647426.513664549,4185718.2525935,1521899642.5834599,4.389794504143049,3.51502938544953,2,647426.460927445,4185718.50407795,1521899645.10045,2018-03-24 13:54:05.100450,-0.013000678887070655,-0.3261399739213805,0.4125874223470619,-0.013305217527669944,-0.31240261253295964,0.3957088607267156,-0.01046400817156666,-0.27921905781134987,0.35320625950507967,-2.2434988838455565,-5.3917740982016245
647426.408190341,4185718.7555624,1521899647.61744,4.58364793718435,3.78636066485628,1,647426.144545346,4185720.012800265,1521899660.20051,2018-03-24 13:54:20.200510,-0.013574457776217463,-0.3204891238955657,0.4067774941403633,-0.013958981413275354,-0.3067087671363765,0.38959591981774216,-0.011431289848136891,-0.27577158368980736,0.34979270052136574,-2.2434658442475843,-5.3432109019845795
647425.880900351,4185721.27003813,1521899672.78358,4.9254355892341515,4.070862591582031,1,647425.8281758544,4185721.52146353,1521899675.299975,2018-03-24 13:54:35.299975,-0.014061971253650468,-0.31640363974988817,0.40321075936630224,-0.01449900448253795,-0.30274363905478796,0.38598402248162306,-0.012656607606104958,-0.2756899080229054,0.35088761615460595,-2.2434390379695244,-5.267567353811659
647425.775451358,4185721.77288893,1521899677.81637,4.880648014266081,3.93523184923299,1,647425.669996389,4185722.27576911,1521899682.8494449,2018-03-24 13:54:42.849444,-0.014371586611766601,-0.31436096967393007,0.40142745527225615,-0.014837043367672914,-0.30076114495983824,0.3841781379683923,-0.013488299529809386,-0.2756490730636118,0.3514350568537579,-2.243425635293584,-5.229746886864666
647425.56454142,4185722.77864929,1521899687.88252,4.67472870580979,3.43212871693549,1,647425.45902565,4185723.281836875,1521899692.9186502,2018-03-24 13:54:52.918650,-0.015054903903920627,-0.31040791152876435,0.3957421719985089,-0.015582149252963737,-0.29677492806249395,0.3781706873575057,-0.015118909391823157,-0.2721568933048741,0.3457889642439278,-2.2434188357753806,-5.22236
647425.35350988,4185723.78502446,1521899697.95478,4.29311002620648,2.454828710787,2,647425.2224171495,4185723.814853725,1521899700.47265,2018-03-24 13:55:00.472650,-0.015241335304967324,-0.30920500055404965,0.3936346413127734,-0.015785791418961387,-0.2955643709817908,0.3759258415781763,-0.015640561287171728,-0.2710401350511096,0.34352718456611747,-2.243416209224727,-5.22236
647425.091324419,4185723.84468299,1521899702.99052,4.06904321838845,2.72140980560044,2,647424.5812494215,4185723.66671065,1521899708.02419,2018-03-24 13:55:08.024190,-0.014745155134238297,-0.3152197463410674,0.4010447550012661,-0.015173970178330276,-0.3016958047733008,0.38371341187507435,-0.014779380640006501,-0.27727314642126294,0.35156901480108704,-2.2434167640382983,-5.22236
647424.071174424,4185723.48873831,1521899713.05786,3.1835344402220804,2.47638564930168,1,647423.8160665235,4185723.399724975,1521899715.5753698,2018-03-24 13:55:15.575369,-0.013841691687859856,-0.32292310251068307,0.4106312219902179,-0.014057521591944913,-0.309546200565222,0.39379279266032075,-0.013229590555999357,-0.2852361248449091,0.3619688327943597,-2.2434178606659945,-5.22236
647423.560958623,4185723.31071164,1521899718.09288,2.54110927256758,1.91038118696779,3,647423.94762879,4185724.200744115,1521899723.129895,2018-03-24 13:55:23.129895,-0.014288660458120342,-0.31720104310312885,0.40276141663828074,-0.014570723974575303,-0.30373370635915,0.38548282678209833,-0.014291748211271965,-0.2794766311580389,0.35346145368777426,-2.2434140342018676,-5.22236
647424.334298957,4185725.09077659,1521899728.16691,1.73928233474929,0.660381322417216,3,647424.0097104551,4185725.76871166,1521899730.6826448,2018-03-24 13:55:30.682644,-0.01452333259622969,-0.30757079090454004,0.3892432951848671,-0.014843084910267243,-0.29395810471275724,0.3711969113730206,-0.014827414679295076,-0.26984006729893895,0.338858103489463,-2.2434064955934194,-5.22236
647423.685121953,4185726.44664673,1521899733.19838,2.47596218548199,1.69394818219906,1,647423.360216703,4185727.12525476,1521899735.71662,2018-03-24 13:55:35.716620,-0.014138276398866986,-0.3048895673641182,0.3843363586567177,-0.01443149579592079,-0.2912650898924706,0.36596321456553615,-0.014070322033474553,-0.2673943172604797,0.33359801330986494,-2.243399799220532,-5.22236
647423.0353114529,4185727.80386279,1521899738.23486,2.932432402827509,1.68828782015751,1,647422.7105795455,4185728.482105425,1521899740.751755,2018-03-24 13:55:40.751755,-0.014756582546441355,-0.3020071473068304,0.37868326097240407,-0.015374808315714153,-0.2882380178890222,0.3597907772107738,-0.014277464044826826,-0.2644260439598475,0.3271860729385166,-2.2434077635701506,-5.22236
647422.385847638,4185729.16034806,1521899743.26865,3.2291239108291,0.614026401709021,2,647422.0559274795,4185730.1359864,1521899745.785435,2018-03-24 13:55:45.785435,-0.01801272841175404,-0.29814525904229927,0.3718899701866789,-0.018383116647598466,-0.2844455103914195,0.3527494453522893,-0.015704724580963156,-0.2608225069107561,0.3200383612709188,-2.243404078019584,-5.222360000000001
647421.726007321,4185731.11162474,1521899748.3022199,3.41196012053887,1.89683036717273,1,647421.3960662895,4185732.08732332,1521899750.81917,2018-03-24 13:55:50.819170,-0.019153196804832698,-0.2895212541311616,0.36106398632140824,-0.020811140296903105,-0.2750232727648764,0.3405868494117609,-0.016072176838208004,-0.2539912828218657,0.3113257492501048,-2.24338347595507,-5.104438796882688
647421.066125258,4185733.0630219,1521899753.33612,3.49547373455582,2.36883249116666,1,647420.4060732495,4185735.0149246,1521899758.3713198,2018-03-24 13:55:58.371319,-0.02049044488967637,-0.2745034037447682,0.342038057340185,-0.022860736716976346,-0.2582465177483111,0.31875796829511355,-0.016929617458589494,-0.24259346065027534,0.2970860753300007,-2.2433781470878387,-4.846939018672867
