x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647349.774262085,4185758.69088095,1521942163.48233,4.1614962180731405,3.91461529393719,2,647349.6698301486,4185758.5802596947,1521942166.008795,2018-03-25 01:42:46.008795,-0.0012365104658815518,-0.48051785972954725,0.49812301287741234,-0.0012122660958997777,-0.46569527154743007,0.4807600087550566,-0.0013259991722036624,-0.4182290686179809,0.4266443535680273,-2.041313859345656,-5.772082
647349.565398212,4185758.46963844,1521942168.53526,4.1560520108464,3.9188054197516298,1,647348.1031067905,4185756.922395635,1521942203.9089398,2018-03-25 01:43:23.908939,-0.0009985479123376245,-0.485261204539352,0.5002039710655426,-0.0009044634521191836,-0.4703641903259364,0.48293275062944185,-0.0008379797029621772,-0.42306848845903283,0.42934836600468795,-2.0414561899361456,-5.772081999999999
647346.640815369,4185755.37515283,1521942239.28262,3.78423629726582,3.63272493475475,1,647346.2235734779,4185754.93321824,1521942249.3869648,2018-03-25 01:44:09.386964,-0.0007840710494844416,-0.4906774632141072,0.5025198633575586,-0.0005229662081654152,-0.47533798861710214,0.485029175237579,0.0002397705066414929,-0.4268585987019601,0.43081588871160514,-2.0416217439651207,-5.772082
647345.806331587,4185754.49128365,1521942259.49131,3.56117505331693,3.41781748705711,1,647345.7021051815,4185754.3808887303,1521942262.015365,2018-03-25 01:44:22.015365,-0.0007503221954298783,-0.49215695852742136,0.5032260972315861,-0.00048317546102873143,-0.4766576991956998,0.4856474572472789,0.0003316459826847029,-0.4276595434333354,0.4311155592019841,-2.041662142673281,-5.772082
647345.597878776,4185754.27049381,1521942264.53942,3.49535734457368,3.35271830374504,1,647345.2849175856,4185753.93901144,1521942272.1184,2018-03-25 01:44:32.118400,-0.0007474275482066139,-0.4933405914923001,0.5037911018071075,-0.0004729194660685193,-0.4777135004108042,0.4861420981496227,0.0003964323959911309,-0.4283003191062568,0.4313553029863659,-2.041694462643172,-5.772081999999999
647344.971956395,4185753.60752907,1521942279.69738,3.26962435886694,3.12533352517532,1,647344.13644995,4185752.7230313853,1521942299.919395,2018-03-25 01:44:59.919395,-0.000999954548079468,-0.49659844158131555,0.505345711635731,-0.0006647503611585392,-0.4806195371930799,0.4875030467653855,3.8945344122173764e-05,-0.43006412741419864,0.43201471043224443,-2.0417834296296835,-5.772082
647343.300943505,4185751.8385337004,1521942320.1414099,2.37553360489072,2.17708756880775,1,647342.8834021494,4185751.3962910953,1521942330.252955,2018-03-25 01:45:30.252955,-0.0013410288062908893,-0.5072116030718101,0.5131796026600923,-0.0009738982092422493,-0.49042974206218526,0.4945781833499232,-0.0006713928917645856,-0.4390330898731644,0.4382991955463099,-2.0671897898937197,-5.772082
647342.465860794,4185750.95404849,1521942340.3645,1.6089277549122,1.2752973639820702,1,647342.361409574,4185750.8434182955,1521942342.89398,2018-03-25 01:45:42.893980,-0.0009748440455021601,-0.5093764096307097,0.5139016936473177,-0.0006937790855855025,-0.49241092103902434,0.4951522818428289,-0.00017518934388834062,-0.4408719472278618,0.43884308185087545,-2.0672797148706326,-5.772082
647342.256958354,4185750.732788101,1521942345.42346,1.33011777630525,0.8860657998492509,2,647342.1308454741,4185750.6367149805,1521942350.479775,2018-03-25 01:45:50.479775,-0.0008614707979646974,-0.510100999794212,0.5139792845877493,-0.0006155401757449996,-0.4930920181639691,0.49520715105315743,-1.709831409732465e-05,-0.44145801242606314,0.43890270210797194,-2.0673076120289897,-5.772082
647342.004732594,4185750.54064186,1521942355.5360901,0.87788945084011,0.8090923300076329,2,647341.941694009,4185750.49261883,1521942358.0635352,2018-03-25 01:45:58.063535,-0.0007733002572228032,-0.5106518133561622,0.5139968623990365,-0.0005538696547138094,-0.49361305249239773,0.4952098014644987,9.926943683265244e-05,-0.4419106009613881,0.4389136355809658,-2.0673292582853717,-5.772082000000001
647341.878655424,4185750.4445958,1521942360.59098,0.126949448857144,0.0960863336304895,4,647340.2769003594,4185751.2362602,1521942363.1170602,2018-03-25 01:46:03.117060,-0.0004060166002270993,-0.5120547873329908,0.510513421988842,-0.00022633092915332054,-0.495219928203116,0.49188816680117253,9.19553554855207e-05,-0.44366651058512474,0.4360111660025058,-2.0674218530862376,-5.772082
647338.675145295,4185752.0279246,1521942365.64314,0.368199537608524,0.671010176056213,2,647337.1499789364,4185752.85975819,1521942368.16892,2018-03-25 01:46:08.168920,-0.0007578706315719275,-0.5144497313785954,0.5048154985149526,-0.000560659506483846,-0.49757508196692557,0.4860504812069427,-0.0002958936662376954,-0.4454769490339687,0.4298797577207826,-2.067537778887976,-5.772082
647335.624812578,4185753.69159178,1521942370.6947,0.677018982391552,0.739513485248778,1,647334.098461643,4185754.5240711,1521942373.222445,2018-03-25 01:46:13.222445,1.6862153681240777e-05,-0.5167715857746443,0.4988596068914534,3.2453514147545715e-05,-0.49967269303743045,0.4797522520061899,-0.0001846155609509792,-0.44690595677931566,0.4228838311504979,-2.0675502179491403,-5.772082
647332.572110708,4185755.35655042,1521942375.75019,0.094641215823883,0.17706288037724302,3,647331.1501366245,4185756.0272101,1521942378.27849,2018-03-25 01:46:18.278490,0.00015043784047348574,-0.5191498341613088,0.49181599956653244,0.0001553669138086855,-0.5021134988083792,0.4726558201732064,-0.00010132390454838103,-0.4494339266090056,0.4158583529586832,-2.067531532471724,-5.772082000000001
647329.728162541,4185756.69786978,1521942380.80679,0.0813351969976879,0.17304574182341598,4,647328.1483633176,4185757.581673745,1521942383.33448,2018-03-25 01:46:23.334480,3.114094896114472e-05,-0.5215315199351949,0.48461813499480516,2.1120314318306965e-05,-0.5045589239958072,0.4654021760747343,-2.562750522602797e-05,-0.4519658404851034,0.4086678967808499,-2.0675110205639022,-5.772081999999999
647326.568564094,4185758.46547771,1521942385.86217,0.58304749075712,0.5284038359426839,2,647324.7520595831,4185759.02407119,1521942388.390935,2018-03-25 01:46:28.390935,0.001976852876682242,-0.5235993162233441,0.476087434967942,0.0016866366271831995,-0.5067371438266803,0.45686613882264526,0.00022394841124945275,-0.4543703296698741,0.40040339853641777,-2.067518386347173,-5.772082
647322.935555072,4185759.58266467,1521942390.9197,0.356534159605618,0.625222385830104,2,647320.9883989841,4185760.21375858,1521942393.4478,2018-03-25 01:46:33.447800,0.0035323163129608592,-0.5254619795349231,0.4705480304368602,0.0029962640283329317,-0.5087091214453276,0.45155367979497246,-9.727256426814157e-05,-0.4557165378252833,0.39544523313190494,-2.0676469875460346,-5.772082
647319.041242896,4185760.84485249,1521942395.9759,0.0946325026064981,0.369830817347876,3,647317.4221490575,4185761.268599615,1521942398.5040898,2018-03-25 01:46:38.504089,0.003476305948810668,-0.5269285903431372,0.4657339944451802,0.0029619348871560564,-0.5100255901797122,0.44671641198330697,-5.8317027939847055e-05,-0.4546152112093429,0.38946093345363925,-2.0678544588260466,-5.772082
647315.803055219,4185761.69234674,1521942401.03228,0.37775595400459,0.5739684245301729,2,647314.31177662,4185762.0337624447,1521942403.560835,2018-03-25 01:46:43.560835,0.0037120790113797236,-0.5281136881415887,0.46145335414464683,0.0032435641261345516,-0.5107350852832849,0.4421002337719032,0.0005174003513415265,-0.4506980189234118,0.38181570550672617,-2.0681524142430137,-5.772082
647312.820498021,4185762.37517815,1521942406.08939,0.0953618212319769,0.18558256186752,5,647311.8770974164,4185763.112938435,1521942408.61798,2018-03-25 01:46:48.617980,0.00404100741585138,-0.5292982456450752,0.4600156894845245,0.003696725614230581,-0.5113259875739143,0.44018139834195325,0.0037551037890841688,-0.44620403960996247,0.3762688243846404,-2.0684084039343844,-5.772082000000001
647310.933696812,4185763.85069872,1521942411.14657,0.0851145560175864,0.12497707440733803,5,647309.5157546371,4185764.3225839753,1521942413.674845,2018-03-25 01:46:53.674845,0.00454842307516902,-0.5316738846078856,0.46064859385884677,0.004281429684537999,-0.5134599652333086,0.4407694743591959,0.006270945264717553,-0.45158263338294685,0.3809312598167297,-2.0687916451119404,-5.679748162231852
647308.097812462,4185764.79446923,1521942416.20312,0.16275969201801702,0.8020080243364219,2,647307.1533300434,4185765.283259585,1521942418.730785,2018-03-25 01:46:58.730785,0.004916309894679838,-0.5285047988232174,0.4525994070749729,0.004719379231027193,-0.5104644833275149,0.43292122859735144,0.00814688497307807,-0.4487909650219611,0.37360516846013203,-2.0689907319728778,-5.690444696304919
647306.208847625,4185765.77204994,1521942421.25845,0.663389634147566,0.921122266911077,1,647305.263981344,4185766.261038885,1521942423.7871351,2018-03-25 01:47:03.787135,0.004664933228170756,-0.525921998768099,0.44818430007557053,0.004477338877185391,-0.5081252642032723,0.4287896275611809,0.0076205411303706255,-0.4495445718916231,0.37273522118730895,-2.0692464142504594,-5.656728331647651
647304.319115063,4185766.75002783,1521942426.31582,0.20224629151013296,0.7947235520858741,2,647303.054937745,4185767.1678732997,1521942428.84444,2018-03-25 01:47:08.844440,0.004727274887395605,-0.5251632203816002,0.44120654141415366,0.004479736250780575,-0.5074775106918475,0.4218549281578821,0.0057248710946010695,-0.4476498640647548,0.3647623442699654,-2.069281108430722,-5.667826304758625
647301.790760427,4185767.58571877,1521942431.37306,0.7236315330199449,0.184942341497733,2,647300.5498143375,4185767.81089945,1521942433.901095,2018-03-25 01:47:13.901095,0.00491821750526325,-0.5216047239808738,0.43559913816161744,0.004553929133278831,-0.5041434293397012,0.4167160640648263,0.0034452058672976155,-0.4532167912780488,0.3681004590773338,-2.0695554016300597,-5.540769126185948
647299.308868248,4185768.03608013,1521942436.42913,0.66063603145859,0.384104551464442,2,647298.195189761,4185768.515426105,1521942438.956335,2018-03-25 01:47:18.956335,0.008546867406381137,-0.519730015529194,0.4308542834232223,0.008022854760616746,-0.5024519553012576,0.4122920269604776,0.00739249910267295,-0.4548635446455153,0.36701443203042206,-2.069742792730616,-5.497221
647297.081511274,4185768.99477208,1521942441.48354,0.10319310862343803,0.0956654501949947,5,647296.2156805806,4185769.3738692747,1521942444.0081,2018-03-25 01:47:24.008100,0.009852954919118348,-0.5153375842914453,0.4252720765725088,0.009259384556292924,-0.49835555775250406,0.4070690562712458,0.01038667614169346,-0.4508002008585803,0.36220861198059784,-2.069836250374341,-5.522031923291867
647295.3498498871,4185769.75296647,1521942446.53266,0.647421172026755,0.155768796543964,2,647294.5345686441,4185769.856694095,1521942449.0580149,2018-03-25 01:47:29.058014,0.011273919023947379,-0.5091035088386543,0.41859962353623564,0.010615142257753438,-0.49250082502706183,0.40082347756419373,0.01325047582392086,-0.4446667560941516,0.3562161648994334,-2.0699080371600638,-5.560164498295618
647293.7192874011,4185769.96042172,1521942451.58337,0.112863644178859,0.313195583744364,4,647292.9566617981,4185770.16949833,1521942454.1107101,2018-03-25 01:47:34.110710,0.011941124206686693,-0.5023170553725196,0.4115745032871156,0.011326969080245677,-0.48611988511323895,0.3942490069029741,0.014425112748116253,-0.43796757151329185,0.3498933006661381,-2.069975014597928,-5.601103718638132
647292.194036195,4185770.37857494,1521942456.63805,0.16482257550571205,0.101882836950245,4,647291.3785629785,4185770.45250601,1521942459.167025,2018-03-25 01:47:39.167025,0.012341726107325354,-0.4953310423489315,0.4043865189826973,0.011719712263110582,-0.4795499464226495,0.3875223494928348,0.013762126300591412,-0.43106731119197383,0.3434212588358846,-2.070041914687023,-5.643141939012882
647290.563089762,4185770.52643708,1521942461.696,0.17339756349871402,0.319783037600291,3,647289.907605221,4185771.01803339,1521942464.225625,2018-03-25 01:47:44.225625,0.011689621099216063,-0.49082923205005624,0.3993250343269966,0.01101108662187232,-0.47532965412878264,0.3827834401435891,0.01219528442539125,-0.4266608730009922,0.3388895549645767,-2.0701051374451676,-5.6712616632666055
647289.25212068,4185771.5096297,1521942466.75525,0.227639417637876,0.0936390109870411,3,647288.5272229039,4185772.05128456,1521942469.283855,2018-03-25 01:47:49.283855,0.011360133786564516,-0.4870633652419477,0.39834380864281754,0.0106587872862684,-0.4714515973666904,0.38188456284734346,0.010871904596182647,-0.42316024880527714,0.33846665086292116,-2.0701578333463933,-5.653906839947258
647287.802325128,4185772.59293942,1521942471.81246,0.852596938444259,0.7597336394755501,1,647287.0776679704,4185773.1344145453,1521942474.340225,2018-03-25 01:47:54.340225,0.013033401631250288,-0.4839064655356945,0.3983472407117098,0.01242269494831659,-0.46823050694173485,0.3820366010546433,0.012631333939630923,-0.4205160292708825,0.33927305440216426,-2.0702439886945636,-5.638153539218158
647286.353010813,4185773.67588967,1521942476.86799,1.0482864816255602,0.7764040407730209,1,647285.6289563305,4185774.216914415,1521942479.39365,2018-03-25 01:47:59.393650,0.014443218991717688,-0.48700558901768054,0.39947681973022564,0.013916623466412176,-0.47168951151020805,0.38353038581342214,0.014171886205347192,-0.42450131384000156,0.3413281439653291,-2.0704197748855657,-5.66533486959485
647284.904901848,4185774.75793916,1521942481.9193099,1.08131535204067,0.295356451032055,2,647284.28283931,4185774.90142824,1521942484.4464998,2018-03-25 01:48:04.446499,0.014217354167181076,-0.48641855061292105,0.39823795764537273,0.013671886336737202,-0.47146083159578617,0.3826872355749222,0.013956591090250867,-0.4245789282462023,0.3410018387034291,-2.070556657651423,-5.694343405709226
647283.6607767721,4185775.04491732,1521942486.97369,0.966924240280409,0.755585396338854,2,647283.1665147676,4185775.17967727,1521942489.500135,2018-03-25 01:48:09.500135,0.013985130909006355,-0.4828093322167645,0.39514941080956345,0.01348202737058829,-0.4681703806126315,0.37997845728266166,0.013553293185683976,-0.42137791566950455,0.3387174342781222,-2.070646346214379,-5.721779445933342
647282.672252763,4185775.31443722,1521942492.02658,0.545684795308521,0.616019570544652,3,647282.014059234,4185775.567467455,1521942494.55321,2018-03-25 01:48:14.553210,0.014244923110804594,-0.48016794386023526,0.39267690164596414,0.014130472306762676,-0.4658505793137838,0.37788008093788156,0.013315557825051616,-0.4192076150185833,0.3370586405699824,-2.0707472146764747,-5.74892952817558
647281.355865705,4185775.82049769,1521942497.07984,0.116398509246908,0.19010038831210896,3,647280.5298053895,4185776.05590896,1521942499.6053948,2018-03-25 01:48:19.605394,0.01639234016582229,-0.47721264179850587,0.3877428089538253,0.01720318100451046,-0.4623280804142768,0.37265113935779204,0.016758943884134903,-0.41752080020368143,0.33373715260672104,-2.0709511997423693,-5.70036389105175
647279.703745074,4185776.29132023,1521942502.13095,0.655180231413607,0.6618288454916049,1,647278.8774016505,4185776.52681215,1521942504.657365,2018-03-25 01:48:24.657365,0.01963920083603267,-0.4759421725099321,0.37484883985724443,0.02146296408804306,-0.4602213443050292,0.358829782227087,0.020876734407893213,-0.4072500147550145,0.3138631183462295,-2.0712811177595487,-5.678198607754663
647278.0510582271,4185776.76230407,1521942507.1837802,0.119937382680628,0.163291313405143,5,647276.9285325645,4185776.70113228,1521942509.7121701,2018-03-25 01:48:29.712170,0.019989758969438026,-0.47042901166214623,0.3564751847144502,0.021832790403321894,-0.453301554963723,0.33909253145263696,0.022080929651049255,-0.39165721769106254,0.28789783437789007,-2.071666226016913,-5.61618018578188
