x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647487.438934121,4185637.99010082,1521414746.89622,6.7024657931269,5.6870328030622606,2,647488.12852603,4185638.7748281853,1521414837.618465,2018-03-18 23:13:57.618465,-0.00917047261761117,-0.2767827819882599,0.2827751593944458,-0.009122903134144086,-0.2743327936127953,0.28221267439451336,-0.00741397453499637,-0.24927233354805353,0.25872928020747554,-2.712973693218864,-6.36278854840743
647488.8181179389,4185639.55955555,1521414928.34071,5.19590273360136,4.27349289777294,2,647489.1291453805,4185639.9341203,1521414933.38144,2018-03-18 23:15:33.381440,-0.011543375058415892,-0.26610136607972223,0.2719655925897424,-0.011559431001579364,-0.2586973311616467,0.26620832445635295,-0.010121083684632153,-0.23354409118199754,0.24244289184289938,-2.6825574071559743,-6.300572670539595
647489.440172822,4185640.30868505,1521414938.42217,5.21953156525018,4.195106622073,1,647489.595595569,4185640.49585825,1521414940.94106,2018-03-18 23:15:40.941060,-0.012131932066372073,-0.2596739561994232,0.2656676104602905,-0.012250283985572583,-0.25214729607990666,0.2597130474249318,-0.011181868857712288,-0.22728740728480187,0.23617024854498064,-2.6825589993022354,-6.2689760061347
647489.751018316,4185640.68303145,1521414943.45995,5.22144058014171,4.1370939053376,1,647490.6843339795,4185641.80621135,1521414958.57838,2018-03-18 23:15:58.578380,-0.014022609722002324,-0.2446765248084628,0.2509717905420542,-0.0145847195275592,-0.23686378560759713,0.24455694345412443,-0.012728779933680781,-0.21268831055215925,0.22153362208745336,-2.682562688996946,-6.195263040539679
647491.617649643,4185642.92939125,1521414973.69681,5.0932715169583,3.47730759373012,2,647492.2392211126,4185643.7404818,1521414981.25813,2018-03-18 23:16:21.258130,-0.017353233380654427,-0.21800316029891442,0.22576574838552438,-0.018078592518860667,-0.20803294309857626,0.21775336308593035,-0.01336365198958963,-0.19048316343613036,0.20078002749094856,-2.6826567679862894,-5.685198292064828
647492.860792582,4185644.55157235,1521414988.81945,4.64488502896638,3.8998877398530696,1,647493.0679439905,4185644.821884685,1521414991.339405,2018-03-18 23:16:31.339405,-0.01884103387335332,-0.20071148084607326,0.20714882371790233,-0.019255934841314944,-0.19033070911346028,0.19955171103917507,-0.014748659659640471,-0.1775431659283982,0.18739973236740287,-2.6826600978207793,-5.406309106710465
647493.275095399,4185645.09219702,1521414993.85936,4.469120183309911,3.98998571190062,2,647493.1440458256,4185645.001420775,1521414996.37832,2018-03-18 23:16:36.378320,-0.018876888683648972,-0.19828834793247024,0.204421120970661,-0.01931199709410214,-0.18792427844047382,0.19697577028707097,-0.014874595255822527,-0.17579151888169267,0.18551052402188328,-2.68265840319852,-5.372822992475026
647493.012996252,4185644.91064453,1521414998.89728,4.4903493044904,4.02558793453244,1,647492.8817796351,4185644.819752315,1521415001.41948,2018-03-18 23:16:41.419480,-0.01880810753075407,-0.20245957022982006,0.20907230487780976,-0.019238123283829976,-0.19214388586959555,0.20145780371919006,-0.014732494077399995,-0.17888090733544654,0.18881749706544432,-2.682664919715785,-5.434284551243065
647492.750563018,4185644.7288601,1521415003.9416802,4.5078166655257315,4.05598764335476,1,647492.6192614306,4185644.63790878,1521415006.46552,2018-03-18 23:16:46.465520,-0.0186291440984519,-0.20663480555359143,0.21372796367338362,-0.019090693759428144,-0.19636755269566655,0.20594414908998845,-0.014535772858527835,-0.18197326783847523,0.19212765153558972,-2.6826714424940454,-5.495805231718648
647492.487959843,4185644.54695746,1521415008.9893599,4.52155355996356,4.08125496059327,1,647491.9636056914,4185644.1837457204,1521415019.068295,2018-03-18 23:16:59.068295,-0.017714842250590536,-0.21698107576335326,0.22518014332753267,-0.018410613420212316,-0.206876737557085,0.2170318731156609,-0.013813225998183895,-0.18966980024242544,0.2003080718549996,-2.6826851836358374,-5.651888409697191
647491.43925154,4185643.82053398,1521415029.1472301,4.5395252409228215,4.1325232556208,1,647491.0461218405,4185643.5482197898,1521415036.703815,2018-03-18 23:17:16.703815,-0.016097318643094757,-0.22964180933029138,0.23729611098283265,-0.01690213367581997,-0.22069951239680613,0.2299383848514045,-0.0129762203684846,-0.1998428169470278,0.20982090112494262,-2.682647639682379,-5.924442483030234
647490.652992141,4185643.2759056,1521415044.2604,4.514508942213441,4.11988351381476,1,647490.5219567395,4185643.185139655,1521415046.7791052,2018-03-18 23:17:26.779105,-0.015099124000647016,-0.2368749742431539,0.24421804758987598,-0.015826375000170173,-0.22859655952526545,0.23731196473173372,-0.01284416703299282,-0.20565473196422313,0.21525564665612484,-2.682626190576753,-6.080154508932089
647490.390921338,4185643.09437371,1521415049.29781,4.4987584252048,4.10592027371726,1,647490.1288669466,4185642.912853255,1521415054.3349152,2018-03-18 23:17:34.334915,-0.014262257087885026,-0.24174437585351582,0.24896758413526804,-0.014914880717997417,-0.23376617236785416,0.24229525666717827,-0.01262690813873265,-0.20990037800858297,0.21938712080080625,-2.6826199675122546,-6.151218593767229
647489.866812555,4185642.7313328,1521415059.37202,4.45596288734799,4.063162244868759,1,647489.6047017269,4185642.549773055,1521415064.4102101,2018-03-18 23:17:44.410210,-0.013267558829428552,-0.24736825577559007,0.25460944507287653,-0.013667756567522157,-0.23948080624134047,0.24808445392032624,-0.01224630964963605,-0.21538489348166853,0.22498357431894714,-2.682627115388835,-6.174390164008986
647489.342590899,4185642.36821331,1521415069.4484,4.39766144928239,3.99997851440676,1,647488.9492431744,4185642.095747355,1521415077.0091848,2018-03-18 23:17:57.009184,-0.01230764453239793,-0.25440081495699884,0.2616644886360436,-0.012485826610631086,-0.24662685165163972,0.2553237389625207,-0.011807305211376254,-0.22224317992166392,0.23198183683033574,-2.682636053642226,-6.203365808363958
647488.55589545,4185641.8232814,1521415084.56997,4.27967352320969,3.8645934328358704,1,647488.424803663,4185641.7324762046,1521415087.0897698,2018-03-18 23:18:07.089769,-0.011880779831779861,-0.25992439849514726,0.2672171420466171,-0.012010899894633727,-0.2522312191627071,0.26101261626200195,-0.011279705911833582,-0.22760466435723406,0.2374664482098287,-2.6826421076992317,-6.22647595559377
647488.293711876,4185641.64167101,1521415089.60957,4.231778144034959,3.80791047229035,1,647488.1625550305,4185641.550820525,1521415092.13062,2018-03-18 23:18:12.130620,-0.011542981909548874,-0.2621275364602697,0.26949480269984805,-0.01163540485709412,-0.2544205190550537,0.26329781593176727,-0.010856628259751186,-0.22960405642530904,0.2395876708033339,-2.682639193144916,-6.237633884357891
647488.031398185,4185641.45997004,1521415094.65167,4.17932540274117,3.74498753423794,1,647487.6381741599,4185641.187590315,1521415102.210075,2018-03-18 23:18:22.210075,-0.010974931822127387,-0.26653283157066265,0.2740491104164904,-0.011000810929300678,-0.2587981440826366,0.26786719820439175,-0.010134072108961424,-0.23360195030302275,0.24382917182916886,-2.6826333653487993,-6.259944765576066
647487.244950135,4185640.91521059,1521415109.76848,3.99312579375656,3.5157246271432503,1,647486.9828193595,4185640.73363704,1521415114.80706,2018-03-18 23:18:34.807060,-0.010265000915591918,-0.27203842882680496,0.27974093923948196,-0.010207715649514726,-0.2642691600640904,0.27357786661763756,-0.0092310444518693,-0.23859839036841704,0.2491300646367624,-2.6826260819686656,-6.287828184978284
647486.720688584,4185640.55206349,1521415119.84564,3.84246839539221,3.32424049125088,1,647486.5896229565,4185640.46127655,1521415122.36493,2018-03-18 23:18:42.364930,-0.009796309924089586,-0.27534164840656133,0.28315589311273526,-0.009684830255658805,-0.26755163173925756,0.27700412375606576,-0.008636827838108097,-0.24159612845062797,0.2523104667294265,-2.6826217121259193,-6.3045575327528525
647486.458557329,4185640.37048961,1521415124.88422,3.75825860029424,3.21491770003859,1,647486.327434683,4185640.27966299,1521415127.404615,2018-03-18 23:18:47.404615,-0.009496591723223174,-0.2775442775287783,0.28543302795144526,-0.009352208240596793,-0.26974042592698066,0.2792887957987459,-0.008258084124492582,-0.24359505864807518,0.2544311995119961,-2.6826187982536025,-6.315712879201646
647486.1963120371,4185640.18883637,1521415129.92501,3.66755278694022,3.09523394644171,2,647485.9892050945,4185640.0073731598,1521415132.445345,2018-03-18 23:18:52.445345,-0.009063168754754408,-0.28007045079098003,0.28801829857634176,-0.008871203013922219,-0.2721942324696889,0.2818350449861823,-0.007710382235953314,-0.24569107081539784,0.2566882533299727,-2.682616192895159,-6.331200139082828
647485.782098152,4185639.82590995,1521415134.9656801,3.59677154606303,3.0803650135903595,2,647485.979216182,4185640.123195625,1521415137.485295,2018-03-18 23:18:57.485295,-0.009202832923530649,-0.2797295993254232,0.28775941662578475,-0.009026199864684115,-0.2718655697029644,0.28157597447106186,-0.00788687110379125,-0.2454551055696753,0.25648817550740555,-2.6826192012079786,-6.326335587243479
647486.1763342121,4185640.4204813,1521415140.00491,3.4359159685552205,3.21327772022722,2,647485.1342676505,4185639.733796755,1521415147.569045,2018-03-18 23:19:07.569045,-0.008616870116818956,-0.28428091459034294,0.29262476360055034,-0.008375445520133154,-0.2761809812173535,0.28626031221313447,-0.007141966306153116,-0.24897539616434594,0.2605077092158103,-2.6826236555212963,-6.351580009443653
