x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647360.1573574421,4185741.4685496,1521693841.2005801,11.645423293467696,9.2111297815252,2,647360.2850676216,4185741.63184005,1521693843.71444,2018-03-22 04:44:03.714440,-0.001156302762092623,-0.25762691392106923,0.2726908074069875,-0.0011159487596536927,-0.24787003109540856,0.2616583745034981,-0.0011218556776809371,-0.22404918281035224,0.23505877317174556,-2.4189296060050958,-5.772081999999999
647360.412777801,4185741.7951305,1521693846.2283,11.6043525293482,9.27589595909297,1,647362.5895566955,4185744.58944288,1521693889.00489,2018-03-22 04:44:49.004890,-0.0008032650366563976,-0.25351247764935625,0.2711636653136298,-0.0007885994538579313,-0.2439077427398265,0.26005535131643953,-0.0008197164856358075,-0.22051805838342972,0.23328385264496113,-2.418866986577418,-5.772082
647364.76633559,4185747.38375526,1521693931.78148,9.62063715049135,8.10080734297062,1,647365.1497491245,4185747.8743184954,1521693939.332665,2018-03-22 04:45:39.332665,-0.0010241808716316622,-0.24115241343454188,0.25995070520206415,-0.0010077780078423318,-0.23202915798661866,0.249074842916913,-0.001221485891960035,-0.20947608039007773,0.22245603545606624,-2.372182504900749,-5.772082
647365.533162659,4185748.36488173,1521693946.88385,8.942518805028211,7.348650079879,2,647366.172439785,4185749.18336967,1521693959.4771,2018-03-22 04:45:59.477100,-0.0011805828867514703,-0.2385912818788218,0.2586733619862326,-0.0011143734611186312,-0.22949400661541983,0.24773038093973435,-0.0016226366989466057,-0.20659769098844943,0.22067222681259963,-2.372152027492904,-5.772082
647366.811716911,4185750.00185761,1521693972.07035,7.453657284421131,5.41136764585724,1,647367.1950550776,4185750.492666495,1521693979.6219049,2018-03-22 04:46:19.621904,-0.0012241959664024485,-0.2363364458789945,0.2572484607298574,-0.001113570678291674,-0.22736513262944194,0.24636766123002657,-0.0017462422711505901,-0.20352617107829662,0.2185239472995241,-2.3721371684028187,-5.772082
647367.578393244,4185750.98347538,1521693987.17346,6.23480995263407,3.35385491968723,2,647367.7009111119,4185751.137092195,1521693989.68886,2018-03-22 04:46:29.688860,-0.0012405258590198961,-0.2352251588634533,0.2565472038344937,-0.0011155626938835622,-0.22631609381635953,0.24569727823451198,-0.0017866182657824067,-0.20201144304766105,0.21746569349704076,-2.372129868528796,-5.772081999999999
647367.82342898,4185751.29070901,1521693992.2042599,5.9415325526691785,3.65064275357283,1,647367.9460366745,4185751.4444353553,1521693994.721485,2018-03-22 04:46:34.721485,-0.001232540273083789,-0.23469290495219172,0.2562128609358129,-0.0011094156575426548,-0.2258139106894485,0.24537807033070586,-0.0017178455648561644,-0.20128452323406493,0.21695962928215895,-2.372126407894236,-5.772082
647368.068644369,4185751.5981617006,1521693997.23871,5.572273811851879,3.60681780976502,2,647368.1911142,4185751.7518390706,1521693999.7548199,2018-03-22 04:46:39.754819,-0.0012244149935221882,-0.2341606022474287,0.2558784495605723,-0.0011031610897320326,-0.22531167515914233,0.24505878671508302,-0.0016478698078232351,-0.2005575723954082,0.21645349910950024,-2.3721229460584885,-5.772082
647368.3135840311,4185751.90551644,1521694002.27093,5.11128788061369,3.20828525583347,1,647368.436159883,4185752.059323165,1521694004.789195,2018-03-22 04:46:44.789195,-0.0012162876061661762,-0.23362821619460045,0.2555439481534745,-0.0010969048994119227,-0.2248093546484639,0.24473940684926881,-0.0015778758982444088,-0.1998305431973469,0.215947270202687,-2.3721194828004055,-5.772082
647368.558735735,4185752.21312989,1521694007.30746,4.52966094843482,2.27470634194125,4,647368.6473068115,4185753.09959937,1521694009.82529,2018-03-22 04:46:49.825290,-0.0011888992489365105,-0.23218672333927193,0.2543955792018242,-0.001075822260197326,-0.2234084233516327,0.2435766628676272,-0.0013420045024963648,-0.19809051160572333,0.21445108233021615,-2.372104434834856,-5.772082000000001
