x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647379.8021927361,4185727.62934066,1522148157.02595,9.67960758550151,8.49205341832465,2,647379.6520379005,4185727.454613355,1522148159.55704,2018-03-27 10:55:59.557040,-0.00016701590188522575,-0.6075542979284853,0.6647203948005583,5.1104699943516074e-05,-0.5895909411167095,0.6463916379500926,0.005317846890478151,-0.5162883983033367,0.5664427566605788,-1.7305897714141794,-5.885265468510863
647379.501883065,4185727.27988605,1522148162.08813,9.2741257845909,8.33007911050739,1,647379.3517565615,4185727.10519257,1522148164.618715,2018-03-27 10:56:04.618715,-8.414461016906238e-05,-0.6086836418224615,0.6641792349841866,1.9995457341104306e-05,-0.5906503302676324,0.6457997652617248,0.0039035259645738007,-0.5156824009447619,0.5640546145727938,-1.730578274574885,-5.908883681420121
647379.201630058,4185726.93049909,1522148167.1493,8.322202090499259,7.40861553279876,2,647379.008413079,4185726.707397975,1522148169.680675,2018-03-27 10:56:09.680675,-6.638047216178666e-05,-0.6097182154049446,0.6636081479111899,-5.2450045736063267e-05,-0.59173786920844,0.6453249328818289,0.002750379336188241,-0.5165281045395493,0.563355264896775,-1.7305636097334518,-5.926495102519873
647378.8151960999,4185726.48429686,1522148172.21205,7.5585474507772386,6.79177652219384,2,647378.0938005439,4185725.673476565,1522148174.741125,2018-03-27 10:56:14.741125,-7.81419947677997e-05,-0.6124482317158577,0.66210459798142,-0.0003133193174066906,-0.5946129178909785,0.6440802294633361,-0.00048676774976749715,-0.5188424902092992,0.5616028311781922,-1.7305274142938658,-5.972320301883084
647377.3724049879,4185724.86265627,1522148177.2702,7.754415641970509,6.092994123278031,1,647376.6495948189,4185724.05023872,1522148179.804205,2018-03-27 10:56:19.804205,-0.0004822113128818417,-0.6167495971009415,0.6597368889057422,-0.0010300892109791626,-0.599144727778557,0.6421221353208029,-0.005260296364251016,-0.5225193767613227,0.5588758693254169,-1.7304713038979922,-6.0442839515384055
647375.92678465,4185723.23782117,1522148182.3382099,7.64387566231418,4.72721122910892,1,647375.2047421585,4185722.42627158,1522148184.869485,2018-03-27 10:56:24.869485,-0.0026173059248939257,-0.6232185821414481,0.6586167900122113,-0.0026730074762574274,-0.6065481314518641,0.642158531790757,-0.002622443785019024,-0.5389084358120655,0.5692039020300056,-1.7306326806327417,-6.046943
647374.482699667,4185721.61472199,1522148187.40076,7.20998216868361,1.34813220262768,2,647374.221993949,4185723.311695495,1522148189.931985,2018-03-27 10:56:29.931985,-0.0021830206135080854,-0.6231552674333747,0.6578481075128884,-0.002188488433793767,-0.6065535454407766,0.6414364733365393,-0.0012542017472295663,-0.5393998790577715,0.5689144751486629,-1.7307065178212904,-6.046942999999999
647373.961288231,4185725.008669,1522148192.4632099,6.34232885205827,4.16927875508805,1,647373.70066713,4185726.7050715853,1522148194.9935849,2018-03-27 10:56:34.993584,-0.0012975163153672586,-0.6200754160902413,0.6618678218006517,-0.0014192327452325348,-0.6025468292408176,0.6442509112198482,-0.0005279512879581838,-0.5293405777227551,0.5655643983694673,-1.730954691621934,-5.978980117079904
647373.4400460289,4185728.40147417,1522148197.5239599,4.892495294224269,4.347730248613621,2,647370.9726868755,4185729.6052621203,1522148202.58571,2018-03-27 10:56:42.585710,-0.003113804339003684,-0.6171813271625984,0.6660205002428661,-0.002933858490107022,-0.5987235171562366,0.6472204559214245,0.0025809643000016813,-0.5249864809258613,0.568039380270454,-1.731465653690576,-5.858582001023062
647368.505327722,4185730.80905007,1522148207.64746,5.13573863405997,3.98596803291096,1,647367.2713310891,4185731.41109595,1522148210.1789799,2018-03-27 10:56:50.178979,-0.002077318956501817,-0.6255843369606198,0.6653760648764001,-0.001963587605214645,-0.607301934291844,0.6466164159944238,0.000561666595812027,-0.5380384285833376,0.572680651800503,-1.732143725594365,-5.772082
647366.037334456,4185732.01314183,1522148212.7105,4.0837725124147495,0.393261750129661,2,647364.730919478,4185733.409858095,1522148215.2421298,2018-03-27 10:56:55.242129,-0.002237222821593138,-0.6270611378477888,0.6615353469345377,-0.0021341799499251246,-0.6090088222753087,0.6427845433805074,-0.001830248808740026,-0.5416942823125184,0.5702960157271728,-1.7322927741302523,-5.772082
647363.4245045,4185734.80657436,1522148217.7737598,0.137043476846768,0.113540899280144,3,647361.59002239,4185736.092522485,1522148220.30553,2018-03-27 10:57:00.305530,-0.0016444852291331857,-0.6248790105115558,0.6562277991619647,-0.0016907113121845674,-0.6069115547337632,0.637354553222031,0.0016002605237271927,-0.5418301078212762,0.5668514969104429,-1.7322532354997455,-5.772082
647359.75554028,4185737.37847061,1522148222.8373,0.145536923542851,0.105974340538794,3,647358.9794467115,4185738.9006331097,1522148225.36865,2018-03-27 10:57:05.368650,-0.0018734064559405295,-0.6177347812899168,0.6487714997152485,-0.0019703285180987518,-0.5998392836332346,0.6299073932319939,0.005675934628784712,-0.531053164465618,0.5560059155920283,-1.7317818040914421,-5.831848420064375
647358.203353143,4185740.42279561,1522148227.9,1.09839470266308,0.229201191335957,3,647355.2263176534,4185741.7454468347,1522148230.4333,2018-03-27 10:57:10.433300,-0.0037993047412505643,-0.6163591088805029,0.6438476485268338,-0.003494359315989376,-0.5977749522924298,0.6242472000787673,0.005241366264722186,-0.5175727491752342,0.5390943393001489,-1.7314040141302849,-5.932203842492157
