x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647422.462854089,4185693.64343003,1521427239.6321301,28.386214314293397,23.862798241844,2,647422.3921679985,4185693.5566346403,1521427242.15577,2018-03-19 02:40:42.155770,-0.00199368785540624,-0.21101135206100316,0.2434043617808999,-0.0020824990313737524,-0.2029284594913316,0.23559880713834103,-0.0013831205282984968,-0.18120258045355453,0.21181235316971592,-2.300795377417328,-5.975459733747105
647422.321481908,4185693.46983925,1521427244.67941,28.306718962034306,23.9514679060329,1,647422.2507921834,4185693.3830393804,1521427247.2031798,2018-03-19 02:40:47.203179,-0.0018740914142220608,-0.21138696589630146,0.24374000398526438,-0.0019678821761175275,-0.20328933895428444,0.23593989400843512,-0.0013150301836260953,-0.1814393337436945,0.2120397678047431,-2.300795649609716,-5.982122188303157
647422.180102459,4185693.29623951,1521427249.72695,28.222439730180106,24.032253783136703,1,647421.826676745,4185692.8622715753,1521427262.344935,2018-03-19 02:41:02.344935,-0.0015572652903199091,-0.21265067781963623,0.24447642406324097,-0.0016433512336601064,-0.20461483286286652,0.2368386339785608,-0.0011254611462576739,-0.18238570793834433,0.21262724530094762,-2.30079327148857,-6.026572548292104
647421.473251031,4185692.42830364,1521427274.96292,27.727772559712896,24.320323588011497,1,647420.9808783161,4185691.81995442,1521427292.6324549,2018-03-19 02:41:32.632454,-0.0009773713905976353,-0.2141385001269317,0.24525248964157625,-0.0010193200462741206,-0.20613697390025243,0.23773622497471347,-0.0007634459440464605,-0.18369363619720624,0.21368627199936238,-2.3007938623554307,-6.046943
647420.4885056011,4185691.2116052,1521427310.30199,26.818866921323,24.408456442382306,2,647420.4449814066,4185691.15466019,1521427312.8261352,2018-03-19 02:41:52.826135,-0.0008031709381617555,-0.21489674394900887,0.24547357238832423,-0.0008346436539585916,-0.20690406444751286,0.2380115890389079,-0.0005951172877532163,-0.18424964203619076,0.2139309604917406,-2.3007953360646445,-6.067235480358267
647420.401457212,4185691.09771518,1521427315.35028,26.7574505554846,24.4517840639671,1,647420.3144212996,4185690.983842965,1521427320.39779,2018-03-19 02:42:00.397790,-0.0007922345015002191,-0.21508908474657515,0.24552247365923327,-0.0008248949124646382,-0.20709887750313105,0.23807513532075844,-0.0005641368716043649,-0.18438178537438454,0.21397192848749252,-2.3007956884121703,-6.073391368023012
647420.227385387,4185690.86997075,1521427325.4453,26.55868816187,24.439232656512605,2,647420.1569563011,4185690.7837815,1521427327.96932,2018-03-19 02:42:07.969320,-0.0007790742103196205,-0.2153161103700781,0.24557908018278443,-0.0008131638266753935,-0.20732883905345595,0.23814906091772403,-0.0005268567857744516,-0.18453678860902187,0.21401775206071355,-2.3007961215289225,-6.080799016112639
647420.086527215,4185690.69759225,1521427330.49334,26.448791225686804,24.4739094209605,2,647420.0105643065,4185690.6054221047,1521427333.01727,2018-03-19 02:42:13.017270,-0.000766877608227079,-0.21552082596634098,0.24562866629347535,-0.0008022917735026128,-0.20753622543012462,0.23821430751971784,-0.0004923066100523468,-0.1846752899331826,0.2140557565911432,-2.3007965346462034,-6.087664224104698
647419.934601398,4185690.51325196,1521427335.5412,26.352843489391798,24.5384101241197,1,647419.858619896,4185690.4210585896,1521427338.065765,2018-03-19 02:42:18.065765,-0.0007542222205578625,-0.21573267371023547,0.2456798301791151,-0.0007910107587890264,-0.20775083940377415,0.2382816819544219,-0.00045645680004094413,-0.18481848609701604,0.2140947444661786,-2.3007969644745563,-6.094787672743093
647419.782638394,4185690.32886522,1521427340.5903301,26.2178746607324,24.5546037131102,2,647419.7016554296,4185690.231332115,1521427343.114615,2018-03-19 02:42:23.114615,-0.0007411523633844772,-0.2159509153389862,0.24573239448482373,-0.0007793602858891524,-0.20797193305651757,0.2383509503471104,-0.00041943289300715864,-0.1849658789028254,0.21413458196733887,-2.3007974095014583,-6.102144417452873
647419.620672465,4185690.13379901,1521427345.6389,26.099009175233608,24.5982455812435,2,647419.5627242769,4185690.06071179,1521427348.16291,2018-03-19 02:42:28.162910,-0.0007295705892203103,-0.21614632064854106,0.24577999142676282,-0.0007690362904359677,-0.20816988341756773,0.23841348763963974,-0.0003866243837593042,-0.18509831296118245,0.21417146311645643,-2.3007977997135556,-6.108663551876603
647419.504776089,4185689.98762457,1521427350.68692,26.0199924157981,24.6448754361683,1,647419.4468422709,4185689.91455647,1521427353.21028,2018-03-19 02:42:33.210280,-0.0007198910209408257,-0.21631250079435632,0.24582122160080033,-0.0007604079216308041,-0.20833821591718604,0.23846740128163868,-0.00035920438740027344,-0.18521159486167016,0.21420453875694173,-2.3007981199256426,-6.1141119750528095
647419.3889084529,4185689.84148837,1521427355.73364,25.9008013753228,24.6441616134035,2,647419.317838685,4185689.75461277,1521427358.25663,2018-03-19 02:42:38.256630,-0.000709129249225865,-0.21649520271141703,0.2458660208500852,-0.0007508148764998057,-0.20852329267528885,0.23852616077500488,-0.00032871875697534914,-0.1853356776621028,0.21423969698499132,-2.3007984801785595,-6.1201695475328854
647419.2467689171,4185689.66773717,1521427360.77962,25.795170530758906,24.6734621748847,2,647419.3571485146,4185689.757980205,1521427365.825245,2018-03-19 02:42:45.825245,-0.0007121812151402798,-0.21647724420210734,0.2458704367335608,-0.0007535353994332847,-0.20850495933401494,0.23852894198043517,-0.00033736427626352566,-0.1853311627008286,0.21425630400240994,-2.300798308249015,-6.118451660810974
647419.467528112,4185689.84822324,1521427370.8708699,25.8738420037008,24.604135820524696,1,647419.6331426136,4185689.9836236,1521427378.441315,2018-03-19 02:42:58.441315,-0.0007346212674864405,-0.21618324436521963,0.24582100149643993,-0.0007735384658985531,-0.20820677473797433,0.23845636801524295,-0.0004009317966179385,-0.18515122357642239,0.21425126446993514,-2.3007973778565227,-6.105820632468818
647419.798757115,4185690.11902396,1521427386.01176,25.9697971815413,24.474341394818506,1,647419.90915211,4185690.209279985,1521427391.058085,2018-03-19 02:43:11.058085,-0.0007570625737537973,-0.2158892277924862,0.24577156334142825,-0.0007935426501093565,-0.20790857316953631,0.2383837898180846,-0.000464502869043433,-0.18497127411862524,0.21424622441444274,-2.300796447412675,-6.093188898321079
647420.019547105,4185690.29953601,1521427396.10441,26.019164931010998,24.370424672600798,1,647420.687208688,4185690.839638455,1521427426.38664,2018-03-19 02:43:46.386640,-0.0008202946227547567,-0.21506519427163262,0.2456344915461204,-0.0008499077093074986,-0.2070727866099711,0.23818181969063987,-0.0006436247578837581,-0.18446822940050875,0.21423548237159604,-2.300793816655066,-6.05759692238701
647421.354870271,4185691.3797408994,1521427456.66887,26.072414733344,23.4443229234705,1,647421.4652577465,4185691.4699797346,1521427461.715135,2018-03-19 02:44:21.715135,-0.0010858488732503543,-0.2142485681094139,0.245320210214938,-0.001143767290626152,-0.20624965383597002,0.23782188684456876,-0.0009254268278046304,-0.18376097721454293,0.21372273688206445,-2.300791296614017,-6.046943
647421.575645222,4185691.56021857,1521427466.7614,26.0411205062527,23.2360813781405,1,647421.6308495335,4185691.60534633,1521427469.285005,2018-03-19 02:44:29.285005,-0.0011795135235183815,-0.21407443198294168,0.24523670183737306,-0.0012441976443047023,-0.20607460133129996,0.2377303450908182,-0.0009837850848916294,-0.1835909672968847,0.21356716579744503,-2.3007907720156355,-6.046943000000001
647421.686053845,4185691.65047409,1521427471.80861,26.021143926277198,23.1258670088793,1,647421.7964464545,4185691.74071754,1521427476.8551002,2018-03-19 02:44:36.855100,-0.0012731811761830802,-0.21390029011059855,0.24515319069596414,-0.001344631211158659,-0.2058995430493833,0.2376388003009464,-0.0010421451625911363,-0.18342095179197498,0.2134115896141854,-2.3007902474015656,-6.046943000000001
647421.906839064,4185691.83096099,1521427481.90159,25.972472935517,22.89299167000789,1,647422.0724537765,4185691.9663468096,1521427489.47247,2018-03-19 02:44:49.472470,-0.0014293010704230225,-0.2136100402235523,0.24501399901018917,-0.0015120281388610185,-0.20560776574125147,0.2374862185743637,-0.001139416358652022,-0.1831375795241041,0.21315228400806058,-2.30078937300589,-6.046942999999999
647422.238068489,4185692.10173263,1521427497.04335,25.8775244420614,22.5115530457195,1,647422.2932342256,4185692.1468313,1521427499.5652452,2018-03-19 02:44:59.565245,-0.0015541830485492278,-0.21323410575821183,0.24480770673112276,-0.0016459307101022308,-0.2052178960974846,0.23724065007514075,-0.00121722441073438,-0.18282944868429668,0.21292932063710654,-2.3007894244963785,-6.037403707515964
647422.3483999621,4185692.19192997,1521427502.08714,25.8400971767129,22.375585178720694,2,647422.4478678035,4185692.2881832346,1521427504.6096249,2018-03-19 02:45:04.609624,-0.001606345434647577,-0.20797554074544888,0.23887056765676484,-0.0016930964845466162,-0.2004097591335921,0.2317566759042945,-0.0012399184117215661,-0.1784785132476133,0.20799358357975684,-2.2504557788322654,-6.023334435047151
647422.547335645,4185692.3844365,1521427507.1321099,25.9072282676971,22.3078464245823,1,647423.7464690135,4185693.538419825,1521427537.408655,2018-03-19 02:45:37.408655,-0.002037650044584949,-0.20478727175971645,0.23682750574741585,-0.002106988501981308,-0.19712498654627092,0.22938884514117824,-0.0013751691114683995,-0.17616345022655167,0.2064353206289456,-2.2504592568974875,-5.9163406160523415
647424.9456023821,4185694.69240315,1521427567.6852,26.282175295264203,20.773536441985602,2,647424.923364336,4185694.605130365,1521427572.73249,2018-03-19 02:46:12.732490,-0.001969471136342868,-0.2022028703087523,0.23460463566212397,-0.001985676720428098,-0.19461781771015485,0.2271046990613987,-0.0012553720276925681,-0.1745018954408876,0.20491872343890372,-2.2504572317158065,-5.861937093917414
647424.90112629,4185694.51785758,1521427577.7797801,26.6853859703804,20.309368991522,1,647424.856647047,4185694.34329902,1521427587.8751202,2018-03-19 02:46:27.875120,-0.0019848602043490912,-0.2026039305566273,0.23499975650178082,-0.0020130587261599706,-0.1949912029823085,0.22749038349679268,-0.0012824121419552983,-0.17474146259573115,0.20518336255147207,-2.2504573582977,-5.865584542943757
