x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647474.408564379,4185649.66179675,1521273691.60954,7.80450152552727,6.57994801535498,2,647474.4641394734,4185649.72611037,1521273694.12319,2018-03-17 08:01:34.123190,-0.008569424211609125,-0.24677043596044365,0.2643784072479455,-0.008485478566456081,-0.23990296804563588,0.25905457680797866,-0.007392742637077877,-0.214080911309584,0.23465414836885617,-2.5420584969475923,-6.416684140874327
647474.5197145679,4185649.79042399,1521273696.63684,7.77478352566231,6.6051839956638805,1,647474.8547794714,4185650.175886665,1521273711.729115,2018-03-17 08:01:51.729115,-0.008738319977751,-0.24358396127655488,0.2614795324785709,-0.008656247338212401,-0.2367636099367338,0.2561777976411333,-0.007552437918028426,-0.21138820257767077,0.23218148375632042,-2.5420659212107624,-6.3876282869835554
647475.189844375,4185650.56134934,1521273726.8213902,7.483062743375,6.57792265631199,1,647475.2455280831,4185650.625790855,1521273729.336445,2018-03-17 08:02:09.336445,-0.00892200798858376,-0.2403965896749905,0.2585798468016225,-0.008843905562880103,-0.2336233681564408,0.2533002137769538,-0.007731020650429528,-0.20869473594765034,0.22970812774971042,-2.5420733476187514,-6.3585642609834245
647475.301211791,4185650.69023237,1521273731.8515,7.4145674511998,6.54340520195713,1,647475.5239678186,4185650.94802225,1521273741.912665,2018-03-17 08:02:21.912665,-0.009006118692371272,-0.23811901180506512,0.2565107577382377,-0.00892917030839524,-0.23137945832340645,0.2512469125688526,-0.007807186397972933,-0.2067701051215855,0.227943415695796,-2.5420786860372844,-6.337799894186913
647475.7467238461,4185651.20581213,1521273751.97383,7.07797909946674,6.315146624258231,1,647475.9694116135,4185651.46352523,1521273762.03197,2018-03-17 08:02:42.031970,-0.009066076710246292,-0.23447536876547598,0.2532006561399155,-0.008988290011924562,-0.22778967701354563,0.24796206819471933,-0.007847452850194489,-0.20369110275243393,0.2251202526491503,-2.5420872264155916,-6.304581301922451
647476.192099381,4185651.72123833,1521273772.09011,6.62937784933129,5.92883346959422,1,647476.8072289,4185652.428493945,1521273799.745435,2018-03-17 08:03:19.745435,-0.009179323454380252,-0.22764000681836533,0.2469827998986709,-0.009099953375326875,-0.22105538385113765,0.24179160858072618,-0.007923506808839721,-0.19791493075341804,0.21981661593243296,-2.5421031585385716,-6.242253812184423
647477.4223584189,4185653.13574956,1521273827.40076,4.5257024065001294,3.59035493352232,2,647477.4475049295,4185653.16139846,1521273829.915585,2018-03-17 08:03:49.915585,-0.009266335009391807,-0.22243381466450846,0.24223884246282207,-0.009185748361856143,-0.21592619678655245,0.23708376569886544,-0.007981941806305771,-0.19351541891775292,0.21576970639427673,-2.54211520522725,-6.1947714383198225
647477.47265144,4185653.18704736,1521273832.43041,4.4067134070275715,3.58971643093453,1,647477.52294037,4185653.2383383047,1521273837.459445,2018-03-17 08:03:57.459445,-0.009277552012901029,-0.2218567258429806,0.24169617566726462,-0.009196808532713256,-0.21535769665976567,0.23654513251046488,-0.007989474892819981,-0.19302762797137465,0.21530581657324738,-2.5421163574843777,-6.189486798724916
647477.5732293,4185653.28962925,1521273842.48848,3.93496629715717,3.156167694170509,4,647477.515158786,4185653.4891355997,1521273845.0027401,2018-03-17 08:04:05.002740,-0.00924984292654469,-0.22091832799881045,0.2413052299359854,-0.009169486866178675,-0.21443171743117706,0.23615985634160347,-0.0079708660955079,-0.19223794132983602,0.21499878853948423,-2.5421235822173553,-6.1815183705751355
647477.4570882721,4185653.68864195,1521273847.5170002,3.93923875648132,3.24244454873314,1,647477.3990177801,4185653.8881525253,1521273850.031315,2018-03-17 08:04:10.031315,-0.009179468543240844,-0.21981093993270576,0.24124686407320733,-0.009100096435600176,-0.21333771562434434,0.2361074517487104,-0.007923604247245454,-0.1913089187467394,0.21500322710818995,-2.5421364955525005,-6.172627310663501
