x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647407.5016900339,4185711.16637899,1521280844.75863,7.67629973886326,9.63492921117017,2,647406.3897699935,4185710.273745595,1521280847.2826052,2018-03-17 10:00:47.282605,-0.00149725143272246,-0.27329563325503237,0.3164387448430095,-0.0014216441865656654,-0.26510997805929915,0.30782667318969337,-0.0015445227785988863,-0.24368847199907007,0.28339841363032886,-2.722582162301008,-5.772082
647405.2778499529,4185709.3811122,1521280849.80658,9.370193831729141,7.6706010531769415,2,647404.574008947,4185711.707928505,1521280867.106505,2018-03-17 10:01:07.106505,-0.0015137539080800205,-0.2720164660414494,0.31479895588311063,-0.001693346128263551,-0.26387313692863423,0.3061950593395043,-0.0018606292966834373,-0.24247948877127973,0.2819227497756555,-2.722552247384101,-5.772082
647403.870167941,4185714.03474481,1521280884.40643,10.4649139415165,9.639465382191313,1,647403.752880133,4185714.422481815,1521280887.2892551,2018-03-17 10:01:27.289255,-0.0011314128917562227,-0.2699763575787487,0.3148760636290329,-0.001527278437343793,-0.2606606079602062,0.3047695446490808,-0.0020376392444296024,-0.2356811966518056,0.27571788458278385,-2.7226008332909437,-5.772082
647403.635592325,4185714.81021882,1521280890.17208,10.4266751386684,9.66674077305836,1,647403.5327396016,4185715.1505632596,1521280892.695435,2018-03-17 10:01:32.695435,-0.0012462902969785222,-0.269502499721206,0.31496165326285963,-0.001634020427083771,-0.259869464921491,0.3044451422669679,-0.0019399451528935435,-0.23382378751508864,0.27397002072971277,-2.7226159334068893,-5.774288905326637
647403.429886878,4185715.4909077,1521280895.21879,10.3429953613062,9.63109089797069,1,647402.6309873089,4185718.132491315,1521280914.846705,2018-03-17 10:01:54.846705,-0.0019860938704272524,-0.2682038360977563,0.31577288487617927,-0.0022176154933149367,-0.257458918070702,0.3037839236713681,-0.0012446997659982459,-0.22797616524325423,0.26854747401455403,-2.7227157356735883,-5.772082
647401.83208774,4185720.77407493,1521280934.4746199,7.78151478859245,7.03165510877754,1,647401.603892853,4185721.5286095003,1521280940.08105,2018-03-17 10:02:20.081050,-0.0029508266984234616,-0.2661178283116047,0.3155799808814362,-0.002782455424115149,-0.2555653036466786,0.30364922335042865,-0.002073386626901194,-0.2336524825647384,0.27758618026392723,-2.722941133547865,-5.576573460656564
647401.375697966,4185722.28314407,1521280945.68748,6.04584702149018,4.9566185757419285,2,647401.821965207,4185723.61571435,1521280948.2110448,2018-03-17 10:02:28.211044,-0.00304005407258133,-0.262719658708653,0.3132801156669364,-0.0026944075105384546,-0.25258975032772457,0.3017066525432974,-0.0024674871756626415,-0.23402463246455107,0.27959715368694477,-2.723011385168034,-5.504445861294349
647402.268232448,4185724.94828463,1521280950.7346098,3.95773438866484,6.34530282525097,2,647399.505196946,4185729.4038881054,1521280965.8771448,2018-03-17 10:02:45.877144,-0.003095173224472045,-0.25933292534940666,0.3082711961276029,-0.0029185499976163917,-0.2502462830858259,0.29736623950112473,-0.0026592226166039998,-0.2321686712213602,0.27537295586294075,-2.7231395691839166,-5.497221
647396.742161444,4185733.85949158,1521280981.01968,4.06050024490668,7.26762477665258,2,647395.7133028631,4185735.28615634,1521280986.066495,2018-03-17 10:03:06.066495,-0.0025759989619547202,-0.2590168649418339,0.30423977924201834,-0.0025156709910075167,-0.2498876392224323,0.29291553335276094,-0.0024450782454572204,-0.23112312150409836,0.27001434690564785,-2.7233141625134403,-5.497221
647394.6844442821,4185736.7128211,1521280991.1133099,6.83271296617464,5.859635912626231,1,647394.1702018376,4185737.425892975,1521280993.6357899,2018-03-17 10:03:13.635789,-0.002455790252751666,-0.25932345825488345,0.30316004987593415,-0.002432962433787822,-0.2502672064054746,0.29181209267139396,-0.002384260135696342,-0.23169978459582338,0.26915873936582624,-2.7233691160294655,-5.497221
