x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647438.664560177,4185688.89457085,1521907929.72415,3.66122503599543,2.63659064198957,2,647439.267543732,4185689.73025362,1521907934.7854848,2018-03-24 16:12:14.785484,-0.006143043482280008,-0.36575263257559787,0.43423274540623824,-0.005629567717623338,-0.3537065970625308,0.42271149285344006,-0.004407427727345162,-0.3186625145933273,0.3836461857879765,-2.1433112560539533,-5.772082
647439.870527287,4185690.56593639,1521907939.8468199,3.6089461741693114,2.6681304285229905,1,647441.981495207,4185693.4908944396,1521907957.562325,2018-03-24 16:12:37.562325,-0.00994810245979351,-0.33411807182056485,0.4074928145271366,-0.009868916612177855,-0.322772011426692,0.39629071895603196,-0.008448032530738447,-0.29274598506633354,0.36124614472305977,-2.1433380434959766,-5.645552043440151
647444.092463127,4185696.41585249,1521907975.2778301,3.27875580789844,2.4230887042748,1,647445.2977850805,4185698.08634411,1521907985.3942852,2018-03-24 16:13:05.394285,-0.014812591987464152,-0.28789719515571605,0.3684295818586098,-0.015737693511918407,-0.27539572966984016,0.3554716903148746,-0.016881199426587584,-0.24336135859031766,0.31741727897721433,-2.143429593590426,-5.459932533905438
647446.503107034,4185699.75683573,1521907995.51074,2.96520417855056,1.96949044506694,1,647446.8044411121,4185700.174463985,1521907998.039885,2018-03-24 16:13:18.039885,-0.02082057516417997,-0.25701239830130046,0.3311387141324567,-0.023355915066807627,-0.24203580123799745,0.31164567846545665,-0.018242188119173934,-0.21478384486045116,0.279465076384546,-2.1433902362928072,-5.1163177284078065
647447.10577519,4185700.59209224,1521908000.56903,2.8684972851878,1.79870175788456,1,647447.4071685715,4185701.009802975,1521908003.09867,2018-03-24 16:13:23.098670,-0.02151087722919867,-0.2428283966421383,0.31576459133005574,-0.0247068873037761,-0.227104873737909,0.29350223520249674,-0.01873210834544986,-0.20448360247202357,0.2662674959524176,-2.1433988304495712,-4.92348222934591
647447.7085619529,4185701.42751371,1521908005.62831,2.7629697043619297,1.59174745802657,1,647448.0099399585,4185701.84520384,1521908008.157825,2018-03-24 16:13:28.157825,-0.02226682304274196,-0.22864335321240165,0.30038933691975833,-0.026032345892590437,-0.21217284906427186,0.275357456100786,-0.019143584029525887,-0.1941826028570039,0.2530689434861414,-2.1434074252438715,-4.730632542637242
647448.311317964,4185702.26289397,1521908010.68734,2.6476054732028502,1.3318731607081,2,647448.7108560395,4185702.8863741504,1521908013.2181501,2018-03-24 16:13:33.218150,-0.021168076807918455,-0.21158586743698804,0.28173037354935976,-0.024485028106817318,-0.1941789809035034,0.25330970764316374,-0.017795838432740234,-0.18174613996775515,0.2370073603387196,-2.143418204027646,-4.4970135322198885
647449.110394115,4185703.50985433,1521908015.74896,2.4260297331077703,1.58159650254141,2,647449.4728561831,4185704.0833888752,1521908018.2807598,2018-03-24 16:13:38.280759,-0.02526711379674277,-0.19251648102867136,0.26071693618665104,-0.024988487258700863,-0.17402834029520925,0.2284550339361805,-0.019367873867275634,-0.16779810675585582,0.21887951637878175,-2.143430654542398,-4.234289080299989
647449.835318251,4185704.65692342,1521908020.8125598,2.40172967393542,1.63270035593384,1,647450.197809036,4185705.230503815,1521908023.34457,2018-03-24 16:13:43.344570,-0.030566618429933683,-0.17217578892358873,0.23379827809888085,-0.025804071557483634,-0.15448552005613267,0.20173746562620723,-0.02235847194879613,-0.15272661837756832,0.19763146943091414,-2.1434689412700334,-3.9397603091452518
647450.560299821,4185705.80408421,1521908025.87658,2.35571118961687,1.61397304053362,1,647451.284875788,4185706.95060379,1521908030.937825,2018-03-24 16:13:50.937825,-0.03235748692279163,-0.13648678946826193,0.17796798331257324,-0.026620150873979523,-0.12364562665948488,0.15455217303405733,-0.02600560312029067,-0.12364562665948488,0.15455217303405733,-2.063022524199875,-3.360690771128257
647452.009451755,4185708.09712337,1521908035.99907,2.19246400424204,1.3455140712216598,2,647452.3454483105,4185708.5662328247,1521908041.0579848,2018-03-24 16:14:01.057984,-0.02948259210563542,-0.10715012108433022,0.14251958809111756,-0.026076859889871365,-0.09351978024652456,0.11766471475586067,-0.026076859889871365,-0.09351978024652456,0.11766471475586067,-1.7084522726502633,-2.7740526632733777
647452.681444866,4185709.03534228,1521908046.1169,2.0346053191886697,1.3939947592704298,1,647452.8495491266,4185709.270043845,1521908048.648035,2018-03-24 16:14:08.648035,-0.03548034946490893,-0.09419339835022097,0.12528594646393962,-0.03165458126730579,-0.08221125487532693,0.10343655458906183,-0.03165458126730579,-0.08221125487532693,0.10343655458906183,-1.5395430888941255,-2.4763139707642714
647453.017653387,4185709.50474541,1521908051.17917,1.90772963473972,1.26345538828036,2,647453.2223047595,4185709.7657312946,1521908056.23984,2018-03-24 16:14:16.239840,-0.03529577813125409,-0.08476572079303671,0.11274626187461191,-0.03125581064387052,-0.0739828522896774,0.09308374323103022,-0.03125581064387052,-0.0739828522896774,0.09308374323103022,-1.4194339068362027,-2.2624647980236707
647453.426956132,4185710.02671718,1521908061.30051,1.69920424679259,0.983582654163338,4,647453.57239827,4185710.1730888346,1521908063.83034,2018-03-24 16:14:23.830340,-0.03305708987625926,-0.07627135215275581,0.10144796461226768,-0.02918996013177969,-0.06656903436270716,0.0837558259783455,-0.02918996013177969,-0.06656903436270716,0.0837558259783455,-1.3178929180434753,-2.076463767787504
647453.717840408,4185710.31946049,1521908066.36017,1.68380763039598,0.691860542805018,4,647453.7192219915,4185710.256077815,1521908068.890735,2018-03-24 16:14:28.890735,-0.03195409603534044,-0.07325262213782906,0.09743277401862335,-0.028223315408335583,-0.06393431062406246,0.0804408693311966,-0.028223315408335583,-0.06393431062406246,0.0804408693311966,-1.2923155320038184,-2.0208709594175502
647453.720603575,4185710.19269514,1521908071.4213,1.7191511793778702,0.7272541788139351,2,647453.8009205544,4185710.26016274,1521908076.4832048,2018-03-24 16:14:36.483204,-0.03148196677714384,-0.07183338201124896,0.09554505316310151,-0.027830446538185605,-0.06269560903967171,0.0788823598029368,-0.027830446538185605,-0.06269560903967171,0.0788823598029368,-1.2862322972724634,-2.0006761308779493
647453.881237534,4185710.32763034,1521908081.54511,1.7776831185971498,0.6974104647045329,2,647453.90675648,4185710.319983055,1521908084.075015,2018-03-24 16:14:44.075015,-0.030686892340280953,-0.06965737800220663,0.09265076623262518,-0.02713365764359837,-0.060796409909686266,0.07649282548939118,-0.02713365764359837,-0.060796409909686266,0.07649282548939118,-1.2677954087559147,-1.9606030976910032
647453.932275426,4185710.31233577,1521908086.60492,1.7838753573981698,0.932414702046953,1,647453.9577982115,4185710.304686965,1521908089.1354098,2018-03-24 16:14:49.135409,-0.030451975302108254,-0.06888115412737249,0.09161831656492218,-0.02694969660732495,-0.06011892783629261,0.0756404311113469,-0.02694969660732495,-0.06011892783629261,0.0756404311113469,-1.2674501670515006,-1.9525398131968066
647453.983320997,4185710.29703816,1521908091.6659,1.7573370988501498,0.9203164490821072,1,647454.00884836,4185710.2893878696,1521908094.1971202,2018-03-24 16:14:54.197120,-0.041109719861801806,-0.06810480523790173,0.09058570061617034,-0.03501594054432482,-0.05944133665111048,0.07478789945103535,-0.03501594054432482,-0.05944133665111048,0.07478789945103535,-1.267104961914785,-1.944475322241916
647454.034375723,4185710.28173758,1521908096.7283401,1.6965047040920502,0.6471633742907329,3,647454.0303488469,4185710.2762224553,1521908099.25851,2018-03-24 16:14:59.258510,-0.029008984633558253,-0.0678194349865965,0.09020613174347192,-0.024706376690709124,-0.059192267747399614,0.07447452594403567,-0.024706376690709124,-0.059192267747399614,0.07447452594403567,-1.2682609103456257,-1.9427938163223923
647454.026321971,4185710.27070733,1521908101.78868,1.7644197197078202,0.8935801785220279,1,647454.0182624795,4185710.2596857203,1521908106.8486352,2018-03-24 16:15:06.848635,-0.027967585157895804,-0.06515059324600186,0.08718287959405782,-0.023764430021169042,-0.05680703327605121,0.07167261020017006,-0.023764430021169042,-0.05680703327605121,0.07167261020017006,-1.2506137816350211,-1.9498462180816192
647454.0102029879,4185710.24866411,1521908111.90859,1.81706010913443,0.6861492309437571,2,647454.0591999185,4185710.63876244,1521908119.49881,2018-03-24 16:15:19.498810,-0.029308042592167537,-0.06223918974592018,0.08328691290901283,-0.025985833045030916,-0.054268480865873395,0.06846975543246507,-0.025985833045030916,-0.054268480865873395,0.06846975543246507,-1.175541516397199,-1.8435360871430706
647454.108196849,4185711.02886077,1521908127.08903,1.69159170311896,0.5910353106276071,2,647454.0214863025,4185710.697789525,1521908132.14993,2018-03-24 16:15:32.149930,-0.029263865403692704,-0.06250521322500743,0.08364289881475713,-0.02590240351982597,-0.054500435847030036,0.06876240966891568,-0.02590240351982597,-0.054500435847030036,0.06876240966891568,-1.1664689787923772,-1.8373178449709273
647453.934775756,4185710.36671828,1521908137.21083,1.45346034551853,0.5750062896757621,4,647453.8839175336,4185710.362372325,1521908139.742135,2018-03-24 16:15:39.742135,-0.030903787036772358,-0.06673492278243529,0.08930298939398909,-0.027434198476977947,-0.058188464452841406,0.07341554188560605,-0.027434198476977947,-0.058188464452841406,0.07341554188560605,-1.2389110721372594,-1.9551425515826766
647453.833059311,4185710.35802637,1521908142.2734401,1.4517879795044,0.590417903090752,3,647453.7592612555,4185710.386822755,1521908144.804895,2018-03-24 16:15:44.804895,-0.03131585969304919,-0.06862418253655517,0.09183114911531964,-0.02772739125882974,-0.059835774728500005,0.07549392937492047,-0.02772739125882974,-0.059835774728500005,0.07549392937492047,-1.241625546789182,-1.9781278140080316
