x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647396.749624633,4185741.13696609,1521947619.45815,8.75281279116874,3.9438014460283295,2,647397.394225847,4185742.56395905,1521947621.976075,2018-03-25 03:13:41.976075,-0.006332828339158714,-0.422510935864238,0.48676633722515383,-0.0063880256805283475,-0.40776563347288286,0.468233319792309,-0.0061912963280183475,-0.36829453912828575,0.4186792852416895,-2.116175163610315,-5.497221
647398.0388270611,4185743.99095201,1521947624.494,7.41498295758296,4.922814568672929,1,647398.6832355745,4185745.41752064,1521947627.01117,2018-03-25 03:13:47.011170,-0.00931546957860431,-0.4065427517717754,0.4686197895236549,-0.008935170265093523,-0.3922179302414407,0.4500862279785129,-0.009381322410776452,-0.3522023097421567,0.39909702978778283,-2.1160974703251862,-5.5401531235502155
647399.327644088,4185746.84408927,1521947629.52834,5.83540763070683,5.06447701832211,2,647398.813405917,4185746.94039011,1521947632.0452151,2018-03-25 03:13:52.045215,-0.011467028125066711,-0.39887023769900415,0.45963574101345483,-0.01144347151060228,-0.38497695955166183,0.4414301768420953,-0.011318738144608514,-0.34388632948242037,0.38903599317219284,-2.1161148081240473,-5.585357041173474
647398.299167746,4185747.03669095,1521947634.56209,6.51812200806234,4.2667918960167,1,647397.784886111,4185747.13299952,1521947637.079175,2018-03-25 03:13:57.079175,-0.010665196638796365,-0.4027907523868419,0.46416458321994236,-0.010455928682505194,-0.3887875742383752,0.44591737621141614,-0.011447144793967134,-0.3484349600251506,0.3946043227227528,-2.1161584645763147,-5.565834342405173
647397.270604476,4185747.22930809,1521947639.59626,6.945724134221551,2.41312687449887,2,647397.0381476434,4185748.14167306,1521947642.1138902,2018-03-25 03:14:02.113890,-0.010032121619314688,-0.40160741161834096,0.46272966816415484,-0.009677525040181309,-0.38775895882797384,0.4446334496279634,-0.011520993205683505,-0.3473909619553266,0.3933932170695062,-2.116202998937532,-5.575656370198499
647396.805690811,4185749.05403803,1521947644.63152,6.627041120716388,3.12943360150004,1,647396.573134272,4185749.966793835,1521947647.1502352,2018-03-25 03:14:07.150235,-0.009938690555640797,-0.3951865369666102,0.4550145022128399,-0.00954094767664393,-0.38172998045892176,0.4372028096792474,-0.011565955045517384,-0.34060494782105627,0.38507769641694545,-2.116240582499361,-5.61283779716065
647396.340577733,4185750.87954964,1521947649.66895,6.14345332951491,2.0226604970038102,2,647396.126147399,4185751.84797009,1521947652.1879,2018-03-25 03:14:12.187900,-0.010277212581067882,-0.3869944167284611,0.4434991428453685,-0.009889769422897918,-0.373650299034129,0.4253462976408063,-0.012134552379868394,-0.33184651363065115,0.37281767426749124,-2.11619367330704,-5.630469182009647
647395.911717065,4185752.81639054,1521947654.70685,5.47079466041703,3.4315109862169804,1,647395.482806158,4185754.753458045,1521947659.74534,2018-03-25 03:14:19.745340,-0.010722596724222447,-0.37621384960308546,0.4277667336949106,-0.010443425508148863,-0.3631520149905791,0.40936479006495,-0.012628200259367478,-0.32082283298574,0.3564656879185999,-2.1161551901873334,-5.655789748842321
647395.053895251,4185756.69052555,1521947664.7838302,3.190893030919069,3.238722912506029,2,647394.611454962,4185757.43229082,1521947667.30254,2018-03-25 03:14:27.302540,-0.011966535420645047,-0.3699544746739297,0.41690529339743193,-0.011843778355207474,-0.35723483427193825,0.39858182816359644,-0.014083989496301477,-0.3145250640629151,0.3450152671726786,-2.1161657256490956,-5.692428618878434
647394.169014673,4185758.17405609,1521947669.82125,0.7945678768951279,5.10409638637212,2,647393.8381707079,4185758.9321251297,1521947672.339715,2018-03-25 03:14:32.339715,-0.012237225342516977,-0.3678811048002547,0.41202920739538523,-0.012259173544326762,-0.35532889577103555,0.3937690555075988,-0.013906799134822553,-0.31188580513533726,0.3391501263149649,-2.116180224855529,-5.730082505650156
647393.507326743,4185759.69019417,1521947674.85818,0.6612941297053431,5.7300676481432,2,647393.160023452,4185760.446380375,1521947677.375375,2018-03-25 03:14:37.375375,-0.01355487435214578,-0.3650663909755088,0.4063991527498082,-0.013848124832969516,-0.3526965864330268,0.3881972476519806,-0.013843379990153726,-0.3083999068764369,0.3324023432571541,-2.116189663456469,-5.770121435042374
647392.812720161,4185761.20256658,1521947679.89257,3.09353768220231,6.221740714562019,1,647392.4651851701,4185761.95925537,1521947682.411425,2018-03-25 03:14:42.411425,-0.014917298221118633,-0.3606057650099039,0.397483466865546,-0.0154838361491111,-0.3476477796450463,0.3790697650552705,-0.013779713237032878,-0.305247417868478,0.3258505764172934,-2.1162482286284834,-5.675831035972819
647392.117650179,4185762.71594416,1521947684.93028,3.95713793770437,6.59295889686988,1,647391.7700344225,4185763.472808345,1521947687.44972,2018-03-25 03:14:47.449720,-0.01644128000694174,-0.35605104959789424,0.38838637837794626,-0.01723923637308064,-0.34246465484052324,0.36974668853236087,-0.015164592254607534,-0.30210349524975905,0.31929850613365485,-2.1163093307755436,-5.57452934243633
647391.4224186661,4185764.22967253,1521947689.96916,4.32448945865188,6.86307197715631,1,647390.7277155695,4185765.74223368,1521947695.00417,2018-03-25 03:14:55.004170,-0.0194520543223336,-0.3424720736247752,0.37296873117897517,-0.020444775369754573,-0.3275690083175836,0.35414526539930363,-0.01890412729796495,-0.28862363681480174,0.30631663667170034,-2.1163996193129537,-5.435073269902206
647390.033012473,4185767.25479483,1521947700.03918,3.9526804237830495,7.14080791710428,1,647389.338038375,4185768.76794525,1521947705.07614,2018-03-25 03:15:05.076140,-0.0219877786783456,-0.3251983127971062,0.3568028314909179,-0.022095391416270968,-0.30890799167886407,0.33736897618600425,-0.01958158012464299,-0.2694604811405548,0.2899814888353516,-2.139715296914838,-5.411795882046055
647388.643064277,4185770.28109567,1521947710.1131,0.5921130936716601,7.09840633183732,2,647387.403346315,4185771.055794185,1521947712.630355,2018-03-25 03:15:12.630355,-0.02936027160259215,-0.3112239491415718,0.3411092173258455,-0.028507523750321895,-0.29859911128165223,0.32458516899042245,-0.02419388321991696,-0.262280987317392,0.27961636092163006,-2.139487810004893,-5.347773949630787
647386.1636283529,4185771.8304927,1521947715.14761,2.9843347315057005,7.14353452816359,1,647384.9237777455,4185772.605274385,1521947717.665135,2018-03-25 03:15:17.665135,-0.021980146714417836,-0.3364400746404214,0.3687328070235823,-0.022880139201311836,-0.3202721807214282,0.3484827386601371,-0.0210495158829338,-0.2777323493848174,0.296754211812242,-2.139485918526643,-5.667247707869406
647383.683927138,4185773.38005607,1521947720.1826599,3.6419931258412497,7.1087237550655695,1,647379.963395736,4185775.705015,1521947727.737215,2018-03-25 03:15:27.737215,-0.016697374993848546,-0.35782016527297467,0.39155518369621234,-0.01749870624829203,-0.3430634184236687,0.37222710055722874,-0.015020715910532778,-0.30191807516773583,0.32116590313780297,-2.1398915680768513,-5.772081999999999
647376.242864334,4185778.02997393,1521947735.29177,1.06785261714323,6.49677339050895,2,647375.1034380151,4185778.78881022,1521947737.80976,2018-03-25 03:15:37.809760,-0.014063835901340471,-0.3704977368555456,0.401275760853547,-0.014643412176482073,-0.35509853296557586,0.38164155729041127,-0.015198423045057752,-0.31581865941413956,0.3343556199166705,-2.14029245057547,-5.614414758404511
647373.964011696,4185779.54764651,1521947740.32775,3.19001157817329,6.084465373976821,1,647372.824358549,4185780.3066350147,1521947742.84624,2018-03-25 03:15:42.846240,-0.01364966059609829,-0.3744176215648469,0.40240023422063564,-0.014305838878311827,-0.358412913453653,0.382487374751043,-0.01580856315241712,-0.32033276879428274,0.3379420463540053,-2.140501123619103,-5.476313738821374
647371.684705402,4185781.06562352,1521947745.3647301,3.88300237442717,5.52370531494686,1,647370.5451851864,4185781.82452336,1521947747.88293,2018-03-25 03:15:47.882930,-0.013309006603544976,-0.3822094967926919,0.41013944771529637,-0.01375483957362271,-0.3658472911351534,0.3896576396578133,-0.015353782012600042,-0.32160796272682296,0.338016098081342,-2.140633863740909,-5.575363156971409
647369.405664971,4185782.5834232,1521947750.40113,3.98376760326142,4.76197268902857,1,647368.2660099225,4185783.34241296,1521947752.91963,2018-03-25 03:15:52.919630,-0.01107966369759028,-0.38565563656991425,0.4160314042000939,-0.011644631907686429,-0.36937127780434065,0.3955399691684569,-0.014902220315677159,-0.32288016533085884,0.3407034252456759,-2.1407297278501773,-5.653900355678462
647367.126354874,4185784.10140272,1521947755.4381301,3.54193776059812,3.6763965719711296,2,647366.0286292945,4185784.820090995,1521947757.955795,2018-03-25 03:15:57.955795,-0.009584079552490271,-0.38756165782085,0.41838237683386265,-0.00990344427848859,-0.37167097353557565,0.39869300550732617,-0.010951011275244449,-0.3342828706336737,0.35447892568026385,-2.140890977156301,-5.499189651755777
647364.930903715,4185785.53877927,1521947760.47346,3.16191230182118,3.26711453266921,2,647363.807036391,4185786.2829115,1521947762.99009,2018-03-25 03:16:02.990090,-0.009042435190978804,-0.39686571657163344,0.4229500102702659,-0.009312639644175613,-0.3814897816223685,0.403525519222169,-0.009496279880817915,-0.3461155514544509,0.36189630771378006,-2.1409659644992685,-5.497221
647362.683169067,4185787.02704373,1521947765.5067198,2.56184116304443,2.62342757730671,2,647361.311642815,4185788.012599105,1521947768.024495,2018-03-25 03:16:08.024495,-0.00950608383661844,-0.4018749404924387,0.42642340668574563,-0.009961726256814338,-0.3865192685902551,0.4071108091875656,-0.0102921941852252,-0.3511061454010467,0.36579714438476485,-2.1410568622536172,-5.497221
647359.940116563,4185788.99815448,1521947770.54227,2.7066166178228506,0.3383205446031789,2,647358.6206322759,4185789.40893976,1521947773.05998,2018-03-25 03:16:13.059980,-0.00914548736021166,-0.4089481969593398,0.431777321477903,-0.009706195631174447,-0.3941047006861849,0.4132229126565524,-0.009977228569437252,-0.35894241054730736,0.37273247358681827,-2.14115810018085,-5.497221
647357.301147989,4185789.81972504,1521947775.5776901,0.392448236879785,0.379599905920139,3,647355.9711636985,4185790.612727005,1521947778.096385,2018-03-25 03:16:18.096385,-0.008954645700364833,-0.41498790976746414,0.43860248245424327,-0.009274765432601681,-0.4005463831838124,0.4207333525154465,-0.008391993912342674,-0.3654678451869621,0.38090201813198593,-2.141231303688846,-5.497221
647354.641179408,4185791.40572897,1521947780.61508,2.12007852171222,2.02963328573926,2,647353.3426562964,4185792.16577861,1521947783.1334152,2018-03-25 03:16:23.133415,-0.007718979179649019,-0.4204474398687589,0.44450152662329645,-0.007870368988488322,-0.4061187751071275,0.42703765066947175,-0.00643032688321582,-0.3698984254574312,0.38645987321600545,-2.1413352068708855,-5.504475259445242
647352.044133185,4185792.92582825,1521947785.65175,3.71190165752292,1.19281284491229,2,647350.704125203,4185793.819908,1521947788.17066,2018-03-25 03:16:28.170660,-0.007459710363979827,-0.41714633093600784,0.4402706784580775,-0.007542847266755082,-0.40237396512846446,0.42229485025205715,-0.005794750135892007,-0.3647730048917315,0.37913230960282107,-2.1413585636416435,-5.601598882780959
647349.364117221,4185794.71398775,1521947790.68957,4.5087216990129,2.83748856421706,1,647346.6839916641,4185796.5022208653,1521947795.7276049,2018-03-25 03:16:35.727604,-0.005898968562824403,-0.4305946627410123,0.4494037349050869,-0.0058810864695408305,-0.4146006482825054,0.4299580908965681,-0.004180728976173581,-0.3650968400156095,0.3754422333616537,-2.141655353552879,-5.626939739398502
647344.0038661071,4185798.29045398,1521947800.76564,5.1618805690509095,0.7476817450330359,2,647342.684326902,4185799.0358452853,1521947803.28492,2018-03-25 03:16:43.284920,-0.006308320528008227,-0.44491758761201067,0.4620427682916766,-0.006499508417618455,-0.4297672764405071,0.44365906735027666,-0.005563644417397706,-0.3862144535565187,0.39486181569968526,-2.1425407921381914,-5.538558983343111
647341.364787697,4185799.78123659,1521947805.8042,5.22169219409801,0.519235146642679,2,647338.6983010115,4185801.56972682,1521947810.843745,2018-03-25 03:16:50.843745,-0.005714191555090328,-0.4477117063871704,0.4684740259395087,-0.005714971818383735,-0.43252983503008224,0.45051469242227343,-0.004292231147641254,-0.3948871670603513,0.4086323076267803,-2.1432340606627767,-5.440961327903453
647336.0318143261,4185803.35821705,1521947815.88329,4.64349738338214,2.76186723534606,1,647334.699164055,4185804.25206712,1521947818.4019399,2018-03-25 03:16:58.401939,-0.0037008611930634816,-0.4498496226361279,0.4747776019100005,-0.00367017400452245,-0.43399692719141897,0.4565633417965267,-0.0013831535549339857,-0.3911438938759906,0.40977479327865474,-2.143656267265362,-5.517914919775903
647333.3665137839,4185805.14591719,1521947820.92059,3.9548771536253295,1.08169568873465,2,647332.0251478965,4185806.009326595,1521947823.44016,2018-03-25 03:17:03.440160,-0.0037575469675319995,-0.4578581346896532,0.47481122956331756,-0.0036493555316053777,-0.44180778614997007,0.4563614534746417,-0.0021157245861743584,-0.3965584561921542,0.40712008354263807,-2.1441256963557,-5.527362006212645
647330.683782009,4185806.872736,1521947825.9597301,3.05283964153188,2.38920000594994,1,647329.342543415,4185807.736063065,1521947828.479065,2018-03-25 03:17:08.479065,-0.004558656076068063,-0.4598269060154972,0.4781286370507335,-0.004440272315083579,-0.44412878930598687,0.4602372309905129,-0.004286094498340373,-0.40247536476326434,0.41517397550311497,-2.1444532188808765,-5.497221
647328.001304821,4185808.59939013,1521947830.9984,0.218119833285074,0.31564460521317,3,647326.209653731,4185808.92473582,1521947833.518035,2018-03-25 03:17:13.518035,-0.0028380123574731075,-0.4670658018389639,0.4779858630410537,-0.0026208435265476226,-0.4513319359490415,0.4599234544119558,-0.0020505698482057716,-0.40873193802812496,0.4144373259972991,-2.1446948867784634,-5.497221
647324.4180026411,4185809.25008151,1521947836.03767,2.34802379084522,0.9172504525425992,2,647322.8698279315,4185810.66976558,1521947838.55705,2018-03-25 03:17:18.557050,-0.004079400476451708,-0.46672184419835366,0.4757329908389871,-0.003936956193466262,-0.4508954919296336,0.4576390529015346,-0.0034146969164222662,-0.40835179093895446,0.41213760509535313,-2.144859385655145,-5.497221
647321.3216532221,4185812.08944965,1521947841.07643,1.53697570449617,2.5691665422704504,2,647320.2380018351,4185813.24258414,1521947843.59689,2018-03-25 03:17:23.596890,-0.003156798420455187,-0.46881136237272675,0.4808118265939982,-0.0030690433430252545,-0.4528729535938306,0.4628007430911683,-0.002784429043471523,-0.40951022163176687,0.4162640331579643,-2.145021891964705,-5.497221000000001
647319.1543504479,4185814.39571863,1521947846.11735,2.86827896943075,3.18082025398517,1,647318.0709828224,4185815.548552455,1521947848.637155,2018-03-25 03:17:28.637155,-0.0027384085982146006,-0.4649375323428797,0.47758078817570104,-0.002548334462805432,-0.4486037677139556,0.4595063817423669,-0.002282185417793417,-0.40506336895807005,0.41383457076839736,-2.1449999532967294,-5.497221
647316.9876151971,4185816.70138628,1521947851.15696,2.73002168685376,2.8154823713382204,1,647315.9043084765,4185817.8541551502,1521947853.676625,2018-03-25 03:17:33.676625,-0.0030942550294941334,-0.4607107154919523,0.4793414673900564,-0.002784252254096106,-0.4446830337602816,0.46175354426280957,-0.002299657432358493,-0.401655652162076,0.4172520149702662,-2.1451524250226557,-5.497221
647314.821001756,4185819.00692402,1521947856.19629,0.18727681995012305,0.20721775380374696,4,647313.3271165281,4185819.886299125,1521947858.715475,2018-03-25 03:17:38.715475,-0.002523956366525165,-0.4568699430281362,0.48196131714060453,-0.002246677276684844,-0.440531367199533,0.46438230313581774,-0.0017292493369744089,-0.3970435997706039,0.4198210127982818,-2.1451208672598057,-5.497221
647311.8332313001,4185820.76567423,1521947861.23466,0.257338142583935,0.205914130991816,3,647310.5093785175,4185821.659489535,1521947863.75368,2018-03-25 03:17:43.753680,-0.002140186905989147,-0.4579074949454702,0.481341466899029,-0.001642916595364169,-0.44065864475978667,0.4629548635516282,0.00019394751562859525,-0.3932398479119507,0.4146908617721659,-2.1451640004283705,-5.497221
647309.185525735,4185822.55330484,1521947866.2727,2.32512833167437,2.3240436555025297,1,647307.862136744,4185823.4468081547,1521947868.790835,2018-03-25 03:17:48.790835,-0.003021140168066816,-0.4602958201740004,0.4792016879709964,-0.0021374596826711917,-0.44204275876363897,0.4598012003572728,0.0022034089553386177,-0.389661847955033,0.40673409669895466,-2.1452346533836355,-5.497221
647306.538747753,4185824.34031147,1521947871.30897,0.19503658828171894,0.19383680691002694,4,647302.1559636325,4185827.010614695,1521947878.863585,2018-03-25 03:17:58.863585,-0.002479096617090351,-0.46137516170245363,0.47300578930809245,-0.002003224871760967,-0.4413926672585512,0.45182230746187263,-0.00335924572556473,-0.3812415773654314,0.39064238343939434,-2.1451674547149087,-5.520697374954794
647297.773179512,4185829.68091792,1521947886.4182,3.17069320966576,2.7024540340594,2,647295.1268011546,4185831.137587535,1521947891.45477,2018-03-25 03:18:11.454770,-0.0006407407629771822,-0.46903759266048556,0.4617663348827,-0.0005490993802486216,-0.4485709839936629,0.43968330771807096,-0.0011108199777403321,-0.4032944169103703,0.3927584129128684,-2.1456558856526358,-5.2790115355378315
647292.480422797,4185832.59425715,1521947896.49134,3.65148041502206,2.82141760391494,1,647291.1575331265,4185833.32242578,1521947899.00905,2018-03-25 03:18:19.009050,-0.0013794332403007925,-0.46948887734165423,0.4550667666292401,-0.0013856290193884485,-0.44945914091115785,0.43333252769091024,-0.0014612259776172476,-0.4090993435222222,0.391457552024714,-2.1456190402317334,-5.22236
647289.834643456,4185834.05059441,1521947901.5267599,2.9792128640829105,0.23933626270188105,2,647288.5290218431,4185835.11744067,1521947904.0440397,2018-03-25 03:18:24.044039,-0.001723252702481623,-0.4692490302215589,0.45122213472590056,-0.0017301833045932635,-0.4494754657379473,0.42973466759164985,-0.0016761691145312368,-0.4099922098972967,0.3888793309716983,-2.145592825475658,-5.22236
647287.22340023,4185836.18428693,1521947906.5613198,0.7544749148498521,0.6281606714286949,4,647285.7319592426,4185836.432525515,1521947909.07962,2018-03-25 03:18:29.079620,-0.0029374091509295625,-0.4654061688906458,0.4521349168780815,-0.0026186253521011116,-0.44519204425445685,0.4307276660406806,-0.0012066317927625636,-0.40504204986895154,0.3903652249789434,-2.1454930123642497,-5.22236
647284.240518255,4185836.6807641,1521947911.59792,2.3588383149861403,0.19432951901750306,2,647282.749390373,4185837.53268167,1521947914.116605,2018-03-25 03:18:34.116605,-0.0019864942108576422,-0.46742880720836455,0.4504874950019733,-0.0012966136712509319,-0.445593872403048,0.4279191563069165,0.0015745948566225076,-0.39881204213659033,0.3834960230784867,-2.14548179948379,-5.22236
647281.258262491,4185838.38459924,1521947916.6352901,0.197379157084599,0.187311405935364,4,647277.8862907104,4185839.8013808,1521947921.672645,2018-03-25 03:18:41.672645,4.7999489688366204e-05,-0.4743382492748614,0.44795384209534833,0.0004798338861528306,-0.45040281340338195,0.4238779201926567,0.0020847059768101667,-0.40020590411630147,0.37831486615637766,-2.145770200497141,-5.1567562464752
647274.51431893,4185841.21816236,1521947926.71,2.9237167357830502,3.28511057932343,1,647272.828707584,4185841.926395,1521947929.228115,2018-03-25 03:18:49.228115,-0.0018567077449456598,-0.4868409479279864,0.4455190955871056,-0.0017748728872516994,-0.46212879545978847,0.42089749882800015,-0.0006971324273880031,-0.4256585119450757,0.3867978813889041,-2.146605395946469,-4.947498999999999
647271.143096238,4185842.63462764,1521947931.7462301,1.76235722736997,2.85215591544732,2,647269.998556037,4185843.586381845,1521947934.26481,2018-03-25 03:18:54.264810,-0.0012460372253940977,-0.48778613905149454,0.44005316323424826,-0.0013328851546806492,-0.46320389141061746,0.415609083097666,-0.0013101869238072716,-0.4269258349284473,0.3816508809302186,-2.1467460219744923,-4.947499
647268.854015836,4185844.53813605,1521947936.78339,2.9630611659540804,0.621123360679082,2,647267.6696359336,4185845.286667435,1521947939.301515,2018-03-25 03:18:59.301515,-4.0239211568787736e-05,-0.4885576420329034,0.43499707948236266,9.162948762125867e-05,-0.46410458066362303,0.41076101592969627,0.0004103725399333402,-0.42801981593547456,0.3769833728153882,-2.1468498144669814,-4.947498999999999
647266.485256031,4185846.03519882,1521947941.81964,2.7574357572061605,0.29867933648868394,2,647265.289608439,4185846.60758011,1521947944.33808,2018-03-25 03:19:04.338080,-0.00033189874970775135,-0.4893539169050444,0.4305258153297751,-0.00016471200184958734,-0.46500509503990345,0.4064251275827505,0.00014718906719730918,-0.42907410119584855,0.37275199546164806,-2.146970752787287,-4.947499
647264.093960847,4185847.1799614,1521947946.85652,0.207901593415311,0.25117589311779304,3,647261.6197709886,4185848.440664065,1521947951.89361,2018-03-25 03:19:11.893610,-0.001440010578813558,-0.4813524773105883,0.4237164702042217,-0.001379094144816545,-0.4569164708822454,0.399082237977371,-0.0008641326259875431,-0.4210103363323325,0.36494863485983503,-2.146816217427678,-4.947499
647259.14558113,4185849.70136673,1521947956.9307,2.65712461188198,0.4536943965672151,2,647257.8945052801,4185850.225871955,1521947959.448865,2018-03-25 03:19:19.448865,-2.9960571428552796e-05,-0.4799534040192558,0.4158464485308039,-2.8600810403109356e-05,-0.45526600617554525,0.3914386364940273,-0.00013905687330290073,-0.4176781799346017,0.35667443027996665,-2.1465550971166643,-4.947498999999999
647256.64342943,4185850.75037718,1521947961.96703,0.199425508585383,0.29220647520680393,3,647254.0154441029,4185852.112763315,1521947967.0033102,2018-03-25 03:19:27.003310,0.0012544886801419547,-0.4776791478837328,0.4033370841684,0.001333318634943112,-0.4526487895215072,0.3787798457289092,0.0008105232377369487,-0.41560124980142266,0.3445974705343051,-2.14625096788879,-4.947498999999999
