x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647436.340855023,4185687.1812425004,1521286670.63138,4.48100342424972,5.02152471055922,3,647436.1273987079,4185687.361225335,1521286673.162805,2018-03-17 11:37:53.162805,-0.002894755225330503,-0.20556692616091818,0.24370064458126853,-0.0025396932033933672,-0.19592493737815492,0.23376004366013314,-0.0018936198546495586,-0.1772889891888067,0.21283483920512025,-2.621190714437417,-5.772082
647435.9139423929,4185687.54120817,1521286675.69423,4.9311907842248095,4.96724241046974,2,647435.367195725,4185690.38879719,1521286695.942085,2018-03-17 11:38:15.942085,-0.002993957054959917,-0.20215114935627532,0.239839562761719,-0.002701625954127901,-0.19295247382427613,0.23009855601091392,-0.002082790060174096,-0.1748430153235453,0.20946504867216473,-2.6211997269675416,-5.772082000000001
647434.820449057,4185693.23638621,1521286716.18994,6.33068165968343,6.0227895713799295,1,647434.5460682181,4185694.6605232954,1521286726.3128,2018-03-17 11:38:46.312800,-0.004346486619166923,-0.19526337481489792,0.2342242614631238,-0.004250142424642611,-0.18608909279021732,0.22428766487186136,-0.002725412438050627,-0.16933282548197165,0.20510565953745705,-2.6212486587997232,-5.678200019142867
647434.271687379,4185696.08466038,1521286736.43566,6.489496599036912,5.936618458541,1,647433.79292077,4185698.575722365,1521286754.155055,2018-03-17 11:39:14.155055,-0.0043952766603461355,-0.18730621654675075,0.23041027399241182,-0.004166175343088059,-0.17801190846596107,0.220243071244777,-0.00208730340232427,-0.1617208059071089,0.20119232089999872,-2.6212610585016565,-5.622677106765788
647433.314154161,4185701.06678435,1521286771.87445,6.025141526459299,4.7407179794350585,1,647433.2454906025,4185701.4227597304,1521286774.4052749,2018-03-17 11:39:34.405274,-0.004535994601182779,-0.18215400717264868,0.2279546627035425,-0.004081489725226144,-0.1726283332456371,0.21739232042277978,-0.0010466594629836082,-0.15607284719545217,0.19757396290406842,-2.6212731638173286,-5.58993889986371
647433.176827044,4185701.77873511,1521286776.9361,5.87351625132879,4.417228599630571,2,647432.4248583964,4185702.98515354,1521286789.5866299,2018-03-17 11:39:49.586629,-0.004487959238660313,-0.18096034837701144,0.22742576752774324,-0.003979108326843742,-0.17132362160646508,0.21660738917378103,-0.0007025031191807626,-0.1544583986574305,0.1961159975505017,-2.621294142192915,-5.5763794003957425
647431.6728897489,4185704.19157197,1521286802.23716,5.81897103095069,5.06706607575725,1,647431.5224699939,4185704.4328977903,1521286804.76771,2018-03-17 11:40:04.767710,-0.004428622292945439,-0.18023710220902578,0.227261027588803,-0.004064401664656318,-0.17044814748303133,0.2161470227222949,-0.0014968002472996803,-0.15302048744965102,0.1946749339894041,-2.621312914386838,-5.571331641994715
647431.372050239,4185704.67422361,1521286807.29826,5.74340497570925,5.08885894878321,1,647431.071161795,4185705.15695422,1521286812.36019,2018-03-17 11:40:12.360190,-0.004234531556833586,-0.17987538467827227,0.2271786346294586,-0.00394553116578876,-0.17001029690112868,0.21591677923410496,-0.0018058055924773594,-0.15230134843288146,0.19395421931347762,-2.621322302877721,-5.568807073573998
647430.770273351,4185705.63968483,1521286817.4221199,5.521992203255018,5.03250798321063,1,647429.5679400836,4185707.568816315,1521286837.670975,2018-03-17 11:40:37.670975,-0.004505344411076528,-0.18337766708903586,0.22652261246870595,-0.00433676479287886,-0.17444256457203872,0.2161663308023557,-0.003417119198260897,-0.1607108432214649,0.1993499825343433,-2.621416689795768,-5.496155133392142
647428.365606816,4185709.4979478,1521286857.91983,3.2505858952477205,3.08867561234567,1,647428.0647607535,4185709.98047428,1521286862.98007,2018-03-17 11:41:02.980070,-0.005887751779384838,-0.18247309435475312,0.22832035578417859,-0.005714386340959152,-0.17366144757314625,0.21800214466020756,-0.004445072443116954,-0.16145440518335097,0.2024969136436124,-2.6214953949366206,-5.454501877696852
