x,y,tnum,x_sd,y_sd,num_rx
647433.860605376,4185670.47484129,1521288789.63257,7.643127164853951,7.9271743101101695,2
647433.642104475,4185670.25962434,1521288804.7955198,7.6213716107482,7.9203705049194415,1
647431.752073005,4185668.38417015,1521288936.24895,6.07554997335616,6.69193865374326,2
647431.089208645,4185667.75985564,1521288956.47578,5.9673103171457305,6.62440254852847,1
647430.757865962,4185667.44778358,1521288966.5864599,5.836846654035161,6.53458727316296,1
647430.0949300771,4185666.82340096,1521288986.81548,5.404620282887549,6.23464931230582,2
647429.393018296,4185666.17770226,1521289001.97916,5.3581756069086905,6.1925139403383,1
647429.158959302,4185665.9623874,1521289007.03564,5.31849258454976,6.16275153791693,1
647428.924943691,4185665.74711276,1521289012.09118,5.26633291138847,6.124973032600911,1
647428.456877423,4185665.31653099,1521289022.2030199,5.1229359347846515,6.024708994180091,1
647427.988822391,4185664.88595963,1521289032.31461,4.92348648179776,5.89005372933459,1
647427.286771753,4185664.24013217,1521289047.48131,4.50239479115475,5.6180181900672,3
647426.917781282,4185663.91671338,1521289052.53579,4.4869661081958,5.59943501604242,1
647426.179707711,4185663.2697942,1521289062.64601,4.31696439391901,5.491237801537629,1
647425.810702231,4185662.94636226,1521289067.70069,4.15670652426578,5.4002037776997005,2
647425.572885168,4185662.72381188,1521289072.7577,4.16729630300776,5.37738101270885,1
647424.621984961,4185661.833958,1521289092.97782,3.94975084198204,5.165037385944251,1
647424.3841840379,4185661.61142293,1521289098.0344698,3.82482979494554,5.079734839617889,1
647423.908627094,4185661.16639348,1521289108.14684,3.4715232238826603,4.86612373890834,3
647423.317993267,4185660.76465761,1521289118.26046,3.606226478159,4.915652851955549,1
647422.727388236,4185660.36294007,1521289128.37361,3.56694438540459,4.897014677637231,1
647422.432195369,4185660.1621563993,1521289133.4283,3.4812814821606,4.8620181466220584,1
647422.137029478,4185659.96139122,1521289138.4825099,3.3477008640533104,4.80947366719101,2
647421.8933899071,4185659.79645754,1521289143.53826,3.38404407051568,4.81872486292209,1
647421.649640588,4185659.63144889,1521289148.5962696,3.28636509395051,4.78186885609225,2
647421.374102321,4185659.44461546,1521289153.6555,3.32055015187982,4.78776529164941,1
647421.098637888,4185659.2578325,1521289158.71334,3.21687539052584,4.74800399279537,2
647420.8819518089,4185659.11082169,1521289163.77238,3.2783469114934904,4.75469502325302,1
647420.448625504,4185658.81683151,1521289173.88935,3.11302145464106,4.674524178179509,2
647419.8375125161,4185658.40170478,1521289189.0616698,3.0000819249013,4.57826863333433,2
647419.6820156571,4185658.29487317,1521289194.11726,3.06583870837238,4.56840823833207,1
647419.526484824,4185658.18801791,1521289199.17394,3.02796723317114,4.527385376112782,1
647419.370949576,4185658.0811596,1521289204.2307599,2.8823536727262904,4.45433559861024,2
647419.21655083,4185657.975036,1521289209.28729,2.84116375020204,4.406988317422219,2
647419.290777338,4185658.01600806,1521289214.3461,2.95086125355832,4.38939508286429,1
647419.439197231,4185658.09793429,1521289224.4616199,3.02288726656982,4.30826686752609,1
647419.587623582,4185658.17986395,1521289234.57759,2.90653057909343,4.16260683730038,1
647419.7360628439,4185658.26180051,1521289244.6944199,2.5763424945497,3.94525386302935,2
647419.665805539,4185658.20857719,1521289249.75265,2.6123591580326297,3.89486978475479,1
647419.595533113,4185658.15534212,1521289254.81196,2.46607072007064,3.79015192809119,2
647419.469857694,4185658.05853393,1521289264.9275901,2.3278884026974103,3.6271669408481606,3
647419.491895137,4185658.01041482,1521289269.98222,2.2781205731729104,3.51262036551517,2
647419.76336874,4185658.12366639,1521289275.03793,2.21632129031881,3.39737069739541,2
647419.585668722,4185657.88093972,1521289285.14851,2.05409817619817,3.1641685650916296,2
647419.4814404771,4185657.68574067,1521289295.2596,1.88625861019076,2.89207679174982,2
647417.913336685,4185656.61181787,1521289300.31771,2.16494169413339,2.52660390742168,3
647418.857895311,4185657.90004352,1521289305.37365,1.74907073671297,2.73178011942486,3
647418.4691458279,4185658.30812348,1521289310.4286199,1.85461745872007,2.73018808963078,1
647418.0805018421,4185658.71609715,1521289315.48226,1.6900449662657198,2.6462203248870897,2
647417.588032127,4185659.05808437,1521289320.53625,1.63225567476837,2.5911703050947,3
647417.219165814,4185659.43922851,1521289325.5899,1.72633212049675,2.5436687952059502,1
647416.850385466,4185659.82028381,1521289330.64236,1.52484474179345,2.40667594025848,2
647416.38412692,4185660.1398343,1521289335.69433,1.43591603727074,2.29780838273534,3
647416.096148562,4185660.5302352007,1521289340.7462099,1.51450572825259,2.19855615777988,1
647415.808201657,4185660.92059396,1521289345.7975302,1.24327819749369,1.98984286603506,3
647415.516141422,4185661.26703424,1521289350.84864,1.3115177950456,1.84219681438706,1
647415.224034489,4185661.61352852,1521289355.90062,0.9578735064334232,1.55070234026741,3
647414.556767957,4185662.46951701,1521289360.9544802,1.32861599907983,1.72582975052299,1
647413.889645861,4185663.32531867,1521289366.0072699,1.43415127257553,1.7864119361558997,1
647413.222634432,4185664.18097821,1521289371.05923,1.33890397162273,1.74445604889371,1
647412.555103858,4185665.03730386,1521289376.11512,0.985772412073145,1.5918143365368602,3
647412.146880351,4185665.99227864,1521289381.16961,1.1417326412876398,1.51569173679372,2
647411.651092273,4185666.833174,1521289386.22397,0.774883787740856,1.24890788075243,3
647411.07128203,4185667.73892403,1521289391.2788,0.832727619007837,1.33523780704225,3
647410.521211858,4185668.58298638,1521289396.33392,0.84489213863798,1.31691371102793,2
647410.0232406061,4185669.45978221,1521289401.38929,1.0213572260459,1.08569769635801,3
647409.505523109,4185670.27097441,1521289406.44241,0.658372737307617,1.03427566426201,5
647408.88806145,4185671.63210634,1521289411.4943,0.8443047983618241,1.3130732579608602,2
647407.921080785,4185672.77244877,1521289416.54886,0.948972773977327,1.48391548448084,2
647407.406279315,4185674.19900885,1521289421.60435,1.0157101401756998,1.57452049021196,2
647406.6743640279,4185675.48641171,1521289426.6589599,1.35650336578679,1.7023344391611002,1
647405.942672553,4185676.77342079,1521289431.71201,1.47920504382029,1.7250876458013302,1
647405.210944507,4185678.06049418,1521289436.7653198,1.44092565011081,1.64702813505825,1
647404.479037612,4185679.34788207,1521289441.81986,1.2265325894656,1.45197739653403,1
647403.747213279,4185680.635126,1521289446.87384,0.687395088173154,1.07827790513677,3
647402.883133205,4185681.6033926,1521289451.92715,0.4564577886723039,0.69918802513915,5
647402.1224762871,4185683.06765204,1521289456.97856,0.4154266132681121,0.629059747636606,5
647401.042998996,4185684.68950534,1521289462.03352,0.447996558536181,0.681080178751674,4
647400.342786142,4185686.00865339,1521289467.08822,0.894314040643091,0.97446325608032,1
647399.642865474,4185687.32724887,1521289472.1408,0.4359734238698599,0.643057994624235,3
647399.2269894229,4185688.53704753,1521289477.19504,0.420406902870068,0.6244455144439489,4
647398.901243214,4185689.29946674,1521289482.2480302,0.580179280460665,0.8283101614382931,2
647398.787518747,4185690.20824528,1521289487.30169,0.411057515498539,0.6046518688972329,4
647397.402048855,4185692.15509058,1521289492.35584,0.3966863584645921,0.561555517883089,3
647396.512811474,4185693.54149009,1521289497.40972,0.39778692711539904,0.8923367751472691,2
647395.739931114,4185694.97106619,1521289502.46349,0.35091086508970903,0.50118428523643,4
647394.955969509,4185696.38178724,1521289507.5164301,0.344062730007311,0.4670310172985321,3
647393.82589866,4185697.35542015,1521289512.57067,0.314763357805788,0.444838833290224,4
647392.950054087,4185698.63312272,1521289517.62524,0.332725440520336,0.450021678953098,3
647392.150396632,4185699.77965964,1521289522.6802301,0.865596514697722,0.9346053212880792,1
647391.350943096,4185700.92590589,1521289527.7339401,0.355796734744805,0.687926443477818,3
647390.3610691021,4185702.00472441,1521289532.7878,0.29249369502543,0.386107336012764,3
647389.077520579,4185703.01445059,1521289537.83995,0.27539586939396804,0.3634206556461129,3
647387.878810005,4185704.14489958,1521289542.89401,0.24153864891183305,0.33421769060276096,4
647386.667885349,4185705.27816094,1521289547.948,0.250875829286216,0.328014587495913,3
647385.770195561,4185706.55284232,1521289553.00036,0.217907399683192,0.2965267602731311,4
647384.690669859,4185707.57240169,1521289558.05697,0.210519622864042,0.285263379743554,4
647383.961718556,4185708.8861729,1521289563.11399,0.5316482767291789,0.6784549514933051,2
647382.890278401,4185709.9330765,1521289568.17049,0.175725894418663,0.226204463054131,5
647382.07438528,4185711.1540623,1521289573.22725,0.6570687088841259,0.32026318922486496,3
647381.057148438,4185712.26415333,1521289578.28345,0.15874334527634198,0.19651569060757,5
647380.0640529579,4185713.61082655,1521289583.33989,0.6365658408686179,0.274741932236901,3
647378.772809858,4185714.70158759,1521289588.3954198,0.192385219455088,0.25044054425132395,3
647378.344884227,4185716.85525017,1521289593.45076,0.7396760903774008,0.6521627580473461,2
647376.360153868,4185717.16830565,1521289598.50491,0.6659387269652149,0.212480577203434,3
647375.7662409861,4185719.10124604,1521289603.55806,0.170600204027041,0.486995079540854,3
647374.767898826,4185720.20832991,1521289608.61294,0.147159135003035,0.146603848821621,3
647374.0409761571,4185721.48890813,1521289613.6677802,0.121766652152082,0.117812159346953,4
647373.280832762,4185722.80452434,1521289618.7232199,0.136600200981753,0.128884096701311,3
647372.364620331,4185724.02002837,1521289623.78063,0.13176841776454498,0.121398389274995,3
647372.103974398,4185724.58336975,1521289628.8359401,0.128796014340159,0.137322893923489,3
647370.804923533,4185726.15524441,1521289633.89006,0.125241883436478,0.8301592144412141,2
647369.7165332,4185727.73382947,1521289638.94429,0.0978387442706852,0.0972410155060433,4
