x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647374.338896843,4185807.47804882,1522088789.1196,7.52399310656849,14.7278686858791,2,647374.3343749985,4185807.4889153903,1522088796.7088099,2018-03-26 18:26:36.708809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5438729232507231,-1.544072923250723
647374.329853154,4185807.49978196,1522088804.29802,5.38591939761614,13.7587263483358,1,647374.3268383364,4185807.5070269452,1522088809.3576899,2018-03-26 18:26:49.357689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5441743267698844,-1.5443743267698846
647374.3238235189,4185807.51427193,1522088814.41736,3.25488088283104,13.0726712177805,1,647374.3223175685,4185807.51789089,1522088816.9460402,2018-03-26 18:26:56.946040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5443551197315075,-1.5445551197315075
647374.320811618,4185807.52150985,1522088819.47472,1.17815334462097,12.7159118763889,2,647374.39576026,4185807.53217213,1522088822.004885,2018-03-26 18:27:02.004885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5413568065197116,-1.5415568065197116
647374.470708902,4185807.54283441,1522088824.53505,3.0167347233149906,12.3533089966045,1,647374.5457500365,4185807.553515365,1522088827.06841,2018-03-26 18:27:07.068410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.535235952961845,-1.5354359529618447
647374.620791171,4185807.56419632,1522088829.60177,3.76989524564134,11.9784782170206,3,647374.6956629085,4185807.574877005,1522088832.1308298,2018-03-26 18:27:12.130829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5291182283381701,-1.52931822833817
647374.770534646,4185807.58555769,1522088834.65989,4.08777382714225,11.591389480738599,1,647374.845600056,4185807.5962775797,1522088837.19564,2018-03-26 18:27:17.195640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.522999501682699,-1.523199501682699
647374.920665466,4185807.60699747,1522088839.73139,4.07429292316784,11.189006831332,1,647375.1455752115,4185807.639100255,1522088847.32907,2018-03-26 18:27:27.329070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5107579301072573,-1.5109579301072573
647375.370484957,4185807.67120304,1522088854.92675,0.7765665276130341,9.88014673305657,2,647373.999101945,4185807.56979456,1522088857.457975,2018-03-26 18:27:37.457975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5575136403994558,-1.557713640399456
647372.6277189329,4185807.46838608,1522088859.9892,2.9612137360921205,9.440589580935699,1,647371.2546899405,4185807.36686107,1522088862.5234652,2018-03-26 18:27:42.523465,-0.015469493642149418,-0.003812189518818799,0.009135188062936402,-0.014780077474329661,-0.003812189518818799,0.009135188062936402,-0.014753584129915481,-0.003812189518818799,0.009135188062936402,-1.6736167349361895,-1.6911971679452684
