x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647364.7927679861,4185716.13991966,1521983256.3654802,13.384433206873801,1.13001702512267,2,647364.842355775,4185717.47135144,1521983258.87957,2018-03-25 13:07:38.879570,0.0002247030719761678,-0.531249736141137,0.5297847600154545,0.0004555888916591422,-0.5151879514291398,0.5130469924736638,0.002162617531366512,-0.4373331356337481,0.43179246503943025,-1.9878338298293317,-6.430499805237334
647364.8919435639,4185718.80278322,1521983261.39366,12.943549416480801,4.9310974726987,1,647365.0905300404,4185724.13409216,1521983271.46063,2018-03-25 13:07:51.460630,-0.0018616465294413742,-0.5265346199260179,0.539789593090756,-0.0019800031170762733,-0.5106523455962657,0.5232516227317607,-0.0016432134567812146,-0.4401926286009262,0.44867661216866533,-1.9882264943326358,-6.161684470705364
647365.2891165171,4185729.4654011,1521983281.5276,10.2772590627996,7.78705037758413,1,647365.3386711085,4185730.79622968,1521983284.040555,2018-03-25 13:08:04.040555,-0.0017656620447293325,-0.5136130811523123,0.5426472811065101,-0.0018377820613103696,-0.49757083552539283,0.5258773143523848,-5.734561284069517e-05,-0.442586685938483,0.46713188232518355,-1.9889090914828746,-5.791416841555147
647365.3882257,4185732.12705826,1521983286.55351,9.290960889069481,7.46557295826228,1,647365.487487523,4185734.793737275,1521983291.58896,2018-03-25 13:08:11.588960,-0.0018141552717782505,-0.505390469181534,0.5367800484179353,-0.0017175705799909319,-0.48971899389748974,0.5199884391451365,-0.0015077294515951911,-0.4377801114873391,0.4630760188403338,-1.9887793600239063,-5.772082
647365.586749346,4185737.46041629,1521983296.62441,6.558245745315911,5.399386128737709,2,647365.662261785,4185738.82689777,1521983299.1454449,2018-03-25 13:08:19.145444,-0.0019239713644804146,-0.4969411831815499,0.5307299703035286,-0.0018326808901895086,-0.48166943339336443,0.5139791496530636,-0.0017275975534333105,-0.4320502267910738,0.45817286038114446,-1.9885949679960013,-5.772082000000001
647365.737774224,4185740.19337925,1521983301.66648,5.10500555475737,6.991657620685849,1,647365.8131783055,4185741.558132715,1521983304.1843052,2018-03-25 13:08:24.184305,-0.0014669724216043872,-0.4908622697955054,0.5265427174766975,-0.0014342792678286725,-0.47573823877634647,0.509751952749111,-0.0013930877512026985,-0.4266744095234549,0.4539754819609557,-1.988374681782005,-5.772082000000001
647365.888582387,4185742.92288618,1521983306.70213,1.09601745605624,7.916805143541301,2,647363.5767726221,4185745.339283415,1521983311.73841,2018-03-25 13:08:31.738410,-0.0011699740069041759,-0.48533983280479,0.5225292187792165,-0.0011654807661811983,-0.4700383593415186,0.5053578311463061,-0.0012234568998154005,-0.4212733819414885,0.44993826371445383,-1.988175710646495,-5.772082000000001
647361.264962857,4185747.75568065,1521983316.7746902,6.12071189817925,8.680937041437112,1,647360.110586877,4185748.962291345,1521983319.2894902,2018-03-25 13:08:39.289490,-0.00033101215478109625,-0.4855379477076821,0.5180044670920051,-0.0002694467807892176,-0.4702913832313474,0.5007352742241268,-0.00026723926446048374,-0.4216412574271724,0.44550336763035653,-1.988235885829861,-5.772082
647358.9562108971,4185750.16890204,1521983321.80429,6.678343515855969,8.65660619746408,1,647354.3345859036,4185754.99970346,1521983331.87247,2018-03-25 13:08:51.872470,-0.001107053216065898,-0.48721150543410063,0.5121890658515362,-0.0010379550436951657,-0.4721712256622067,0.4947541295257653,-0.0010948253576525818,-0.4234460423933926,0.43913419582912194,-1.9884635309530434,-5.772082
647349.71296091,4185759.83050488,1521983341.94065,0.31902732333564193,5.420075703093362,2,647347.915099025,4185761.04622222,1521983344.456595,2018-03-25 13:09:04.456595,-0.001414776767707418,-0.4883671770163775,0.5024700082284471,-0.001369572458949156,-0.47351672508092457,0.48492804535382134,-0.0012433290607252179,-0.4246829471628152,0.4291965341511015,-1.9887160203284258,-5.772081999999999
