x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647354.150787925,4185747.77841247,1522253902.4423401,19.4573321586549,17.6041690365066,2,647354.1712012725,4185747.7744288603,1522253910.00662,2018-03-28 16:18:30.006620,-0.0016793894508793095,-0.6199860632412066,0.6479120057004812,-0.0012949657858789543,-0.6019481027670225,0.6284162919546573,0.00444407275744807,-0.5267897754240947,0.547011565072221,-1.6922130176643457,-5.856779431683556
647354.19161462,4185747.77044525,1522253917.5709,18.1275375012761,16.1326746282818,1,647354.1984458615,4185747.7691428503,1522253920.10191,2018-03-28 16:18:40.101910,-0.0016749691571033287,-0.6199304338849848,0.6479039869457541,-0.0012902803618727865,-0.6018916178475616,0.6284075194921382,0.004456706704200869,-0.5267013463167344,0.5469702072415341,-1.6922090143067485,-5.857035187196152
647354.205277103,4185747.76784045,1522253922.63292,17.660256093389197,15.608950902056401,1,647354.250887596,4185747.75508452,1522253942.85636,2018-03-28 16:19:02.856360,-0.0016662520539367232,-0.6198286942398152,0.6478934581417406,-0.0012808060854241354,-0.6017868712165857,0.6283946223567187,0.004486704641296468,-0.5265138021438334,0.5468743421486754,-1.6922009223932735,-5.857694613183242
647354.296498089,4185747.74232859,1522253963.0798,13.3516575436768,10.5216851858922,1,647354.313522013,4185747.73407223,1522253970.679275,2018-03-28 16:19:30.679275,-0.0016522398661313054,-0.6196761359777524,0.6478853161711364,-0.0012670992127101488,-0.601646173946369,0.628398598363897,0.004502543678950782,-0.5265642108984817,0.5470699796013474,-1.6921961438716737,-5.8561323929918325
647354.3305459371,4185747.72581587,1522253978.27875,11.3131275161781,7.784725137261339,1,647354.3362107496,4185747.72307765,1522253980.80859,2018-03-28 16:19:40.808590,-0.001641640222963453,-0.619618912998326,0.6478864792099427,-0.0012581923644857662,-0.6015951001600407,0.6284062121862075,0.004483791776609486,-0.5266199830975362,0.5471854959821901,-1.6921950284927332,-5.855257921952259
647354.341875562,4185747.72033943,1522253983.3384302,10.5475718891821,6.626045230522139,1,647354.3475332435,4185747.71760352,1522253985.8669353,2018-03-28 16:19:45.866935,-0.001636351576855627,-0.6195903458937134,0.6478870438996611,-0.001253748610267058,-0.6015696031443529,0.6284099962114824,0.004474429831806903,-0.526647819899149,0.5472431377223077,-1.6921944721938926,-5.854821434253616
647354.353190925,4185747.71486761,1522253988.39544,9.722455289965893,5.215986050571161,3,647355.9100162131,4185750.60655775,1522253990.92398,2018-03-28 16:19:50.923980,-0.0009827130999918998,-0.6123904990307827,0.6437973716269716,-0.0008801535196315546,-0.5951898919299923,0.6247739083146435,-0.00053735721856496,-0.5309872653614105,0.5533170398047299,-1.6921939011933558,-5.772082
647357.4668415011,4185753.49824789,1522253993.45252,7.7243245395286,6.36613913193104,2,647357.1866573405,4185757.163233255,1522254003.569375,2018-03-28 16:20:03.569375,-0.002372207374117169,-0.6026315358904253,0.6355255659026211,-0.002246667488603221,-0.5860900491480854,0.6163189430557809,-0.0024031121997395988,-0.5220979883226334,0.5429492265524433,-1.692042599880773,-5.772082
647356.90647318,4185760.82821862,1522254013.6862302,6.14894766609063,6.31327138013347,1,647356.7664063965,4185762.66037046,1522254018.74371,2018-03-28 16:20:18.743710,-0.0021058227160733467,-0.5941139956980785,0.6249574877369699,-0.0020031085861373643,-0.5779550994326063,0.6055923329855377,-0.0020451523137667293,-0.515446631359972,0.5327590875505035,-1.69199952889307,-5.772082
647356.626339613,4185764.4925223,1522254023.8011901,4.47117087967766,5.42098711254133,2,647353.1725446535,4185770.77678075,1522254033.9206452,2018-03-28 16:20:33.920645,-0.004220549896444492,-0.5852209340094292,0.609661381230245,-0.003997144955262266,-0.5697757003788867,0.5906436569759856,-0.0028669890029663636,-0.5103220681941896,0.5212536297232635,-1.6920325034898296,-5.772082000000001
