x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647303.886777045,4185785.20270299,1521439035.85421,11.4463734699291,7.78211905935583,2,647303.888899275,4185785.20060621,1521439045.8664649,2018-03-19 05:57:25.866464,-0.0005414904592086073,-0.32801922896775393,0.2994874612927668,0.00028123995890211306,-0.31332085535892,0.2837228618475271,0.0020839688338596535,-0.287057322390676,0.25759316301656215,-2.300444083413767,-5.276165724809495
647303.891021505,4185785.19850943,1521439055.8787198,11.130242814168902,7.308769082591652,1,647303.8920966676,4185785.197446935,1521439060.9159849,2018-03-19 05:57:40.915984,-0.0005370686331092611,-0.3280161459276212,0.29948878008476565,0.00028533257988602734,-0.31331865650783863,0.28372501712850934,0.0020932251425604537,-0.28705508478892416,0.2575951541159098,-2.300443839835002,-5.276245049707071
647303.89317183,4185785.19638444,1521439065.95325,10.9677393792341,7.058612647643219,1,647303.894794644,4185785.1947805854,1521439073.5313501,2018-03-19 05:57:53.531350,-0.0005333369889247985,-0.32801354453638815,0.2994898928193671,0.0002887863232120258,-0.3133168011726195,0.2837268356804184,0.002101036640303547,-0.28705319684902547,0.257596834236368,-2.300443634284953,-5.2763119824880205
647303.896417458,4185785.19317673,1521439081.10945,10.7186174399015,6.66459031097485,2,647303.8985811525,4185785.191038305,1521439091.2135901,2018-03-19 05:58:11.213590,-0.0005280996229479612,-0.32800989360935295,0.299491454480166,0.00029363363143945775,-0.3133141972990929,0.2837293879244301,0.0021120000733104577,-0.28705054724371004,0.25759919222840344,-2.300443345798137,-5.276405919545853
647303.900744847,4185785.18889988,1521439101.3177302,10.3771283870496,6.09971436216921,1,647303.901276916,4185785.188357365,1521439103.91441,2018-03-19 05:58:23.914410,-0.0005243558959613648,-0.32800729729097045,0.29949256414732944,0.000297096062935126,-0.3133123455715891,0.28373120231623183,0.002119835691095154,-0.287048665856236,0.25760087161187584,-2.3004431398844822,-5.276472735562535
647303.901808985,4185785.18781485,1521439106.51109,10.287534694210802,5.94587514147018,1,647303.902312611,4185785.187300845,1521439109.04465,2018-03-19 05:58:29.044650,-0.0005228936430798914,-0.3280063044479905,0.299492987068345,0.0002984445177870443,-0.31331163744698926,0.28373189517585307,0.002122894338586881,-0.287047950948826,0.25760151783353574,-2.3004430599325425,-5.276498308057906
647303.9028162371,4185785.18678684,1521439111.5782099,10.199363794235,5.791842889131969,2,647304.152869161,4185785.62481513,1521439116.58596,2018-03-19 05:58:36.585960,-0.0008981516821083835,-0.3276446942689816,0.2996843168572376,-0.00024161802655291165,-0.31305415393225106,0.28400975238460113,-0.00046547116410962375,-0.2866682805284085,0.2577313682432246,-2.300445704042093,-5.285240562870925
647304.402922085,4185786.06284342,1521439121.59371,10.0860873518736,5.97061189151363,1,647305.4174240781,4185787.8422084497,1521439141.93251,2018-03-19 05:59:01.932510,-0.0015130374386735923,-0.3208271513934228,0.3012103042035141,-0.0008253448896431148,-0.308085967726724,0.2873891949211881,-0.0007262636470119904,-0.281355206858022,0.26051061314142393,-2.300319984353726,-5.453950231219492
647306.4319260711,4185789.62157348,1521439162.2713099,9.578621819052866,6.515392925877482,1,647306.9372609905,4185790.50891743,1521439172.409935,2018-03-19 05:59:32.409935,-0.0005057562437895818,-0.31697121713397275,0.3021115632168765,-0.0004512914594499984,-0.3048328539164527,0.28882963742728407,-0.00042022503751702744,-0.27811720394777434,0.2618121891673938,-2.3003075175349745,-5.497221
647307.44259591,4185791.39626138,1521439182.54856,9.29740924226465,6.68912275477695,1,647307.692417115,4185791.834974015,1521439187.56107,2018-03-19 05:59:47.561070,-0.0005838413202014364,-0.3157425552295573,0.3025005930218939,-0.0005828701247648643,-0.3036806027309355,0.2892580396284692,-0.0007247821490570516,-0.2769596100597788,0.262198647119831,-2.3003184159705894,-5.497221
