x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647358.114086376,4185746.38469677,1521380184.9786198,22.197939366339693,18.5573821575377,2,647357.8416280336,4185746.07623115,1521380202.618445,2018-03-18 13:36:42.618445,-1.7131158313324346e-05,-0.20076460943610006,0.21150564273163813,5.1169573097628596e-05,-0.1965592307015444,0.2062669152426967,0.00044074335053264496,-0.17894165249440205,0.18635602473579294,-2.4377650600648906,-5.772082000000001
647357.5691696911,4185745.76776553,1521380220.25827,22.0160746329366,18.7335744657285,1,647356.8690339191,4185744.980615255,1521380265.63981,2018-03-18 13:37:45.639810,-0.00029425038566439216,-0.2013166552664817,0.21174997570152804,-0.00017420202321471318,-0.1970512966285045,0.20653190245315076,0.0010431434026916958,-0.17930199962392404,0.1867146267259401,-2.4377649950634264,-5.772082
647356.1688981471,4185744.19346498,1521380311.02135,21.3669680075804,18.886335878670106,1,647355.8941434375,4185743.8879167447,1521380328.67327,2018-03-18 13:38:48.673270,-0.0007855009875286853,-0.20266142686677852,0.21243856696216817,-0.0006251622384126285,-0.19815885738968914,0.20705353668563053,0.0016905254934230021,-0.17819875070354554,0.18515983934601485,-2.437768620640882,-5.818574773986267
647355.6193887279,4185743.58236851,1521380346.32519,21.0364264019868,18.8292992298256,1,647355.2777261494,4185743.199233715,1521380368.3639998,2018-03-18 13:39:28.363999,-0.0010347725675768915,-0.2037019147338557,0.2128955227425545,-0.0008606659474783146,-0.19905684899846915,0.20740697793507418,0.0020530079202797785,-0.17744473073423617,0.18393192691773144,-2.4377745117521363,-5.856097213177661
647354.936063571,4185742.81609892,1521380390.4028099,20.559004318916198,18.6673367173719,1,647354.887263526,4185742.76137482,1521380393.550685,2018-03-18 13:39:53.550685,-0.001180581599314029,-0.20473433239988245,0.21319689577345838,-0.0010086152204588916,-0.20003278836013508,0.20766514431918584,0.0020584392452671907,-0.17697129464156747,0.18276109772780916,-2.437786317790826,-5.894591504280147
647354.838463481,4185742.70665072,1521380396.69856,20.4845684965723,18.6357576368648,1,647354.0963797485,4185741.87541306,1521380444.57061,2018-03-18 13:40:44.570610,-0.0013521464220902363,-0.20682421976878537,0.21380684553032273,-0.0012212386843603457,-0.20200825056825056,0.20818753250091449,0.0016077971647802877,-0.1760125147821267,0.18039050498096051,-2.4378102114157767,-5.972514878508351
647353.354296016,4185741.0441754,1521380492.4426599,19.1447728243575,17.883485351099697,1,647353.1625662975,4185740.82686147,1521380505.045495,2018-03-18 13:41:45.045495,-0.001122167604151375,-0.20909599858522815,0.21460142362029327,-0.0011136992386958922,-0.2041811798179434,0.2089224667943792,-0.0005955491289722017,-0.17569323900231062,0.17868742803337218,-2.437835467910363,-6.046942999999999
647352.970836579,4185740.60954754,1521380517.64833,18.7194639582074,17.5929530733531,1,647352.4916075331,4185740.0756080197,1521380549.14795,2018-03-18 13:42:29.147950,-0.0007058935435075436,-0.21012475170497352,0.2153915870287004,-0.0008022663151748266,-0.20524790630067202,0.20980115469560767,-0.001914546462676997,-0.17791571392804642,0.18077711903350485,-2.4378445028033604,-6.046943
647352.012378487,4185739.5416685,1521380580.64757,17.5143482991187,16.6830275889434,1,647351.9165647145,4185739.4349130252,1521380586.945395,2018-03-18 13:43:06.945395,-0.0003571554423126219,-0.21104532175516527,0.21520249658304516,-0.0005156217032307175,-0.20627915923465867,0.20970692922237005,-0.0018563186239084692,-0.17966587407093715,0.18142306948310005,-2.4378555018533383,-6.046942999999999
647351.820750942,4185739.32815755,1521380593.2432199,17.244181283878902,16.4669538255081,1,647351.704309921,4185739.201688205,1521380600.804735,2018-03-18 13:43:20.804735,-0.00021696270712175808,-0.21138587220665783,0.2150592449805878,-0.0004099885261934222,-0.20666658747425637,0.20959972873839214,-0.0018475063258829444,-0.18029268636388085,0.18156085116418383,-2.437859791875109,-6.046943
