x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647365.263637115,4185767.40337048,1521598375.82128,8.312790338223401,14.050809353208196,3,647369.206849816,4185769.77553496,1521598393.4389448,2018-03-21 02:13:13.438944,-0.003509329578109066,-0.26837958415897173,0.2826493756185402,-0.0038660301327609753,-0.2566332931880716,0.2670435785401032,-0.005145038854093044,-0.23111219002585032,0.23700510698417684,-2.5940419239261567,-5.772082
647373.150062517,4185772.14769944,1521598411.0566099,8.46833990491172,11.8467799896665,1,647373.714480369,4185772.48612112,1521598413.574275,2018-03-21 02:13:33.574275,-0.004840654413888146,-0.2546136394902145,0.26826363189877367,-0.004940286497650173,-0.24121828856449293,0.25080745327078385,-0.004460650311532741,-0.209183503816073,0.21462102474588363,-2.593939782376614,-5.738480423548418
647374.278898221,4185772.8245428,1521598416.09194,8.2583570705845,11.4549391633646,1,647375.410530982,4185773.503093765,1521598421.139855,2018-03-21 02:13:41.139855,-0.006364901961472366,-0.2439590882966052,0.2597661953788241,-0.006086533901102961,-0.23082265331907068,0.2426754945762296,-0.0039004343029517066,-0.20066626724621262,0.20785520891034753,-2.5939285231670173,-5.772082000000001
647376.5421637429,4185774.18164473,1521598426.18777,7.6288746439470385,10.5933889549223,1,647377.6694660035,4185774.857651625,1521598431.216505,2018-03-21 02:13:51.216505,-0.0068198795102810475,-0.23017854899611323,0.24843430371025352,-0.006545097419530299,-0.21753895032456508,0.23193353607822265,-0.004323713546199495,-0.1916595611253507,0.2010235559386514,-2.593912988927727,-5.772082
647378.796768264,4185775.53365852,1521598436.24524,6.66334390895087,9.605889609132447,1,647379.3610545625,4185775.87204779,1521598438.762425,2018-03-21 02:13:58.762425,-0.01038429535139511,-0.21959804950186324,0.23879802618095639,-0.010842219960225712,-0.20723258130449468,0.22277190681588313,-0.00828190816993292,-0.18462371733503913,0.19461879331889426,-2.59391696842268,-5.772082
647379.925340861,4185776.21043706,1521598441.27961,6.00355483979605,9.05268296649399,1,647380.490089356,4185776.549109785,1521598443.79887,2018-03-21 02:14:03.798870,-0.01377840159465342,-0.20802973741959208,0.22726262790004606,-0.015110162806551405,-0.19347678375135025,0.20984233422413195,-0.012485256539140135,-0.1720306243716105,0.18317359829872248,-2.5938851196012194,-5.646107362565146
647381.054837851,4185776.88778251,1521598446.31813,5.16558630164584,8.44831219818983,1,647381.6197805505,4185777.2265737196,1521598448.83825,2018-03-21 02:14:08.838250,-0.014996252482233526,-0.1950824185671693,0.21426903276523562,-0.016393877295605458,-0.17800174895183044,0.19503692882449708,-0.013428330101605927,-0.15780654934918953,0.17022586842773185,-2.5938439854797144,-5.47960137815862
647382.18472325,4185777.56536493,1521598451.3583698,4.04481547710977,7.782526794543152,1,647382.748878857,4185777.9036915097,1521598453.8750148,2018-03-21 02:14:13.875014,-0.01576915031539245,-0.181127277671551,0.1997693095233108,-0.016545754399650794,-0.1628155569616709,0.17895851738941326,-0.012897426105848368,-0.14562812722136836,0.1580230421498296,-2.593818286961638,-5.282212917543184
647383.313034464,4185778.24201809,1521598456.39166,2.25382180996579,7.036943844769191,2,647382.979517394,4185778.86703094,1521598458.908745,2018-03-21 02:14:18.908745,-0.017786316292124363,-0.17113472028619142,0.1890531282861136,-0.01722614057945946,-0.15312334004884573,0.1673185230458336,-0.012305219809854384,-0.13970168221694998,0.15100879925657337,-2.593833482765824,-5.114506133023003
647382.6460003239,4185779.49204379,1521598461.4258301,3.74137126626672,6.5241297706605605,1,647381.645053327,4185781.367835615,1521598468.98006,2018-03-21 02:14:28.980060,-0.02039698510578808,-0.15991585971865274,0.17607630397974997,-0.019785169358661425,-0.14513495395040912,0.15387907818327487,-0.01436186303224769,-0.13978882996090278,0.14726688931533977,-2.59394629061838,-4.854824746929855
647380.64410633,4185783.24362744,1521598476.53429,3.4655994421928704,3.6556717326981096,1,647380.310271404,4185783.86925094,1521598479.0538049,2018-03-21 02:14:39.053804,-0.026221395649149472,-0.14762470724797838,0.15993672552891802,-0.024205684558184067,-0.13524243131744845,0.14323160094422388,-0.019445242014385262,-0.12730109277037827,0.13419187358581253,-2.594059505447899,-4.662886666475913
