x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_vor_top1m,model_u_top1m,model_v_top1m,model_vor_top2m,model_u_top2m,model_v_top2m,model_vor_davg,model_u_davg,model_v_davg,model_z_eta,model_z_bed
647409.467079979,4185690.5102859,1521940729.45332,12.8328347818683,14.456307634676499,2,647408.033841636,4185689.17866795,1521940742.06293,2018-03-25 01:19:02.062930,-0.0018743250614899482,-0.4966672185667692,0.5407760629450121,-0.0020778394597802535,-0.4827773501868571,0.5295930566876416,-0.0010441137669644912,-0.42870880578969905,0.47637118617627433,-2.0377391036819152,-6.303392995602157
647406.6006032929,4185687.84705,1521940754.67254,11.9287798093578,13.2549105386921,1,647406.313920883,4185687.58069233,1521940757.194775,2018-03-25 01:19:17.194775,-0.0027068795868157164,-0.5017226430144186,0.5447291632542638,-0.002642810739758847,-0.4878238068080857,0.5337940669820491,-0.00031340460734477493,-0.4305765572953909,0.47777627341010215,-2.0378332881982013,-6.411339509409649
647406.027238473,4185687.31433466,1521940759.71701,11.424810793034101,12.7787561728446,1,647405.7404802175,4185687.04790256,1521940762.239945,2018-03-25 01:19:22.239945,-0.002470702872512359,-0.5029698810528304,0.5461156520100033,-0.002415563132684928,-0.4889607209120912,0.5351523385295611,0.00023994387669534767,-0.42988988994075694,0.4774100603079186,-2.0378513517290386,-6.447344921260507
647405.453721962,4185686.78147046,1521940764.76288,10.785257445186698,12.205898540774,1,647405.166870999,4185686.51494735,1521940767.2866602,2018-03-25 01:19:27.286660,-0.0021513541177261564,-0.50421748600591,0.5475025557201079,-0.002048033601055474,-0.49009796720020615,0.536511015606678,0.00091184946696099,-0.42920298847736793,0.4770437168830247,-2.0378694195930374,-6.483361312973392
647404.880020036,4185686.24842424,1521940769.81044,9.983630731178787,11.5216251016388,1,647404.5933309051,4185685.9820588296,1521940772.3327851,2018-03-25 01:19:32.332785,-0.0019291264016636223,-0.5054649405259783,0.5488892902280528,-0.0017969850169757412,-0.4912350769965622,0.5378695271985083,0.001032915278146071,-0.4285161787913241,0.4766774239302425,-2.037887485551967,-6.519373253799536
647404.306641774,4185685.71569342,1521940774.8551302,8.978563721665731,10.7059139190246,1,647404.0200420681,4185685.4494158346,1521940777.37666,2018-03-25 01:19:37.376660,-0.0021166124846177803,-0.5067118481354383,0.5502754070915543,-0.002054482160059448,-0.4923716913698998,0.5392274350555303,-0.000368882808895854,-0.42782971410055104,0.47631132244614416,-2.0379055449310717,-6.555368876232345
647403.733442362,4185685.18313825,1521940779.89819,7.68936858027622,9.72498018182892,1,647403.4468524446,4185684.91687025,1521940782.41963,2018-03-25 01:19:42.419630,-0.0026217090493138306,-0.5079585397710005,0.551661279680444,-0.002753032326645241,-0.4935081102200576,0.5405851041892922,-0.0037298427352023406,-0.42714338731793633,0.47594529774787825,-2.0379236017628437,-6.591358034392719
647403.1602625271,4185684.65060225,1521940784.9410698,5.933769126498951,8.52193492172325,2,647402.851198138,4185684.368669155,1521940787.46306,2018-03-25 01:19:47.463060,-0.004080192810486438,-0.5104091149268624,0.5537303771818592,-0.004125430011823875,-0.49617766927426443,0.5429783410975649,-0.006137798244085876,-0.43232206314812666,0.4816062905053799,-2.0379286337278164,-6.596665
647402.542133749,4185684.08673606,1521940789.98505,5.146389242359491,7.57622164150715,2,647400.908305096,4185682.90527109,1521940792.5081701,2018-03-25 01:19:52.508170,-0.0007173523444003183,-0.5197788568008316,0.5594032945853152,0.00025557810486015464,-0.5047820200951264,0.5481466712016394,0.0032782817728901348,-0.44131693899905666,0.4883218503784732,-2.0382941821658234,-6.596665
647399.274476443,4185681.72380612,1521940795.03129,6.86085191127774,4.6713481018026615,2,647398.951237933,4185682.488315965,1521940797.554295,2018-03-25 01:19:57.554295,0.0002717642509564022,-0.5224484637906377,0.5587630178990428,0.0010992025697948715,-0.5063540079478893,0.5464590630219053,0.003359723268850992,-0.43929044857269856,0.48359842653218454,-2.038495131401122,-6.596665
647398.627999423,4185683.25282581,1521940800.0773,6.10592353063259,6.22652748416674,1,647398.304845309,4185684.01713128,1521940802.59962,2018-03-25 01:20:02.599620,-0.00041940980090651725,-0.5210347172171113,0.5565808803064289,0.0004845383655787405,-0.5054642285607059,0.5445619392563585,0.00324583950549516,-0.4403507511355795,0.4825599491266795,-2.0385072648793905,-6.596665
647397.981691195,4185684.78143675,1521940805.1219401,4.065620428859259,6.603020136515781,2,647395.92426535,4185685.4418633254,1521940810.1686702,2018-03-25 01:20:10.168670,0.00025533884368472703,-0.521621005823982,0.5535175648455198,0.0009787162769621383,-0.5057430374528644,0.5409560542160265,0.0030029387983145084,-0.4398907839817423,0.4774190363279335,-2.038688825529249,-6.596665
647393.866839505,4185686.1022899,1521940815.2154,6.04909695079849,4.01478345844094,2,647393.0547564955,4185686.7614940954,1521940817.73794,2018-03-25 01:20:17.737940,0.0029334821209105744,-0.5201361381438834,0.5476520824420782,0.003956443397817172,-0.5038405606051648,0.5343274323983909,0.007547327125206213,-0.43703428619241014,0.4681677850369434,-2.0389457650599336,-6.57996926667348
647392.242673486,4185687.42069829,1521940820.2604802,5.4127764642472505,5.60179160317391,1,647391.430592323,4185688.079900805,1521940822.7830153,2018-03-25 01:20:22.783015,0.005170429334686172,-0.5172128458714528,0.5442162496124104,0.0065487475030436,-0.5002250389322578,0.5299770567926801,0.011329836825933928,-0.43179712131730236,0.461891770047365,-2.0388952417268498,-6.547722564229475
647390.61851116,4185688.73910332,1521940825.30555,3.17073958247839,5.819697888109291,2,647389.808501362,4185689.399977365,1521940827.82934,2018-03-25 01:20:27.829340,0.006147863873465498,-0.51708447679089,0.5414693225432559,0.0078011355597027016,-0.49991995878585804,0.5268764865867323,0.01293430283990879,-0.43154996036567606,0.4587683606746382,-2.0389310483645375,-6.535788042665105
647388.998491564,4185690.06085141,1521940830.35313,4.16703324188693,5.51683946923634,1,647388.1889729265,4185690.7213230003,1521940832.875375,2018-03-25 01:20:32.875375,0.0046305096539379365,-0.5192719762423823,0.541187081578477,0.006066193785978738,-0.5022921897779684,0.526610681945918,0.010623998326673989,-0.434934259095459,0.459331011482302,-2.039067260062661,-6.540603226743773
647387.379454289,4185691.38179459,1521940835.39762,2.13562417685715,4.07375704263275,2,647386.6423074671,4185692.080533365,1521940837.92059,2018-03-25 01:20:37.920590,0.002654328513521348,-0.527952668748022,0.5477566177009066,0.003703450911648129,-0.5122043952355646,0.5342729007173252,0.00715669226821905,-0.448649582869333,0.470368771299298,-2.0394720718377286,-6.593409617832364
647385.905160645,4185692.77927214,1521940840.44356,0.190165441323066,0.39203933628358506,3,647382.6057638685,4185691.09443211,1521940842.966645,2018-03-25 01:20:42.966645,0.011050122354220024,-0.5184275032151948,0.5371001369965845,0.012662766082519553,-0.5003051458416876,0.5206066946339143,0.01267897501596621,-0.4385028364122249,0.45659183023987415,-2.0401058195283706,-6.211016277703374
