x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647342.660435677,4185749.03689792,1522022546.1323302,9.714376209615287,6.55783787844577,3,647342.65955637,4185749.0367558347,1522022550.1466951,2018-03-26 00:02:30.146695,-0.4134899744188582,-0.673884853131544,0.3977629089609937,0.6568451983965953,-0.0011686599838416634,-0.0018196176056878288,-5.790025,-1.562255552554797
647342.658677063,4185749.03661375,1522022554.1610599,9.30459496656186,5.93155587105626,2,647342.6804148119,4185749.072152035,1522022556.6819448,2018-03-26 00:02:36.681944,-0.41340756299500064,-0.6737697436411161,0.3978099890569312,0.6568795945481064,-0.0011892438104665476,-0.0018777153193099139,-5.790025,-1.562252201236464
647342.702152561,4185749.10769032,1522022559.20283,9.17753853208241,6.07253687708709,1,647342.7238939865,4185749.1432350352,1522022561.724125,2018-03-26 00:02:41.724125,-0.41324049678117675,-0.6735342686859433,0.3979097659019139,0.6569519698347717,-0.0012286677806192248,-0.0019947838898585757,-5.790025,-1.5622451217757343
647342.745635412,4185749.17877975,1522022564.24542,9.026247958771313,6.129717943292789,1,647342.7673942145,4185749.21435545,1522022566.76877,2018-03-26 00:02:46.768770,-0.4130733444360961,-0.6732986747521473,0.3980095892425866,0.6570243794159332,-0.0012681147037358481,-0.0021119136232365665,-5.790025000000001,-1.5622380389909183
647342.789153017,4185749.24993115,1522022569.29212,8.84934578771363,6.105371765380959,1,647342.8326657454,4185749.32107366,1522022574.3381948,2018-03-26 00:02:54.338194,-0.4128225293509285,-0.6729451642187633,0.39815937108976845,0.6571330283199706,-0.0013273081018547878,-0.0022876696787962336,-5.790024999999999,-1.5622274114658552
647342.8761784739,4185749.39221617,1522022579.38427,8.41244182440825,5.80437216730113,1,647342.897937674,4185749.42779244,1522022581.90762,2018-03-26 00:03:01.907620,-0.4125796977974696,-0.672494055149585,0.3982560350084197,0.6570825190588022,-0.001386501757132605,-0.0024634266852658904,-5.790025,-1.5622165846857823
647342.919696874,4185749.46336871,1522022584.43097,8.14793013835869,5.51393114086784,1,647342.9414569834,4185749.498946565,1522022586.95441,2018-03-26 00:03:06.954410,-0.4124469425156412,-0.6721486564624863,0.3984435544424547,0.6570776126637885,-0.0014259692253112133,-0.0025806115539001584,-5.7879134463109505,-1.5622196392249859
647342.9632170929,4185749.53452442,1522022589.47785,7.848695182643371,5.11069459307375,2,647344.3449707315,4185751.667698455,1522022599.57124,2018-03-26 00:03:19.571240,-0.4087241858667368,-0.6622723254003047,0.40713112656339373,0.6599894085121824,0.0006695596989781255,-0.0023198247973824637,-5.697510908932934,-1.5624448999429785
647345.72672437,4185753.80087249,1522022609.6646302,6.99057118068509,5.64861537777438,1,647346.073427474,4185754.336131185,1522022612.1972802,2018-03-26 00:03:32.197280,-0.4042045488712432,-0.6500022126115806,0.4179113606845467,0.6634735681303124,5.883510581491946e-06,-0.0025556145249579776,-5.586281019262067,-1.5627281377880058
647346.420130578,4185754.87138988,1522022614.7299302,6.69682874101962,5.61715247606027,2,647346.7667857255,4185755.40659124,1522022617.26226,2018-03-26 00:03:37.262260,-0.4023915014104224,-0.645080051781206,0.42223589237000214,0.6648712574960378,-0.0028908599102189653,-0.003197831665456091,-5.541660357624094,-1.562841767664294
647347.113440873,4185755.9417926,1522022619.79459,6.360033140691692,5.508904303877679,1,647347.4560041926,4185756.47072708,1522022622.2971902,2018-03-26 00:03:42.297190,-0.39649549280161805,-0.6389278538816836,0.42044000514322,0.6635293930184492,-0.0028330814323048736,-0.0020924487012607407,-5.565583261158622,-1.5627865608803588
