x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647464.610482584,4185664.39986879,1521596496.32281,15.4578436222497,11.987887454221196,2,647464.5490541025,4185664.318093235,1521596498.857195,2018-03-21 01:41:38.857195,-0.2196942348650509,-0.416999636901962,0.2565312863077079,0.46605292449250213,-0.007001320031011109,-0.010883044688748539,-6.34035175235486,-2.5262014594880027
647464.487625621,4185664.23631768,1521596501.39158,15.5738477721649,11.8274997685489,1,647463.754979359,4185663.25361099,1521596531.79382,2018-03-21 01:42:11.793820,-0.2271051012916287,-0.42247919229983116,0.2628302451110905,0.46952934376543876,-0.007792428709600646,-0.008981583304500954,-6.341456,-2.526138847899073
647463.0223330971,4185662.2709043,1521596562.19606,16.5236409068905,8.54300171775628,2,647463.2157634781,4185662.89171179,1521596577.39259,2018-03-21 01:42:57.392590,-0.23052703822324827,-0.4250390613771971,0.26607910642609395,0.4715574689629469,-0.008297289688476026,-0.00809203051776855,-6.341455999999999,-2.5261263442965958
647463.409193859,4185663.51251928,1521596592.58912,16.3026208213948,9.414399870921963,1,647463.4410661275,4185663.61609426,1521596595.1208699,2018-03-21 01:43:15.120869,-0.22649530117127978,-0.4221659358912059,0.26306357539758773,0.47025286341176714,-0.008004335434552041,-0.008351454676387898,-6.341456,-2.5261792711598337
647463.472938396,4185663.71966924,1521596597.6526198,16.2607972454095,9.53119396299751,1,647463.6662923296,4185664.34024884,1521596612.8434248,2018-03-21 01:43:32.843424,-0.22246485086853596,-0.4192937289605966,0.26004901578734574,0.46894868624803193,-0.007748746037333977,-0.008864033626775139,-6.341455999999999,-2.5262321815542172
647463.859646263,4185664.96082844,1521596628.03423,15.9788060435781,10.087637837648801,1,647463.891540405,4185665.06447154,1521596630.56775,2018-03-21 01:43:50.567750,-0.2184340191614383,-0.4164212500357868,0.2570341697975926,0.4676443841870337,-0.0073664146986472875,-0.009549346789586355,-6.341456,-2.526285096903373
647463.923434547,4185665.16811464,1521596633.10127,15.9264786797446,10.1580752137224,1,647463.987270402,4185665.37554654,1521596638.171895,2018-03-21 01:43:58.171895,-0.2167060257519963,-0.4151901257232194,0.255743372714606,0.46708744065188196,-0.006782640240501653,-0.009832619527788189,-6.341456000000001,-2.5263078589509904
647464.051106257,4185665.58297844,1521596643.2425199,15.8170684604071,10.2811588971281,1,647464.1787509965,4185665.997760025,1521596653.3817449,2018-03-21 01:44:13.381744,-0.21324968277272624,-0.4127276230454259,0.2531615107775197,0.4659734364885111,-0.005640137893417656,-0.010691320679797306,-6.341456000000001,-2.5263533876567785
647464.306395736,4185666.41254161,1521596663.5209699,15.579097845623501,10.4584531238785,1,647464.3382913655,4185666.5161894653,1521596666.054605,2018-03-21 01:44:26.054605,-0.2104957050731085,-0.410562510224321,0.25108049388521386,0.46484526897717493,-0.004701343847229672,-0.011520064662994087,-6.338096413360618,-2.5263912035853
647464.370186995,4185666.61983732,1521596668.5882401,15.5155298788219,10.4888643353992,1,647464.5297195795,4185667.13824364,1521596681.2605352,2018-03-21 01:44:41.260535,-0.20846143970325362,-0.4068205479482804,0.2492919339957203,0.4614731984527134,-0.0037177002879848417,-0.012424823295211385,-6.3001572510010195,-2.526435379978783
647464.689252164,4185667.65664996,1521596693.93283,15.1719261303658,10.5598928862958,1,647464.816887509,4185668.0714039,1521596704.0713701,2018-03-21 01:45:04.071370,-0.20641683122217389,-0.3985732382189885,0.24640457238922453,0.4522577259883544,-0.004299401157873042,-0.013537470811648467,-6.199416511647408,-2.528857248961222
647464.9445228539,4185668.48615784,1521596714.20991,14.8647758562788,10.5203511773948,1,647465.6893130655,4185670.864731455,1521596772.45726,2018-03-21 01:46:12.457260,-0.2073945458357984,-0.37956291003317705,0.24691312133671603,0.43162194333715853,-0.0041389492871581335,-0.014136125135809599,-5.889105078737286,-2.529073729644374
647466.434103277,4185673.24330507,1521596830.7046099,12.42393383274,8.42352069036745,1,647466.4659899765,4185673.346927525,1521596833.2381399,2018-03-21 01:47:13.238139,-0.20825904833784592,-0.3626605168084298,0.24735728110986577,0.41327123413785627,-0.013662672059700495,-0.02500784246619188,-5.613247320133132,-2.529266041938067
647466.497876676,4185673.45054998,1521596835.7716699,12.285413835390198,8.23867820316718,2,647466.359682457,4185673.35652088,1521596840.83967,2018-03-21 01:47:20.839670,-0.2085929396971043,-0.36332430332496124,0.24795292248703998,0.4142293229759339,-0.013309463486389422,-0.02461368194446026,-5.620616265477428,-2.5292710752828222
647466.221488238,4185673.26249178,1521596845.90767,12.210820327897196,8.45334255243461,1,647466.0832864825,4185673.1684573647,1521596850.975955,2018-03-21 01:47:30.975955,-0.20918531300754414,-0.3660560164403336,0.24910132020842954,0.4176676387389907,-0.010835597695587208,-0.021852989525089628,-5.658304444003498,-2.529265043019023
