x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647363.19476617,4185769.13516541,1521890523.86888,9.915008396401939,10.1691300316032,2,647363.1951140445,4185769.13726501,1521890526.3943748,2018-03-24 11:22:06.394374,-0.2959029234721846,-0.5149411660118192,0.31509958725024173,0.5506734588247865,0.001363921898531295,-0.0016170428268663661,-5.790025,-2.0099260813773636
647363.195461919,4185769.13936461,1521890528.91987,9.6584421199971,9.918504626370538,1,647363.1957975455,4185769.141482115,1521890531.4610648,2018-03-24 11:22:11.461064,-0.29590756191636314,-0.5149373830974527,0.31509500811849095,0.5506596231623682,0.0013624483143272331,-0.0016174476126172566,-5.790025,-2.0099260638020358
647363.196133172,4185769.14359962,1521890534.00226,9.39318587987313,9.659754307530733,1,647363.1964667491,4185769.145704725,1521890536.53651,2018-03-24 11:22:16.536510,-0.29591221156154435,-0.5149336111620317,0.3150904398579879,0.5506457884559639,0.00136098927912566,-0.0016178484018344874,-5.790025,-2.0099260473147575
647363.196800326,4185769.14780983,1521890539.07076,9.120935670536632,9.39462365684092,2,647363.197118944,4185769.1498969803,1521890541.599385,2018-03-24 11:22:21.599385,-0.2959168319147685,-0.5149298791237229,0.31508591796723945,0.5506320684732251,0.0013595539605940066,-0.0016182426762085533,-5.790025,-2.0099260318381775
647363.197437562,4185769.15198413,1521890544.12801,8.840904375079921,9.122421025786199,1,647363.1964791305,4185769.1655011,1521890559.329895,2018-03-24 11:22:39.329895,-0.29778408499671255,-0.5182502670191255,0.31705321993067703,0.5541065245449655,0.0013637927372600889,-0.0016361735257195142,-5.790025,-2.0127709858549734
647363.195520699,4185769.17901807,1521890574.53178,6.9217803397914,7.2758131740590715,1,647363.1945494,4185769.192548625,1521890589.74431,2018-03-24 11:23:09.744310,-0.2978161953424437,-0.5182325273082304,0.3170307012698885,0.5540251009515165,0.0013611694491902637,-0.0016368941299446382,-5.790025,-2.0127714201273204
647363.193578101,4185769.20607918,1521890604.95684,4.19664611665692,4.756386774390919,1,647363.192333418,4185769.21017088,1521890610.01959,2018-03-24 11:23:30.019590,-0.29783744445689797,-0.518221984611815,0.31701710384913173,0.5539732664904613,0.0013605075117454485,-0.0016370759608784757,-5.790025,-2.0127717770542812
647363.191088735,4185769.21426258,1521890615.08234,2.742694501682589,3.5397752504063,2,647362.5786733415,4185769.69099737,1521890617.614655,2018-03-24 11:23:37.614655,-0.29860665816435916,-0.5185201459576747,0.31726590405019783,0.5532602657492969,0.001996803348835244,-0.0014727588754051557,-5.790025,-2.0128242074717377
647361.966257948,4185770.16773216,1521890620.14697,2.5571612568754705,3.44897518061736,1,647361.35346131,4185770.6447654953,1521890622.68087,2018-03-24 11:23:42.680870,-0.29756879845460166,-0.5189514705322842,0.31420343636493026,0.5508767807330165,0.003550012700846969,-0.0011610115214042704,-5.790025,-2.0129288707062036
647360.740664672,4185771.12179883,1521890625.2147698,2.02012566751443,3.22114408331871,1,647360.127957536,4185771.598762065,1521890627.7482948,2018-03-24 11:23:47.748294,-0.29773369549876516,-0.5204899358793423,0.3114405628605975,0.5489984014847337,0.004377569475985832,-0.0007794580792113703,-5.790025,-2.0130748260383338
