x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647360.43682808,4185874.62861193,1522184270.97234,10.2084242547242,23.9151817394559,2,647360.437150012,4185874.6362421354,1522184273.486535,2018-03-27 20:57:53.486535,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647360.437471944,4185874.64387234,1522184276.00073,9.29843086398122,23.5406386823112,1,647360.4377896041,4185874.6515343003,1522184278.51994,2018-03-27 20:57:58.519940,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647360.438107264,4185874.65919626,1522184281.03915,8.28679880524842,23.1592739762543,1,647360.438423333,4185874.66687002,1522184283.56022,2018-03-27 20:58:03.560220,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647360.438739402,4185874.67454378,1522184286.08129,7.1319546513480185,22.7712346421983,1,647360.4390545625,4185874.682196505,1522184288.5991101,2018-03-27 20:58:08.599110,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647360.439369723,4185874.68984923,1522184291.11693,5.751354081586361,22.376979313956102,1,647360.4396832479,4185874.697514085,1522184293.6366649,2018-03-27 20:58:13.636664,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647360.4399967729,4185874.70517894,1522184296.1564,3.90826067954965,21.975344727156703,2,647357.4952855585,4185874.3509182353,1522184298.67461,2018-03-27 20:58:18.674610,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647354.550574344,4185873.99665753,1522184301.1928198,5.04040784026842,21.5035838054582,1,647351.6051561455,4185873.64231385,1522184303.7116299,2018-03-27 20:58:23.711629,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647348.659737947,4185873.28797017,1522184306.2304401,4.68958327177223,21.0146979172648,2,647346.37795625,4185873.072015815,1522184308.7485452,2018-03-27 20:58:28.748545,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647344.0961745529,4185872.85606146,1522184311.26665,6.16782636506195,20.554223400104398,1,647339.5311710844,4185872.4240216548,1522184316.304445,2018-03-27 20:58:36.304445,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647334.966167616,4185871.99198185,1522184321.34224,6.950556721186429,19.5704621221444,1,647332.6865472985,4185871.7762236753,1522184323.8579602,2018-03-27 20:58:43.857960,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647330.406926981,4185871.5604655,1522184326.37368,6.5205875150905515,19.0447771110042,2,647328.1955807445,4185871.932171095,1522184331.4099302,2018-03-27 20:58:51.409930,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647325.984234508,4185872.30387669,1522184336.44618,7.46771669240085,18.6215143839763,1,647323.7721984105,4185872.675703425,1522184341.484,2018-03-27 20:59:01.484000,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647321.5601623129,4185873.04753016,1522184346.5218198,7.122736982697308,18.1196503444763,2,647320.454696333,4185873.233339235,1522184349.0393898,2018-03-27 20:59:09.039389,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647319.349230353,4185873.41914831,1522184351.5569599,6.431709591127241,17.8374094462681,2,647318.804630659,4185873.7522107903,1522184354.07447,2018-03-27 20:59:14.074470,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647318.260030965,4185874.08527327,1522184356.59198,7.084509877398808,17.5616868784571,1,647317.715281449,4185874.41842916,1522184359.110175,2018-03-27 20:59:19.110175,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647317.170531933,4185874.75158505,1522184361.6283698,7.54197877948777,17.2730837491036,1,647315.535568973,4185875.75149798,1522184369.18625,2018-03-27 20:59:29.186250,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647313.900606013,4185876.75141091,1522184376.7441301,8.00954283260096,16.3230544248758,1,647312.810326381,4185877.418210955,1522184381.7841249,2018-03-27 20:59:41.784124,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647311.720046749,4185878.085011,1522184386.8241198,7.635171825020372,15.6110825510153,1,647311.171931866,4185878.4202630296,1522184389.3577847,2018-03-27 20:59:49.357784,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647310.623816983,4185878.75551506,1522184391.89145,7.22121911425634,15.2268672547628,1,647309.537044384,4185879.42008748,1522184396.914425,2018-03-27 20:59:56.914425,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647308.450271785,4185880.0846599,1522184401.9374,5.78930027190448,14.402710802638,1,647307.360918519,4185880.750857015,1522184406.972445,2018-03-27 21:00:06.972445,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155000000001
