x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647343.0038702,4185741.53783918,1522030374.91683,18.153274519649802,9.34268507195578,2,647342.943381243,4185741.5038783997,1522030397.63698,2018-03-26 02:13:17.636980,-0.4283196141619255,-0.6382989657227081,0.40946218681618346,0.6156729937898395,0.007510115060560679,0.00017898625378900967,-5.790025,-1.6268856362357793
647342.882892286,4185741.46991762,1522030420.35713,16.0239865628669,8.61953577582835,1,647342.8766325535,4185741.46470315,1522030422.881715,2018-03-26 02:13:42.881715,-0.42813197830367106,-0.6385332480459958,0.40898621323905093,0.615560448954835,0.007628937730103882,0.00018595587367023492,-5.790025,-1.6268948302500983
647342.870372821,4185741.45948868,1522030425.4063,15.6974638974611,8.027223360708929,2,647342.7855560204,4185741.300610345,1522030427.93081,2018-03-26 02:13:47.930810,-0.42691075476051127,-0.6390194689497828,0.40728753211614577,0.6153560354156733,0.007974063908967238,0.00015815858450715647,-5.790025,-1.6268948780327661
647342.70073922,4185741.14173201,1522030430.45532,15.5006945052726,8.187885258629219,1,647342.5311179135,4185740.82399724,1522030435.503985,2018-03-26 02:13:55.503985,-0.4233403562299024,-0.6404051956459771,0.40236945676402136,0.6147766100013459,0.0077234718862199125,0.0006301940231363545,-5.790025,-1.6268929567334507
647342.3614966071,4185740.50626247,1522030440.55265,14.992261362701699,7.726135998586839,1,647342.276667376,4185740.347362005,1522030443.07752,2018-03-26 02:14:03.077520,-0.41976979334221587,-0.6417909883034698,0.39745115209108034,0.6141971568099239,0.006263759732551832,0.001901754934724137,-5.790025,-1.6268910354707196
647342.191838145,4185740.18846154,1522030445.60239,14.676533117497003,7.052481410461531,2,647342.1638944955,4185740.16581147,1522030450.65107,2018-03-26 02:14:10.651070,-0.41894426204493934,-0.6424070910371132,0.39581793642992913,0.6138857959908216,0.005693543720040356,0.0024196492965033456,-5.79441898358262,-1.6268853252448745
647342.135950846,4185740.1431614,1522030455.69975,14.1828011609025,7.556910446242719,1,647342.121971423,4185740.131833225,1522030458.2253098,2018-03-26 02:14:18.225309,-0.41887851584139807,-0.6425808823006147,0.39550134732846,0.6137924655677515,0.0055681629870465155,0.002560641100215616,-5.795600442130472,-1.626887832717868
647342.1079920001,4185740.12050505,1522030460.75087,13.893170926706901,7.51449602177189,1,647342.066071326,4185740.0865278,1522030468.3247252,2018-03-26 02:14:28.324725,-0.41879085193139304,-0.6428126127486739,0.39507921453084094,0.6136680205678818,0.005400983446968613,0.0027486375067244384,-5.797175730073535,-1.62689117641683
647342.024150652,4185740.05255055,1522030475.89858,12.8304374486412,6.10356300449648,2,647341.9148093904,4185739.8406214453,1522030478.4222102,2018-03-26 02:14:38.422210,-0.418335883397858,-0.6437056235836671,0.39322416278453043,0.6131570897002443,0.0046299705536076985,0.003446967773899773,-5.8090103793820385,-1.6268721425242678
647341.805468129,4185739.62869234,1522030480.9458401,12.5598278687185,6.3123575730378905,1,647341.586678364,4185739.204634285,1522030485.995545,2018-03-26 02:14:45.995545,-0.4197580984281296,-0.6416295255565679,0.39167827925563486,0.6088434387670902,0.002692447379461227,0.0051195373035723135,-5.819061411468816,-1.6269123292112826
647341.3678885989,4185738.78057623,1522030491.04525,11.8400288485254,5.27318425544381,2,647341.5095590245,4185739.1332431203,1522030493.57133,2018-03-26 02:14:53.571330,-0.42004285833659116,-0.6412795047144012,0.3915441381484283,0.6081613124963787,0.0024388411096439716,0.005392563450705684,-5.818214628109573,-1.6269319721838111
647341.65122945,4185739.48591001,1522030496.09741,11.5801832533906,5.8927632899184905,1,647341.934337756,4185740.1906473497,1522030501.1452851,2018-03-26 02:15:01.145285,-0.4203145622031472,-0.6430654367658472,0.396478276857283,0.6137356345532139,0.005566921974337571,0.002862751569323835,-5.790025,-1.62921763309839
647342.217446062,4185740.89538469,1522030506.19316,11.002204936468,6.72119979958619,1,647342.3599039435,4185741.250061865,1522030508.733405,2018-03-26 02:15:08.733405,-0.4285324059353132,-0.6403649570791113,0.4070313828808283,0.6146398399527061,0.008311057364045513,0.00046515270420136035,-5.7811872184316,-1.6292710798030736
647342.502361825,4185741.60473904,1522030511.27365,10.6782128533073,6.98263128495169,1,647342.6430965675,4185741.95519146,1522030513.78319,2018-03-26 02:15:13.783190,-0.4339485678219036,-0.638578165571546,0.41390881539916996,0.6151039177129705,0.007032392612141919,0.00042063651519996803,-5.76882851706288,-1.6293217868373913
647342.78383131,4185742.30564388,1522030516.29273,10.3346689117887,7.151217863589281,1,647342.925387687,4185742.6581935547,1522030518.817085,2018-03-26 02:15:18.817085,-0.439348480517133,-0.6367968922093572,0.4207653779860142,0.6155664857681714,0.005365024829851656,0.0005603945403384325,-5.756505084985414,-1.6293723552332728
647343.066944064,4185743.01074323,1522030521.34144,9.96194123096443,7.24143326146571,2,647343.2085052871,4185743.363427925,1522030523.86615,2018-03-26 02:15:23.866150,-0.4413247049232886,-0.6349861733274224,0.424145615856407,0.6159370670222198,0.002725889645810997,0.0005203529688080355,-5.765820535041809,-1.6293879248510361
647343.35006651,4185743.71611262,1522030526.3908598,9.55914060465166,7.2536018417773,1,647343.491723092,4185744.06904065,1522030528.9172897,2018-03-26 02:15:28.917289,-0.4367170614755167,-0.6331710090758699,0.4204746017861025,0.6155973887622315,0.0007689664571472465,0.00025492719107131356,-5.790025,-1.6293973738130125
647343.6333796739,4185744.42196868,1522030531.4437199,9.12220651022426,7.18866696407079,1,647343.9166438184,4185745.12769866,1522030536.4956698,2018-03-26 02:15:36.495669,-0.42978383467141357,-0.6305054166211855,0.4144546576546187,0.6143587691358847,-0.001208989331228913,0.00014980033353931277,-5.790025,-1.6294951468686967
647344.1999079629,4185745.83342864,1522030541.5476198,8.12384157744291,6.81246524047416,1,647344.342014213,4185746.187514015,1522030544.0823598,2018-03-26 02:15:44.082359,-0.4273331887120946,-0.6277266127271889,0.415146769919744,0.6149180175258617,0.000807213389049391,0.0003594589472660503,-5.790025,-1.629434182712854
647344.484120463,4185746.54159939,1522030546.6171,7.543372980877072,6.486660770152469,2,647344.766732137,4185747.24615827,1522030551.66062,2018-03-26 02:15:51.660620,-0.4249483226364356,-0.6249498193301378,0.41593158517772477,0.6155015008763264,0.0013975590834136575,-0.0011416474359395301,-5.790025,-1.6293711060932592
647345.049343811,4185747.95071715,1522030556.70414,6.15984559888587,5.48360177976092,1,647345.1909620645,4185748.303792495,1522030559.231515,2018-03-26 02:15:59.231515,-0.42274277168909546,-0.6206409808153196,0.41583228907749353,0.6135686981968831,0.0011294485904172341,-0.0025237193045229422,-5.790025,-1.6293047302854788
647345.332580318,4185748.65686784,1522030561.7588902,5.29112360259142,4.7305568324409,1,647345.474150629,4185749.0098195802,1522030564.28538,2018-03-26 02:16:04.285380,-0.42136219447055756,-0.6169688860153145,0.4153081698266633,0.6109743035283663,0.0009880137501011715,-0.0032769708177811108,-5.790025,-1.6292586706127175
647345.61572094,4185749.36277132,1522030566.8118699,4.213421348637399,3.68217085997055,1,647345.7573176746,4185749.715791205,1522030569.33885,2018-03-26 02:16:09.338850,-0.42002420668563295,-0.6136862432364167,0.4155633255767657,0.6093732827045406,0.0009195132025038161,-0.0031994575202791142,-5.78220662728371,-1.6292561987747356
647345.898914409,4185750.06881109,1522030571.8658302,2.6852480764711,1.90047125496986,2,647346.0045099885,4185750.370766715,1522030574.394105,2018-03-26 02:16:14.394105,-0.41890604650579855,-0.6117154038329734,0.41778074313441693,0.6104733678795938,0.0009568983017478327,-0.002856979006786997,-5.754685001928996,-1.6293707622285794
647346.110105568,4185750.67272234,1522030576.92238,1.16115306343431,2.08832932409888,2,647345.118767746,4185751.574478795,1522030579.449025,2018-03-26 02:16:19.449025,-0.4179869333659278,-0.6138596219186182,0.41862427630188964,0.6136398224829116,0.0008631363559232219,-0.002189874205280995,-5.7024370157936035,-1.62992478790191
647344.127429924,4185752.47623525,1522030581.9756699,0.195476316886034,0.331559562411143,4,647343.191947904,4185753.48337519,1522030584.502575,2018-03-26 02:16:24.502575,-0.41900890283478737,-0.616370931336001,0.421531754519078,0.6163690610906838,-0.0009178224446713401,-0.0023923745394686113,-5.618913310196905,-1.6311522266401197
647342.256465884,4185754.49051513,1522030587.02948,2.31415771471257,2.32275692170426,1,647341.3210821325,4185755.497549795,1522030589.55612,2018-03-26 02:16:29.556120,-0.42246469699389805,-0.6184447047863689,0.4272538764330357,0.6188061355625911,0.0005744334168376469,-0.001911901365975438,-5.522706163230975,-1.632439822477736
647340.385698381,4185756.50458446,1522030592.0827599,0.190840362315101,0.320673769854097,4,647340.419277203,4185757.0822567753,1522030594.60957,2018-03-26 02:16:34.609570,-0.40562908778744167,-0.6099696675677461,0.40835367046750276,0.6091200052461827,-0.006096493168446682,-0.0025237059523243177,-5.683580763812866,-1.6322748891876595
647340.452856025,4185757.65992909,1522030597.1363802,0.6418725203720749,0.290998466233906,3,647339.3653461155,4185759.0930958,1522030599.664225,2018-03-26 02:16:39.664225,-0.3829705627418901,-0.6003025463839634,0.38010157168447284,0.5957920121891292,-0.007590128750140576,-0.0015801512715609423,-5.953712069145657,-1.6320639095893823
647338.277836206,4185760.52626251,1522030602.19207,2.648542241203069,2.62375929759396,1,647337.1907430349,4185761.958882195,1522030604.71895,2018-03-26 02:16:44.718950,-0.3594499591970955,-0.58527435299869,0.35002988267213253,0.5771587518635455,-0.0041561767756665285,-0.00031653334234346686,-6.2064213028882556,-1.6316168915445388
647336.103649864,4185763.39150188,1522030607.24583,2.45467716376454,2.45146535315615,2,647334.800152435,4185764.6065113097,1522030609.77218,2018-03-26 02:16:49.772180,-0.3711045341294261,-0.5873014187304725,0.36023150595936015,0.5773197561309743,-0.0004099958053720154,0.00013950195167908297,-5.977740770741045,-1.6319804405704261
647333.496655006,4185765.82152074,1522030612.29853,2.59235602257052,3.4986559511633097,1,647332.1927020105,4185767.03695672,1522030614.8257601,2018-03-26 02:16:54.825760,-0.3836002651740771,-0.5853649172959371,0.3703325974817386,0.572845970003657,8.763511252890543e-05,-0.0017457214779860453,-5.806677621831855,-1.631956692671692
647330.888749015,4185768.2523927004,1522030617.3529902,0.9002387846978541,3.93621117013184,2,647330.067685764,4185769.3607254205,1522030619.8814,2018-03-26 02:16:59.881400,-0.39573520337160806,-0.5838261748243074,0.37837334337939554,0.5673727369821696,0.001341317594650726,-0.0010889967116702037,-5.680978490979792,-1.6326549781700195
647329.2466225129,4185770.46905814,1522030622.40981,2.73118260873719,4.116010277053181,1,647328.425691705,4185771.5772107653,1522030624.937815,2018-03-26 02:17:04.937815,-0.40436259134195934,-0.5819175026636967,0.38429987841618685,0.5635114498460662,0.001259149743058241,-0.0014111322430570283,-5.618697897709183,-1.633219743475716
647327.604760897,4185772.68536339,1522030627.4658198,2.68816029957378,3.8811569600131,1,647326.7835815265,4185773.7938498147,1522030629.9945798,2018-03-26 02:17:09.994579,-0.4129905828625617,-0.5800087013927046,0.3902268255614532,0.5596498938865044,-0.00010079960485463724,-0.0012742091693115076,-5.5564129859480005,-1.6337845483263644
647325.962402156,4185774.90233624,1522030632.52334,0.35804775088448704,3.13914476106337,2,647325.0813419485,4185776.0051173596,1522030635.0518298,2018-03-26 02:17:15.051829,-0.4162316759183879,-0.5820654507054913,0.39070305316902854,0.559009332629328,-0.004827784576576649,0.0004970629569144291,-5.513466857449954,-1.6344616901444415
647324.200281741,4185777.10789848,1522030637.58032,2.1856442975711103,1.40875904220611,2,647323.220348374,4185778.36500225,1522030640.1076899,2018-03-26 02:17:20.107689,-0.407086837282165,-0.5912234538465957,0.3788812866811426,0.5642295111847595,-0.0055313801885643055,0.0002332106521996391,-5.530666759382182,-1.6353211908755
647322.240415007,4185779.62210602,1522030642.63506,2.4849280724542497,0.833381236202009,2,647321.170280906,4185780.5968988948,1522030645.163035,2018-03-26 02:17:25.163035,-0.42080797483063087,-0.5953488333073309,0.3888209842303744,0.5644091993877719,-0.0003443910928371402,-0.00042409904154089295,-5.395995124065833,-1.6365491498769433
647320.100146805,4185781.57169177,1522030647.69101,0.638649816047705,3.1583219071495003,2,647319.1674195151,4185782.571958315,1522030650.21812,2018-03-26 02:17:30.218120,-0.43880865052065576,-0.5974728856711412,0.4020024099162042,0.5617628223347384,2.267891564086688e-06,-7.828517993788142e-05,-5.239372258923613,-1.637818790868908
647318.234692225,4185783.57222486,1522030652.74523,2.7002390429212,3.87570525281228,1,647317.3019406735,4185784.57251762,1522030655.2724,2018-03-26 02:17:35.272400,-0.43684376449594836,-0.6019012126222514,0.4002629067231026,0.5651604306224955,-0.0018046376736841618,-0.0005446672280878251,-5.238594,-1.6387765349616688
647316.369189122,4185785.57281038,1522030657.7995698,2.45614097418403,4.0236542188571,2,647315.2825950366,4185786.481992155,1522030660.325015,2018-03-26 02:17:40.325015,-0.4264216035459928,-0.6045280741653318,0.386814494843139,0.5634602392023911,-0.0029008840091782895,-0.0010545980518134601,-5.326554172801853,-1.6396241162853378
647314.196000951,4185787.39117393,1522030662.85046,3.65952650110043,4.51176151603161,1,647312.0219594045,4185789.210256795,1522030667.9033298,2018-03-26 02:17:47.903329,-0.37285920297875874,-0.5912910426162635,0.3368835747916226,0.5485662124746111,0.001057474777804046,4.424359291271829e-05,-5.777283827370052,-1.6401604500743807
647309.8479178579,4185791.02933966,1522030672.9562,4.515430701948231,4.64409014119803,1,647308.7612841484,4185791.9385595247,1522030675.481745,2018-03-26 02:17:55.481745,-0.36823433470192807,-0.5753717895994964,0.3366287820622655,0.5365823677026327,0.0022319454563281688,0.00015074942266657398,-5.778358122156924,-1.6395094270802117
647307.674650439,4185792.84777939,1522030678.0072901,4.47553872301838,4.31098093687271,1,647306.5880335484,4185793.7569852797,1522030680.5327902,2018-03-26 02:18:00.532790,-0.3779632129427034,-0.5691478692717165,0.3494323156218225,0.5327977145368303,0.0008780060676216311,-0.00022955403002594688,-5.673682586632467,-1.6393951689224524
