x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647425.886974728,4185689.19535069,1521297637.08054,12.1074661704456,6.45687320641898,2,647426.1950289949,4185689.76857426,1521297639.61231,2018-03-17 14:40:39.612310,-0.11566859216758835,-0.20693265557241808,0.1350950970579815,0.23522141497386614,-0.0017869903601989943,-0.0015294606277953746,-5.880774510903246,-2.264853019212847
647426.503083262,4185690.34179783,1521297642.1440802,11.5113039223324,7.42946601902544,1,647426.811162815,4185690.9150679,1521297644.676055,2018-03-17 14:40:44.676055,-0.11372707852653044,-0.20528993936214487,0.1323925669203474,0.23362047318148332,-0.0016457315553703826,-0.001548659511674183,-5.963813907620129,-2.2648495258589953
647427.1192423679,4185691.48833797,1521297647.20803,10.8661720010026,8.2184317019146,1,647427.427447685,4185692.06183876,1521297649.741025,2018-03-17 14:40:49.741025,-0.11232755379783271,-0.20373877572094096,0.13019705342917748,0.23198042784397843,-0.0020710624211616457,-0.0017981295023163646,-6.032424548196446,-2.2648499460701363
647427.735653002,4185692.63533955,1521297652.27402,10.1630549297627,8.87290794216516,1,647428.043605594,4185693.2083757,1521297654.80495,2018-03-17 14:40:54.804950,-0.11086734991187884,-0.20157986322072755,0.1292444251088311,0.2309531265635528,-0.0011907732245160854,-0.0017931034215218494,-6.027742002755923,-2.2648580976859467
647428.351558186,4185693.78141185,1521297657.33588,9.389593573114519,9.420159829967847,1,647428.6594598785,4185694.35435443,1521297659.866395,2018-03-17 14:40:59.866395,-0.11109049127468418,-0.19924553892017485,0.1309568355225197,0.23025031212135905,0.0006743689165967515,-0.00165671561390765,-5.922859484455669,-2.2648730454904524
647428.967361571,4185694.92729701,1521297662.39691,8.52623263498378,9.87848044828767,2,647428.693805615,4185694.9999813503,1521297664.9273648,2018-03-17 14:41:04.927364,-0.11156479483519048,-0.1983983963382096,0.13201921657561472,0.22998115190114332,0.0007951053937014854,-0.001649011641992111,-5.866093459421356,-2.264884917396255
647428.420249659,4185695.07266569,1521297667.45782,8.86236997487803,10.028811031931301,1,647428.1465205725,4185695.1453962103,1521297669.9899,2018-03-17 14:41:09.989900,-0.11229050784460166,-0.199038446211724,0.1324318387229959,0.23014564023272513,0.0004855078458404216,-0.0016795054701639542,-5.857432603920089,-2.2648937174042896
647427.872791486,4185695.21812673,1521297672.52198,9.15839776912164,10.151404401631199,1,647427.0516876241,4185695.436297065,1521297680.11745,2018-03-17 14:41:20.117450,-0.11374228345202397,-0.20031885178586184,0.13325728334861103,0.2304746953898283,0.000490764483913126,-0.0017358586913246085,-5.840106620028983,-2.2649113216715477
647426.230583762,4185695.6544674,1521297687.71292,9.83665574531943,10.3600256306881,1,647422.413207179,4185696.669881335,1521297723.1679149,2018-03-17 14:42:03.167914,-0.1203653518661981,-0.2060222699224561,0.13762407902145785,0.23286356736355157,-0.00028836024681741165,-0.001594311625611279,-5.724495805751927,-2.265032672922932
647418.595830596,4185697.68529527,1521297758.62291,9.75397451889659,8.071003222157751,2,647418.292728775,4185697.72258249,1521297761.1554,2018-03-17 14:42:41.155400,-0.12214961599155946,-0.21042041430252612,0.13749918936724356,0.23496034190704335,0.002272489652543345,-0.0014712619967981524,-5.715402819678052,-2.265135152687376
647417.989626954,4185697.75986971,1521297763.68789,9.827616614991161,8.31792946479527,1,647417.383521399,4185697.83443325,1521297768.7520452,2018-03-17 14:42:48.752045,-0.12162581609968813,-0.21152547952276538,0.13628866444840337,0.23544137937834225,0.0026874967734443027,-0.001516029206084249,-5.754486051223676,-2.265154097897775
647416.777415844,4185697.90899679,1521297773.8162,9.89018187245317,8.67444696166771,1,647416.4745144465,4185697.9462617403,1521297776.3470101,2018-03-17 14:42:56.347010,-0.12100653675116751,-0.21261017221358253,0.135023835008073,0.2359586355909848,0.0026449938859329156,-0.0014060739348457363,-5.797093055306327,-2.2651731911275546
647416.171613049,4185697.98352669,1521297778.87782,9.879667846549099,8.78960329384177,1,647415.8686063071,4185698.02080334,1521297781.4095101,2018-03-17 14:43:01.409510,-0.11995323902704627,-0.21319833111089376,0.1338150991329649,0.2365468068096204,0.0023346498023538546,-0.0014044906323609219,-5.849161437682471,-2.265186937397998
