x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647410.7111745661,4185688.79469754,1521940550.44834,5.968891671756259,6.77957939567004,2,647410.3329871546,4185688.45895793,1521940552.95001,2018-03-25 01:15:52.950010,-0.3802257518480835,-0.6659087070223717,0.42606483972497783,0.7225808075554623,-0.00028366123255219033,-0.0025133605044882212,-6.194348587524628,-1.8051977643264299
647409.954799743,4185688.12321832,1521940555.4516802,5.99387540877511,6.719103942369079,1,647409.5765089695,4185687.78738609,1521940557.95404,2018-03-25 01:15:57.954040,-0.37965233868993487,-0.6671446734801665,0.42759947094012757,0.7249580377643994,-0.0009539329715960304,-0.002718055189491614,-6.227557808178995,-1.8052144351262882
647409.198218196,4185687.45155386,1521940560.4564,5.97911653912393,6.630443165148551,1,647407.6842839846,4185686.10753419,1521940570.470945,2018-03-25 01:16:10.470945,-0.37821800783878035,-0.6702362812335959,0.43143812907277046,0.7309043633278067,-0.0017734451027990872,-0.0032664197158461805,-6.310626414077429,-1.8052561338166462
647406.170349773,4185684.76351452,1521940580.48549,5.50500620581169,5.96366034929366,1,647405.7918130255,4185684.4274619147,1521940582.98948,2018-03-25 01:16:22.989480,-0.3799513463566155,-0.6753348782156832,0.4383630412120405,0.7374763562976682,-0.002525337548430928,-0.0046930679854840784,-6.3952683004246555,-1.8051864725324274
647405.413276278,4185684.09140931,1521940585.49347,5.26845641000171,5.70515761972341,1,647404.6566304874,4185683.419687505,1521940590.498605,2018-03-25 01:16:30.498605,-0.3785999998724899,-0.6753524698701407,0.4408862990068635,0.7421616788733466,-0.0003816938650853807,-0.003392268053425851,-6.492180764994402,-1.8050976723744012
647403.899984697,4185682.7479657005,1521940595.50374,4.60866764722256,5.04187709764713,1,647403.5215555516,4185682.41200954,1521940598.00701,2018-03-25 01:16:38.007010,-0.3790991080649475,-0.6796094086053182,0.44257775865871557,0.7479350146596089,0.0006279846159182589,-0.003254981978892152,-6.60010716166475,-1.805060398708739
647403.143126406,4185682.07605338,1521940600.5102801,4.155595362419089,4.61582434930333,1,647402.3863206254,4185681.4041881347,1521940605.51648,2018-03-25 01:16:45.516480,-0.3795982851951059,-0.6838669476813798,0.4442694585916829,0.7537091669208827,0.004557909124811119,-0.0034163847366341926,-6.708048839500777,-1.805023119458764
647401.629514845,4185680.73232289,1521940610.52268,2.81138917219461,3.4608456305971003,1,647401.2512400475,4185680.396504935,1521940613.02493,2018-03-25 01:16:53.024930,-0.3764673512306564,-0.6911632062380173,0.43785478580127696,0.7590975978176377,0.010240496451309658,-0.002128001501835647,-6.815663529438897,-1.805151814502317
647400.87296525,4185680.06068698,1521940615.5271802,1.5852457996121898,2.60119651169764,2,647400.519068528,4185679.73954325,1521940618.031765,2018-03-25 01:16:58.031765,-0.3694613040163426,-0.7000402924489392,0.42260679544414714,0.7620587654315558,0.009235178757795615,0.004159168529446061,-6.884991566334008,-1.8054608575053923
647400.165171806,4185679.41839952,1521940620.53635,0.98308560495661,1.66889692582273,4,647399.141980143,4185679.89696254,1521940623.0415049,2018-03-25 01:17:03.041504,-0.36885680792416825,-0.699923630774763,0.41422906484197247,0.7553241262470984,0.00460307032370226,0.009254754685895372,-6.700928635977335,-1.8060428488382272
647398.11878848,4185680.37552556,1521940625.54666,1.08862151989708,1.94575774705668,3,647397.106532243,4185680.75013404,1521940628.052105,2018-03-25 01:17:08.052105,-0.3786037588889042,-0.6861059230605533,0.42131241074902476,0.7370779516365628,0.00247301253416031,0.007738975516995289,-6.248248496622505,-1.8066625733380302
647396.094276006,4185681.12474252,1521940630.55755,0.838425364869775,1.5654485065909498,3,647394.7278803529,4185681.70119924,1521940633.0618448,2018-03-25 01:17:13.061844,-0.3788860050420963,-0.6805228008691128,0.4206011403442314,0.7307923569838115,0.011092917532579696,0.011732458617923464,-6.241972043280918,-1.807014985077283
647393.3614846999,4185682.27765596,1521940635.56614,1.19036703112632,2.29026171928373,2,647392.4293671285,4185683.0774110053,1521940638.06994,2018-03-25 01:17:18.069940,-0.3676121974113273,-0.6629571218614938,0.4122874261752466,0.7176487939292049,0.014412866173991845,0.017568456120046816,-6.188232490532364,-1.8073666534179664
647391.497249557,4185683.87716605,1521940640.57374,2.20383121940406,2.6303675175711496,2,647389.290591924,4185685.0055259,1521940645.5820298,2018-03-25 01:17:25.582029,-0.36347886588386075,-0.6440925262160517,0.39738893864732855,0.6855711691094792,0.014291859505431825,0.019471710599617914,-5.976190045901504,-1.8081381209993097
647387.083934291,4185686.13388575,1521940650.5903199,2.1160923339343403,2.4138148599426,1,647385.9805549625,4185686.698091485,1521940653.09458,2018-03-25 01:17:33.094580,-0.3342585231894477,-0.6444111847831278,0.360601748017265,0.6836479631686778,0.014784830888598777,0.016891501711002815,-6.148660494183087,-1.8090019768590915
