x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647444.951893787,4185663.84484299,1521285856.56969,13.378594947628601,13.079635924363696,2,647444.7715199864,4185663.640981715,1521285869.2309299,2018-03-17 11:24:29.230929,-0.20810357795378798,-0.38458495022520134,0.2291663149003183,0.4132739548607666,-0.00030564236880945006,-0.003758570912832937,-6.530601700943254,-2.6318713958952857
647444.591146186,4185663.43712044,1521285881.89217,12.6635057841993,12.503141589833099,2,647444.4385096215,4185663.2698175153,1521285889.4903998,2018-03-17 11:24:49.490399,-0.20960488533742375,-0.38630574113460875,0.22921218172351432,0.4131247126805579,-0.001775320147392151,-0.0033818397677742446,-6.540775890937413,-2.6318478276628885
647444.2858730571,4185663.10251459,1521285897.08863,12.2064178560013,12.1521530392065,2,647444.3216261806,4185663.12911489,1521285902.15381,2018-03-17 11:25:02.153810,-0.21047582521776048,-0.3868425947996173,0.22955230103501373,0.41291890833521205,-0.0023209786006642558,-0.0032457687431514948,-6.541630536432037,-2.631834364982097
647444.357379304,4185663.15571519,1521285907.21899,11.9797710467173,12.296702471177197,1,647444.4109991345,4185663.195609985,1521285914.815555,2018-03-17 11:25:14.815555,-0.20991661027289088,-0.3865066866312068,0.22929838396623273,0.4130154458823722,-0.0020209586399381335,-0.003334620405838304,-6.542565793000932,-2.6318397037299848
647444.464618965,4185663.23550478,1521285922.4121199,11.473790740106402,12.362486007037,1,647444.4824922145,4185663.248803035,1521285924.9443,2018-03-17 11:25:24.944300,-0.2094692690240619,-0.386237978310884,0.22909526518582368,0.4130926715528133,-0.0017809578257597797,-0.0034056968181659514,-6.5433139079850084,-2.6318439745218165
647444.500365464,4185663.26210129,1521285927.47648,11.2569996034686,12.3446742340736,1,647444.518249044,4185663.2754051248,1521285930.010005,2018-03-17 11:25:30.010005,-0.20924553944822671,-0.38610358927283794,0.22899367687525263,0.41313129240751845,-0.0016609288410327633,-0.0034412444807573606,-6.543688153985186,-2.6318461102802613
647444.536132624,4185663.28870896,1521285932.54353,11.013768448826802,12.3069001267168,1,647444.554018231,4185663.3020139653,1521285935.0772948,2018-03-17 11:25:35.077294,-0.20902173889700634,-0.3859691582243501,0.22889205382125039,0.41316992299319705,-0.0015408653426933344,-0.0034768035253895657,-6.5440626237829695,-2.6318482464822157
647444.571903838,4185663.31531897,1521285937.61106,10.742394232289,12.2489895151566,1,647444.6434257525,4185663.36852814,1521285947.7433147,2018-03-17 11:25:47.743314,-0.2084623249056244,-0.38563313218555495,0.22863803953637674,0.4132664880507075,-0.001240748278906599,-0.0035656870991973844,-6.544998498794693,-2.6318535864943593
647444.7149476671,4185663.42173731,1521285957.8755698,9.323346304724,11.8086046827722,1,647444.7328370775,4185663.43504454,1521285960.40973,2018-03-17 11:26:00.409730,-0.20790288868473628,-0.3852970929479385,0.22838401453605023,0.4133630563225007,-0.0009406201700034172,-0.003654574230926952,-6.5459344369586745,-2.6318589266608696
647444.750726488,4185663.44835177,1521285962.94389,8.86490071027347,11.643275832629001,2,647443.7034007485,4185662.6513226302,1521285973.078415,2018-03-17 11:26:13.078415,-0.21429639038971177,-0.38932431019162644,0.23120855260886772,0.41237963563124036,-0.004427437375457949,-0.002753941477124461,-6.535882242088005,-2.6318017021981692
