x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647395.776614819,4185714.24194752,1522031609.45029,10.0253660486706,8.86881797978634,2,647396.235574152,4185714.756080125,1522031611.975315,2018-03-26 02:33:31.975315,-0.39679236430710985,-0.5903625697056952,0.45795082278723565,0.6663232276373097,6.425800686206407e-05,-0.002963398473015244,-5.900712590991843,-1.6300679344964584
647396.694533485,4185715.27021273,1522031614.50034,10.028154190593598,8.80786880777005,1,647399.4535651144,4185718.3546003196,1522031629.6445599,2018-03-26 02:33:49.644559,-0.392981221560835,-0.5764553959996606,0.4651872218733309,0.6638671317207318,0.0036600302904977178,-0.0013962579846980017,-5.695578871384258,-1.6303425220211827
647402.212596744,4185721.43898791,1522031644.78878,8.9060469298386,6.598815031340259,1,647403.1299544065,4185722.466358725,1522031649.835555,2018-03-26 02:34:09.835555,-0.39319715409265527,-0.5615144815261579,0.4633853430687833,0.647933590745586,-0.006548090531547465,-0.00570797465886258,-5.335357909706636,-1.630608544977361
647404.047312069,4185723.49372954,1522031654.8823302,8.000875146381361,4.65584439980126,2,647406.4923429166,4185726.8724915204,1522031662.453905,2018-03-26 02:34:22.453905,-0.37755928252947113,-0.5517593358656705,0.44829168604435826,0.6439323902721161,-0.0038257273783929846,-0.0030302943363955948,-5.12469751841306,-1.6312732946951063
647408.937373764,4185730.2512535006,1522031670.02548,6.59473403412274,5.10398536274659,1,647410.567432926,4185732.5038144505,1522031675.07332,2018-03-26 02:34:35.073320,-0.36495970655427457,-0.5368280916725201,0.43551223186649946,0.6331922277919562,-0.0001326538022770607,-0.001711535717488083,-4.8735846658275594,-1.6321632199225882
647412.197492088,4185734.7563754,1522031680.12116,5.02171910852913,3.93074763002876,1,647413.0121656795,4185735.882167475,1522031682.64398,2018-03-26 02:34:42.643980,-0.3473205736988967,-0.5121190172100986,0.41374814769059676,0.6085788415373521,-0.006517102495235766,-0.01530248163307596,-4.858623731589689,-1.6321191511898676
647413.826839271,4185737.00795955,1522031685.1668,3.83567532156178,2.471397812799009,2,647414.5439393241,4185737.984206435,1522031687.6892152,2018-03-26 02:34:47.689215,-0.3262416471378336,-0.4786168644241392,0.3842534232755337,0.5710920080614854,-0.0062381315818720445,-0.015171180395244746,-5.019149073374805,-1.6315813767817966
647415.2610393771,4185738.96045332,1522031690.21163,3.98163641437164,0.455969340918889,3,647415.0136819365,4185739.31986949,1522031692.7359,2018-03-26 02:34:52.735900,-0.314580014219173,-0.46374127798272213,0.36420285150087855,0.5488261179743774,-0.00540496816033173,-0.014273702588396983,-5.030497604719942,-1.6313526028187177
647414.766324496,4185739.67928566,1522031695.26017,5.05856551536149,3.28445275442105,1,647414.0242726605,4185740.757504345,1522031702.832765,2018-03-26 02:35:02.832765,-0.30112646257179965,-0.46111884169477735,0.33727683922442997,0.5332861765879697,-0.004699780994762079,-0.01361476672094486,-5.043615203041565,-1.6315280844733469
647413.282220825,4185741.83572303,1522031710.40536,7.165028925017659,6.25074291161842,1,647413.034693273,4185742.195387895,1522031712.931395,2018-03-26 02:35:12.931395,-0.29028584435070903,-0.45747533487011965,0.31419863229183276,0.5177157808943817,-0.006244649812029601,-0.012879330861719773,-5.062477025160819,-1.631629302293965
647412.7871657211,4185742.55505276,1522031715.4574301,7.66644603487188,6.88116322478122,2,647410.8140055116,4185745.4292054903,1522031735.653605,2018-03-26 02:35:35.653605,-0.30719190852344214,-0.4662202327298176,0.32688588042871597,0.5219178410343653,-0.015563618744681415,-0.017008967163519878,-5.179298409659334,-1.6318668961903398
647408.840845302,4185748.30335822,1522031755.84978,9.87200836816257,9.636992545195401,1,647408.3462871604,4185749.02285292,1522031760.89925,2018-03-26 02:36:00.899250,-0.3114578820195919,-0.46410002614072127,0.3297017756779323,0.5144874768328591,-0.027442982929663892,-0.028161488845875354,-5.021597292924464,-1.6326197250632817
647407.851729019,4185749.74234762,1522031765.94872,10.0671632330973,9.92339963739519,1,647407.35694816,4185750.46216944,1522031771.000505,2018-03-26 02:36:11.000505,-0.31242657361322945,-0.459445051313195,0.33050568943843717,0.5079408524618854,-0.031250623995817406,-0.031108272877662227,-4.9323576036674055,-1.6329243135209959
647406.862167301,4185751.18199126,1522031776.05229,10.145509629768599,10.088269614867,1,647406.3675111935,4185751.901629645,1522031781.1027799,2018-03-26 02:36:21.102779,-0.31339534724114587,-0.454789600698192,0.33130966604498113,0.5013935583684965,-0.03328392715451328,-0.032452647770346676,-4.843108861851304,-1.633228932240738
647405.872855086,4185752.62126803,1522031786.15327,10.1096695052332,10.137374582783801,1,647405.6254367344,4185752.9812201746,1522031788.679455,2018-03-26 02:36:28.679455,-0.30367749381634535,-0.44991061545750954,0.32028035543232825,0.4930390455011732,-0.032981612177880315,-0.03192922207908286,-4.8277027833359405,-1.6333848296617974
