x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647303.492160087,4185891.39908392,1521964562.65869,9.38213362326753,11.2776322585931,2,647303.492015027,4185891.39939621,1521964564.64297,2018-03-25 07:56:04.642970,0.0,0.0,0.0,0.0,0.0,0.0,-0.27571549999999995,-0.27550929734898916
647303.4918699671,4185891.3997085,1521964566.62725,9.32113207335357,11.2269231735915,1,647303.4913351135,4185891.40074322,1521964571.660145,2018-03-25 07:56:11.660145,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489892
647303.49080026,4185891.40177794,1521964576.6930401,9.16460186288432,11.0972679364046,1,647303.4899979804,4185891.4033300197,1521964584.242375,2018-03-25 07:56:24.242375,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489893
647303.489195701,4185891.4048821,1521964591.79171,8.92465406290811,10.899892117806099,1,647303.4886609515,4185891.40591665,1521964596.82421,2018-03-25 07:56:36.824210,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489894
647303.488126202,4185891.4069512,1521964601.85671,8.76104711169629,10.766307476245403,1,647303.4878589425,4185891.4074682854,1521964604.372525,2018-03-25 07:56:44.372525,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.27550929734898943
647303.4875916829,4185891.40798537,1521964606.88834,8.67810014456848,10.698901071503402,2,647303.4873106559,4185891.4084989903,1521964609.404645,2018-03-25 07:56:49.404645,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.27550929734898955
647303.487029629,4185891.40901261,1521964611.92095,8.59433434174695,10.63105419879,1,647303.4867480495,4185891.409527125,1521964614.4393,2018-03-25 07:56:54.439300,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.27550929734898955
647303.48646647,4185891.41004164,1521964616.95765,8.5096740596925,10.562715634677499,1,647303.4850547465,4185891.41262036,1521964629.56355,2018-03-25 07:57:09.563550,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489897
647303.483643023,4185891.41519908,1521964642.16945,8.07254896963565,10.2137646805371,1,647303.4833610525,4185891.4157138653,1521964644.68861,2018-03-25 07:57:24.688610,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.27550929734898977
647303.483079082,4185891.41622865,1521964647.2077699,7.9823216264491395,10.142590432540901,1,647303.481670501,4185891.41879934,1521964659.7967348,2018-03-25 07:57:39.796734,0.0,0.0,0.0,0.0,0.0,0.0,-0.27571549999999995,-0.2755092973489899
647303.48026192,4185891.42137003,1521964672.3857,7.51519882311041,9.77914914739811,1,647303.479130199,4185891.42343438,1521964682.4748101,2018-03-25 07:58:02.474810,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489901
647303.477998478,4185891.42549873,1521964692.56392,7.11872425349839,9.47781821573538,1,647303.474119309,4185891.43334446,1521964722.80901,2018-03-25 07:58:42.809010,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489905
647303.47024014,4185891.44119019,1521964753.0541,5.7691407379422905,8.51075585726053,1,647303.4697135044,4185891.442232795,1521964758.091085,2018-03-25 07:59:18.091085,0.0,0.0,0.0,0.0,0.0,0.0,-0.27571550000000006,-0.27550929734899077
647303.469186869,4185891.4432754,1521964763.1280699,5.5123379939623,8.338811016006959,1,647303.468918694,4185891.44380691,1521964765.66854,2018-03-25 07:59:25.668540,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489909
647303.468650519,4185891.44433842,1521964768.20901,5.378164956521242,8.25072907585966,1,647303.468384293,4185891.444849765,1521964770.707505,2018-03-25 07:59:30.707505,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489909
647303.468118067,4185891.44536111,1521964773.206,5.24285755420297,8.16317407590017,1,647303.4678470435,4185891.4458823903,1521964775.72612,2018-03-25 07:59:35.726120,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755092973489909
647303.46757602,4185891.44640367,1521964778.2462401,5.10274497187799,8.07389962713904,1,647303.4673051161,4185891.446924705,1521964780.765825,2018-03-25 07:59:40.765825,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.275509297348991
647303.4670342121,4185891.44744574,1521964783.28541,4.95870465090759,7.98364598632546,1,647303.4667633495,4185891.44796669,1521964785.80481,2018-03-25 07:59:45.804810,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.27550929734899104
647303.466492487,4185891.44848764,1521964788.32421,4.81036297298239,7.892366880524241,1,647303.466221208,4185891.44900945,1521964790.84548,2018-03-25 07:59:50.845480,0.0,0.0,0.0,0.0,0.0,0.0,-0.27571549999999995,-0.27550929734899104
647303.465949929,4185891.44953126,1521964793.36675,4.65718189146726,7.79995043486988,2,647303.1285940385,4185891.32501773,1521964795.8867202,2018-03-25 07:59:55.886720,0.0,0.0,0.0,0.0,0.0,0.0,-0.31071004018669424,-0.3105030497073307
647302.791238148,4185891.2005042,1521964798.4066901,4.55972930365642,7.71289562602187,1,647302.453776102,4185891.07595172,1521964800.927455,2018-03-25 08:00:00.927455,0.0,0.0,0.0,0.0,0.0,0.0,-0.42641502271155407,-0.4262054410614261
647302.116314056,4185890.95139924,1521964803.44822,4.448590520418049,7.6232299791295395,1,647301.7788602174,4185890.82684978,1521964805.96892,2018-03-25 08:00:05.968920,0.0,0.0,0.0,0.0,0.0,0.0,-0.5421367844221496,-0.541924601255451
647301.441406379,4185890.70230032,1521964808.48962,4.3227244744019,7.53089082489765,3,647301.0317419565,4185890.535210935,1521964811.010465,2018-03-25 08:00:11.010465,0.0,0.0,0.0,0.0,0.0,0.0,-0.6713246989264954,-0.6711096115134786
647300.622077534,4185890.36812155,1521964813.5313098,4.29647916532965,7.46955539164065,1,647298.983966386,4185889.699985935,1521964823.6113148,2018-03-25 08:00:23.611314,-0.000593459589040706,-0.0010531985841822115,0.0031347966686578253,0.005563248912139622,-0.00346776126170087,-0.006154153237306214,-1.1575376605882837,-1.026328880004263
