x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647349.774262085,4185758.69088095,1521942163.48233,4.1614962180731405,3.91461529393719,2,647349.6698301486,4185758.5802596947,1521942166.008795,2018-03-25 01:42:46.008795,-0.35974707207098894,-0.5828938900573721,0.3832229609125253,0.6105193970862692,-0.005331974137555248,-0.0010053494601005297,-5.579251126543182,-1.8430288044135474
647349.565398212,4185758.46963844,1521942168.53526,4.1560520108464,3.9188054197516298,1,647348.1031067905,4185756.922395635,1521942203.9089398,2018-03-25 01:43:23.908939,-0.3666308272063153,-0.5880927186003699,0.3922860420589156,0.6141475390672736,-0.002150034055357339,-0.0009360142863534815,-5.538782397977663,-1.8432564309675157
647346.640815369,4185755.37515283,1521942239.28262,3.78423629726582,3.63272493475475,1,647346.2235734779,4185754.93321824,1521942249.3869648,2018-03-25 01:44:09.386964,-0.37332803721551056,-0.5987685528748603,0.3907627752245053,0.6149559835002658,-0.0014926369942259432,-0.0030712590351427427,-5.561096284507022,-1.8434272064195625
647345.806331587,4185754.49128365,1521942259.49131,3.56117505331693,3.41781748705711,1,647345.7021051815,4185754.3808887303,1521942262.015365,2018-03-25 01:44:22.015365,-0.3744696550101765,-0.601807473625219,0.3883069594193971,0.6141845038245553,-0.00015852711695350796,-0.002657565052105987,-5.583914583140459,-1.8434153259948363
647345.597878776,4185754.27049381,1521942264.53942,3.49535734457368,3.35271830374504,1,647345.2849175856,4185753.93901144,1521942272.1184,2018-03-25 01:44:32.118400,-0.3753829775857033,-0.604238685641575,0.38634224588454047,0.6135673009689685,0.0007403455582365992,-0.0023789619845148713,-5.602169787260082,-1.843405821372106
647344.971956395,4185753.60752907,1521942279.69738,3.26962435886694,3.12533352517532,1,647344.13644995,4185752.7230313853,1521942299.919395,2018-03-25 01:44:59.919395,-0.37789692769779354,-0.6109304354123396,0.3809350766455192,0.6118688131439319,0.0005367500108532236,-0.0024151963739851567,-5.6524048343047895,-1.8433797856800727
647343.300943505,4185751.8385337004,1521942320.1414099,2.37553360489072,2.17708756880775,1,647342.8834021494,4185751.3962910953,1521942330.252955,2018-03-25 01:45:30.252955,-0.3800544397130533,-0.6099718275731923,0.37448702337278206,0.601853058171373,-0.0017909574832095654,-0.002791512748926833,-5.707215690039408,-1.8496261620634453
647342.465860794,4185750.95404849,1521942340.3645,1.6089277549122,1.2752973639820702,1,647342.361409574,4185750.8434182955,1521942342.89398,2018-03-25 01:45:42.893980,-0.38275499624105414,-0.6134641560326907,0.373391683085496,0.6013047252645506,-0.0024933402746462885,-0.002672151733568273,-5.72099697075706,-1.8496225328889484
647342.256958354,4185750.732788101,1521942345.42346,1.33011777630525,0.8860657998492509,2,647342.1308454741,4185750.6367149805,1521942350.479775,2018-03-25 01:45:50.479775,-0.3851251682499211,-0.615292974615747,0.3740842825951175,0.6012790539536045,-0.0024900624800635457,-0.0025250937861453493,-5.718472358316333,-1.8496384914465027
647342.004732594,4185750.54064186,1521942355.5360901,0.87788945084011,0.8090923300076329,2,647341.941694009,4185750.49261883,1521942358.0635352,2018-03-25 01:45:58.063535,-0.3870208345272612,-0.6167236778352914,0.37470672319802895,0.6012869931761426,-0.002381159524134799,-0.0023677212582395024,-5.715497766785585,-1.8496586936574588
647341.878655424,4185750.4445958,1521942360.59098,0.126949448857144,0.0960863336304895,4,647340.2769003594,4185751.2362602,1521942363.1170602,2018-03-25 01:46:03.117060,-0.3987307506422936,-0.6232275571174806,0.3837783785687623,0.6034782975012221,-0.002406309997096248,-0.0018753852165664664,-5.617886455011048,-1.8504248591781942
647338.675145295,4185752.0279246,1521942365.64314,0.368199537608524,0.671010176056213,2,647337.1499789364,4185752.85975819,1521942368.16892,2018-03-25 01:46:08.168920,-0.3838572777424309,-0.6207891446609217,0.36887907117843627,0.5974933789048779,-0.000413664245887721,-0.0002903432125567207,-5.7429738919999105,-1.8513254780786812
647335.624812578,4185753.69159178,1521942370.6947,0.677018982391552,0.739513485248778,1,647334.098461643,4185754.5240711,1521942373.222445,2018-03-25 01:46:13.222445,-0.3236011730214748,-0.6044740839426195,0.3097659008532319,0.5790868592242314,-0.005082954782447732,0.00035103990573273625,-6.2835531333863806,-1.8516428717095492
647332.572110708,4185755.35655042,1521942375.75019,0.094641215823883,0.17706288037724302,3,647331.1501366245,4185756.0272101,1521942378.27849,2018-03-25 01:46:18.278490,-0.3442957660805308,-0.5966093996527173,0.3219105728586495,0.5634271923094993,-0.0024957864185925216,0.0003691583353698513,-6.0799869802963205,-1.8508941964617858
647329.728162541,4185756.69786978,1521942380.80679,0.0813351969976879,0.17304574182341598,4,647328.1483633176,4185757.581673745,1521942383.33448,2018-03-25 01:46:23.334480,-0.3567527587519995,-0.5976816929231864,0.3244318345781982,0.5548780990792788,-0.0015126066200852883,-0.001142610403217531,-5.9811397491411675,-1.8509527076828693
647326.568564094,4185758.46547771,1521942385.86217,0.58304749075712,0.5284038359426839,2,647324.7520595831,4185759.02407119,1521942388.390935,2018-03-25 01:46:28.390935,-0.3790092406832287,-0.602629607968292,0.33758257823118176,0.5502610730565508,0.0014020911871112929,-0.0006895095112861294,-5.792486755233918,-1.8512765535372573
647322.935555072,4185759.58266467,1521942390.9197,0.356534159605618,0.625222385830104,2,647320.9883989841,4185760.21375858,1521942393.4478,2018-03-25 01:46:33.447800,-0.3792448425309719,-0.6081080857070047,0.3293194135270554,0.5450278329875843,0.0019433163088174998,0.0012421136917017128,-5.719396711002895,-1.8521766601594514
647319.041242896,4185760.84485249,1521942395.9759,0.0946325026064981,0.369830817347876,3,647317.4221490575,4185761.268599615,1521942398.5040898,2018-03-25 01:46:38.504089,-0.37932003963795785,-0.6134109806156602,0.32125824643599804,0.5400518893746715,0.001275884821468426,0.0011972183175729678,-5.652983249295059,-1.853029193243496
647315.803055219,4185761.69234674,1521942401.03228,0.37775595400459,0.5739684245301729,2,647314.31177662,4185762.0337624447,1521942403.560835,2018-03-25 01:46:43.560835,-0.38552054274816866,-0.6207140146799806,0.31905088826712524,0.5356814480366167,-2.6967360156629483e-05,0.0006565409235743391,-5.520392285217447,-1.8538601132969361
647312.820498021,4185762.37517815,1521942406.08939,0.0953618212319769,0.18558256186752,5,647311.8770974164,4185763.112938435,1521942408.61798,2018-03-25 01:46:48.617980,-0.39874506474417376,-0.6217595714359565,0.3282378061184507,0.5334700136627331,0.0029972895761773977,-3.735164044599282e-05,-5.380313027362666,-1.8548148341847281
647310.933696812,4185763.85069872,1521942411.14657,0.0851145560175864,0.12497707440733803,5,647309.5157546371,4185764.3225839753,1521942413.674845,2018-03-25 01:46:53.674845,-0.39308107847773976,-0.6199819878926334,0.3245318563897903,0.5317232560410385,0.008682829796700639,0.00021476668815906264,-5.401114781049349,-1.8554520026064663
647308.097812462,4185764.79446923,1521942416.20312,0.16275969201801702,0.8020080243364219,2,647307.1533300434,4185765.283259585,1521942418.730785,2018-03-25 01:46:58.730785,-0.3836788106376082,-0.6183181196544578,0.3171473691129367,0.5293640182231719,0.007578463350996142,0.0012764018993383364,-5.459991275477023,-1.8559757622712167
647306.208847625,4185765.77204994,1521942421.25845,0.663389634147566,0.921122266911077,1,647305.263981344,4185766.261038885,1521942423.7871351,2018-03-25 01:47:03.787135,-0.37683349120882154,-0.6166018654926623,0.31254486594834563,0.5279908129506428,0.0030948645450242507,0.0014832595992368136,-5.496152680280979,-1.8564470019671915
647304.319115063,4185766.75002783,1521942426.31582,0.20224629151013296,0.7947235520858741,2,647303.054937745,4185767.1678732997,1521942428.84444,2018-03-25 01:47:08.844440,-0.3848446174410527,-0.614025569470552,0.32293821512703375,0.5280427479019881,-0.0031174598422267497,0.0029063480006147058,-5.4155041592789,-1.8569026008058862
