x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647487.438934121,4185637.99010082,1521414746.89622,6.7024657931269,5.6870328030622606,2,647488.12852603,4185638.7748281853,1521414837.618465,2018-03-18 23:13:57.618465,-0.22017360957110615,-0.4066385137625416,0.21823338381850715,0.40858984466774684,-0.004678349905946788,-0.007530477137870625,-6.617171000000001,-2.5593276041204387
647488.8181179389,4185639.55955555,1521414928.34071,5.19590273360136,4.27349289777294,2,647489.1291453805,4185639.9341203,1521414933.38144,2018-03-18 23:15:33.381440,-0.2156420860727226,-0.400530789260017,0.21255430120236915,0.4010208309914088,-0.008256035741455003,-0.008963116028365678,-6.597969963507921,-2.564312061706742
647489.440172822,4185640.30868505,1521414938.42217,5.21953156525018,4.195106622073,1,647489.595595569,4185640.49585825,1521414940.94106,2018-03-18 23:15:40.941060,-0.20821735720090095,-0.3931203095966578,0.206602654333845,0.39556418070522614,-0.010532926197106655,-0.010792918090970355,-6.511133259527086,-2.5643264745200693
647489.751018316,4185640.68303145,1521414943.45995,5.22144058014171,4.1370939053376,1,647490.6843339795,4185641.80621135,1521414958.57838,2018-03-18 23:15:58.578380,-0.19089135095665793,-0.3758270019281509,0.19271389952054402,0.38283011030680725,-0.013088126117000581,-0.012689612673733738,-6.308517918003044,-2.564360050597987
647491.617649643,4185642.92939125,1521414973.69681,5.0932715169583,3.47730759373012,2,647492.2392211126,4185643.7404818,1521414981.25813,2018-03-18 23:16:21.258130,-0.1658306013953048,-0.3508572302996541,0.17264582093483594,0.3644651404722659,-0.01443249786895727,-0.015886377909647587,-6.013648185236237,-2.5644131206732323
647492.860792582,4185644.55157235,1521414988.81945,4.64488502896638,3.8998877398530696,1,647493.0679439905,4185644.821884685,1521414991.339405,2018-03-18 23:16:31.339405,-0.15187901214562705,-0.3361695101319011,0.16118347850186948,0.3531008361032596,-0.017937636121385415,-0.02580284890545745,-5.830817891787986,-2.5644500935434014
647493.275095399,4185645.09219702,1521414993.85936,4.469120183309911,3.98998571190062,2,647493.1440458256,4185645.001420775,1521414996.37832,2018-03-18 23:16:36.378320,-0.14917501188859766,-0.3310010572025435,0.15810009717619877,0.3475436477033645,-0.01864037946740294,-0.027632574997528386,-5.74343268648552,-2.564473716656756
647493.012996252,4185644.91064453,1521414998.89728,4.4903493044904,4.02558793453244,1,647492.8817796351,4185644.819752315,1521415001.41948,2018-03-18 23:16:41.419480,-0.154065163559097,-0.33932650334613723,0.16331640179370316,0.3560800998216902,-0.017603871919421706,-0.025019802051971393,-5.86729297311418,-2.564457836310372
647492.750563018,4185644.7288601,1521415003.9416802,4.5078166655257315,4.05598764335476,1,647492.6192614306,4185644.63790878,1521415006.46552,2018-03-18 23:16:46.465520,-0.15756777724531726,-0.34291566696953746,0.16616881950690054,0.3587693502789319,-0.016566366770785546,-0.02240451417430568,-5.904410308384132,-2.5644606560316308
647492.487959843,4185644.54695746,1521415008.9893599,4.52155355996356,4.08125496059327,1,647491.9636056914,4185644.1837457204,1521415019.068295,2018-03-18 23:16:59.068295,-0.1663157622257866,-0.3518798177068809,0.17329290260238747,0.36548591512967993,-0.014646830911218454,-0.01707498358434084,-5.997112960605633,-2.564467698675772
647491.43925154,4185643.82053398,1521415029.1472301,4.5395252409228215,4.1325232556208,1,647491.0461218405,4185643.5482197898,1521415036.703815,2018-03-18 23:17:16.703815,-0.17855714011431553,-0.36442368563390115,0.1832618953518449,0.3748846535754541,-0.013422587758407427,-0.012903174109386586,-6.126835144768205,-2.5644775538440694
647490.652992141,4185643.2759056,1521415044.2604,4.514508942213441,4.11988351381476,1,647490.5219567395,4185643.185139655,1521415046.7791052,2018-03-18 23:17:26.779105,-0.18555072511429466,-0.3715900856325802,0.18895725094551602,0.38025421912872204,-0.012660610900343892,-0.01212809261927636,-6.200946324764585,-2.564483184203726
647490.390921338,4185643.09437371,1521415049.29781,4.4987584252048,4.10592027371726,1,647490.1288669466,4185642.912853255,1521415054.3349152,2018-03-18 23:17:34.334915,-0.1907954591486907,-0.37696441978481726,0.19322839738508674,0.38428104429976123,-0.012060282838003054,-0.011703941637041498,-6.256524886795962,-2.564487406618224
647489.866812555,4185642.7313328,1521415059.37202,4.45596288734799,4.063162244868759,1,647489.6047017269,4185642.549773055,1521415064.4102101,2018-03-18 23:17:44.410210,-0.19778904564597097,-0.3841308213318638,0.19892375420485892,0.38965061101998955,-0.011259775932023736,-0.011138357897489154,-6.330636082078945,-2.564493036980537
647489.342590899,4185642.36821331,1521415069.4484,4.39766144928239,3.99997851440676,1,647488.9492431744,4185642.095747355,1521415077.0091848,2018-03-18 23:17:57.009184,-0.20599669348680966,-0.3925754332200158,0.2056564022684594,0.39609010811329026,-0.00997370906909223,-0.010157117786745926,-6.4191370951207825,-2.564498151028346
