x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647293.654860439,4185884.76201711,1522239625.57183,9.51573065239753,20.7330293704128,2,647293.6535909765,4185884.765285565,1522239628.0872302,2018-03-28 12:20:28.087230,-0.06913459078041989,-0.15615157676940178,0.08423776254653392,0.18845675283734292,-0.02931765719425307,-0.07336048283037765,-3.1554876687692484,-1.4754155020884914
647293.652321514,4185884.76855402,1522239630.6026301,9.08078552414418,20.536942008060894,1,647293.6483369055,4185884.77865747,1522239638.26568,2018-03-28 12:20:38.265680,-0.06873384020578824,-0.15542343658722835,0.08373807442297973,0.18751035127085236,-0.029250873401972733,-0.07328481179711008,-3.155556816238048,-1.475415571252733
647293.6443522971,4185884.78876092,1522239645.92873,7.6036366313329395,19.9276644233422,3,647295.0536284631,4185885.1973213,1522239648.437505,2018-03-28 12:20:48.437505,-0.04151076922285352,-0.09073545557196054,0.08099773807487959,0.17892754637116545,-0.0015130055917139985,-0.001211408845787687,-2.8089212117244013,-1.4761013858291503
647296.462904629,4185885.60588168,1522239650.94628,7.78244604951247,19.557292682191,1,647297.8893005545,4185886.01945578,1522239653.485565,2018-03-28 12:20:53.485565,-0.04183882649825749,-0.09633762227303401,0.10557921893808139,0.2391563907436904,-0.028594907970319668,-0.06499429145049358,-2.093321864704627,-1.255152834828852
647299.31569648,4185886.43302988,1522239656.02485,8.084598892346719,19.186726499454398,2,647300.739905097,4185886.8459634846,1522239658.5602298,2018-03-28 12:20:58.560229,0.0,0.0,0.0,0.0,-0.01940172265886501,-0.04396530673606747,-1.1599459944321602,-0.9796506661433552
647302.164113714,4185887.25889709,1522239661.09561,8.49541923406853,18.8212932834728,3,647302.791717032,4185887.00708999,1522239666.17422,2018-03-28 12:21:06.174220,0.0,0.0,0.0,0.0,0.0,0.0,-0.7713955829318355,-0.6631559618018567
647303.41932035,4185886.75528289,1522239671.25283,8.84333001458829,18.5902980470293,1,647303.7333443745,4185886.6292918203,1522239673.79395,2018-03-28 12:21:13.793950,0.0,0.0,0.0,0.0,0.0,0.0,-0.6588052955953305,-0.5512435946110024
647304.047368399,4185886.50330075,1522239676.33507,8.96886205775787,18.4698306297555,1,647305.931013376,4185885.7504858803,1522239691.6012897,2018-03-28 12:21:31.601289,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647307.814658353,4185884.99767101,1522239706.8675098,9.103953730295821,17.673291798411697,1,647308.126905971,4185884.87199657,1522239709.3989449,2018-03-28 12:21:49.398944,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647308.439153589,4185884.74632213,1522239711.93038,9.02625359628313,17.5283336953491,1,647308.754049931,4185884.61960237,1522239714.4834452,2018-03-28 12:21:54.483445,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647309.068946273,4185884.49288261,1522239717.03651,8.917354460200539,17.378235587125598,1,647309.3822991035,4185884.3667685846,1522239719.5770001,2018-03-28 12:21:59.577000,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647309.695651934,4185884.24065456,1522239722.11749,8.77800795778971,17.224812005942802,1,647310.0089828315,4185884.114549145,1522239724.6578,2018-03-28 12:22:04.657800,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
647310.322313729,4185883.98844373,1522239727.1981099,8.606190766331931,17.0672690098873,1,647310.635938638,4185883.86222297,1522239729.740815,2018-03-28 12:22:09.740815,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155000000001
647310.949563547,4185883.73600221,1522239732.28352,8.39952767159377,16.9053093287676,2,647310.3088450546,4185883.496333495,1522239734.8242102,2018-03-28 12:22:14.824210,0.0,0.0,0.0,0.0,0.0,0.0,-0.2757155,-0.2755155
