x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647415.060403603,4185724.74616484,1521369776.26603,9.473790418630848,10.3849025127461,2,647415.0308653365,4185724.717557435,1521369778.785225,2018-03-18 10:42:58.785225,-0.23116235187882866,-0.4163940924285571,0.2715340608976629,0.4870917903041422,-0.0018824851807006174,-0.0004683055537815922,-5.132911900161432,-2.546631409249722
647415.00132707,4185724.68895003,1521369781.30442,9.49725894651206,10.3634194038549,1,647414.883290033,4185724.57464056,1521369791.3710399,2018-03-18 10:43:11.371039,-0.23191776975810888,-0.41707286580192665,0.2717385968461703,0.4868932725163047,-0.002241582294358488,-0.0004963652834490129,-5.13310351191546,-2.5466381004548255
647414.765252996,4185724.46033109,1521369801.43766,9.55868634977607,10.2524403194093,1,647414.0683217845,4185723.77702244,1521369861.85316,2018-03-18 10:44:21.853160,-0.23608630083851595,-0.42082197208202,0.2728614148147869,0.485791393744102,-0.002174943277221536,-0.000366234175727731,-5.134491301736941,-2.5466739749435976
647413.371390573,4185723.09371379,1521369922.26866,8.83099657801404,8.62416660716591,1,647413.196611708,4185722.9239597498,1521369937.3718,2018-03-18 10:45:37.371800,-0.23982436443582922,-0.42445865940600974,0.2749949544698629,0.48648587507070323,-0.002786328788338635,-0.001166303213233147,-5.153714514303567,-2.55320848149614
647413.021832843,4185722.75420571,1521369952.47494,8.3164363597605,7.881386141765518,1,647412.731220512,4185722.471032485,1521369977.64911,2018-03-18 10:46:17.649110,-0.2410057084965515,-0.4253538575819983,0.2758243019477107,0.48650589102988073,-0.002833287160147524,-0.0013310346726214534,-5.1694610542759225,-2.553209574594834
647412.4406081811,4185722.18785926,1521370002.82328,7.042105679042809,6.13291292337925,2,647412.352309323,4185722.102654635,1521370010.37956,2018-03-18 10:46:50.379560,-0.24196741159760776,-0.42608240221547866,0.27649989045165924,0.48652259450175933,-0.0028806527559322864,-0.001450934684282701,-5.182269691681205,-2.553210510608809
647412.264010465,4185722.01745001,1521370017.9358401,6.52147914850996,5.40944967183501,1,647412.1463736525,4185721.9039420746,1521370028.0024252,2018-03-18 10:47:08.002425,-0.2424896203106259,-0.42647717245081257,0.2768684371205077,0.48653325436848277,-0.002913758373105327,-0.0015047974550429083,-5.189185055341511,-2.553211198265827
647412.02873684,4185721.79043414,1521370038.06901,5.6807401285934604,4.1745777832610695,1,647411.9993014624,4185721.76203091,1521370040.588005,2018-03-18 10:47:20.588005,-0.24286256306241816,-0.42675910180232823,0.2771316428156571,0.4865408699478849,-0.0029374011990766363,-0.0015432648520222886,-5.194123693116226,-2.5532116896687587
647411.969866085,4185721.73362768,1521370043.107,5.43615555301939,3.78659594870965,2,647412.955881745,4185723.17546516,1521370045.6249552,2018-03-18 10:47:25.624955,-0.24028290839995164,-0.4245362596421678,0.2758677700437432,0.48700903473016083,-0.002823689687708235,-0.0012973664345531932,-5.146931000480457,-2.5532670634351193
647413.941897405,4185724.61730264,1521370048.14291,4.85998734957487,4.28761000439734,2,647413.5392022255,4185725.2890515197,1521370055.69411,2018-03-18 10:47:35.694110,-0.23831685304812367,-0.42218762030699103,0.27624061665245947,0.48861581197431264,-0.002806427155587446,-0.001236808923731264,-5.079688044641032,-2.553450315045146
647413.1365070461,4185725.9608004,1521370063.24531,4.810948285586701,4.407565013435018,1,647412.4654139951,4185727.08027154,1521370075.829405,2018-03-18 10:47:55.829405,-0.23954085725026986,-0.4223007091665282,0.28048805306495267,0.49248058158686725,-0.0029674052427986833,-0.00236471334017517,-5.035513915075829,-2.55379812171181
647411.794320944,4185728.19974268,1521370088.4135,3.98502392065262,3.64596530766362,1,647411.660047402,4185728.423729025,1521370090.931355,2018-03-18 10:48:10.931355,-0.23942338733646945,-0.4238809207870531,0.28285753844714884,0.49718950511143895,-0.0024258029220051575,-0.0020166410285547,-5.014397449326733,-2.5541556891698414
647411.52577386,4185728.64771537,1521370093.44921,3.66813363569629,3.29913645733823,4,647411.571185686,4185729.174546995,1521370095.966995,2018-03-18 10:48:15.966995,-0.239831210613796,-0.42437426816567236,0.2835061640574664,0.4979788912919779,-0.0018892281967016686,-0.0020924637358228776,-4.987728058700939,-2.554355160019099
647411.616597512,4185729.70137862,1521370098.48478,3.51761358740737,3.1206863228125,4,647411.9411711346,4185731.103597045,1521370103.51937,2018-03-18 10:48:23.519370,-0.24103010786948237,-0.42284007836188886,0.2878561059081234,0.5001973607789518,-0.00034051919462449454,-0.002328237816915449,-4.883361083315486,-2.5547527331327773
