x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647340.191295165,4185765.18552982,1521809352.34008,11.9381199153351,10.9690127068048,2,647340.2110854925,4185765.19995283,1521809357.319195,2018-03-23 12:49:17.319195,-0.23746322916913049,-0.4728295602950028,0.23855073577136993,0.4763009870250693,-0.0006103420342699964,-0.0026113014233002524,-6.036769408161016,-2.2621791424738618
647340.23087582,4185765.21437584,1521809362.29831,11.7004503023174,10.9186845732686,1,647340.250745004,4185765.228891275,1521809367.307645,2018-03-23 12:49:27.307645,-0.23741415980568578,-0.47273125940837607,0.2385613087513983,0.47628629032445335,-0.0006264826353400005,-0.0026334851753365557,-6.034679264936221,-2.2621775001157935
647340.2706141879,4185765.24340671,1521809372.3169801,11.436598321298304,10.8376304664711,1,647340.2805459625,4185765.250661155,1521809374.8206,2018-03-23 12:49:34.820600,-0.23737732709838033,-0.47265734311124896,0.23856930579924768,0.47627521081167656,-0.0006386251051895483,-0.002650173868594133,-6.033106129422271,-2.2621762653033284
647340.2904777371,4185765.2579156,1521809377.32422,11.29491061148,10.785458344482,1,647340.3103376055,4185765.272420205,1521809382.33008,2018-03-23 12:49:42.330080,-0.23734049961130585,-0.4725834581522077,0.2385772919092663,0.47626414058932065,-0.0006507615050705268,-0.0026668542192455763,-6.031533898649048,-2.2621750309916377
647340.330197474,4185765.28692481,1521809387.3359401,10.990728503708501,10.6572656329819,2,647340.3600597125,4185765.308767915,1521809394.872755,2018-03-23 12:49:54.872755,-0.23727908468342562,-0.4724600791478592,0.2385906876862335,0.47624561817492045,-0.0006710351558831956,-0.0026947184629963206,-6.028906573949082,-2.262172970020033
647340.389921951,4185765.33061102,1521809402.40957,10.475507886777699,10.4018863022628,1,647340.4196348335,4185765.3523846352,1521809409.917955,2018-03-23 12:50:09.917955,-0.2372056033106895,-0.4723121155821073,0.23860687695033603,0.47622332936783013,-0.0006953637208969507,-0.002728155808441088,-6.025751813050535,-2.2621704987526146
647340.449347716,4185765.37415825,1521809417.42634,9.88437040915761,10.067710243802301,1,647340.4591398486,4185765.3813517746,1521809419.90799,2018-03-23 12:50:19.907990,-0.23715694620763444,-0.4722139083855569,0.23861770520511055,0.47620848519001097,-0.0007115213529715753,-0.0027503629680060843,-6.023655301889878,-2.2621688587595425
647340.468931981,4185765.3885452994,1521809422.38964,9.669566968502341,9.9384320778357,1,647340.4886951305,4185765.4031450497,1521809427.4221601,2018-03-23 12:50:27.422160,-0.23712073430557745,-0.4721401865467458,0.23862606157617972,0.4761972033491933,-0.0007236783423048496,-0.0027670716169409942,-6.022074321478863,-2.2621676283418823
647340.50845828,4185765.4177448,1521809432.45468,9.19997888859977,9.64533413338238,1,647340.5281017055,4185765.4322890397,1521809437.464205,2018-03-23 12:50:37.464205,-0.2370725877875132,-0.47204171474094275,0.23863738487832703,0.4761820356607226,-0.0007399364188743762,-0.00278941682810388,-6.019957483961492,-2.2621659853339837
647340.5477451311,4185765.44683328,1521809442.47373,8.68140236362912,9.309063588257539,1,647340.5699198805,4185765.4622170497,1521809448.0315301,2018-03-23 12:50:48.031530,-0.23701993212579286,-0.4719392609287566,0.2386473058913124,0.4761673866670918,-0.0007566247063122838,-0.0028123533240142218,-6.017813651631391,-2.2621642702801674
647340.59209463,4185765.47760082,1521809453.5893302,8.03433004474094,8.877904023954072,1,647340.669745092,4185765.531488415,1521809473.0524101,2018-03-23 12:51:13.052410,-0.2368908430403909,-0.471699130096266,0.23866643863801595,0.4761355597648954,-0.0007952353509459234,-0.0028654200569567245,-6.012918751335635,-2.262160238127511
647340.747395554,4185765.58537601,1521809492.51549,4.71967703245405,6.70582467726469,2,647340.4543650835,4185765.81946424,1521809497.521605,2018-03-23 12:51:37.521605,-0.23733525772542818,-0.47061064837481015,0.23906497118996028,0.47500403876654906,-0.0009395731213900013,-0.0030674320343928307,-6.007693327048179,-2.262136868859294
