x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647485.0759734029,4185641.86302056,1521507092.9337099,36.36426490919,30.243218272651,2,647484.8350409439,4185641.50904449,1521507195.723625,2018-03-20 00:53:15.723625,-0.22567042992381356,-0.4241861561744108,0.2278184500972466,0.43246881388367925,-0.006352326957270955,-0.00816308894722989,-6.538601642838508,-2.5399715405838545
647484.594108485,4185641.15506842,1521507298.51354,38.1467580392309,27.2547657778617,1,647484.5344244151,4185641.06914749,1521507323.59824,2018-03-20 00:55:23.598240,-0.22836068079048732,-0.4269356457288389,0.23016107448468323,0.4349970221039866,-0.005952193161933093,-0.008213724808744785,-6.581150783203755,-2.5399439214635824
647484.474740345,4185640.98322656,1521507348.68294,38.5065500746165,26.341889721260905,1,647484.4501384886,4185640.949264605,1521507358.7114248,2018-03-20 00:55:58.711424,-0.22909788592742547,-0.4276918496285439,0.23080531756939363,0.4356961296516836,-0.005922852451891926,-0.008269613821156749,-6.592786350226223,-2.539936491623954
647484.4255366321,4185640.91530265,1521507368.73991,38.642612944391104,25.953126551230397,2,647484.5078241054,4185641.0397828603,1521507373.756635,2018-03-20 00:56:13.756635,-0.22855145926469178,-0.4271382798416391,0.2303335599757779,0.43519376479678157,-0.005946732692588733,-0.008229354164241101,-6.584101425930606,-2.5399423464270066
647484.5901115789,4185641.16426307,1521507378.77336,38.4738672693079,26.2327751629822,1,647485.2932236779,4185642.2199878898,1521507421.40221,2018-03-20 00:57:01.402210,-0.22136995717313787,-0.4198233982610513,0.2241005955351465,0.4285012791571074,-0.006978874451828321,-0.008356333980267805,-6.47030266492026,-2.540017314866698
647485.996335777,4185643.27571271,1521507464.03106,36.946392469528796,28.3442390479979,1,647486.2853602275,4185643.71112551,1521507481.58587,2018-03-20 00:58:01.585870,-0.21229675341258863,-0.4105818949362693,0.21622596428989507,0.42004639278585265,-0.007161945947966486,-0.008428239050259329,-6.3265259567038985,-2.540112041689455
647486.5743846779,4185644.14653831,1521507499.14068,36.26549411364871,29.0910103388171,2,647486.433928484,4185643.99329008,1521507504.15557,2018-03-20 00:58:24.155570,-0.21064697515409397,-0.4089476442538893,0.21483244229827866,0.41861423394164166,-0.007119967526251728,-0.008352470362894396,-6.29998100956319,-2.540131577313129
647486.29347229,4185643.84004185,1521507509.17046,36.2107527958785,29.226344757883897,1,647485.942282715,4185643.456866905,1521507521.70946,2018-03-20 00:58:41.709460,-0.21414185425171658,-0.41266601633071887,0.21799745241246773,0.4222327585532705,-0.007162226691369067,-0.008425134087735459,-6.353978971239865,-2.540103040284987
647485.59109314,4185643.07369196,1521507534.24846,36.0589399863761,29.5365689717957,1,647485.380410265,4185642.8438211847,1521507541.770745,2018-03-20 00:59:01.770745,-0.21813594118106672,-0.4169155200733379,0.22161455205634278,0.426368152819995,-0.007161355292086689,-0.008434771579089811,-6.415689989734948,-2.5400704270405434
647485.16972739,4185642.61395041,1521507549.29303,35.9575357249482,29.7037702444375,1,647485.099474716,4185642.53729907,1521507551.801365,2018-03-20 00:59:11.801365,-0.2201329798008953,-0.41904026679790884,0.22342309749730863,0.42843584495518705,-0.007160919593547289,-0.008439590312581527,-6.4465454240576125,-2.5400541204582794
647485.0292220421,4185642.46064773,1521507554.3097,35.92198559352121,29.7564266983484,1,647484.9589916426,4185642.384021065,1521507556.81723,2018-03-20 00:59:16.817230,-0.22113160912565732,-0.4201027569531195,0.22432746963505346,0.4294698043432811,-0.007045290863859702,-0.008364839214504177,-6.461974843255826,-2.5400459662559447
647484.888761243,4185642.3073944,1521507559.32476,35.8855745486293,29.8075317371983,1,647484.8185131605,4185642.2307481496,1521507561.8329248,2018-03-20 00:59:21.832924,-0.22213020541867035,-0.4211652120446318,0.22523181192557568,0.4305037297143067,-0.006927694555940306,-0.008288772554091176,-6.477403751393197,-2.5400378123273546
647484.748265078,4185642.1541019,1521507564.34109,35.84827905767521,29.8571228324375,1,647484.678044941,4185642.077486605,1521507566.84825,2018-03-20 00:59:26.848250,-0.2231287279006054,-0.4222275887799182,0.22613608751713327,0.4315375790618904,-0.006810106952721828,-0.008212711512964405,-6.492831517580406,-2.5400296590102283
