x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647374.338896843,4185807.47804882,1522088789.1196,7.52399310656849,14.7278686858791,2,647374.3343749985,4185807.4889153903,1522088796.7088099,2018-03-26 18:26:36.708809,0.0,0.0,0.0,0.0,0.0,0.0,-0.7465037449986764,-0.7462987935889921
647374.329853154,4185807.49978196,1522088804.29802,5.38591939761614,13.7587263483358,1,647374.3268383364,4185807.5070269452,1522088809.3576899,2018-03-26 18:26:49.357689,0.0,0.0,0.0,0.0,0.0,0.0,-0.7455680894365073,-0.7453631442345022
647374.3238235189,4185807.51427193,1522088814.41736,3.25488088283104,13.0726712177805,1,647374.3223175685,4185807.51789089,1522088816.9460402,2018-03-26 18:26:56.946040,0.0,0.0,0.0,0.0,0.0,0.0,-0.7450068514876553,-0.744801910009227
647374.320811618,4185807.52150985,1522088819.47472,1.17815334462097,12.7159118763889,2,647374.39576026,4185807.53217213,1522088822.004885,2018-03-26 18:27:02.004885,0.0,0.0,0.0,0.0,0.0,0.0,-0.7385180770747954,-0.738313178646641
647374.470708902,4185807.54283441,1522088824.53505,3.0167347233149906,12.3533089966045,1,647374.5457500365,4185807.553515365,1522088827.06841,2018-03-26 18:27:07.068410,0.0,0.0,0.0,0.0,0.0,0.0,-0.7259062141725937,-0.7257013994188153
647374.620791171,4185807.56419632,1522088829.60177,3.76989524564134,11.9784782170206,3,647374.6956629085,4185807.574877005,1522088832.1308298,2018-03-26 18:27:12.130829,0.0,0.0,0.0,0.0,0.0,0.0,-0.713298416861632,-0.7130936857552561
647374.770534646,4185807.58555769,1522088834.65989,4.08777382714225,11.591389480738599,1,647374.845600056,4185807.5962775797,1522088837.19564,2018-03-26 18:27:17.195640,0.0,0.0,0.0,0.0,0.0,0.0,-0.7006856758541263,-0.7004810284279525
647374.920665466,4185807.60699747,1522088839.73139,4.07429292316784,11.189006831332,1,647375.1455752115,4185807.639100255,1522088847.32907,2018-03-26 18:27:27.329070,0.0,0.0,0.0,0.0,0.0,0.0,-0.675451126133679,-0.6752466461280694
647375.370484957,4185807.67120304,1522088854.92675,0.7765665276130341,9.88014673305657,2,647373.999101945,4185807.56979456,1522088857.457975,2018-03-26 18:27:37.457975,0.0,0.0,0.0,0.0,0.0,0.0,-0.7600287929953351,-0.7598237518526816
647372.6277189329,4185807.46838608,1522088859.9892,2.9612137360921205,9.440589580935699,1,647371.2546899405,4185807.36686107,1522088862.5234652,2018-03-26 18:27:42.523465,-0.005562906940792071,-0.011159033711323244,0.006030610237308859,0.012069918602432438,-0.01786031800532479,-0.03576398177310802,-0.8553889974732002,-0.7878722878300976
647369.8816609479,4185807.26533606,1522088865.05773,3.86390703037262,8.97461954386977,1,647368.511780618,4185807.1640354097,1522088867.58617,2018-03-26 18:27:47.586170,-0.06967715985771046,-0.13977040853585476,0.07553529081410182,0.1511795284160359,-0.02858921445669575,-0.05726132018439707,-1.74269007967893,-0.8993866151848724
647367.1419002879,4185807.06273476,1522088870.11461,4.36424078916035,8.47975265407467,1,647365.7700249399,4185806.96129244,1522088872.64673,2018-03-26 18:27:52.646730,-0.10230783650990591,-0.20522662138655745,0.11090940272420079,0.22197877336587385,-0.03120666352993107,-0.0580835788075442,-2.5123871256995836,-1.2742481774997818
647364.398149592,4185806.85985012,1522088875.17885,4.60230589125104,7.9484723330396605,1,647363.0280638644,4185806.75853505,1522088877.707665,2018-03-26 18:27:57.707665,-0.14055749683464588,-0.2531446989396087,0.15356107172613653,0.27351953510395766,-0.04082579124307444,-0.06425345684352307,-3.1810830631867675,-1.5111251805440173
647361.657978137,4185806.65721998,1522088880.23648,4.612154929596518,7.37458241092593,2,647360.2818892444,4185806.55551996,1522088882.77625,2018-03-26 18:28:02.776250,-0.19763910329542703,-0.32402018132817517,0.21754459346957192,0.35010479069749706,-0.04280040251992483,-0.06967990260269674,-3.856360145702353,-1.5253812362475505
647358.905800352,4185806.45381994,1522088885.31602,4.40247436476088,6.74327647384596,1,647357.5394080256,4185806.3528475,1522088887.8378348,2018-03-26 18:28:07.837834,-0.2542215283542609,-0.4501877640236801,0.2815191194600744,0.4897454092287779,-0.04705433324279628,-0.05416551984394326,-4.776827716788935,-1.6025808647473134
647356.173015699,4185806.25187506,1522088890.35965,3.93027583124363,6.045745223989298,1,647353.4303401725,4185806.04922568,1522088895.4215,2018-03-26 18:28:15.421500,-0.3386048765336231,-0.520626946340914,0.37556557706401716,0.5606049176748036,-0.020371963977147453,-0.018551544045740498,-5.4807230331938745,-1.6032154674457273
647350.6876646461,4185805.8465763,1522088900.48335,1.25321581330603,4.29038883664594,2,647347.78031643,4185805.596141775,1522088905.5475101,2018-03-26 18:28:25.547510,-0.41497116787068855,-0.588594774464946,0.4266975098499505,0.6074976993571728,-0.007692044384246449,-0.010582494166390788,-5.238594,-1.6045737150635373
