x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647392.051930632,4185754.93722459,1521873335.8319,1.28780757580427,7.0775510534735,2,647392.4367617005,4185755.006171385,1521873338.358315,2018-03-24 06:35:38.358315,-0.2509476413914279,-0.39924706643068186,0.2849537080463707,0.45458371850542934,0.0011589177493158548,-0.0011452029933302216,-5.51431,-2.1120232766252904
647392.821592769,4185755.07511818,1521873340.88473,1.87698866470293,6.4133753826813695,1,647393.5908671676,4185755.212943295,1521873345.93501,2018-03-24 06:35:45.935010,-0.25028297013474926,-0.39585547261808895,0.2856368812513759,0.4528387469841197,0.0005158003300309577,-0.001733141323731216,-5.51431,-2.111907821820595
647394.360141566,4185755.35076841,1521873350.98529,1.43286262447343,5.04269237390953,2,647393.688354611,4185755.07431828,1521873356.032255,2018-03-24 06:35:56.032255,-0.25025285554387433,-0.3958401576600272,0.2855974071863326,0.45293681408616765,0.0002976393511838829,-0.0017234073154145518,-5.514309999999999,-2.111893973766566
647393.0165676561,4185754.79786815,1521873361.0792198,2.13880317378775,4.93945889337488,1,647392.68011691,4185754.659412735,1521873363.606905,2018-03-24 06:36:03.606905,-0.2505452776509286,-0.39823515092013795,0.2859848178813823,0.455140736595973,0.0006829065541107127,-0.0011810275634013406,-5.514309999999999,-2.1119610517796517
647392.343666164,4185754.52095732,1521873366.1345901,2.16850198366236,4.86543657965542,2,647392.09852308,4185754.97104877,1521873371.18612,2018-03-24 06:36:11.186120,-0.25116583020432265,-0.4002791217767378,0.2846739194063674,0.45502879013964326,0.0013715973347811355,-0.0009837022844128712,-5.51431,-2.1120601157750336
647391.853379996,4185755.42114022,1521873376.23765,1.56408604260104,4.36735384426762,1,647391.730733174,4185755.6463225447,1521873378.7649498,2018-03-24 06:36:18.764949,-0.2518736672693702,-0.4019179440351084,0.2827783057261327,0.4538304081866199,0.0021085172427295906,-0.0013421776284661818,-5.51431,-2.11216867600262
647391.608086352,4185755.87150487,1521873381.29225,0.271324501016006,4.08430530048979,2,647391.0234384804,4185756.06956254,1521873383.819415,2018-03-24 06:36:23.819415,-0.2526575269013511,-0.40443572152085905,0.2810853821488507,0.45358992688028454,0.002307072535892518,-0.0018487025298019183,-5.514310000000001,-2.1122933994352415
647390.438790609,4185756.26762021,1521873386.34658,1.63145111167781,4.131094792291839,1,647389.85453913,4185756.46554426,1521873388.872035,2018-03-24 06:36:28.872035,-0.25403240034487407,-0.4076636512447399,0.28069677770100715,0.4545042518974228,0.0013382913852508643,-0.002809084309530238,-5.495658781978649,-2.1124736177772854
647389.270287651,4185756.66346831,1521873391.39749,2.22785578647034,4.1512619632871495,1,647388.686219872,4185756.8613303797,1521873393.9221501,2018-03-24 06:36:33.922150,-0.25599292777759225,-0.40939420677389576,0.28394091628494156,0.45666824939205697,0.001762957804125706,-0.003056347767005696,-5.437905409048652,-2.112660529139854
647388.102152093,4185757.05919245,1521873396.44681,2.64198093665205,4.14524191241138,1,647386.9340608785,4185757.45490163,1521873401.49594,2018-03-24 06:36:41.495940,-0.25905528345338197,-0.41384661349567453,0.28635294534632305,0.4593424152620569,0.0006472195843789941,-0.003389532102492279,-5.408584427469659,-2.1129972104893784
