x,y,tnum,x_sd,y_sd,num_rx,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647407.4954554089,4185680.88638042,1521347567.6712198,3.74447149662384,3.2069280596400898,2,647407.495593953,4185680.8862124197,1521347572.717475,2018-03-18 04:32:52.717475,-0.12756487622181562,-0.20713358398787923,0.14809887509036607,0.2272727288745877,-0.001383796510109607,-0.0013577740442589012,-6.542222921567389,-2.1397584529107014
647407.4957324971,4185680.88604442,1521347577.76373,3.67517738747936,3.12573386416821,1,647407.4958712291,4185680.885875985,1521347582.815315,2018-03-18 04:33:02.815315,-0.12756477243105413,-0.2071337502248469,0.14809871679811706,0.22727276769952018,-0.0013837867624826514,-0.0013576602711816849,-6.542236205872098,-2.1397584370775684
647407.496009961,4185680.88570755,1521347587.8669,3.6044756838476,3.04228406265304,1,647407.496356262,4185680.885286945,1521347600.48805,2018-03-18 04:33:20.488050,-0.12756459095722825,-0.20713404141548555,0.14809844021057836,0.2272728359612885,-0.0013837695285624715,-0.0013574610135183227,-6.542259466963691,-2.1397584093647497
647407.496702563,4185680.88486634,1521347613.1092,3.42145013414063,2.82302683401416,1,647407.497675519,4185680.883876335,1521347638.351995,2018-03-18 04:33:58.351995,-0.1275640661966953,-0.2071346882429173,0.14809757444485794,0.22727289471981652,-0.0013837895982753562,-0.0013570059224609632,-6.542314246450225,-2.1397583399545725
647407.498648475,4185680.88288633,1521347663.59479,3.02231435257909,2.32323993452878,1,647407.498786859,4185680.8827182,1521347668.64131,2018-03-18 04:34:28.641310,-0.12756361923202603,-0.20713521026680787,0.14809682725825407,0.22727292423424902,-0.0013838170464098784,-0.0013566362344220942,-6.542359055868342,-2.139758282423112
647407.4989252429,4185680.88255007,1521347673.68783,2.9360167091196696,2.20980189065234,1,647407.4989944334,4185680.882466005,1521347676.21105,2018-03-18 04:34:36.211050,-0.12756354158636923,-0.20713533496752598,0.14809670895477567,0.22727295351999316,-0.0013838096327613639,-0.0013565509105968598,-6.542369015521722,-2.1397582705597396
647407.499063624,4185680.88238194,1521347678.7342699,2.89190282297215,2.15084123941816,1,647407.4991327794,4185680.882297905,1521347681.25699,2018-03-18 04:34:41.256990,-0.12756348983889276,-0.20713541809058925,0.14809663011582888,0.22727297304862884,-0.0013838046863623027,-0.0013564940363861092,-6.542375654186739,-2.1397582626524674
647407.499201935,4185680.88221387,1521347683.77971,2.8471143887915296,2.0902301641843604,1,647407.499409514,4185680.8819616754,1521347691.3494701,2018-03-18 04:34:51.349470,-0.12756338632442807,-0.20713558434566282,0.1480964724006399,0.22727301209735823,-0.0013837947997192776,-0.0013563802804130581,-6.542388932587667,-2.1397582468361716
647407.499617093,4185680.88170948,1521347698.91923,2.70827779324148,1.8967680095075905,1,647407.4996863101,4185680.8816253953,1521347701.4428248,2018-03-18 04:35:01.442824,-0.1275632827830027,-0.20713575061917566,0.14809631463597095,0.22727305113860038,-0.001383784919405051,-0.0013562665102358346,-6.542402212856937,-2.1397582310171224
647407.499755527,4185680.88154131,1521347703.96642,2.66038250017984,1.82772589380582,2,647407.3781081795,4185680.6816699402,1521347714.06394,2018-03-18 04:35:14.063940,-0.1276653268832732,-0.2073262530919271,0.14837156124245526,0.2274862536781214,-0.001266613977113376,-0.001248549905251646,-6.551977570091908,-2.139754348956881
647407.2564608321,4185680.48179857,1521347724.16146,2.4833607654314,1.83474152243746,1,647407.1956558495,4185680.3818937354,1521347729.208665,2018-03-18 04:35:29.208665,-0.12781184732239556,-0.20757512015439686,0.14874628407703705,0.22774933921301707,-0.0010908793180588877,-0.001087034277784539,-6.562648706112103,-2.1397487627822467
647407.134850867,4185680.2819889,1521347734.2558699,2.37574355860841,1.78913179375318,2,647406.8133290836,4185679.759873905,1521347746.8750348,2018-03-18 04:35:46.875034,-0.12811335025383158,-0.20806659234565975,0.1495015620744124,0.22825749585626234,-0.0007247815520582263,-0.0007513731067369106,-6.582197118455473,-2.1397374076175937
647406.4918073001,4185679.23775891,1521347759.4942,2.02150514267601,2.02308525936779,1,647406.427499603,4185679.1333304746,1521347762.018165,2018-03-18 04:36:02.018165,-0.12809058587836286,-0.20815926437220741,0.15006975244270232,0.228759123949121,-0.0004977428933089015,-0.000536661541557383,-6.610932469090111,-2.1397251698875523
647406.363191906,4185679.02890204,1521347764.54213,1.93742187244466,2.05341324384108,1,647406.2988534005,4185678.92442346,1521347767.067305,2018-03-18 04:36:07.067305,-0.12781811222896283,-0.20786373343348125,0.15010217857239017,0.2289173596486049,-0.0005522290510340949,-0.000551002714449203,-6.627815896297967,-2.1397204314325684
647406.234514895,4185678.81994488,1521347769.5924802,1.8475522544813097,2.07892576775432,1,647406.105881986,4185678.6110595,1521347774.6411,2018-03-18 04:36:14.641100,-0.12740939726821046,-0.20742043215921627,0.15015081829072519,0.22915471579397387,-0.0006666850728173218,-0.0005743947970334243,-6.65314131463553,-2.139713323672009
647405.977249077,4185678.40217412,1521347779.68972,1.64682085471091,2.1161137969737,1,647405.9129378165,4185678.29773988,1521347782.213825,2018-03-18 04:36:22.213825,-0.12700074016388282,-0.20697719363592249,0.1501994512196319,0.22939203842906128,-0.0008050525760197463,-0.0006272887628370818,-6.678463152552574,-2.1397062169181584
647405.848626556,4185678.19330564,1521347784.73793,1.5331968795805502,2.12803894943618,1,647405.784320389,4185678.08887969,1521347787.261835,2018-03-18 04:36:27.261835,-0.12672832761105926,-0.2066817289625122,0.15023187017397632,0.22955023873629177,-0.0009435516112423145,-0.0007195945221550107,-6.695342798553638,-2.13970147952623
647405.7200142221,4185677.98445374,1521347789.7857401,1.40793006766491,2.13562816771924,2,647405.4910292965,4185677.647512985,1521347797.358215,2018-03-18 04:36:37.358215,-0.12616133863756454,-0.20606626382048632,0.15033370012136207,0.22991144964834537,-0.0012070877954118292,-0.0009080080377240202,-6.732112284744581,-2.1396918186221114
647405.262044371,4185677.31057223,1521347804.93069,1.4277744295791497,2.1228413968052,1,647405.109372583,4185677.085922705,1521347809.979515,2018-03-18 04:36:49.979515,-0.12544332987157344,-0.20528666832640302,0.15047640761000766,0.23038165815694264,-0.0005846621074787339,-0.0007465668897607622,-6.779330826391099,-2.1396796643008362
647404.956700795,4185676.86127318,1521347815.02834,1.31050829816397,2.07509073154595,3,647404.33855368,4185676.3423765404,1521347820.077465,2018-03-18 04:37:00.077465,-0.12635299493704727,-0.20588920453132448,0.15273515530680734,0.231984621227897,0.0012660094590657353,0.0009077456730192598,-6.8319880078661805,-2.1396760031758864
647403.720406565,4185675.8234799,1521347825.12659,1.18563830152642,2.09416252095385,2,647403.608142483,4185675.6743547954,1521347827.65097,2018-03-18 04:37:07.650970,-0.12413481051510361,-0.20412591019140738,0.14933990322279597,0.22880191860277746,0.003084549246060192,0.0027452096550276486,-6.848448630438356,-2.139657656555264
647403.495878401,4185675.52522969,1521347830.17535,1.2451199103557,2.08733319049825,1,647402.934531392,4185674.779568775,1521347842.79784,2018-03-18 04:37:22.797840,-0.12127853800416556,-0.2009541779981966,0.14291765812708818,0.22228341285814612,0.003754389616550089,0.004022849467699131,-6.742894726883561,-2.139629061837164
647402.3731843829,4185674.03390786,1521347855.42033,1.36690418802337,2.01058197052724,1,647401.8119590204,4185673.2884087553,1521347868.04008,2018-03-18 04:37:48.040080,-0.1246669144880561,-0.20211580902401213,0.1405641787263578,0.21740982894831584,0.004256247163877843,0.004432372454899532,-6.4985471461433,-2.156654836654179
647401.250733658,4185672.54290965,1521347880.65983,1.22960169689253,1.85521872393753,2,647401.0262795745,4185672.24475798,1521347885.7069201,2018-03-18 04:38:05.706920,-0.12386739475469116,-0.20074834568601507,0.13482850966219684,0.21129808341068246,0.0037218915034402285,0.004015276191935591,-6.311852440549342,-2.156650199963265
647400.801825491,4185671.94660631,1521347890.75401,1.08652123030839,1.76678924021566,1,647400.6895691929,4185671.797491555,1521347893.278215,2018-03-18 04:38:13.278215,-0.12352475304810055,-0.20016230635454346,0.1323704343680637,0.20867883697179465,0.0034913985331384706,0.0038355499568233087,-6.23184265356674,-2.1566482128663855
